"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","3,290","3,380","3,380","3,240","11,44M","-2,08%"
"22.10.2020","3,360","3,280","3,390","3,210","26,48M","2,75%"
"21.10.2020","3,270","3,310","3,330","3,220","19,11M","-0,91%"
"20.10.2020","3,300","3,380","3,390","3,270","12,60M","-2,37%"
"19.10.2020","3,380","3,430","3,430","3,380","10,18M","-0,59%"
"16.10.2020","3,400","3,360","3,440","3,360","21,56M","1,19%"
"15.10.2020","3,360","3,410","3,420","3,350","8,56M","-1,18%"
"14.10.2020","3,400","3,400","3,440","3,360","16,93M","0,29%"
"13.10.2020","3,390","3,410","3,440","3,320","15,13M","-0,59%"
"12.10.2020","3,410","3,480","3,510","3,390","15,17M","-0,87%"
"09.10.2020","3,440","3,360","3,470","3,330","3,74M","2,38%"
"08.10.2020","3,360","3,400","3,410","3,330","2,60M","-0,30%"
"07.10.2020","3,370","3,360","3,400","3,340","3,50M","0,30%"
"06.10.2020","3,360","3,420","3,450","3,350","4,36M","-1,75%"
"05.10.2020","3,420","3,300","3,480","3,290","4,33M","-2,01%"
"02.10.2020","3,490","3,400","3,530","3,390","1,83M","1,16%"
"01.10.2020","3,450","3,470","3,500","3,420","2,30M","-0,29%"
"30.09.2020","3,460","3,450","3,520","3,410","3,88M","0,58%"
"29.09.2020","3,440","3,400","3,590","3,200","8,15M","1,18%"
"28.09.2020","3,400","3,460","3,570","3,310","7,18M","-6,85%"
"25.09.2020","3,650","3,590","3,650","3,500","6,36M","-1,08%"
"24.09.2020","3,690","3,750","3,760","3,620","4,60M","-1,07%"
"23.09.2020","3,730","3,770","3,850","3,620","10,02M","-0,80%"
"22.09.2020","3,760","3,690","3,920","3,620","10,87M","-1,57%"
"21.09.2020","3,820","3,510","3,950","3,420","18,95M","4,95%"
"18.09.2020","3,640","3,390","3,680","3,350","15,01M","7,37%"
"17.09.2020","3,390","3,300","3,430","3,300","7,03M","-2,87%"
"16.09.2020","3,490","3,390","3,550","3,120","14,53M","2,35%"
"15.09.2020","3,410","3,630","3,630","3,330","11,57M","-7,84%"
"14.09.2020","3,700","3,400","3,890","3,380","18,67M","3,06%"
"11.09.2020","3,590","3,590","3,590","3,590","1,70M","-9,80%"
"10.09.2020","3,980","4,700","4,860","3,980","107,82M","-9,95%"
"09.09.2020","4,420","4,230","4,420","4,150","75,59M","9,95%"
"08.09.2020","4,020","3,750","4,020","3,650","176,21M","9,84%"
"07.09.2020","3,660","3,410","3,670","3,400","137,77M","9,25%"
"04.09.2020","3,350","3,540","3,600","3,350","101,84M","-3,46%"
"03.09.2020","3,470","3,380","3,740","3,170","296,08M","1,76%"
"02.09.2020","3,410","3,100","3,410","3,090","246,33M","10,00%"
"01.09.2020","3,100","2,980","3,120","2,900","78,12M","4,38%"
"31.08.2020","2,970","2,990","3,070","2,950","35,37M","0,34%"
"28.08.2020","2,960","3,060","3,070","2,940","39,59M","-2,95%"
"27.08.2020","3,050","3,000","3,130","2,930","81,83M","2,35%"
"26.08.2020","2,980","2,860","3,010","2,830","56,52M","-0,33%"
"25.08.2020","2,990","3,160","3,300","2,960","173,17M","-5,97%"
"24.08.2020","3,180","2,990","3,230","2,960","175,74M","7,80%"
"21.08.2020","2,950","2,950","3,030","2,860","49,74M","1,03%"
"20.08.2020","2,920","2,780","2,940","2,740","63,68M","5,04%"
"19.08.2020","2,780","2,770","2,840","2,760","18,03M","0,72%"
"18.08.2020","2,760","2,710","2,880","2,700","31,26M","2,22%"
"17.08.2020","2,700","2,800","2,820","2,670","14,05M","-3,23%"
"14.08.2020","2,790","2,840","2,910","2,780","22,01M","-2,11%"
"13.08.2020","2,850","2,790","2,930","2,770","68,42M","2,89%"
"12.08.2020","2,770","2,860","2,870","2,750","27,77M","-2,81%"
"11.08.2020","2,850","2,780","2,930","2,710","57,30M","2,15%"
"10.08.2020","2,790","2,740","2,850","2,610","40,92M","4,10%"
"07.08.2020","2,680","2,460","2,690","2,350","35,28M","2,68%"
"06.08.2020","2,610","2,900","2,910","2,610","32,83M","-9,69%"
"05.08.2020","2,890","3,210","3,220","2,890","43,53M","-9,97%"
