"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","5,06","5,13","5,14","5,01","76,70M","-1,17%"
"22.10.2020","5,12","5,42","5,45","5,12","172,85M","-5,19%"
"21.10.2020","5,40","5,45","5,47","5,36","79,47M","0,19%"
"20.10.2020","5,39","5,42","5,45","5,34","120,62M","-0,37%"
"19.10.2020","5,41","5,24","5,44","5,22","188,78M","4,04%"
"16.10.2020","5,20","5,11","5,22","5,09","82,94M","2,16%"
"15.10.2020","5,09","5,14","5,15","5,06","65,74M","-1,36%"
"14.10.2020","5,16","5,16","5,17","5,12","72,32M","0,19%"
"13.10.2020","5,15","5,18","5,19","5,13","52,22M","-0,77%"
"12.10.2020","5,19","5,18","5,21","5,15","72,57M","0,78%"
"09.10.2020","5,15","5,08","5,16","5,05","74,72M","1,58%"
"08.10.2020","5,07","5,09","5,09","5,00","71,39M","0,00%"
"07.10.2020","5,07","5,11","5,12","5,06","75,46M","-1,36%"
"06.10.2020","5,14","5,19","5,24","5,13","95,19M","-0,77%"
"05.10.2020","5,18","5,18","5,20","5,16","50,89M","0,58%"
"02.10.2020","5,15","5,15","5,19","5,12","93,97M","-0,39%"
"01.10.2020","5,17","5,18","5,27","5,13","125,94M","0,39%"
"30.09.2020","5,15","5,09","5,16","5,04","94,28M","3,21%"
"29.09.2020","4,99","5,03","5,08","4,94","84,34M","-0,60%"
"28.09.2020","5,02","5,12","5,14","5,00","87,13M","-1,57%"
"25.09.2020","5,10","5,17","5,21","5,09","150,14M","1,19%"
"24.09.2020","5,04","4,74","5,06","4,74","229,86M","5,88%"
"23.09.2020","4,76","4,76","4,83","4,74","62,91M","0,42%"
"22.09.2020","4,74","4,73","4,77","4,71","44,19M","0,42%"
"21.09.2020","4,72","4,87","4,88","4,70","70,84M","-3,08%"
"18.09.2020","4,87","4,88","4,90","4,84","46,77M","0,00%"
"17.09.2020","4,87","4,86","4,89","4,85","41,96M","-0,41%"
"16.09.2020","4,89","4,89","4,91","4,87","27,49M","0,00%"
"15.09.2020","4,89","4,90","4,92","4,85","48,19M","0,00%"
"14.09.2020","4,89","4,93","4,93","4,89","35,41M","-0,61%"
"11.09.2020","4,92","4,94","4,96","4,90","46,52M","-0,20%"
"10.09.2020","4,93","4,91","4,99","4,88","106,65M","0,82%"
"09.09.2020","4,89","4,89","4,92","4,88","38,88M","-0,20%"
