"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","5,00","5,01","5,03","4,96","46,12M","-0,20%"
"22.10.2020","5,01","5,18","5,24","5,00","100,35M","-3,28%"
"21.10.2020","5,18","5,22","5,26","5,16","83,29M","0,00%"
"20.10.2020","5,18","5,22","5,24","5,15","76,19M","-0,58%"
"19.10.2020","5,21","5,14","5,27","5,12","147,42M","1,76%"
"16.10.2020","5,12","5,06","5,16","5,04","97,16M","1,39%"
"15.10.2020","5,05","5,06","5,08","5,01","28,02M","-0,59%"
"14.10.2020","5,08","5,06","5,10","5,04","37,64M","0,59%"
"13.10.2020","5,05","5,11","5,11","5,05","25,10M","-1,17%"
"12.10.2020","5,11","5,10","5,14","5,08","40,13M","0,39%"
"09.10.2020","5,09","5,04","5,10","5,03","35,73M","0,99%"
"08.10.2020","5,04","5,06","5,07","5,00","36,82M","0,00%"
"07.10.2020","5,04","5,05","5,06","5,03","29,75M","-0,20%"
"06.10.2020","5,05","5,10","5,15","5,05","54,89M","-0,79%"
"05.10.2020","5,09","5,09","5,11","5,07","40,90M","0,39%"
"02.10.2020","5,07","5,06","5,13","5,06","56,08M","-0,78%"
"01.10.2020","5,11","5,16","5,19","5,10","52,04M","-0,39%"
"30.09.2020","5,13","5,06","5,13","5,05","49,14M","2,19%"
"29.09.2020","5,02","5,05","5,09","5,00","43,93M","-0,40%"
"28.09.2020","5,04","5,16","5,18","5,04","55,99M","-2,33%"
"25.09.2020","5,16","5,27","5,34","5,16","88,34M","-0,58%"
"24.09.2020","5,19","5,00","5,22","4,99","120,37M","3,18%"
"23.09.2020","5,03","5,02","5,11","4,99","42,75M","1,00%"
"22.09.2020","4,98","4,95","5,00","4,91","33,00M","0,61%"
"21.09.2020","4,95","5,11","5,14","4,93","49,70M","-3,32%"
"18.09.2020","5,12","5,13","5,19","5,07","58,92M","0,00%"
"17.09.2020","5,12","5,04","5,13","5,03","36,97M","1,19%"
"16.09.2020","5,06","5,07","5,15","5,04","36,09M","-0,20%"
"15.09.2020","5,07","5,09","5,13","5,04","32,35M","-0,20%"
"14.09.2020","5,08","5,12","5,14","5,08","26,01M","-0,39%"
"11.09.2020","5,10","5,19","5,21","5,09","53,15M","-1,35%"
"10.09.2020","5,17","5,08","5,29","5,07","169,88M","1,97%"
"09.09.2020","5,07","5,04","5,08","5,03","33,48M","0,80%"
"08.09.2020","5,03","5,09","5,15","5,02","51,34M","-0,98%"
"07.09.2020","5,08","5,09","5,11","5,07","28,78M","0,00%"
"04.09.2020","5,08","5,08","5,14","5,05","38,42M","0,00%"
"03.09.2020","5,08","5,25","5,29","5,08","94,72M","-4,15%"
"02.09.2020","5,30","5,03","5,35","4,97","112,73M","5,16%"
"01.09.2020","5,04","4,93","5,04","4,91","42,72M","2,65%"
"31.08.2020","4,91","5,11","5,14","4,91","39,49M","-4,29%"
"28.08.2020","5,13","5,22","5,23","5,11","17,09M","-1,54%"
"27.08.2020","5,21","5,19","5,23","5,15","25,85M","1,56%"
"26.08.2020","5,13","5,04","5,18","5,04","25,90M","1,18%"
"25.08.2020","5,07","5,21","5,24","5,00","27,06M","-2,12%"
"24.08.2020","5,18","5,27","5,29","5,18","25,88M","-1,33%"
"21.08.2020","5,25","5,30","5,63","5,20","142,42M","0,96%"
"20.08.2020","5,20","5,19","5,26","5,15","36,78M","0,19%"
"19.08.2020","5,19","5,12","5,22","5,11","30,25M","1,96%"
"18.08.2020","5,09","5,03","5,17","5,03","28,26M","0,99%"
"17.08.2020","5,04","5,04","5,14","4,99","42,91M","0,00%"
"14.08.2020","5,04","5,08","5,12","5,01","19,57M","-1,56%"
"13.08.2020","5,12","5,18","5,20","5,07","34,56M","-0,78%"
"12.08.2020","5,16","5,24","5,32","5,12","67,97M","-1,34%"
"11.08.2020","5,23","4,97","5,28","4,97","90,35M","5,66%"
"10.08.2020","4,95","4,97","5,02","4,92","43,14M","-1,00%"
"07.08.2020","5,00","4,99","5,14","4,75","67,54M","-0,60%"
"06.08.2020","5,03","5,28","5,36","5,03","47,32M","-5,09%"
"05.08.2020","5,30","5,32","5,38","5,26","56,80M","0,00%"
"04.08.2020","5,30","5,55","5,62","5,24","82,20M","-3,99%"
"30.07.2020","5,52","5,49","5,58","5,48","30,32M","0,73%"
"29.07.2020","5,48","5,41","5,54","5,24","97,35M","1,48%"
"28.07.2020","5,40","5,71","5,71","5,40","55,60M","-5,59%"
"27.07.2020","5,72","5,83","5,85","5,72","38,15M","-2,22%"
"24.07.2020","5,85","5,88","5,89","5,81","27,67M","-0,68%"
"23.07.2020","5,89","5,92","6,01","5,88","64,75M","0,00%"
"22.07.2020","5,89","5,96","6,02","5,86","57,90M","-0,51%"
"21.07.2020","5,92","6,07","6,09","5,90","91,53M","-1,82%"
"20.07.2020","6,03","6,02","6,14","5,97","56,82M","0,17%"
"17.07.2020","6,02","6,12","6,12","6,01","43,18M","-1,31%"
"16.07.2020","6,10","5,95","6,21","5,95","129,92M","2,87%"
"14.07.2020","5,93","5,99","6,03","5,91","48,31M","-1,50%"
"13.07.2020","6,02","5,97","6,07","5,90","61,90M","2,03%"
"10.07.2020","5,90","5,79","5,90","5,61","86,27M","1,20%"
"09.07.2020","5,83","6,15","6,21","5,83","56,86M","-4,89%"
"08.07.2020","6,13","6,10","6,29","6,08","121,83M","0,33%"
"07.07.2020","6,11","6,15","6,21","6,06","57,32M","-0,65%"
"06.07.2020","6,15","6,15","6,18","6,11","35,95M","0,99%"
"03.07.2020","6,09","6,22","6,23","6,06","55,37M","-1,93%"
"02.07.2020","6,21","6,25","6,32","6,20","64,15M","-0,16%"
"01.07.2020","6,22","6,45","6,49","6,21","104,93M","-2,96%"
"30.06.2020","6,41","6,59","6,61","6,41","88,84M","-2,14%"
"29.06.2020","6,55","6,34","6,59","6,28","155,45M","3,97%"
"26.06.2020","6,30","6,40","6,41","6,24","55,76M","0,16%"
"25.06.2020","6,29","6,13","6,42","6,10","149,59M","2,61%"
"24.06.2020","6,13","6,21","6,31","6,13","93,25M","-1,76%"
"23.06.2020","6,24","6,46","6,47","6,23","103,46M","-3,26%"
"22.06.2020","6,45","6,48","6,65","6,40","215,11M","5,56%"
"19.06.2020","6,11","5,61","6,11","5,59","201,04M","9,89%"
"18.06.2020","5,56","5,48","5,65","5,48","55,29M","1,65%"
"17.06.2020","5,47","5,53","5,55","5,47","24,73M","-0,91%"
"16.06.2020","5,52","5,50","5,60","5,50","48,81M","1,28%"
"15.06.2020","5,45","5,43","5,48","5,43","19,07M","-1,09%"
"12.06.2020","5,51","5,41","5,54","5,39","32,90M","0,73%"
"11.06.2020","5,47","5,49","5,54","5,45","35,27M","-1,08%"
"10.06.2020","5,53","5,49","5,56","5,48","27,62M","0,91%"
"09.06.2020","5,48","5,58","5,60","5,47","36,61M","-1,44%"
"08.06.2020","5,56","5,58","5,67","5,55","44,74M","-0,36%"
"05.06.2020","5,58","5,58","5,61","5,53","34,09M","0,36%"
"04.06.2020","5,56","5,45","5,59","5,44","62,91M","2,02%"
"03.06.2020","5,45","5,43","5,49","5,42","34,94M","0,74%"
"02.06.2020","5,41","5,42","5,46","5,40","35,81M","0,19%"
"01.06.2020","5,40","5,35","5,44","5,35","47,12M","1,50%"
"29.05.2020","5,32","5,32","5,38","5,32","37,91M","-0,37%"
"28.05.2020","5,34","5,33","5,39","5,32","32,50M","0,75%"
"27.05.2020","5,30","5,33","5,37","5,30","29,54M","0,95%"
"22.05.2020","5,25","5,26","5,31","5,24","19,46M","-0,38%"
"21.05.2020","5,27","5,29","5,36","5,26","26,08M","-0,19%"
"20.05.2020","5,28","5,36","5,38","5,28","24,58M","-1,86%"
"18.05.2020","5,38","5,41","5,47","5,34","55,06M","0,19%"
"15.05.2020","5,37","5,29","5,39","5,23","55,59M","3,47%"
"14.05.2020","5,19","5,29","5,33","5,16","31,17M","-2,44%"
"13.05.2020","5,32","5,35","5,40","5,32","26,45M","-0,93%"
"12.05.2020","5,37","5,41","5,44","5,33","43,22M","0,19%"
"11.05.2020","5,36","5,47","5,49","5,28","51,79M","-1,47%"
"08.05.2020","5,44","5,22","5,46","5,22","128,32M","4,82%"
"07.05.2020","5,19","5,15","5,20","5,12","26,02M","0,78%"
"06.05.2020","5,15","5,17","5,20","5,14","25,25M","-0,19%"
"05.05.2020","5,16","5,14","5,27","5,10","36,20M","0,98%"
"04.05.2020","5,11","5,14","5,15","5,09","17,11M","-1,73%"
"30.04.2020","5,20","5,25","5,26","5,15","36,13M","-0,57%"
"29.04.2020","5,23","5,20","5,24","5,18","25,70M","0,97%"
"28.04.2020","5,18","5,26","5,29","5,18","46,03M","-1,33%"
"27.04.2020","5,25","5,20","5,28","5,20","53,62M","1,94%"
"24.04.2020","5,15","5,15","5,18","5,10","20,16M","0,19%"
"22.04.2020","5,14","5,15","5,22","5,13","21,38M","0,19%"
"21.04.2020","5,13","5,16","5,19","5,11","20,48M","-1,35%"
"20.04.2020","5,20","5,20","5,26","5,18","29,25M","0,39%"
"17.04.2020","5,18","5,20","5,27","5,16","29,57M","1,17%"
"16.04.2020","5,12","5,16","5,19","5,10","23,59M","-0,39%"
"15.04.2020","5,14","5,30","5,31","5,14","30,51M","-3,02%"
"14.04.2020","5,30","5,31","5,34","5,26","31,47M","0,57%"
"13.04.2020","5,27","5,19","5,32","5,17","28,52M","-0,57%"
"10.04.2020","5,30","5,25","5,37","5,19","43,79M","0,95%"
"09.04.2020","5,25","5,10","5,27","5,06","76,36M","4,17%"
"08.04.2020","5,04","5,03","5,07","4,98","24,55M","0,20%"
"07.04.2020","5,03","5,12","5,18","5,03","47,35M","-0,59%"
"06.04.2020","5,06","5,02","5,10","4,98","39,32M","2,43%"
"03.04.2020","4,94","4,96","4,99","4,93","15,42M","-0,40%"
"02.04.2020","4,96","5,02","5,04","4,92","21,21M","-0,20%"
"01.04.2020","4,97","4,92","5,16","4,90","63,61M","-1,00%"
"31.03.2020","5,02","5,01","5,05","4,96","34,86M","1,62%"
"30.03.2020","4,94","4,89","5,00","4,83","30,10M","0,82%"
"27.03.2020","4,90","5,00","5,03","4,88","33,65M","-2,58%"
"26.03.2020","5,03","4,90","5,07","4,88","55,91M","1,82%"
"25.03.2020","4,94","5,04","5,12","4,84","53,92M","-0,60%"
"24.03.2020","4,97","4,84","5,01","4,80","59,65M","6,65%"
"23.03.2020","4,66","4,85","5,00","4,63","40,59M","-7,36%"
"20.03.2020","5,03","5,10","5,16","4,97","29,70M","1,00%"
"19.03.2020","4,98","5,03","5,10","4,92","34,33M","-1,19%"
"18.03.2020","5,04","4,95","5,23","4,95","32,24M","-2,14%"
"17.03.2020","5,15","4,95","5,15","4,64","58,63M","4,04%"
"16.03.2020","4,95","5,04","5,15","4,80","34,85M","-6,78%"
"13.03.2020","5,31","5,08","5,43","4,99","48,22M","4,32%"
"12.03.2020","5,09","5,30","5,34","5,07","29,50M","-7,62%"
"11.03.2020","5,51","5,52","5,64","5,38","34,03M","-1,25%"
"10.03.2020","5,58","5,80","5,88","5,53","43,08M","-1,59%"
"09.03.2020","5,67","5,92","5,92","5,59","30,64M","-6,59%"
"06.03.2020","6,07","6,18","6,25","6,03","33,98M","-3,19%"
"05.03.2020","6,27","6,39","6,41","6,27","39,29M","0,00%"
"04.03.2020","6,27","6,38","6,60","6,27","68,16M","-3,39%"
"03.03.2020","6,49","6,17","6,49","6,15","66,89M","6,74%"
"02.03.2020","6,08","6,15","6,19","6,03","29,20M","1,67%"
"28.02.2020","5,98","5,61","6,10","5,61","37,17M","-4,32%"
"27.02.2020","6,25","6,53","6,59","6,25","45,38M","-6,02%"
"26.02.2020","6,65","6,71","6,75","6,54","47,98M","1,06%"
"25.02.2020","6,58","6,65","6,70","6,52","37,55M","-0,30%"
"24.02.2020","6,60","6,56","6,63","6,52","37,25M","-3,65%"
