"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","7,090","7,000","7,250","6,980","2,52M","1,58%"
"22.10.2020","6,980","7,240","7,250","6,920","2,31M","-3,32%"
"21.10.2020","7,220","7,110","7,250","7,080","3,17M","2,12%"
"20.10.2020","7,070","7,180","7,190","6,990","2,26M","-1,39%"
"19.10.2020","7,170","7,110","7,170","7,010","2,98M","2,43%"
"16.10.2020","7,000","6,750","7,110","6,750","2,93M","3,70%"
"15.10.2020","6,750","6,850","6,850","6,720","962,96K","-1,46%"
"14.10.2020","6,850","6,890","6,950","6,810","1,46M","-0,44%"
"13.10.2020","6,880","6,980","6,990","6,850","1,74M","-1,57%"
"12.10.2020","6,990","6,810","7,070","6,800","2,16M","2,79%"
"09.10.2020","6,800","6,750","6,840","6,700","1,45M","1,19%"
"08.10.2020","6,720","6,730","6,880","6,600","1,67M","0,00%"
"07.10.2020","6,720","6,750","6,860","6,700","1,43M","-1,03%"
"06.10.2020","6,790","6,820","6,860","6,710","1,83M","-0,44%"
"05.10.2020","6,820","6,910","6,980","6,800","1,54M","-1,02%"
"02.10.2020","6,890","6,970","6,970","6,700","1,75M","-1,15%"
"01.10.2020","6,970","7,110","7,170","6,960","2,34M","-1,97%"
"30.09.2020","7,110","7,100","7,310","7,030","14,44M","1,28%"
"29.09.2020","7,020","7,000","7,230","6,900","8,85M","0,29%"
"28.09.2020","7,000","7,390","7,390","7,000","9,01M","-3,98%"
"25.09.2020","7,290","7,430","7,610","7,230","11,04M","-1,22%"
"24.09.2020","7,380","7,530","7,960","7,370","26,17M","0,00%"
"23.09.2020","7,380","6,740","7,380","6,670","27,53M","9,99%"
"22.09.2020","6,710","6,560","6,900","6,560","12,42M","2,44%"
"21.09.2020","6,550","7,250","7,320","6,520","15,81M","-9,41%"
"18.09.2020","7,230","6,950","7,450","6,950","11,61M","-4,74%"
"17.09.2020","7,590","7,500","7,730","7,370","14,54M","0,53%"
"16.09.2020","7,550","7,790","7,800","7,550","7,26M","-2,08%"
"15.09.2020","7,710","7,700","7,870","7,510","11,41M","0,78%"
"14.09.2020","7,650","7,650","7,920","7,540","16,95M","0,92%"
"11.09.2020","7,580","7,410","7,770","7,270","27,53M","2,85%"
"10.09.2020","7,370","7,850","7,860","7,260","21,03M","-5,63%"
"09.09.2020","7,810","8,350","8,590","7,750","33,27M","-6,02%"
"08.09.2020","8,310","7,840","8,460","7,780","43,75M","6,68%"
"07.09.2020","7,790","7,740","7,970","7,730","12,71M","1,04%"
"04.09.2020","7,710","7,960","8,080","7,710","18,41M","-2,41%"
"03.09.2020","7,900","7,660","8,170","7,580","38,81M","4,50%"
"02.09.2020","7,560","7,860","8,120","7,530","27,13M","-3,20%"
"01.09.2020","7,810","8,080","8,460","7,790","67,49M","0,26%"
"31.08.2020","7,790","7,290","7,790","7,240","24,52M","9,87%"
"28.08.2020","7,090","6,490","7,090","6,460","54,79M","9,92%"
"27.08.2020","6,450","6,360","6,580","6,360","21,19M","1,90%"
