"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","1,820","1,750","1,870","1,680","1,31B","5,20%"
"22.10.2020","1,730","1,720","1,850","1,600","1,81B","2,37%"
"21.10.2020","1,690","1,690","1,690","1,620","459,12M","9,74%"
"20.10.2020","1,540","1,540","1,540","1,500","65,37M","10,00%"
"19.10.2020","1,400","1,300","1,400","1,300","162,06M","9,38%"
"16.10.2020","1,280","1,190","1,290","1,170","371,13M","8,47%"
"15.10.2020","1,180","1,170","1,200","1,170","172,39M","0,85%"
"14.10.2020","1,170","1,140","1,190","1,140","265,03M","2,63%"
"13.10.2020","1,140","1,140","1,140","1,120","119,05M","0,88%"
"12.10.2020","1,130","1,120","1,150","1,110","230,42M","0,89%"
"09.10.2020","1,120","1,100","1,130","1,090","133,21M","2,75%"
"08.10.2020","1,090","1,110","1,110","1,090","41,99M","-1,80%"
"07.10.2020","1,110","1,100","1,110","1,090","50,64M","0,00%"
"06.10.2020","1,110","1,120","1,130","1,100","89,04M","-0,89%"
"05.10.2020","1,120","1,100","1,120","1,100","45,22M","1,82%"
"02.10.2020","1,100","1,100","1,110","1,090","48,57M","0,00%"
"01.10.2020","1,100","1,120","1,120","1,090","68,29M","-0,90%"
"30.09.2020","1,110","1,090","1,110","1,090","57,04M","2,78%"
"29.09.2020","1,080","1,090","1,110","1,080","49,93M","-0,92%"
"28.09.2020","1,090","1,110","1,120","1,090","45,04M","-2,68%"
"25.09.2020","1,120","1,130","1,140","1,110","78,37M","0,90%"
"24.09.2020","1,110","1,070","1,130","1,070","124,66M","1,83%"
"23.09.2020","1,090","1,060","1,090","1,050","79,36M","3,81%"
"22.09.2020","1,050","1,050","1,060","1,040","36,54M","0,00%"
"21.09.2020","1,050","1,080","1,090","1,040","80,06M","-2,78%"
"18.09.2020","1,080","1,090","1,090","1,070","31,78M","0,00%"
"17.09.2020","1,080","1,090","1,090","1,070","96,40M","-0,92%"
"16.09.2020","1,090","1,090","1,100","1,080","23,21M","0,00%"
"15.09.2020","1,090","1,100","1,110","1,080","103,03M","0,00%"
"14.09.2020","1,090","1,100","1,100","1,090","23,53M","-0,91%"
"11.09.2020","1,100","1,100","1,110","1,090","49,41M","0,92%"
"10.09.2020","1,090","1,090","1,110","1,080","132,20M","0,93%"
"09.09.2020","1,080","1,080","1,090","1,080","15,66M","0,00%"
"08.09.2020","1,080","1,100","1,110","1,080","45,39M","-1,82%"
"07.09.2020","1,100","1,100","1,110","1,090","35,35M","0,00%"
"04.09.2020","1,100","1,090","1,100","1,070","63,91M","0,92%"
"03.09.2020","1,090","1,110","1,110","1,080","64,29M","-1,80%"
"02.09.2020","1,110","1,110","1,120","1,100","66,04M","0,00%"
"01.09.2020","1,110","1,090","1,110","1,080","99,47M","1,83%"
"31.08.2020","1,090","1,100","1,110","1,080","75,16M","-0,91%"
"28.08.2020","1,100","1,120","1,130","1,100","79,77M","-1,79%"
"27.08.2020","1,120","1,120","1,130","1,110","98,85M","0,90%"
"26.08.2020","1,110","1,100","1,120","1,090","67,39M","0,00%"
"25.08.2020","1,110","1,140","1,140","1,100","98,05M","-1,77%"
"24.08.2020","1,130","1,120","1,130","1,110","89,89M","0,89%"
"21.08.2020","1,120","1,160","1,160","1,120","202,63M","-1,75%"
"20.08.2020","1,140","1,120","1,150","1,100","149,10M","1,79%"
"19.08.2020","1,120","1,110","1,140","1,110","111,57M","0,90%"
"18.08.2020","1,110","1,090","1,110","1,080","104,72M","1,83%"
"17.08.2020","1,090","1,100","1,100","1,070","106,13M","0,00%"
"14.08.2020","1,090","1,110","1,110","1,080","172,15M","-2,68%"
"13.08.2020","1,120","1,130","1,140","1,100","165,61M","0,00%"
"12.08.2020","1,120","1,130","1,150","1,110","192,27M","-0,88%"
"11.08.2020","1,130","1,080","1,140","1,080","143,38M","5,61%"
"10.08.2020","1,070","1,060","1,090","1,040","151,22M","0,00%"
"07.08.2020","1,070","1,040","1,070","0,970","246,53M","2,88%"
"06.08.2020","1,040","1,120","1,120","1,040","202,08M","-7,14%"
"05.08.2020","1,120","1,120","1,130","1,100","191,52M","1,82%"
"04.08.2020","1,100","1,160","1,160","1,100","243,34M","-2,65%"
"30.07.2020","1,130","1,150","1,150","1,130","62,71M","-1,74%"
"29.07.2020","1,150","1,180","1,190","1,120","277,86M","-1,71%"
"28.07.2020","1,170","1,240","1,240","1,170","189,11M","-5,65%"
"27.07.2020","1,240","1,260","1,270","1,240","92,58M","-0,80%"
"24.07.2020","1,250","1,250","1,260","1,240","137,79M","-0,79%"
"23.07.2020","1,260","1,250","1,270","1,250","132,96M","0,80%"
"22.07.2020","1,250","1,260","1,280","1,240","134,28M","-0,79%"
"21.07.2020","1,260","1,270","1,300","1,250","279,86M","-0,79%"
