"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","2,220","2,250","2,280","2,190","184,16M","-1,33%"
"22.10.2020","2,250","2,390","2,400","2,240","337,47M","-5,46%"
"21.10.2020","2,380","2,420","2,430","2,340","249,06M","0,00%"
"20.10.2020","2,380","2,310","2,390","2,310","290,45M","3,03%"
"19.10.2020","2,310","2,230","2,340","2,220","255,52M","4,52%"
"16.10.2020","2,210","2,150","2,210","2,140","219,37M","3,27%"
"15.10.2020","2,140","2,170","2,180","2,130","93,40M","-1,38%"
"14.10.2020","2,170","2,160","2,180","2,150","113,85M","0,46%"
"13.10.2020","2,160","2,180","2,190","2,150","137,68M","-0,92%"
"12.10.2020","2,180","2,160","2,190","2,150","142,93M","1,40%"
"09.10.2020","2,150","2,120","2,150","2,120","105,03M","1,42%"
"08.10.2020","2,120","2,140","2,150","2,100","110,83M","-0,93%"
"07.10.2020","2,140","2,130","2,140","2,110","118,78M","0,00%"
"06.10.2020","2,140","2,150","2,160","2,130","153,02M","-0,47%"
"05.10.2020","2,150","2,140","2,150","2,130","60,12M","0,94%"
"02.10.2020","2,130","2,130","2,150","2,120","110,72M","-0,47%"
"01.10.2020","2,140","2,140","2,160","2,120","131,38M","0,47%"
"30.09.2020","2,130","2,090","2,130","2,080","155,82M","3,40%"
"29.09.2020","2,060","2,080","2,100","2,030","139,64M","-0,48%"
"28.09.2020","2,070","2,110","2,130","2,060","153,39M","-1,90%"
"25.09.2020","2,110","2,160","2,180","2,110","232,00M","0,00%"
"24.09.2020","2,110","2,010","2,130","2,010","383,03M","4,46%"
"23.09.2020","2,020","2,010","2,040","2,000","123,69M","1,00%"
"22.09.2020","2,000","1,980","2,010","1,970","187,14M","1,52%"
"21.09.2020","1,970","2,030","2,040","1,970","120,93M","-2,96%"
"18.09.2020","2,030","2,040","2,050","2,030","42,46M","-0,49%"
"17.09.2020","2,040","2,020","2,040","2,010","109,41M","0,99%"
"16.09.2020","2,020","2,040","2,050","2,020","46,69M","-0,98%"
"15.09.2020","2,040","2,040","2,060","2,030","60,14M","0,00%"
"14.09.2020","2,040","2,050","2,070","2,030","87,85M","-0,49%"
"11.09.2020","2,050","2,060","2,080","2,050","59,85M","-0,49%"
"10.09.2020","2,060","2,060","2,100","2,040","155,47M","0,49%"
"09.09.2020","2,050","2,030","2,050","2,030","66,83M","0,49%"
"08.09.2020","2,040","2,050","2,060","2,030","58,60M","0,00%"
"07.09.2020","2,040","2,040","2,060","2,030","85,37M","0,00%"
"04.09.2020","2,040","2,020","2,050","2,010","114,92M","0,99%"
"03.09.2020","2,020","2,060","2,070","2,010","168,28M","-1,46%"
"02.09.2020","2,050","2,060","2,080","2,030","163,26M","-0,49%"
"01.09.2020","2,060","2,030","2,070","2,010","113,13M","1,48%"
"31.08.2020","2,030","2,040","2,060","2,020","126,33M","-0,98%"
"28.08.2020","2,050","2,100","2,100","2,040","136,50M","-1,91%"
"27.08.2020","2,090","2,090","2,130","2,080","194,68M","0,97%"
"26.08.2020","2,070","2,050","2,090","2,040","241,41M","0,49%"
"25.08.2020","2,060","2,150","2,170","2,040","375,64M","-3,74%"
"24.08.2020","2,140","2,160","2,160","2,130","59,92M","-0,47%"
"21.08.2020","2,150","2,170","2,230","2,130","327,25M","-0,46%"
"20.08.2020","2,160","2,160","2,170","2,130","159,16M","-0,92%"
"19.08.2020","2,180","2,140","2,180","2,130","146,22M","2,35%"
"18.08.2020","2,130","2,100","2,160","2,090","119,33M","1,43%"
"17.08.2020","2,100","2,070","2,130","2,040","170,62M","1,45%"
"14.08.2020","2,070","2,100","2,100","2,050","117,47M","-1,90%"
"13.08.2020","2,110","2,150","2,180","2,110","147,25M","-1,40%"
"12.08.2020","2,140","2,160","2,170","2,120","148,92M","-0,47%"
"11.08.2020","2,150","2,050","2,160","2,040","247,84M","5,39%"
"10.08.2020","2,040","2,030","2,060","2,010","126,84M","-0,49%"
"07.08.2020","2,050","2,050","2,080","1,950","233,35M","-0,49%"
"06.08.2020","2,060","2,110","2,140","2,010","242,76M","-2,37%"
"05.08.2020","2,110","2,110","2,150","2,050","181,26M","0,96%"
"04.08.2020","2,090","2,170","2,190","2,050","178,42M","-2,34%"
"30.07.2020","2,140","2,190","2,210","2,140","74,11M","-1,83%"
"29.07.2020","2,180","2,260","2,280","2,120","172,82M","-3,11%"
"28.07.2020","2,250","2,330","2,340","2,240","163,99M","-4,26%"
"27.07.2020","2,350","2,370","2,370","2,340","96,45M","-0,42%"
"24.07.2020","2,360","2,330","2,360","2,330","96,03M","0,43%"
"23.07.2020","2,350","2,350","2,370","2,340","82,83M","0,43%"
"22.07.2020","2,340","2,370","2,380","2,340","103,80M","-0,85%"
"21.07.2020","2,360","2,370","2,400","2,340","169,75M","0,43%"
"20.07.2020","2,350","2,340","2,370","2,330","91,38M","0,00%"
"17.07.2020","2,350","2,380","2,380","2,350","86,78M","-0,84%"
"16.07.2020","2,370","2,380","2,420","2,370","179,39M","0,42%"
"14.07.2020","2,360","2,380","2,410","2,340","168,75M","-0,84%"
"13.07.2020","2,380","2,320","2,390","2,310","244,63M","3,93%"
"10.07.2020","2,290","2,320","2,330","2,250","133,54M","-1,72%"
"09.07.2020","2,330","2,390","2,400","2,330","120,60M","-2,10%"
"08.07.2020","2,380","2,400","2,420","2,360","121,89M","-0,83%"
"07.07.2020","2,400","2,400","2,430","2,390","130,50M","0,42%"
"06.07.2020","2,390","2,380","2,400","2,370","92,94M","1,70%"
"03.07.2020","2,350","2,410","2,410","2,340","143,41M","-2,08%"
"02.07.2020","2,400","2,400","2,440","2,390","115,63M","0,42%"
"01.07.2020","2,390","2,450","2,470","2,370","182,52M","-2,05%"
"30.06.2020","2,440","2,480","2,480","2,430","127,31M","-0,41%"
"29.06.2020","2,450","2,380","2,470","2,370","161,69M","2,94%"
"26.06.2020","2,380","2,390","2,410","2,370","49,15M","0,42%"
"25.06.2020","2,370","2,360","2,400","2,350","112,09M","0,42%"
"24.06.2020","2,360","2,420","2,420","2,360","98,37M","-2,48%"
"23.06.2020","2,420","2,460","2,460","2,420","109,87M","-0,82%"
"22.06.2020","2,440","2,430","2,480","2,430","217,49M","2,09%"
"19.06.2020","2,390","2,360","2,410","2,340","222,68M","2,14%"
"18.06.2020","2,340","2,350","2,370","2,330","104,28M","0,00%"
"17.06.2020","2,340","2,360","2,380","2,340","105,58M","-0,85%"
"16.06.2020","2,360","2,360","2,380","2,340","124,27M","2,16%"
"15.06.2020","2,310","2,340","2,360","2,310","105,93M","-2,53%"
"12.06.2020","2,370","2,350","2,380","2,340","83,17M","0,42%"
"11.06.2020","2,360","2,370","2,410","2,360","129,80M","-1,67%"
"10.06.2020","2,400","2,400","2,420","2,390","92,23M","0,42%"
"09.06.2020","2,390","2,420","2,430","2,370","116,33M","-1,24%"
"08.06.2020","2,420","2,440","2,460","2,400","93,40M","-0,41%"
"05.06.2020","2,430","2,430","2,440","2,400","102,91M","0,41%"
"04.06.2020","2,420","2,440","2,450","2,400","87,54M","-0,82%"
"03.06.2020","2,440","2,430","2,460","2,420","134,21M","0,83%"
"02.06.2020","2,420","2,380","2,430","2,370","171,23M","1,68%"
"01.06.2020","2,380","2,320","2,400","2,290","171,72M","2,59%"
"29.05.2020","2,320","2,220","2,320","2,210","535,60M","4,50%"
"28.05.2020","2,220","2,230","2,240","2,200","178,97M","0,45%"
"27.05.2020","2,210","2,220","2,240","2,200","182,55M","0,91%"
"22.05.2020","2,190","2,180","2,200","2,170","79,95M","0,00%"
"21.05.2020","2,190","2,180","2,200","2,170","66,17M","0,46%"
"20.05.2020","2,180","2,190","2,200","2,170","97,60M","0,46%"
"18.05.2020","2,170","2,180","2,190","2,170","74,81M","0,46%"
"15.05.2020","2,160","2,180","2,200","2,150","100,65M","0,47%"
"14.05.2020","2,150","2,180","2,190","2,120","122,11M","-1,83%"
"13.05.2020","2,190","2,200","2,230","2,180","150,38M","0,46%"
"12.05.2020","2,180","2,150","2,200","2,150","131,48M","1,40%"
"11.05.2020","2,150","2,120","2,160","2,100","151,38M","2,38%"
"08.05.2020","2,100","2,150","2,190","2,090","203,27M","-1,41%"
"07.05.2020","2,130","2,110","2,160","2,100","156,53M","0,95%"
"06.05.2020","2,110","2,070","2,110","2,050","134,69M","1,93%"
"05.05.2020","2,070","2,070","2,080","2,040","92,58M","0,98%"
"04.05.2020","2,050","2,060","2,080","2,030","107,79M","-2,38%"
"30.04.2020","2,100","2,140","2,140","2,050","164,30M","-1,41%"
"29.04.2020","2,130","2,120","2,140","2,090","89,90M","1,43%"
"28.04.2020","2,100","2,140","2,150","2,100","111,91M","-0,94%"
"27.04.2020","2,120","2,040","2,140","2,040","170,87M","5,47%"
"24.04.2020","2,010","2,000","2,030","1,990","94,12M","0,50%"
"22.04.2020","2,000","2,000","2,020","2,000","143,11M","0,50%"
"21.04.2020","1,990","2,000","2,000","1,970","107,37M","-1,00%"
"20.04.2020","2,010","2,010","2,040","1,980","132,66M","0,00%"
"17.04.2020","2,010","2,020","2,030","1,990","162,66M","3,08%"
"16.04.2020","1,950","1,950","1,970","1,920","161,88M","0,52%"
"15.04.2020","1,940","2,040","2,040","1,930","205,52M","-4,90%"
"14.04.2020","2,040","2,050","2,070","2,020","199,59M","0,99%"
"13.04.2020","2,020","2,000","2,060","1,990","187,90M","-1,94%"
"10.04.2020","2,060","2,030","2,100","1,990","246,82M","1,48%"
"09.04.2020","2,030","1,910","2,050","1,910","352,50M","7,41%"
"08.04.2020","1,890","1,890","1,900","1,860","102,27M","0,00%"
"07.04.2020","1,890","1,900","1,940","1,890","262,65M","1,07%"
"06.04.2020","1,870","1,850","1,880","1,830","148,67M","2,75%"
"03.04.2020","1,820","1,850","1,850","1,810","106,56M","-1,62%"
"02.04.2020","1,850","1,890","1,890","1,830","152,72M","-1,07%"
"01.04.2020","1,870","1,860","1,900","1,850","147,61M","-1,06%"
"31.03.2020","1,890","1,900","1,920","1,870","145,20M","1,07%"
"30.03.2020","1,870","1,890","1,910","1,860","101,39M","-0,53%"
"27.03.2020","1,880","1,930","1,960","1,860","131,44M","-3,09%"
"26.03.2020","1,940","1,860","1,960","1,850","214,63M","3,74%"
"25.03.2020","1,870","1,940","1,970","1,860","209,90M","-1,58%"
"24.03.2020","1,900","1,840","1,920","1,830","171,85M","7,34%"
"23.03.2020","1,770","1,810","1,860","1,740","198,64M","-5,85%"
"20.03.2020","1,880","1,950","1,970","1,880","155,07M","-1,05%"
"19.03.2020","1,900","1,960","2,030","1,890","227,34M","-4,04%"
"18.03.2020","1,980","1,990","2,090","1,970","155,27M","-3,41%"
"17.03.2020","2,050","2,060","2,080","1,910","198,53M","0,99%"
"16.03.2020","2,030","2,080","2,160","1,990","125,19M","-8,14%"
"13.03.2020","2,210","2,150","2,310","2,070","166,82M","3,76%"
"12.03.2020","2,130","2,230","2,270","2,120","98,56M","-7,39%"
"11.03.2020","2,300","2,250","2,330","2,220","122,54M","1,77%"
"10.03.2020","2,260","2,350","2,420","2,250","177,47M","-1,31%"
"09.03.2020","2,290","2,350","2,370","2,220","122,91M","-5,76%"
"06.03.2020","2,430","2,500","2,540","2,380","144,70M","-3,95%"
"05.03.2020","2,530","2,600","2,630","2,530","145,68M","-1,17%"
"04.03.2020","2,560","2,560","2,640","2,530","143,94M","0,00%"
"03.03.2020","2,560","2,450","2,560","2,440","153,31M","7,11%"
"02.03.2020","2,390","2,360","2,430","2,330","160,79M","4,37%"
