"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","6,600","6,690","6,710","6,500","14,35M","-0,45%"
"22.10.2020","6,630","6,850","6,870","6,630","21,48M","-2,79%"
"21.10.2020","6,820","6,740","6,870","6,730","19,02M","1,79%"
"20.10.2020","6,700","6,720","6,830","6,650","10,22M","-0,30%"
"19.10.2020","6,720","6,800","6,830","6,670","14,77M","-1,90%"
"16.10.2020","6,850","7,030","7,060","6,850","13,13M","-1,01%"
"15.10.2020","6,920","7,070","7,100","6,800","26,15M","-2,12%"
"14.10.2020","7,070","6,640","7,200","6,630","53,09M","6,96%"
"13.10.2020","6,610","6,800","6,810","6,610","13,54M","-2,65%"
"12.10.2020","6,790","6,710","7,010","6,640","42,48M","2,57%"
"09.10.2020","6,620","6,520","6,670","6,370","24,42M","1,85%"
"08.10.2020","6,500","6,710","6,740","6,450","14,23M","-2,40%"
"07.10.2020","6,660","6,720","6,850","6,640","19,02M","-1,04%"
"06.10.2020","6,730","6,700","6,930","6,660","34,72M","1,66%"
"05.10.2020","6,620","6,500","6,680","6,450","30,48M","3,12%"
"02.10.2020","6,420","6,350","6,640","6,350","27,92M","1,42%"
"01.10.2020","6,330","6,310","6,490","6,170","31,21M","1,12%"
"30.09.2020","6,260","6,050","6,320","6,050","20,24M","4,33%"
"29.09.2020","6,000","6,030","6,200","5,870","29,75M","0,00%"
"28.09.2020","6,000","5,840","6,040","5,800","21,73M","3,27%"
"25.09.2020","5,810","5,820","5,920","5,750","14,92M","0,52%"
"24.09.2020","5,780","5,800","5,840","5,760","12,82M","-0,86%"
"23.09.2020","5,830","5,750","5,890","5,730","16,12M","2,28%"
"22.09.2020","5,700","5,750","5,830","5,650","17,77M","-0,52%"
"21.09.2020","5,730","5,870","6,020","5,680","25,90M","-2,39%"
"18.09.2020","5,870","5,930","6,000","5,850","14,68M","0,00%"
"17.09.2020","5,870","5,590","5,960","5,570","28,72M","5,01%"
"16.09.2020","5,590","5,590","5,750","5,560","16,72M","0,72%"
"15.09.2020","5,550","5,580","5,660","5,460","14,84M","0,36%"
"14.09.2020","5,530","5,490","5,620","5,480","10,50M","1,47%"
"11.09.2020","5,450","5,480","5,580","5,400","13,15M","-0,55%"
"10.09.2020","5,480","5,700","5,700","5,450","22,85M","-4,70%"
"09.09.2020","5,750","5,310","5,820","5,300","42,29M","8,08%"
"08.09.2020","5,320","5,470","5,480","5,250","10,53M","-1,48%"
"07.09.2020","5,400","5,300","5,400","5,290","5,16M","2,86%"
"04.09.2020","5,250","5,310","5,390","5,250","9,16M","-1,32%"
"03.09.2020","5,320","5,540","5,570","5,300","14,14M","-3,97%"
"02.09.2020","5,540","5,260","5,680","5,240","35,91M","5,93%"
"01.09.2020","5,230","5,150","5,250","5,050","9,39M","1,95%"
"31.08.2020","5,130","5,300","5,320","5,100","9,25M","-2,84%"
"28.08.2020","5,280","5,360","5,490","5,220","23,34M","-1,31%"
"27.08.2020","5,350","5,070","5,350","5,070","13,69M","5,94%"
"26.08.2020","5,050","4,850","5,130","4,850","24,99M","3,48%"
"25.08.2020","4,880","5,130","5,230","4,880","12,94M","-4,50%"
"24.08.2020","5,110","5,340","5,380","5,100","16,03M","-3,77%"
"21.08.2020","5,310","6,150","6,150","5,310","50,74M","-9,85%"
"20.08.2020","5,890","5,530","5,930","5,500","43,61M","8,47%"
"19.08.2020","5,430","5,020","5,460","4,980","37,71M","9,26%"
"18.08.2020","4,970","4,970","5,150","4,900","16,61M","0,00%"
"17.08.2020","4,970","5,160","5,220","4,930","20,19M","-2,36%"
"14.08.2020","5,090","4,920","5,090","4,850","30,64M","9,94%"
"13.08.2020","4,630","4,750","4,780","4,590","6,52M","-1,91%"
"12.08.2020","4,720","4,790","4,800","4,670","5,25M","-1,05%"
"11.08.2020","4,770","4,690","4,840","4,670","9,27M","3,02%"
"10.08.2020","4,630","4,770","4,820","4,600","9,55M","-3,54%"
"07.08.2020","4,800","4,490","4,860","4,340","15,28M","6,43%"
"06.08.2020","4,510","4,760","4,870","4,510","9,07M","-4,85%"
"05.08.2020","4,740","5,050","5,100","4,710","7,92M","-5,77%"
"04.08.2020","5,030","5,550","5,680","4,940","9,66M","-8,21%"
"30.07.2020","5,480","5,480","5,590","5,440","1,62M","-0,54%"
"29.07.2020","5,510","5,460","5,710","5,240","6,91M","2,61%"
"28.07.2020","5,370","5,680","5,740","5,370","5,77M","-5,12%"
"27.07.2020","5,660","5,710","5,800","5,650","5,80M","0,53%"
"24.07.2020","5,630","5,700","5,720","5,570","5,03M","-1,75%"
"23.07.2020","5,730","5,720","5,830","5,710","6,52M","0,17%"
"22.07.2020","5,720","5,710","5,850","5,600","6,61M","0,88%"
"21.07.2020","5,670","5,840","6,010","5,660","18,41M","-2,41%"
"20.07.2020","5,810","5,870","5,910","5,790","5,86M","-1,02%"
"17.07.2020","5,870","5,960","5,960","5,820","4,77M","-0,84%"
"16.07.2020","5,920","5,850","6,000","5,800","8,74M","2,96%"
"14.07.2020","5,750","5,880","5,880","5,670","5,86M","-1,37%"
"13.07.2020","5,830","5,790","5,890","5,690","11,20M","3,74%"
"10.07.2020","5,620","5,600","5,700","5,320","6,67M","0,72%"
"09.07.2020","5,580","5,810","5,870","5,530","6,30M","-3,46%"
"08.07.2020","5,780","5,990","6,040","5,740","12,19M","-3,51%"
"07.07.2020","5,990","5,870","6,220","5,780","30,67M","2,92%"
"06.07.2020","5,820","5,720","5,870","5,680","15,11M","3,93%"
"03.07.2020","5,600","5,700","5,800","5,580","8,23M","-1,41%"
"02.07.2020","5,680","5,690","5,810","5,610","17,37M","0,18%"
"01.07.2020","5,670","5,460","5,780","5,390","30,80M","3,85%"
"30.06.2020","5,460","5,390","5,570","5,340","29,83M","2,44%"
"29.06.2020","5,330","5,030","5,470","5,000","37,28M","6,60%"
"26.06.2020","5,000","5,050","5,100","4,990","14,70M","-0,40%"
"25.06.2020","5,020","4,800","5,120","4,760","23,57M","4,15%"
"24.06.2020","4,820","4,880","4,920","4,810","6,84M","-1,03%"
"23.06.2020","4,870","4,910","4,960","4,830","10,20M","-0,61%"
"22.06.2020","4,900","5,050","5,090","4,890","8,75M","-1,61%"
"19.06.2020","4,980","5,100","5,190","4,970","21,18M","0,00%"
"18.06.2020","4,980","4,890","5,150","4,810","24,61M","2,68%"
"17.06.2020","4,850","4,890","4,940","4,800","10,00M","-0,41%"
"16.06.2020","4,870","4,880","4,990","4,840","17,20M","0,62%"
"15.06.2020","4,840","4,770","4,890","4,740","8,15M","1,04%"
"12.06.2020","4,790","4,600","4,810","4,560","11,93M","3,46%"
"11.06.2020","4,630","4,660","4,770","4,620","6,92M","-0,86%"
"10.06.2020","4,670","4,630","4,730","4,600","5,89M","1,30%"
"09.06.2020","4,610","4,680","4,690","4,500","4,88M","-0,86%"
"08.06.2020","4,650","4,770","4,810","4,650","5,04M","-2,31%"
"05.06.2020","4,760","4,830","4,880","4,750","8,50M","-0,63%"
"04.06.2020","4,790","4,810","4,910","4,770","10,20M","0,21%"
