"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","3,220","3,360","3,430","3,180","115,02M","-4,45%"
"22.10.2020","3,370","3,430","3,450","3,310","86,91M","-1,46%"
"21.10.2020","3,420","3,420","3,570","3,370","241,77M","0,59%"
"20.10.2020","3,400","3,490","3,510","3,370","120,75M","-2,30%"
"19.10.2020","3,480","3,560","3,620","3,470","115,48M","-1,97%"
"16.10.2020","3,550","3,550","3,640","3,540","111,03M","0,85%"
"15.10.2020","3,520","3,630","3,680","3,520","148,77M","-3,03%"
"14.10.2020","3,630","3,570","3,860","3,460","576,90M","2,25%"
"13.10.2020","3,550","3,580","3,690","3,480","331,97M","1,72%"
"12.10.2020","3,490","3,230","3,490","3,230","362,36M","9,75%"
"09.10.2020","3,180","3,170","3,240","3,120","120,46M","0,95%"
"08.10.2020","3,150","3,250","3,340","3,120","178,10M","-2,48%"
"07.10.2020","3,230","3,270","3,460","3,220","449,01M","-1,22%"
"06.10.2020","3,270","3,030","3,320","3,020","511,40M","8,28%"
"05.10.2020","3,020","2,940","3,020","2,910","146,34M","3,42%"
"02.10.2020","2,920","2,780","2,920","2,760","200,33M","4,66%"
"01.10.2020","2,790","2,860","2,860","2,770","125,47M","-1,76%"
"30.09.2020","2,840","2,750","2,860","2,750","162,12M","4,41%"
"29.09.2020","2,720","2,730","2,810","2,690","238,44M","0,00%"
"28.09.2020","2,720","2,700","2,740","2,650","212,26M","1,12%"
"25.09.2020","2,690","2,680","2,720","2,630","250,90M","2,67%"
"24.09.2020","2,620","2,620","2,640","2,600","105,73M","-0,38%"
"23.09.2020","2,630","2,610","2,660","2,600","116,68M","1,54%"
"22.09.2020","2,590","2,510","2,650","2,460","234,17M","4,44%"
"21.09.2020","2,480","2,600","2,620","2,470","73,21M","-4,25%"
"18.09.2020","2,590","2,640","2,650","2,590","98,61M","-0,77%"
"17.09.2020","2,610","2,550","2,610","2,540","83,58M","1,95%"
"16.09.2020","2,560","2,620","2,630","2,560","68,84M","-1,54%"
"15.09.2020","2,600","2,650","2,680","2,540","126,85M","-1,14%"
"14.09.2020","2,630","2,650","2,710","2,610","183,32M","-0,38%"
"11.09.2020","2,640","2,530","2,660","2,510","186,93M","4,76%"
"10.09.2020","2,520","2,620","2,620","2,520","108,01M","-3,82%"
"09.09.2020","2,620","2,500","2,660","2,480","315,75M","4,80%"
"08.09.2020","2,500","2,550","2,570","2,480","94,97M","-1,19%"
"07.09.2020","2,530","2,530","2,560","2,510","52,92M","0,80%"
"04.09.2020","2,510","2,440","2,520","2,410","60,26M","2,45%"
"03.09.2020","2,450","2,570","2,590","2,450","63,92M","-4,30%"
"02.09.2020","2,560","2,540","2,600","2,530","86,64M","0,39%"
"01.09.2020","2,550","2,650","2,670","2,500","80,93M","-3,04%"
"31.08.2020","2,630","2,540","2,630","2,520","40,69M","3,95%"
"28.08.2020","2,530","2,460","2,530","2,410","18,74M","2,85%"
"27.08.2020","2,460","2,360","2,470","2,350","16,14M","5,13%"
"26.08.2020","2,340","2,340","2,370","2,280","8,69M","0,00%"
"25.08.2020","2,340","2,390","2,410","2,300","11,10M","-1,68%"
"24.08.2020","2,380","2,390","2,420","2,330","8,40M","0,00%"
"21.08.2020","2,380","2,520","2,540","2,310","21,59M","-5,56%"
"20.08.2020","2,520","2,480","2,580","2,410","23,51M","0,40%"
"19.08.2020","2,510","2,320","2,520","2,280","27,12M","8,66%"
"18.08.2020","2,310","2,270","2,320","2,250","9,72M","1,76%"
"17.08.2020","2,270","2,290","2,350","2,180","17,87M","-4,62%"
"14.08.2020","2,380","2,410","2,460","2,370","95,87M","-2,06%"
"13.08.2020","2,430","2,550","2,600","2,430","181,51M","-3,95%"
"12.08.2020","2,530","2,380","2,550","2,300","271,58M","6,75%"
"11.08.2020","2,370","2,270","2,380","2,270","153,88M","5,33%"
"10.08.2020","2,250","2,160","2,280","2,110","137,84M","1,35%"
"07.08.2020","2,220","2,100","2,220","1,910","245,88M","4,72%"
"06.08.2020","2,120","2,330","2,460","2,110","267,64M","-9,40%"
"05.08.2020","2,340","2,380","2,390","2,270","129,01M","-0,85%"
"04.08.2020","2,360","2,560","2,580","2,270","114,78M","-6,35%"
"30.07.2020","2,520","2,510","2,580","2,480","52,54M","0,40%"
"29.07.2020","2,510","2,520","2,550","2,410","133,36M","-0,40%"
"28.07.2020","2,520","2,720","2,730","2,500","101,73M","-7,35%"
"27.07.2020","2,720","2,740","2,770","2,710","80,66M","0,37%"
"24.07.2020","2,710","2,730","2,760","2,690","88,95M","-1,81%"
"23.07.2020","2,760","2,720","2,880","2,700","300,24M","2,22%"
"22.07.2020","2,700","2,770","2,800","2,670","135,98M","-1,82%"
"21.07.2020","2,750","2,900","2,930","2,750","236,87M","-3,85%"
"20.07.2020","2,860","2,870","2,930","2,830","132,01M","-0,35%"
"17.07.2020","2,870","2,900","2,930","2,850","122,50M","-0,35%"
"16.07.2020","2,880","2,900","2,990","2,850","331,31M","1,05%"
"14.07.2020","2,850","2,930","2,970","2,830","266,52M","-3,39%"
"13.07.2020","2,950","2,790","2,950","2,780","299,81M","9,67%"
"10.07.2020","2,690","2,630","2,710","2,520","297,32M","2,28%"
"09.07.2020","2,630","2,750","2,830","2,560","431,75M","-2,95%"
"08.07.2020","2,710","2,880","2,940","2,710","197,17M","-5,24%"
"07.07.2020","2,860","2,850","3,030","2,710","551,65M","0,70%"
"06.07.2020","2,840","2,680","2,850","2,660","403,39M","8,40%"
"03.07.2020","2,620","2,560","2,680","2,530","319,59M","2,75%"
"02.07.2020","2,550","2,550","2,600","2,530","148,90M","0,79%"
"01.07.2020","2,530","2,500","2,630","2,480","417,34M","2,02%"
"30.06.2020","2,480","2,470","2,540","2,440","234,98M","0,81%"
"29.06.2020","2,460","2,510","2,570","2,420","451,82M","-1,60%"
"26.06.2020","2,500","2,310","2,500","2,300","457,17M","9,65%"
"25.06.2020","2,280","2,230","2,340","2,180","422,07M","3,17%"
"24.06.2020","2,210","2,180","2,250","2,170","278,69M","1,84%"
"23.06.2020","2,170","2,140","2,210","2,130","311,79M","2,36%"
"22.06.2020","2,120","2,140","2,160","2,110","113,06M","0,47%"
"19.06.2020","2,110","2,160","2,170","2,100","152,66M","-0,94%"
"18.06.2020","2,130","2,140","2,180","2,110","111,50M","0,00%"
"17.06.2020","2,130","2,170","2,220","2,120","173,12M","-0,93%"
"16.06.2020","2,150","2,070","2,240","2,060","449,25M","5,39%"
"15.06.2020","2,040","2,010","2,060","2,000","106,22M","0,49%"
"12.06.2020","2,030","2,020","2,070","2,000","115,59M","0,00%"
"11.06.2020","2,030","2,010","2,100","2,000","198,57M","0,50%"
"10.06.2020","2,020","2,010","2,070","2,000","163,62M","0,00%"
"09.06.2020","2,020","2,010","2,030","1,970","72,17M","0,50%"
"08.06.2020","2,010","2,030","2,070","2,000","60,05M","-0,99%"
"05.06.2020","2,030","2,050","2,070","2,000","74,60M","-0,49%"
"04.06.2020","2,040","2,090","2,090","2,030","95,88M","-1,92%"
"03.06.2020","2,080","2,000","2,110","1,980","207,88M","4,52%"
"02.06.2020","1,990","2,010","2,030","1,970","84,42M","-0,50%"
"01.06.2020","2,000","1,970","2,040","1,960","159,04M","3,09%"
"29.05.2020","1,940","1,920","1,980","1,890","138,18M","1,57%"
"28.05.2020","1,910","1,920","1,930","1,890","93,58M","0,53%"
"27.05.2020","1,900","1,900","1,950","1,890","124,74M","1,60%"
"22.05.2020","1,870","1,860","1,890","1,840","42,91M","0,54%"
"21.05.2020","1,860","1,890","1,920","1,860","81,62M","-1,06%"
"20.05.2020","1,880","1,870","1,910","1,860","90,55M","1,62%"
"18.05.2020","1,850","1,840","1,880","1,840","64,51M","1,65%"
"15.05.2020","1,820","1,820","1,840","1,810","50,26M","1,68%"
"14.05.2020","1,790","1,850","1,870","1,770","100,09M","-3,24%"
"13.05.2020","1,850","1,860","1,910","1,850","122,14M","0,54%"
"12.05.2020","1,840","1,820","1,860","1,820","124,92M","1,66%"
"11.05.2020","1,810","1,790","1,820","1,760","86,50M","2,26%"
"08.05.2020","1,770","1,840","1,860","1,770","54,02M","-2,75%"
"07.05.2020","1,820","1,830","1,860","1,810","85,08M","0,00%"
"06.05.2020","1,820","1,810","1,880","1,800","121,90M","0,55%"
"05.05.2020","1,810","1,830","1,840","1,780","115,41M","0,56%"
"04.05.2020","1,800","1,750","1,840","1,720","150,98M","0,56%"
"30.04.2020","1,790","1,860","1,890","1,740","152,23M","-3,24%"
"29.04.2020","1,850","1,740","1,870","1,730","227,83M","6,94%"
"28.04.2020","1,730","1,670","1,780","1,640","288,81M","4,22%"
"27.04.2020","1,660","1,650","1,690","1,630","103,78M","3,11%"
"24.04.2020","1,610","1,620","1,650","1,580","94,84M","0,00%"
"22.04.2020","1,610","1,640","1,670","1,600","110,04M","-0,62%"
"21.04.2020","1,620","1,610","1,710","1,580","299,45M","0,62%"
"20.04.2020","1,610","1,480","1,610","1,470","232,13M","9,52%"
"17.04.2020","1,470","1,500","1,500","1,460","57,33M","0,68%"
"16.04.2020","1,460","1,440","1,470","1,400","60,17M","2,82%"
"15.04.2020","1,420","1,500","1,510","1,400","75,14M","-4,70%"
"14.04.2020","1,490","1,490","1,520","1,480","89,21M","0,68%"
"13.04.2020","1,480","1,420","1,500","1,410","132,78M","3,50%"
"10.04.2020","1,430","1,440","1,450","1,420","59,14M","-1,38%"
"09.04.2020","1,450","1,430","1,460","1,390","90,83M","2,84%"
"08.04.2020","1,410","1,420","1,430","1,350","73,97M","-0,70%"
"07.04.2020","1,420","1,470","1,480","1,410","116,88M","-1,39%"
"06.04.2020","1,440","1,400","1,440","1,380","75,82M","5,88%"
"03.04.2020","1,360","1,370","1,390","1,350","49,60M","0,00%"
"02.04.2020","1,360","1,430","1,440","1,350","111,29M","-2,86%"
"01.04.2020","1,400","1,320","1,460","1,310","205,29M","2,94%"
"31.03.2020","1,360","1,320","1,360","1,300","90,02M","6,25%"
"30.03.2020","1,280","1,270","1,300","1,260","45,15M","0,79%"
"27.03.2020","1,270","1,330","1,380","1,260","145,14M","-4,51%"
"26.03.2020","1,330","1,240","1,340","1,230","138,95M","6,40%"
"25.03.2020","1,250","1,310","1,340","1,240","152,23M","-1,57%"
"24.03.2020","1,270","1,210","1,270","1,190","96,38M","9,48%"
"23.03.2020","1,160","1,160","1,190","1,130","92,05M","-4,92%"
"20.03.2020","1,220","1,220","1,260","1,200","111,10M","3,39%"
"19.03.2020","1,180","1,200","1,220","1,150","109,82M","-1,67%"
"18.03.2020","1,200","1,110","1,250","1,100","122,72M","1,69%"
"17.03.2020","1,180","1,260","1,280","1,130","126,99M","-5,60%"
"16.03.2020","1,250","1,280","1,320","1,250","81,43M","-9,42%"
"13.03.2020","1,380","1,320","1,430","1,240","257,64M","4,55%"
"12.03.2020","1,320","1,500","1,540","1,290","157,14M","-18,01%"
"11.03.2020","1,610","1,690","1,760","1,500","186,79M","-6,40%"
"10.03.2020","1,720","1,940","1,960","1,710","142,23M","-8,02%"
"09.03.2020","1,870","1,990","2,030","1,800","132,85M","-9,66%"
"06.03.2020","2,070","2,120","2,160","2,050","142,98M","-3,27%"
"05.03.2020","2,140","2,150","2,180","2,120","159,03M","1,90%"
