"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","2,660","2,750","2,820","2,600","9,02M","-2,92%"
"22.10.2020","2,740","2,750","2,810","2,620","9,68M","0,00%"
"21.10.2020","2,740","2,850","2,900","2,710","10,66M","-2,84%"
"20.10.2020","2,820","2,980","3,030","2,700","26,86M","-3,09%"
"19.10.2020","2,910","2,750","2,910","2,720","22,60M","9,81%"
"16.10.2020","2,650","2,590","2,690","2,590","14,34M","3,11%"
"15.10.2020","2,570","2,600","2,660","2,560","5,50M","-1,53%"
"14.10.2020","2,610","2,690","2,700","2,580","6,97M","-2,25%"
"13.10.2020","2,670","2,740","2,740","2,590","13,47M","-1,11%"
"12.10.2020","2,700","2,640","2,840","2,630","24,18M","3,45%"
"09.10.2020","2,610","2,500","2,680","2,480","40,07M","4,82%"
"08.10.2020","2,490","2,510","2,540","2,440","11,32M","-0,80%"
"07.10.2020","2,510","2,480","2,570","2,430","18,69M","2,03%"
"06.10.2020","2,460","2,380","2,460","2,370","17,99M","3,80%"
"05.10.2020","2,370","2,350","2,410","2,350","7,30M","1,28%"
"02.10.2020","2,340","2,340","2,390","2,320","4,97M","0,00%"
"01.10.2020","2,340","2,380","2,420","2,310","11,68M","-1,27%"
"30.09.2020","2,370","2,360","2,510","2,350","25,09M","1,28%"
"29.09.2020","2,340","2,400","2,450","2,280","12,57M","-1,27%"
"28.09.2020","2,370","2,330","2,380","2,270","7,45M","2,60%"
"25.09.2020","2,310","2,370","2,400","2,290","5,93M","-2,53%"
"24.09.2020","2,370","2,300","2,390","2,270","10,56M","2,60%"
"23.09.2020","2,310","2,320","2,330","2,290","3,75M","0,43%"
"22.09.2020","2,300","2,280","2,350","2,260","6,54M","1,77%"
"21.09.2020","2,260","2,330","2,370","2,230","5,30M","-2,59%"
"18.09.2020","2,320","2,390","2,420","2,320","5,33M","-2,52%"
"17.09.2020","2,380","2,410","2,410","2,350","5,96M","-1,24%"
"16.09.2020","2,410","2,350","2,410","2,310","5,03M","2,99%"
"15.09.2020","2,340","2,350","2,430","2,250","6,26M","0,43%"
"14.09.2020","2,330","2,290","2,380","2,290","8,19M","3,56%"
"11.09.2020","2,250","2,250","2,290","2,210","3,40M","0,45%"
"10.09.2020","2,240","2,320","2,330","2,210","3,73M","-3,03%"
"09.09.2020","2,310","2,350","2,370","2,300","5,22M","-1,28%"
"08.09.2020","2,340","2,350","2,380","2,240","8,14M","0,43%"
"07.09.2020","2,330","2,290","2,470","2,290","19,52M","3,56%"
"04.09.2020","2,250","2,160","2,320","2,110","12,05M","4,17%"
"03.09.2020","2,160","2,220","2,240","2,120","2,99M","-2,26%"
"02.09.2020","2,210","2,240","2,280","2,180","2,16M","-1,34%"
"01.09.2020","2,240","2,210","2,270","2,160","3,36M","1,82%"
"31.08.2020","2,200","2,280","2,290","2,190","2,57M","-3,93%"
"28.08.2020","2,290","2,350","2,360","2,260","2,44M","-2,55%"
"27.08.2020","2,350","2,400","2,470","2,310","5,06M","-2,49%"
"26.08.2020","2,410","2,270","2,440","2,190","9,86M","6,17%"
"25.08.2020","2,270","2,350","2,370","2,260","4,21M","-2,58%"
"24.08.2020","2,330","2,420","2,540","2,300","8,10M","-3,72%"
"21.08.2020","2,420","2,650","2,700","2,390","14,67M","-7,28%"
"20.08.2020","2,610","2,440","2,670","2,430","21,31M","7,41%"
"19.08.2020","2,430","2,270","2,430","2,160","3,83M","9,95%"
"18.08.2020","2,210","2,010","2,210","2,010","2,83M","9,95%"
"17.08.2020","2,010","2,050","2,060","1,990","478,51K","-1,95%"
"14.08.2020","2,050","2,090","2,090","2,020","303,09K","-1,91%"
"13.08.2020","2,090","2,090","2,110","2,060","553,29K","0,00%"
"12.08.2020","2,090","2,130","2,130","2,050","503,35K","-1,88%"
"11.08.2020","2,130","2,080","2,150","2,060","1,06M","2,40%"
"10.08.2020","2,080","2,060","2,120","1,990","980,40K","-2,80%"
"07.08.2020","2,140","1,900","2,150","1,860","2,09M","3,88%"
"06.08.2020","2,060","2,250","2,260","2,060","819,11K","-9,65%"
"05.08.2020","2,280","2,390","2,390","2,230","1,35M","-5,00%"
"04.08.2020","2,400","2,590","2,600","2,240","4,12M","-3,23%"
"30.07.2020","2,480","2,580","2,580","2,460","1,73M","1,22%"
"29.07.2020","2,450","2,430","2,520","2,310","3,76M","1,24%"
"28.07.2020","2,420","2,610","2,610","2,350","2,95M","-6,92%"
"27.07.2020","2,600","2,660","2,680","2,560","4,10M","0,00%"
"24.07.2020","2,600","2,630","2,640","2,500","3,38M","-1,52%"
"23.07.2020","2,640","2,650","2,720","2,580","6,75M","4,76%"
"22.07.2020","2,520","2,560","2,670","2,490","4,42M","-1,18%"
"21.07.2020","2,550","2,530","2,660","2,410","5,84M","1,19%"
"20.07.2020","2,520","2,600","2,780","2,520","20,13M","-0,40%"
"17.07.2020","2,530","2,310","2,530","2,280","10,46M","10,00%"
"16.07.2020","2,300","2,300","2,350","2,290","2,83M","1,32%"
"14.07.2020","2,270","2,350","2,360","2,260","2,35M","-3,40%"
"13.07.2020","2,350","2,210","2,350","2,210","2,81M","8,29%"
"10.07.2020","2,170","2,200","2,200","2,060","3,41M","-1,81%"
"09.07.2020","2,210","2,390","2,400","2,150","6,28M","-5,56%"
"08.07.2020","2,340","2,530","2,550","2,340","5,46M","-7,14%"
"07.07.2020","2,520","2,430","2,580","2,310","10,37M","5,00%"
"06.07.2020","2,400","2,320","2,420","2,320","5,97M","4,80%"
"03.07.2020","2,290","2,270","2,320","2,260","7,00M","1,33%"
"02.07.2020","2,260","2,220","2,310","2,210","11,53M","2,26%"
"01.07.2020","2,210","2,140","2,240","2,130","19,30M","3,76%"
"30.06.2020","2,130","2,100","2,160","2,090","12,02M","1,91%"
"29.06.2020","2,090","2,000","2,150","1,980","16,44M","5,03%"
