"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","4,550","4,610","4,710","4,230","40,87M","-1,09%"
"22.10.2020","4,600","4,600","4,940","4,390","77,81M","0,22%"
"21.10.2020","4,590","4,560","4,590","4,420","64,83M","9,81%"
"20.10.2020","4,180","3,810","4,180","3,720","20,14M","10,00%"
"19.10.2020","3,800","3,480","3,800","3,450","33,29M","9,83%"
"16.10.2020","3,460","3,530","3,540","3,440","5,15M","-1,70%"
"15.10.2020","3,520","3,480","3,520","3,410","4,95M","1,15%"
"14.10.2020","3,480","3,550","3,550","3,450","7,03M","-1,42%"
"13.10.2020","3,530","3,690","3,690","3,500","12,52M","-1,67%"
"12.10.2020","3,590","3,440","3,700","3,430","27,90M","4,97%"
"09.10.2020","3,420","3,470","3,530","3,410","7,95M","0,00%"
"08.10.2020","3,420","3,420","3,540","3,380","8,93M","0,59%"
"07.10.2020","3,400","3,500","3,550","3,390","9,93M","-2,86%"
"06.10.2020","3,500","3,700","3,700","3,460","26,16M","-2,78%"
"05.10.2020","3,600","3,390","3,660","3,300","27,53M","7,78%"
"02.10.2020","3,340","3,270","3,470","3,270","15,27M","0,60%"
"01.10.2020","3,320","3,500","3,610","3,320","14,49M","-4,05%"
"30.09.2020","3,460","3,520","3,760","3,440","43,64M","0,58%"
"29.09.2020","3,440","3,250","3,440","3,150","34,60M","9,90%"
"28.09.2020","3,130","2,850","3,130","2,850","14,75M","9,82%"
"25.09.2020","2,850","2,830","2,860","2,820","2,95M","1,42%"
"24.09.2020","2,810","2,830","2,840","2,790","1,58M","-0,71%"
"23.09.2020","2,830","2,790","2,900","2,780","4,79M","2,54%"
"22.09.2020","2,760","2,750","2,780","2,700","1,77M","0,73%"
"21.09.2020","2,740","2,870","2,880","2,710","4,15M","-3,86%"
"18.09.2020","2,850","2,900","2,910","2,840","2,32M","-1,04%"
"17.09.2020","2,880","2,830","2,960","2,820","7,45M","1,41%"
"16.09.2020","2,840","2,870","2,890","2,830","3,23M","-0,35%"
"15.09.2020","2,850","2,830","2,900","2,800","9,55M","1,42%"
"14.09.2020","2,810","2,810","2,830","2,770","3,91M","1,08%"
"11.09.2020","2,780","2,760","2,860","2,750","6,78M","1,09%"
"10.09.2020","2,750","2,740","2,800","2,720","5,12M","0,73%"
"09.09.2020","2,730","2,710","2,760","2,690","3,11M","0,74%"
"08.09.2020","2,710","2,770","2,790","2,700","5,31M","-1,45%"
"07.09.2020","2,750","2,770","2,780","2,740","2,51M","0,73%"
"04.09.2020","2,730","2,720","2,770","2,700","3,75M","0,00%"
"03.09.2020","2,730","2,700","2,850","2,680","5,58M","2,25%"
"02.09.2020","2,670","2,650","2,710","2,640","2,09M","1,14%"
"01.09.2020","2,640","2,670","2,700","2,590","2,35M","-1,12%"
"31.08.2020","2,670","2,760","2,780","2,660","2,21M","-2,91%"
"28.08.2020","2,750","2,900","2,900","2,710","4,16M","-4,18%"
"27.08.2020","2,870","3,000","3,070","2,850","10,30M","-4,33%"
"26.08.2020","3,000","2,770","3,020","2,710","14,95M","9,09%"
"25.08.2020","2,750","2,690","2,750","2,630","3,48M","3,00%"
"24.08.2020","2,670","2,710","2,720","2,660","1,63M","-0,74%"
"21.08.2020","2,690","2,790","2,810","2,660","2,21M","-2,18%"
"20.08.2020","2,750","2,750","2,780","2,690","1,52M","0,00%"
"19.08.2020","2,750","2,720","2,750","2,700","1,50M","1,85%"
"18.08.2020","2,700","2,710","2,780","2,660","2,55M","0,00%"
"17.08.2020","2,700","2,740","2,790","2,670","2,53M","-3,57%"
"14.08.2020","2,800","2,880","2,880","2,760","1,69M","-3,45%"
"13.08.2020","2,900","2,980","3,020","2,850","2,23M","-2,68%"
"12.08.2020","2,980","3,020","3,110","2,900","4,86M","0,34%"
"11.08.2020","2,970","2,830","2,970","2,810","3,61M","5,32%"
"10.08.2020","2,820","2,860","2,920","2,720","3,12M","-1,40%"
"07.08.2020","2,860","2,600","2,860","2,460","2,83M","4,76%"
"06.08.2020","2,730","3,000","3,040","2,720","2,80M","-9,30%"
"05.08.2020","3,010","3,110","3,120","2,960","1,89M","-2,59%"
"04.08.2020","3,090","3,310","3,340","2,970","4,78M","-6,08%"
"30.07.2020","3,290","3,200","3,330","3,160","1,28M","2,81%"
"29.07.2020","3,200","3,230","3,280","3,070","3,04M","-1,54%"
"28.07.2020","3,250","3,470","3,500","3,230","3,41M","-6,61%"
"27.07.2020","3,480","3,470","3,610","3,450","7,42M","1,46%"
"24.07.2020","3,430","3,510","3,540","3,400","4,40M","-2,00%"
"23.07.2020","3,500","3,390","3,650","3,360","13,06M","3,55%"
"22.07.2020","3,380","3,370","3,440","3,330","3,09M","0,90%"
"21.07.2020","3,350","3,450","3,480","3,330","4,41M","-2,62%"
"20.07.2020","3,440","3,530","3,530","3,410","3,00M","-1,15%"
"17.07.2020","3,480","3,520","3,560","3,410","4,77M","0,58%"
"16.07.2020","3,460","3,330","3,500","3,310","9,93M","6,46%"
"14.07.2020","3,250","3,250","3,270","3,170","1,45M","-0,31%"
"13.07.2020","3,260","3,230","3,280","3,180","1,92M","4,15%"
"10.07.2020","3,130","3,150","3,240","3,010","2,93M","-3,10%"
"09.07.2020","3,230","3,400","3,590","3,230","7,55M","-4,15%"
"08.07.2020","3,370","3,400","3,460","3,330","3,29M","-0,88%"
"07.07.2020","3,400","3,450","3,460","3,350","3,90M","-1,16%"
"06.07.2020","3,440","3,500","3,500","3,370","4,34M","0,58%"
"03.07.2020","3,420","3,300","3,500","3,300","5,78M","4,27%"
"02.07.2020","3,280","3,170","3,320","3,160","6,92M","3,80%"
"01.07.2020","3,160","3,180","3,230","3,100","3,01M","0,00%"
"30.06.2020","3,160","3,120","3,180","3,120","3,33M","1,89%"
"29.06.2020","3,101","3,101","3,148","3,078","3,10M","0,50%"
"26.06.2020","3,086","3,125","3,156","3,024","2,05M","-0,75%"
"25.06.2020","3,109","2,946","3,218","2,946","11,69M","5,25%"
"24.06.2020","2,954","2,915","3,039","2,908","4,52M","1,06%"
"23.06.2020","2,923","2,931","2,977","2,869","3,38M","0,27%"
"22.06.2020","2,915","3,001","3,001","2,915","4,46M","-2,34%"
"19.06.2020","2,985","3,016","3,179","2,923","18,22M","3,22%"
"18.06.2020","2,892","2,884","2,931","2,869","1,91M","0,27%"
"17.06.2020","2,884","2,915","2,915","2,869","1,70M","-0,53%"
"16.06.2020","2,900","2,861","2,946","2,853","5,72M","1,63%"
"15.06.2020","2,853","2,815","2,853","2,776","1,99M","1,66%"
"12.06.2020","2,807","2,745","2,807","2,714","1,74M","0,28%"
"11.06.2020","2,799","2,822","2,853","2,791","1,62M","-1,10%"
"10.06.2020","2,830","2,768","2,846","2,768","1,58M","1,96%"
"09.06.2020","2,776","2,838","2,846","2,760","1,65M","-1,10%"
"08.06.2020","2,807","2,861","2,900","2,753","4,76M","-2,43%"
"05.06.2020","2,877","2,908","2,915","2,822","3,02M","0,27%"
"04.06.2020","2,869","2,869","2,915","2,838","2,95M","0,27%"
"03.06.2020","2,861","2,869","2,884","2,830","3,21M","0,82%"
"02.06.2020","2,838","2,776","2,838","2,737","5,14M","2,23%"
"01.06.2020","2,776","2,745","2,807","2,737","3,66M","1,13%"
"29.05.2020","2,745","2,745","2,768","2,675","4,25M","-0,56%"
"28.05.2020","2,760","2,706","2,799","2,675","7,10M","2,30%"
"27.05.2020","2,698","2,690","2,729","2,675","2,08M","1,75%"
"22.05.2020","2,652","2,659","2,698","2,636","1,45M","-0,87%"
"21.05.2020","2,675","2,690","2,791","2,659","4,11M","0,00%"
"20.05.2020","2,675","2,628","2,690","2,605","5,44M","2,37%"
"18.05.2020","2,613","2,566","2,628","2,559","2,97M","2,74%"
"15.05.2020","2,543","2,597","2,613","2,543","1,28M","-1,20%"
"14.05.2020","2,574","2,613","2,628","2,535","1,72M","-2,06%"
"13.05.2020","2,628","2,582","2,675","2,559","3,19M","1,80%"
"12.05.2020","2,582","2,559","2,590","2,520","1,78M","1,83%"
"11.05.2020","2,535","2,559","2,559","2,504","1,26M","0,00%"
"08.05.2020","2,535","2,652","2,659","2,504","2,22M","-3,25%"
"07.05.2020","2,621","2,706","2,706","2,613","1,99M","-2,87%"
"06.05.2020","2,698","2,675","2,768","2,659","4,78M","2,65%"
"05.05.2020","2,628","2,621","2,667","2,543","5,19M","4,63%"
"04.05.2020","2,512","2,512","2,582","2,481","2,66M","0,00%"
"30.04.2020","2,512","2,559","2,621","2,458","3,56M","-1,22%"
"29.04.2020","2,543","2,504","2,551","2,458","2,28M","1,23%"
"28.04.2020","2,512","2,566","2,582","2,504","1,60M","-1,22%"
"27.04.2020","2,543","2,442","2,590","2,442","3,27M","6,15%"
"24.04.2020","2,396","2,326","2,458","2,311","5,10M","3,69%"
"22.04.2020","2,311","2,295","2,349","2,295","2,32M","1,02%"
"21.04.2020","2,287","2,326","2,326","2,249","1,90M","-1,99%"
"20.04.2020","2,334","2,256","2,342","2,249","2,00M","4,15%"
"17.04.2020","2,241","2,264","2,287","2,225","1,11M","1,40%"
"16.04.2020","2,210","2,225","2,233","2,156","892,18K","0,00%"
"15.04.2020","2,210","2,303","2,303","2,148","2,01M","-3,39%"
"14.04.2020","2,287","2,272","2,342","2,272","3,55M","1,72%"
"13.04.2020","2,249","2,233","2,295","2,210","2,08M","0,00%"
"10.04.2020","2,249","2,256","2,303","2,210","1,77M","-0,34%"
"09.04.2020","2,256","2,256","2,295","2,225","1,37M","0,00%"
"08.04.2020","2,256","2,249","2,303","2,194","1,05M","2,11%"
"07.04.2020","2,210","2,256","2,380","2,210","4,53M","0,35%"
"06.04.2020","2,202","2,124","2,210","2,093","2,51M","5,97%"
"03.04.2020","2,078","2,132","2,233","2,039","2,67M","-1,83%"
"02.04.2020","2,117","2,070","2,194","2,070","2,89M","3,41%"
"01.04.2020","2,047","1,931","2,179","1,900","6,14M","3,12%"
"31.03.2020","1,985","1,946","1,993","1,900","2,23M","4,07%"
"30.03.2020","1,907","1,838","1,969","1,830","1,60M","2,50%"
"27.03.2020","1,861","1,954","2,000","1,861","1,09M","-4,00%"
"26.03.2020","1,938","1,838","1,969","1,814","880,05K","5,04%"
"25.03.2020","1,845","1,884","1,969","1,830","1,05M","-1,24%"
"24.03.2020","1,869","1,783","1,892","1,783","912,12K","6,17%"
"23.03.2020","1,760","1,745","1,838","1,721","390,13K","-5,81%"
"20.03.2020","1,869","1,853","1,985","1,838","1,50M","2,99%"
"19.03.2020","1,814","1,845","1,931","1,690","1,10M","-3,31%"
"18.03.2020","1,876","1,845","2,008","1,822","228,31K","-3,20%"
"17.03.2020","1,938","2,047","2,124","1,915","297,73K","-8,76%"
"16.03.2020","2,124","2,124","2,218","2,124","243,14K","-9,87%"
"13.03.2020","2,357","2,272","2,466","2,163","443,96K","3,05%"
"12.03.2020","2,287","2,652","2,652","2,218","371,87K","-15,95%"
"11.03.2020","2,722","2,791","2,869","2,636","605,51K","-3,84%"
"10.03.2020","2,830","2,745","2,861","2,621","856,36K","3,69%"
"09.03.2020","2,729","2,931","2,931","2,690","587,83K","-8,33%"
"06.03.2020","2,977","3,086","3,101","2,923","327,74K","-3,52%"
"05.03.2020","3,086","3,117","3,140","3,032","249,48K","0,00%"
"04.03.2020","3,086","3,125","3,194","3,001","1,44M","-1,24%"
"03.03.2020","3,125","3,140","3,218","3,094","382,70K","0,25%"
"02.03.2020","3,117","3,032","3,132","2,962","1,39M","5,79%"
"28.02.2020","2,946","2,365","3,070","2,365","1,55M","0,80%"
"27.02.2020","2,923","3,078","3,094","2,923","347,24K","-5,51%"
"26.02.2020","3,094","3,125","3,140","3,055","316,98K","-1,97%"
"25.02.2020","3,156","3,140","3,187","3,101","234,59K","0,99%"
"24.02.2020","3,125","3,101","3,125","3,047","193,34K","-1,23%"
"21.02.2020","3,163","2,970","3,171","2,962","383,31K","2,51%"
"20.02.2020","3,086","3,303","3,303","3,032","750,95K","-6,35%"
"19.02.2020","3,295","3,443","3,481","3,272","804,26K","-3,85%"
"18.02.2020","3,427","3,435","3,497","3,373","715,36K","-0,45%"
"17.02.2020","3,443","3,481","3,481","3,443","414,43K","-0,45%"
"14.02.2020","3,458","3,419","3,512","3,419","703,89K","1,59%"
"13.02.2020","3,404","3,373","3,489","3,357","529,11K","0,92%"
"12.02.2020","3,373","3,373","3,412","3,342","382,27K","-0,46%"
"11.02.2020","3,388","3,388","3,388","3,280","386,41K","1,86%"
"10.02.2020","3,326","3,435","3,559","3,187","833,69K","-4,03%"
"07.02.2020","3,466","3,505","3,528","3,450","424,29K","-1,11%"
"06.02.2020","3,505","3,559","3,574","3,489","768,49K","-1,09%"
"05.02.2020","3,543","3,605","3,605","3,528","1,24M","-0,65%"
"04.02.2020","3,567","3,598","3,644","3,520","1,87M","0,00%"
