"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","9,500","9,750","9,790","9,300","237,49K","-2,36%"
"22.10.2020","9,730","9,910","9,990","9,700","251,44K","-1,82%"
"21.10.2020","9,910","10,180","10,230","9,830","314,39K","-2,46%"
"20.10.2020","10,160","10,480","10,600","9,990","556,77K","-2,50%"
"19.10.2020","10,420","9,850","10,590","9,840","669,59K","6,00%"
"16.10.2020","9,830","9,780","9,870","9,750","138,53K","0,72%"
"15.10.2020","9,760","9,790","10,000","9,680","212,36K","-0,31%"
"14.10.2020","9,790","9,900","9,950","9,730","217,47K","-0,41%"
"13.10.2020","9,830","9,990","10,030","9,770","291,37K","-0,91%"
"12.10.2020","9,920","9,830","10,180","9,800","331,21K","0,81%"
"09.10.2020","9,840","10,010","10,010","9,730","267,80K","-1,70%"
"08.10.2020","10,010","10,270","10,270","9,970","236,61K","-2,34%"
"07.10.2020","10,250","10,150","10,560","10,150","353,07K","2,19%"
"06.10.2020","10,030","10,500","10,570","9,980","323,01K","-2,24%"
"05.10.2020","10,260","9,330","10,260","9,310","612,53K","9,97%"
"02.10.2020","9,330","9,400","9,600","9,270","160,39K","-0,74%"
"01.10.2020","9,400","9,820","9,830","9,330","249,66K","-4,28%"
"30.09.2020","9,820","9,880","10,020","9,800","521,73K","-0,41%"
"29.09.2020","9,860","9,970","10,180","9,850","671,42K","-1,30%"
"28.09.2020","9,990","10,180","10,180","9,960","479,86K","-1,19%"
"25.09.2020","10,110","10,190","10,300","10,050","470,61K","0,90%"
"24.09.2020","10,020","10,140","10,240","9,980","420,62K","-1,28%"
"23.09.2020","10,150","10,290","10,420","10,010","548,47K","-1,07%"
"22.09.2020","10,260","10,270","10,460","9,980","519,36K","0,00%"
"21.09.2020","10,260","10,800","10,800","10,260","576,50K","-5,00%"
"18.09.2020","10,800","11,160","11,180","10,610","663,30K","-2,70%"
"17.09.2020","11,100","11,010","11,250","10,750","297,09K","0,82%"
"16.09.2020","11,010","10,880","11,280","10,340","368,49K","1,29%"
