"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","1,820","1,900","1,910","1,810","345,57M","-4,21%"
"22.10.2020","1,900","1,940","1,940","1,890","230,17M","-1,55%"
"21.10.2020","1,930","1,930","1,960","1,920","215,53M","1,05%"
"20.10.2020","1,910","1,930","1,930","1,900","226,39M","-0,52%"
"19.10.2020","1,920","1,940","1,950","1,910","156,32M","-0,52%"
"16.10.2020","1,930","1,960","1,970","1,920","240,17M","-0,52%"
"15.10.2020","1,940","1,920","2,000","1,910","704,56M","2,11%"
"14.10.2020","1,900","1,930","1,940","1,870","390,51M","-0,52%"
"13.10.2020","1,910","1,860","1,920","1,820","566,62M","3,80%"
"12.10.2020","1,840","1,820","1,860","1,810","296,17M","2,22%"
"09.10.2020","1,800","1,760","1,800","1,750","218,12M","2,86%"
"08.10.2020","1,750","1,780","1,780","1,740","171,97M","-1,13%"
"07.10.2020","1,770","1,780","1,780","1,760","134,93M","-0,56%"
"06.10.2020","1,780","1,790","1,810","1,770","238,14M","0,56%"
"05.10.2020","1,770","1,750","1,780","1,740","198,34M","1,72%"
"02.10.2020","1,740","1,720","1,740","1,710","113,57M","1,16%"
"01.10.2020","1,720","1,740","1,760","1,720","190,14M","-0,58%"
"30.09.2020","1,730","1,720","1,740","1,710","141,71M","1,17%"
"29.09.2020","1,710","1,730","1,740","1,700","126,45M","-1,16%"
"28.09.2020","1,730","1,750","1,760","1,720","99,43M","-1,70%"
"25.09.2020","1,760","1,750","1,770","1,740","203,81M","1,15%"
"24.09.2020","1,740","1,730","1,750","1,720","202,33M","0,00%"
"23.09.2020","1,740","1,740","1,760","1,730","126,21M","0,58%"
"22.09.2020","1,730","1,730","1,750","1,720","173,46M","0,00%"
"21.09.2020","1,730","1,780","1,790","1,730","168,53M","-2,81%"
"18.09.2020","1,780","1,790","1,800","1,770","80,90M","0,00%"
"17.09.2020","1,780","1,790","1,800","1,770","137,38M","-0,56%"
"16.09.2020","1,790","1,810","1,820","1,780","140,37M","-1,10%"
"15.09.2020","1,810","1,840","1,860","1,800","252,73M","-1,09%"
"14.09.2020","1,830","1,800","1,840","1,780","166,15M","2,23%"
"11.09.2020","1,790","1,800","1,810","1,780","114,74M","-0,56%"
