"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","2,730","2,810","2,850","2,670","8,23M","-2,85%"
"22.10.2020","2,810","2,630","2,880","2,380","14,51M","6,84%"
"21.10.2020","2,630","2,610","2,800","2,610","13,49M","-9,00%"
"20.10.2020","2,890","2,820","2,940","2,780","64,84M","5,09%"
"19.10.2020","2,750","2,670","2,750","2,630","56,21M","10,00%"
"16.10.2020","2,500","2,450","2,660","2,440","39,44M","2,46%"
"15.10.2020","2,440","2,430","2,470","2,390","17,98M","0,41%"
"14.10.2020","2,430","2,390","2,430","2,380","16,68M","2,10%"
"13.10.2020","2,380","2,440","2,520","2,320","28,76M","-0,42%"
"12.10.2020","2,390","2,200","2,390","2,200","26,07M","9,63%"
"09.10.2020","2,180","2,220","2,220","2,170","10,39M","0,46%"
"08.10.2020","2,170","2,140","2,200","2,140","14,67M","1,40%"
"07.10.2020","2,140","2,140","2,160","2,120","12,55M","-0,47%"
"06.10.2020","2,150","2,190","2,230","2,130","21,41M","0,00%"
"05.10.2020","2,150","2,020","2,170","2,010","27,09M","6,97%"
"02.10.2020","2,010","1,990","2,060","1,980","12,28M","0,00%"
"01.10.2020","2,010","2,030","2,040","1,980","10,96M","-0,50%"
"30.09.2020","2,020","2,030","2,070","1,980","33,07M","0,00%"
"29.09.2020","2,020","1,930","2,060","1,920","63,41M","6,32%"
"28.09.2020","1,900","1,750","1,900","1,750","56,70M","9,83%"
"25.09.2020","1,730","1,700","1,750","1,700","19,95M","1,76%"
"24.09.2020","1,700","1,670","1,700","1,660","16,12M","1,80%"
"23.09.2020","1,670","1,700","1,710","1,660","17,85M","-1,18%"
"22.09.2020","1,690","1,620","1,710","1,620","41,33M","5,63%"
"21.09.2020","1,600","1,600","1,600","1,540","31,13M","0,63%"
"18.09.2020","1,590","1,600","1,610","1,590","8,73M","0,00%"
"17.09.2020","1,590","1,590","1,610","1,590","11,00M","-0,62%"
"16.09.2020","1,600","1,590","1,630","1,580","18,59M","1,27%"
"15.09.2020","1,580","1,570","1,580","1,540","25,78M","1,94%"
"14.09.2020","1,550","1,550","1,560","1,540","9,27M","0,65%"
"11.09.2020","1,540","1,540","1,560","1,530","13,11M","0,65%"
"10.09.2020","1,530","1,540","1,550","1,520","17,38M","-0,65%"
"09.09.2020","1,540","1,560","1,570","1,530","16,56M","-1,28%"
"08.09.2020","1,560","1,540","1,560","1,520","32,84M","2,63%"
"07.09.2020","1,520","1,510","1,550","1,510","22,08M","2,01%"
"04.09.2020","1,490","1,500","1,520","1,480","16,74M","0,00%"
