"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","4,08","4,19","4,27","4,05","30,25M","-1,45%"
"22.10.2020","4,14","4,23","4,24","4,12","33,45M","-1,90%"
"21.10.2020","4,22","4,34","4,39","4,20","56,20M","-1,86%"
"20.10.2020","4,30","4,16","4,48","4,12","136,43M","3,86%"
"19.10.2020","4,14","4,10","4,23","4,09","33,80M","1,47%"
"16.10.2020","4,08","4,09","4,15","4,06","19,51M","0,25%"
"15.10.2020","4,07","4,21","4,27","4,07","36,51M","-3,10%"
"14.10.2020","4,20","4,40","4,45","4,20","57,32M","-3,23%"
"13.10.2020","4,34","4,27","4,44","4,07","111,26M","1,88%"
"12.10.2020","4,26","4,17","4,35","4,17","58,90M","3,90%"
"09.10.2020","4,10","3,95","4,20","3,90","101,09M","5,40%"
"08.10.2020","3,89","3,79","3,92","3,79","46,85M","3,18%"
"07.10.2020","3,77","3,69","3,86","3,67","54,43M","1,89%"
"06.10.2020","3,70","3,75","3,82","3,69","47,20M","-0,27%"
"05.10.2020","3,71","3,62","3,71","3,61","42,01M","3,34%"
"02.10.2020","3,59","3,60","3,65","3,58","17,03M","-0,55%"
"01.10.2020","3,61","3,69","3,69","3,61","14,82M","-1,63%"
"30.09.2020","3,67","3,67","3,70","3,65","24,98M","1,10%"
"29.09.2020","3,63","3,68","3,75","3,62","52,51M","-1,09%"
"28.09.2020","3,67","3,65","3,70","3,62","26,11M","0,55%"
"25.09.2020","3,65","3,69","3,71","3,63","20,04M","-0,54%"
"24.09.2020","3,67","3,65","3,68","3,63","21,26M","0,00%"
"23.09.2020","3,67","3,68","3,73","3,63","46,71M","0,55%"
"22.09.2020","3,65","3,60","3,73","3,55","56,17M","1,96%"
"21.09.2020","3,58","3,62","3,69","3,56","27,62M","-0,83%"
"18.09.2020","3,61","3,65","3,71","3,61","33,36M","-0,82%"
"17.09.2020","3,64","3,63","3,69","3,61","24,48M","0,00%"
"16.09.2020","3,64","3,68","3,73","3,62","17,86M","-0,82%"
"15.09.2020","3,67","3,76","3,80","3,67","22,01M","-2,13%"
"14.09.2020","3,75","3,70","3,78","3,67","36,66M","1,90%"
"11.09.2020","3,68","3,68","3,75","3,66","31,86M","0,27%"
"10.09.2020","3,67","3,63","3,77","3,61","54,74M","1,94%"
"09.09.2020","3,60","3,50","3,68","3,47","56,14M","3,15%"
"08.09.2020","3,49","3,55","3,57","3,47","17,64M","-1,41%"
"07.09.2020","3,54","3,47","3,62","3,47","31,96M","2,91%"
"04.09.2020","3,44","3,43","3,50","3,41","13,54M","0,29%"
"03.09.2020","3,43","3,50","3,57","3,43","13,46M","-1,72%"
"02.09.2020","3,49","3,56","3,61","3,49","15,18M","-1,69%"
"01.09.2020","3,55","3,61","3,63","3,49","21,90M","-1,11%"
"31.08.2020","3,59","3,67","3,75","3,57","22,92M","-1,91%"
"28.08.2020","3,66","3,82","3,83","3,63","30,47M","-4,19%"
"27.08.2020","3,82","3,72","4,02","3,68","98,82M","4,37%"
"26.08.2020","3,66","3,62","3,72","3,58","39,52M","1,67%"
"25.08.2020","3,60","3,58","3,68","3,54","41,21M","1,12%"
"24.08.2020","3,56","3,56","3,66","3,53","19,38M","0,56%"
"21.08.2020","3,54","3,56","3,67","3,52","33,78M","0,28%"
"20.08.2020","3,53","3,58","3,64","3,45","23,42M","-0,84%"
"19.08.2020","3,56","3,63","3,64","3,52","17,91M","-1,93%"
"18.08.2020","3,63","3,68","3,77","3,62","21,16M","-1,09%"
"17.08.2020","3,67","3,64","3,87","3,61","25,84M","1,38%"
"14.08.2020","3,62","3,74","3,77","3,61","12,42M","-3,47%"
