"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","17,860","18,230","18,250","17,800","134,95K","-1,98%"
"22.10.2020","18,220","18,000","18,490","17,500","185,05K","1,50%"
"21.10.2020","17,950","18,300","18,700","17,850","253,27K","-1,54%"
"20.10.2020","18,230","17,530","18,650","17,500","326,47K","3,99%"
"19.10.2020","17,530","17,650","17,800","17,500","210,67K","-0,06%"
"16.10.2020","17,540","17,700","17,810","17,430","140,93K","-0,90%"
"15.10.2020","17,700","17,950","18,110","17,190","203,63K","-0,78%"
"14.10.2020","17,840","17,290","18,200","17,250","437,87K","4,08%"
"13.10.2020","17,140","17,870","17,900","16,970","334,31K","-4,78%"
"12.10.2020","18,000","18,800","18,800","17,870","308,98K","-4,26%"
"09.10.2020","18,800","18,410","19,020","17,450","385,26K","2,12%"
"08.10.2020","18,410","19,100","20,460","18,150","1,54M","-3,61%"
"07.10.2020","19,100","22,060","23,240","19,080","4,23M","-9,65%"
"06.10.2020","21,140","20,000","21,140","20,000","595,89K","9,93%"
"05.10.2020","19,230","17,900","19,230","17,550","1,28M","9,95%"
"02.10.2020","17,490","19,000","19,000","17,490","2,62M","-9,98%"
"01.10.2020","19,430","23,500","23,720","19,430","2,59M","-9,96%"
"30.09.2020","21,580","21,320","21,580","20,420","551,34K","9,93%"
"29.09.2020","19,630","19,500","19,630","18,600","1,50M","9,97%"
"28.09.2020","17,850","16,700","17,850","16,700","1,32M","9,98%"
"25.09.2020","16,230","15,000","16,230","14,810","2,33M","9,96%"
"24.09.2020","14,760","14,700","14,760","14,100","2,29M","9,99%"
"23.09.2020","13,420","12,350","13,420","12,350","290,94K","10,00%"
"22.09.2020","12,200","11,690","12,540","11,620","1,27M","5,26%"
"21.09.2020","11,590","12,180","12,500","11,590","885,64K","-3,98%"
"18.09.2020","12,070","12,000","12,600","11,480","1,05M","-0,58%"
"17.09.2020","12,140","11,850","12,650","11,310","2,03M","4,39%"
"16.09.2020","11,630","11,520","11,630","10,580","2,51M","9,92%"
"15.09.2020","10,580","9,690","10,580","9,690","1,08M","9,98%"
"14.09.2020","9,620","9,490","9,700","9,320","386,97K","1,80%"
"11.09.2020","9,450","9,190","9,750","9,180","785,88K","2,94%"
"10.09.2020","9,180","9,360","9,380","8,920","392,94K","-1,18%"
"09.09.2020","9,290","9,300","9,450","9,150","471,97K","-0,11%"
"08.09.2020","9,300","9,130","9,440","9,060","688,63K","2,76%"
"07.09.2020","9,050","8,800","9,120","8,740","604,33K","3,90%"
"04.09.2020","8,710","8,660","8,760","8,610","132,51K","0,58%"
"03.09.2020","8,660","8,750","8,830","8,650","217,92K","-1,03%"
"02.09.2020","8,750","8,660","8,860","8,560","289,84K","1,04%"
"01.09.2020","8,660","8,790","8,800","8,420","308,76K","-1,48%"
"31.08.2020","8,790","9,000","9,000","8,700","293,79K","-1,46%"
"28.08.2020","8,920","9,000","9,030","8,880","268,20K","-0,78%"
"27.08.2020","8,990","8,970","9,070","8,940","183,39K","0,56%"
"26.08.2020","8,940","8,910","9,190","8,830","284,05K","0,68%"
"25.08.2020","8,880","9,200","9,210","8,760","356,41K","-2,74%"
"24.08.2020","9,130","9,140","9,370","9,050","311,03K","-0,11%"
"21.08.2020","9,140","9,000","9,200","8,910","227,09K","1,56%"
"20.08.2020","9,000","8,670","9,120","8,530","293,61K","3,81%"
"19.08.2020","8,670","8,770","8,770","8,580","183,23K","-1,03%"
"18.08.2020","8,760","8,380","8,780","8,360","196,33K","4,29%"
"17.08.2020","8,400","8,430","8,430","8,310","72,14K","-0,36%"
"14.08.2020","8,430","8,460","8,480","8,040","94,51K","-0,35%"
"13.08.2020","8,460","8,680","8,720","8,410","82,26K","-2,65%"
"12.08.2020","8,690","8,790","8,800","8,560","109,81K","-1,14%"
"11.08.2020","8,790","8,710","8,900","8,550","218,43K","0,92%"
"10.08.2020","8,710","8,690","8,900","8,260","254,95K","-1,14%"
"07.08.2020","8,810","8,420","8,860","7,610","325,33K","4,26%"
"06.08.2020","8,450","9,250","9,250","8,340","371,11K","-8,65%"
"05.08.2020","9,250","8,770","9,270","8,500","391,13K","5,59%"
