"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","12,42","12,40","12,49","12,13","1,63M","1,14%"
"22.10.2020","12,28","12,54","12,78","12,28","2,56M","-2,00%"
"21.10.2020","12,53","12,67","12,67","12,49","2,04M","0,24%"
"20.10.2020","12,50","12,33","12,60","12,10","1,56M","1,54%"
"19.10.2020","12,31","12,68","12,68","12,24","1,40M","-1,91%"
"16.10.2020","12,55","12,75","12,93","12,51","2,58M","-1,57%"
"15.10.2020","12,75","13,00","13,39","12,54","2,92M","-1,92%"
"14.10.2020","13,00","12,72","13,19","12,66","5,09M","2,36%"
"13.10.2020","12,70","12,61","12,75","12,14","3,61M","1,28%"
"12.10.2020","12,54","12,10","12,54","12,04","3,26M","4,41%"
"09.10.2020","12,01","11,86","12,09","11,80","2,25M","2,21%"
"08.10.2020","11,75","11,40","11,78","11,24","2,94M","3,34%"
"07.10.2020","11,37","11,44","11,54","11,34","621,78K","-0,79%"
"06.10.2020","11,46","11,65","11,76","11,45","1,42M","-1,12%"
"05.10.2020","11,59","11,35","11,59","11,32","1,25M","2,66%"
"02.10.2020","11,29","11,20","11,39","11,16","847,08K","0,36%"
"01.10.2020","11,25","11,40","11,45","11,23","1,02M","-0,53%"
"30.09.2020","11,31","11,10","11,35","11,09","1,36M","2,17%"
"29.09.2020","11,07","11,04","11,25","10,99","1,50M","0,27%"
"28.09.2020","11,04","11,28","11,28","11,00","1,25M","-1,60%"
"25.09.2020","11,22","11,29","11,38","11,17","1,03M","-0,27%"
"24.09.2020","11,25","11,16","11,41","11,09","1,04M","0,81%"
"23.09.2020","11,16","10,95","11,26","10,95","863,30K","2,10%"
"22.09.2020","10,93","10,95","11,06","10,83","678,44K","-0,18%"
"21.09.2020","10,95","11,30","11,31","10,88","890,01K","-2,93%"
"18.09.2020","11,28","11,33","11,40","11,26","896,78K","-0,18%"
"17.09.2020","11,30","11,38","11,44","11,21","1,41M","-1,05%"
"16.09.2020","11,42","11,54","11,62","11,42","1,71M","-0,61%"
"15.09.2020","11,49","11,60","11,70","11,28","1,66M","-0,95%"
"14.09.2020","11,60","11,73","11,79","11,54","1,41M","-0,43%"
"11.09.2020","11,65","11,33","11,68","11,19","2,52M","3,10%"
"10.09.2020","11,30","11,51","11,52","11,26","1,18M","-1,82%"
"09.09.2020","11,51","11,25","11,51","11,12","2,66M","2,95%"
"08.09.2020","11,18","11,45","11,50","11,16","644,50K","-1,58%"
"07.09.2020","11,36","11,08","11,59","11,08","1,45M","2,62%"
"04.09.2020","11,07","11,03","11,21","10,94","742,30K","0,27%"
"03.09.2020","11,04","11,11","11,25","11,02","601,64K","-0,81%"
"02.09.2020","11,13","11,36","11,36","11,13","573,14K","-1,42%"
"01.09.2020","11,29","11,41","11,41","11,04","581,34K","-1,05%"
"31.08.2020","11,41","11,60","11,69","11,29","566,63K","-2,06%"
"28.08.2020","11,65","11,73","11,78","11,60","411,17K","-0,68%"
"27.08.2020","11,73","11,74","11,90","11,60","647,73K","0,17%"
"26.08.2020","11,71","11,75","11,89","11,61","491,90K","-0,26%"
"25.08.2020","11,74","11,94","12,05","11,64","767,21K","-1,34%"
"24.08.2020","11,90","12,15","12,20","11,90","1,14M","-1,98%"
"21.08.2020","12,14","13,10","13,16","11,82","5,65M","-5,16%"
"20.08.2020","12,80","12,70","13,24","12,35","6,69M","2,73%"
"19.08.2020","12,46","11,90","12,70","11,76","4,10M","5,68%"
"18.08.2020","11,79","12,04","12,12","11,79","476,76K","-2,00%"
"17.08.2020","12,03","11,88","12,17","11,65","917,83K","1,18%"
"14.08.2020","11,89","11,90","12,21","11,87","839,83K","-2,06%"
"13.08.2020","12,14","12,25","12,27","11,83","2,60M","-1,94%"
"12.08.2020","12,38","12,22","12,48","12,15","1,59M","1,89%"
"11.08.2020","12,15","12,30","12,41","12,10","1,78M","-1,14%"
"10.08.2020","12,29","12,40","12,48","12,20","826,54K","-1,52%"
"07.08.2020","12,48","12,25","12,48","11,55","1,41M","1,63%"
"06.08.2020","12,28","13,06","13,09","12,28","2,79M","-5,97%"
"05.08.2020","13,06","12,50","13,06","12,15","3,44M","5,07%"
"04.08.2020","12,43","12,78","12,92","11,97","3,86M","-1,58%"
"30.07.2020","12,63","12,80","12,86","12,62","383,32K","-0,94%"
"29.07.2020","12,75","13,05","13,06","12,43","1,17M","-2,52%"
"28.07.2020","13,08","13,19","13,38","12,64","2,71M","-0,83%"
"27.07.2020","13,19","13,16","13,44","13,05","2,86M","1,31%"
"24.07.2020","13,02","12,67","13,02","12,59","1,82M","2,84%"
"23.07.2020","12,66","12,39","12,76","12,35","2,49M","2,51%"
"22.07.2020","12,35","12,50","12,65","12,25","1,81M","0,24%"
"21.07.2020","12,32","11,93","12,70","11,93","4,71M","3,44%"
"20.07.2020","11,91","11,72","11,95","11,66","964,07K","1,79%"
"17.07.2020","11,70","11,77","11,78","11,59","482,32K","-0,43%"
"16.07.2020","11,75","11,70","11,80","11,69","463,82K","0,86%"
"14.07.2020","11,65","11,94","11,94","11,50","868,69K","-2,51%"
"13.07.2020","11,95","11,47","11,95","11,47","933,22K","4,92%"
"10.07.2020","11,39","11,69","11,70","11,12","1,18M","-2,57%"
"09.07.2020","11,69","12,31","12,54","11,69","3,16M","-4,80%"
"08.07.2020","12,28","12,34","12,37","12,22","692,63K","-0,41%"
"07.07.2020","12,33","12,34","12,42","12,01","1,63M","0,08%"
"06.07.2020","12,32","12,26","12,44","12,21","2,24M","1,23%"
"03.07.2020","12,17","12,19","12,35","12,09","1,58M","0,33%"
"02.07.2020","12,13","12,18","12,22","11,94","1,05M","-0,41%"
"01.07.2020","12,18","12,05","12,42","12,04","2,34M","1,50%"
"30.06.2020","12,00","11,74","12,00","11,74","1,17M","2,56%"
"29.06.2020","11,70","11,49","11,70","11,49","1,56M","2,36%"
"26.06.2020","11,43","11,44","11,62","11,36","686,41K","0,09%"
"25.06.2020","11,42","11,51","11,53","11,26","663,33K","-0,78%"
"24.06.2020","11,51","11,64","11,77","11,51","605,70K","-1,20%"
"23.06.2020","11,65","11,69","11,92","11,61","1,38M","0,52%"
"22.06.2020","11,59","11,36","11,69","11,30","1,64M","3,30%"
"19.06.2020","11,22","11,49","11,60","11,22","1,20M","-2,09%"
"18.06.2020","11,46","11,40","11,49","11,40","851,27K","0,35%"
"17.06.2020","11,42","11,46","11,54","11,34","809,13K","0,00%"
"16.06.2020","11,42","11,34","11,48","11,30","1,34M","1,42%"
"15.06.2020","11,26","11,33","11,39","11,19","963,57K","-0,71%"
"12.06.2020","11,34","11,15","11,44","11,10","1,12M","0,27%"
"11.06.2020","11,31","11,07","11,42","11,05","2,61M","1,62%"
"10.06.2020","11,13","11,23","11,28","11,12","1,07M","-0,62%"
"09.06.2020","11,20","11,40","11,43","11,13","1,01M","-1,75%"
"08.06.2020","11,40","11,44","11,60","11,23","1,77M","0,18%"
"05.06.2020","11,38","11,11","11,39","11,05","1,60M","2,61%"
"04.06.2020","11,09","11,16","11,16","11,04","687,74K","-0,36%"
"03.06.2020","11,13","11,19","11,25","11,06","1,11M","-0,18%"
"02.06.2020","11,15","11,20","11,37","11,02","1,13M","0,45%"
"01.06.2020","11,10","10,77","11,25","10,77","1,37M","3,54%"
"29.05.2020","10,72","10,78","10,88","10,65","549,74K","-0,56%"
"28.05.2020","10,78","10,78","10,89","10,65","733,43K","0,19%"
"27.05.2020","10,76","10,80","11,00","10,58","1,96M","0,09%"
"22.05.2020","10,75","10,80","10,83","10,29","1,78M","-2,27%"
"21.05.2020","11,00","11,70","12,30","11,00","5,77M","-5,17%"
"20.05.2020","11,60","10,66","11,60","10,66","4,50M","9,95%"
"18.05.2020","10,55","10,29","10,55","10,23","1,16M","3,74%"
"15.05.2020","10,17","10,11","10,25","10,10","365,97K","1,19%"
"14.05.2020","10,05","10,17","10,33","10,03","558,72K","-1,18%"
"13.05.2020","10,17","10,25","10,34","10,14","600,70K","-0,29%"
"12.05.2020","10,20","9,97","10,21","9,97","469,35K","2,51%"
"11.05.2020","9,95","10,05","10,14","9,95","270,16K","-1,00%"
"08.05.2020","10,05","10,25","10,28","9,94","584,49K","-1,57%"
"07.05.2020","10,21","10,09","10,23","9,95","396,53K","1,19%"
"06.05.2020","10,09","10,25","10,26","10,09","393,10K","-1,08%"
"05.05.2020","10,20","10,13","10,24","9,96","593,62K","2,10%"
"04.05.2020","9,99","10,26","10,26","9,90","1,10M","-3,10%"
"30.04.2020","10,31","10,35","10,60","10,06","2,07M","1,58%"
"29.04.2020","10,15","9,95","10,15","9,91","828,38K","2,01%"
"28.04.2020","9,95","10,29","10,34","9,92","1,20M","-2,83%"
"27.04.2020","10,24","10,50","10,53","10,23","1,11M","-0,10%"
"24.04.2020","10,25","10,35","10,38","10,10","457,95K","0,00%"
"22.04.2020","10,25","10,40","10,50","10,20","593,12K","-1,44%"
"21.04.2020","10,40","10,58","10,59","10,21","909,56K","-2,35%"
"20.04.2020","10,65","10,56","11,28","10,55","1,68M","3,50%"
"17.04.2020","10,29","10,05","10,33","9,96","992,23K","3,73%"
"16.04.2020","9,92","9,67","9,99","9,67","749,43K","2,59%"
"15.04.2020","9,67","9,85","9,98","9,49","736,27K","-1,63%"
"14.04.2020","9,83","9,73","9,93","9,73","598,58K","1,76%"
"13.04.2020","9,66","9,70","9,78","9,65","706,05K","-1,13%"
"10.04.2020","9,77","9,96","9,99","9,75","449,92K","-1,71%"
"09.04.2020","9,94","10,03","10,09","9,73","883,83K","1,12%"
"08.04.2020","9,83","9,53","9,83","9,53","720,68K","3,15%"
"07.04.2020","9,53","9,20","9,74","9,20","1,40M","4,04%"
"06.04.2020","9,16","9,09","9,19","9,05","712,18K","2,81%"
"03.04.2020","8,91","8,82","9,15","8,69","1,42M","1,37%"
