"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","4,210","4,310","4,350","4,160","118,71M","-2,32%"
"22.10.2020","4,310","4,430","4,460","4,310","139,74M","-2,71%"
"21.10.2020","4,430","4,530","4,540","4,420","87,65M","-1,34%"
"20.10.2020","4,490","4,480","4,530","4,400","172,80M","0,22%"
"19.10.2020","4,480","4,550","4,580","4,460","169,54M","-3,24%"
"16.10.2020","4,630","4,740","4,780","4,630","266,36M","-1,49%"
"15.10.2020","4,700","4,810","4,850","4,670","429,06M","-3,09%"
"14.10.2020","4,850","4,540","4,950","4,540","1,37B","6,83%"
"13.10.2020","4,540","4,630","4,670","4,530","123,00M","-1,94%"
"12.10.2020","4,630","4,630","4,760","4,580","395,74M","0,43%"
"09.10.2020","4,610","4,450","4,640","4,410","469,56M","4,06%"
"08.10.2020","4,430","4,450","4,540","4,350","286,40M","0,68%"
"07.10.2020","4,400","4,280","4,420","4,270","211,28M","2,33%"
"06.10.2020","4,300","4,360","4,370","4,280","121,76M","-1,15%"
"05.10.2020","4,350","4,280","4,370","4,280","122,89M","2,35%"
"02.10.2020","4,250","4,150","4,290","4,150","171,03M","1,92%"
"01.10.2020","4,170","4,210","4,240","4,170","112,76M","-0,71%"
"30.09.2020","4,200","4,180","4,210","4,160","65,61M","1,20%"
"29.09.2020","4,150","4,190","4,240","4,140","123,62M","-0,48%"
"28.09.2020","4,170","4,180","4,240","4,160","143,41M","-1,18%"
"25.09.2020","4,220","4,220","4,280","4,180","161,71M","0,72%"
"24.09.2020","4,190","4,140","4,230","4,130","110,69M","0,48%"
"23.09.2020","4,170","4,160","4,240","4,070","315,10M","-1,42%"
"22.09.2020","4,230","4,170","4,270","4,130","182,88M","1,68%"
"21.09.2020","4,160","4,390","4,410","4,160","132,54M","-5,45%"
"18.09.2020","4,400","4,390","4,460","4,360","228,71M","0,69%"
"17.09.2020","4,370","4,310","4,390","4,300","145,90M","0,46%"
"16.09.2020","4,350","4,420","4,440","4,340","168,06M","-1,14%"
"15.09.2020","4,400","4,320","4,460","4,260","427,45M","2,33%"
"14.09.2020","4,300","4,300","4,370","4,290","211,40M","1,18%"
"11.09.2020","4,250","4,270","4,370","4,180","400,46M","-0,23%"
"10.09.2020","4,260","4,470","4,480","4,260","588,76M","-5,54%"
"09.09.2020","4,510","4,110","4,510","4,080","755,75M","10,00%"
"08.09.2020","4,100","4,030","4,130","3,970","205,04M","2,24%"
"07.09.2020","4,010","3,930","4,040","3,920","159,49M","2,30%"
"04.09.2020","3,920","3,870","3,960","3,860","135,09M","1,29%"
"03.09.2020","3,870","3,960","3,970","3,860","86,32M","-2,03%"
"02.09.2020","3,950","3,950","4,020","3,920","170,28M","-0,25%"
"01.09.2020","3,960","3,930","3,990","3,860","186,47M","1,28%"
"31.08.2020","3,910","4,040","4,040","3,880","152,70M","-3,22%"
"28.08.2020","4,040","4,110","4,150","4,020","261,81M","-1,22%"
"27.08.2020","4,090","4,060","4,100","3,980","201,91M","1,49%"
"26.08.2020","4,030","4,130","4,150","3,930","282,71M","-1,95%"
"25.08.2020","4,110","4,170","4,220","4,060","346,28M","-0,72%"
"24.08.2020","4,140","4,120","4,260","4,090","797,84M","-1,19%"
"21.08.2020","4,190","4,960","4,960","4,190","1,46B","-9,89%"
"20.08.2020","4,650","4,370","4,650","4,330","875,66M","9,93%"
"19.08.2020","4,230","3,850","4,230","3,840","206,84M","9,87%"
"18.08.2020","3,850","3,840","3,880","3,800","46,27M","0,26%"
"17.08.2020","3,840","3,720","3,870","3,710","162,17M","6,37%"
"14.08.2020","3,610","3,640","3,670","3,600","27,01M","-1,63%"
"13.08.2020","3,670","3,780","3,810","3,670","72,42M","-2,65%"
"12.08.2020","3,770","3,760","3,780","3,680","52,22M","0,53%"
"11.08.2020","3,750","3,660","3,780","3,650","98,07M","2,74%"
"10.08.2020","3,650","3,620","3,700","3,550","55,23M","0,27%"
"07.08.2020","3,640","3,510","3,650","3,360","76,48M","3,41%"
"06.08.2020","3,520","3,670","3,690","3,480","70,12M","-4,09%"
"05.08.2020","3,670","3,710","3,730","3,590","95,74M","-0,54%"
"04.08.2020","3,690","3,950","3,980","3,610","61,15M","-5,63%"
"30.07.2020","3,910","3,910","3,920","3,860","19,75M","0,26%"
"29.07.2020","3,900","4,050","4,080","3,850","105,54M","-4,18%"
"28.07.2020","4,070","4,250","4,260","4,060","82,88M","-4,24%"
"27.07.2020","4,250","4,250","4,280","4,220","67,38M","0,71%"
"24.07.2020","4,220","4,220","4,260","4,200","40,36M","-0,24%"
"23.07.2020","4,230","4,260","4,310","4,220","92,55M","-0,24%"
"22.07.2020","4,240","4,260","4,320","4,190","131,63M","0,00%"
"21.07.2020","4,240","4,350","4,370","4,190","122,77M","-1,85%"
"20.07.2020","4,320","4,230","4,340","4,200","112,59M","2,13%"
"17.07.2020","4,230","4,270","4,280","4,230","44,86M","-0,70%"
"16.07.2020","4,260","4,250","4,330","4,240","84,05M","0,71%"
"14.07.2020","4,230","4,300","4,320","4,210","108,25M","-2,08%"
"13.07.2020","4,320","4,220","4,370","4,210","150,69M","3,60%"
"10.07.2020","4,170","4,240","4,240","4,100","121,66M","-1,42%"
"09.07.2020","4,230","4,330","4,400","4,120","269,83M","-1,17%"
"08.07.2020","4,280","4,440","4,460","4,280","325,33M","-3,17%"
"07.07.2020","4,420","4,260","4,470","4,200","414,87M","4,25%"
"06.07.2020","4,240","4,210","4,290","4,200","92,00M","1,92%"
"03.07.2020","4,160","4,270","4,280","4,130","104,64M","-2,12%"
"02.07.2020","4,250","4,190","4,270","4,190","96,36M","1,92%"
"01.07.2020","4,170","4,290","4,300","4,140","104,38M","-2,34%"
"30.06.2020","4,270","4,230","4,320","4,220","109,48M","1,43%"
"29.06.2020","4,210","4,260","4,290","4,210","63,15M","-0,94%"
"26.06.2020","4,250","4,260","4,330","4,240","124,93M","0,71%"
"25.06.2020","4,220","4,270","4,300","4,190","103,94M","-0,94%"
"24.06.2020","4,260","4,150","4,330","4,130","239,52M","2,90%"
"23.06.2020","4,140","4,140","4,270","4,100","254,62M","0,49%"
"22.06.2020","4,120","4,160","4,190","4,110","117,18M","-0,24%"
