"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","16,88","17,32","17,54","16,46","2,22M","-2,93%"
"22.10.2020","17,39","17,91","18,00","17,22","2,78M","-2,30%"
"21.10.2020","17,80","17,13","17,80","17,03","4,15M","4,71%"
"20.10.2020","17,00","17,11","17,30","16,76","2,79M","-0,47%"
"19.10.2020","17,08","16,65","17,40","16,62","5,38M","2,89%"
"16.10.2020","16,60","16,50","16,80","16,24","3,03M","1,10%"
"15.10.2020","16,42","16,06","16,87","15,90","4,74M","2,18%"
"14.10.2020","16,07","16,30","16,40","15,94","1,65M","-1,17%"
"13.10.2020","16,26","16,59","16,76","16,00","2,23M","-1,69%"
"12.10.2020","16,54","16,70","16,97","16,35","2,90M","3,76%"
"09.10.2020","15,94","15,80","16,51","15,73","2,97M","1,53%"
"08.10.2020","15,70","16,39","16,42","15,60","3,16M","-3,50%"
"07.10.2020","16,27","16,90","16,92","16,17","4,44M","-4,24%"
"06.10.2020","16,99","15,80","17,32","15,80","9,79M","7,87%"
"05.10.2020","15,75","14,75","15,75","14,71","4,09M","7,44%"
"02.10.2020","14,66","14,58","14,79","14,47","879,54K","0,96%"
"01.10.2020","14,52","15,28","15,35","14,52","2,17M","-4,22%"
"30.09.2020","15,16","15,05","15,81","15,05","5,74M","2,43%"
"29.09.2020","14,80","14,74","15,15","14,55","5,40M","1,37%"
"28.09.2020","14,60","14,50","14,91","14,25","4,67M","0,83%"
"25.09.2020","14,48","14,22","14,48","14,05","2,58M","3,13%"
"24.09.2020","14,04","13,83","14,19","13,73","1,24M","0,65%"
"23.09.2020","13,95","13,80","14,21","13,78","2,21M","1,90%"
"22.09.2020","13,69","13,70","14,20","13,50","2,61M","0,51%"
"21.09.2020","13,62","14,15","14,25","13,45","1,22M","-3,68%"
"18.09.2020","14,14","14,60","14,67","14,09","1,56M","-2,68%"
"17.09.2020","14,53","14,06","14,62","14,02","3,56M","3,27%"
"16.09.2020","14,07","13,81","14,17","13,71","2,44M","2,03%"
"15.09.2020","13,79","13,70","14,02","13,36","2,64M","1,10%"
"14.09.2020","13,64","13,67","13,86","13,61","945,32K","0,44%"
"11.09.2020","13,58","13,85","13,94","13,50","1,35M","-1,74%"
"10.09.2020","13,82","13,54","14,10","13,40","3,81M","2,98%"
"09.09.2020","13,42","13,45","13,57","13,35","1,13M","-0,22%"
"08.09.2020","13,45","13,77","13,85","13,37","1,15M","-0,81%"
"07.09.2020","13,56","13,23","13,64","13,19","1,05M","3,35%"
"04.09.2020","13,12","13,01","13,32","12,90","1,05M","0,54%"
"03.09.2020","13,05","13,20","13,31","12,89","1,14M","-0,08%"
"02.09.2020","13,06","12,93","13,35","12,90","1,30M","1,24%"
"01.09.2020","12,90","13,05","13,08","12,71","801,80K","-0,69%"
"31.08.2020","12,99","13,25","13,38","12,94","820,71K","-1,96%"
"28.08.2020","13,25","13,46","13,60","13,12","810,32K","-1,56%"
"27.08.2020","13,46","13,32","13,53","13,25","766,31K","1,74%"
"26.08.2020","13,23","13,39","13,52","13,10","985,71K","-1,19%"
"25.08.2020","13,39","14,14","14,18","13,02","1,83M","-4,70%"
"24.08.2020","14,05","13,85","14,35","13,68","2,63M","3,08%"
"21.08.2020","13,63","13,32","13,90","13,25","2,65M","3,26%"
"20.08.2020","13,20","13,20","13,50","13,07","1,57M","0,38%"
"19.08.2020","13,15","13,10","13,29","13,06","977,24K","1,15%"
