"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","19,53","18,76","19,74","18,73","4,24M","4,10%"
"22.10.2020","18,76","18,60","18,92","18,40","3,26M","1,24%"
"21.10.2020","18,53","19,80","20,04","18,36","6,94M","-3,24%"
"20.10.2020","19,15","18,08","19,60","17,69","10,42M","6,98%"
"19.10.2020","17,90","17,70","18,20","17,08","5,65M","1,07%"
"16.10.2020","17,71","16,67","18,15","16,65","8,89M","6,82%"
"15.10.2020","16,58","16,62","16,81","16,46","1,68M","-0,24%"
"14.10.2020","16,62","16,65","17,01","16,32","2,53M","1,03%"
"13.10.2020","16,45","17,60","18,03","16,30","6,40M","-4,30%"
"12.10.2020","17,19","16,60","17,19","16,36","5,15M","9,98%"
"09.10.2020","15,63","15,50","15,80","15,42","1,35M","0,84%"
"08.10.2020","15,50","15,79","15,82","15,44","930,15K","-1,34%"
"07.10.2020","15,71","15,77","16,10","15,71","1,81M","0,77%"
"06.10.2020","15,59","16,26","16,35","15,59","2,73M","-3,71%"
"05.10.2020","16,19","16,10","16,44","15,95","3,50M","1,95%"
"02.10.2020","15,88","15,33","16,27","15,22","6,16M","3,59%"
"01.10.2020","15,33","15,56","15,75","15,30","1,16M","-0,90%"
"30.09.2020","15,47","15,62","15,93","15,42","2,00M","-0,77%"
"29.09.2020","15,59","15,77","16,05","15,48","1,81M","-0,38%"
"28.09.2020","15,65","16,00","16,48","15,65","2,55M","-2,07%"
"25.09.2020","15,98","15,12","15,98","15,03","5,36M","6,60%"
"24.09.2020","14,99","14,84","15,25","14,84","3,23M","1,28%"
"23.09.2020","14,80","14,67","15,24","14,67","3,11M","1,02%"
"22.09.2020","14,65","14,61","14,82","14,46","495,32K","0,55%"
"21.09.2020","14,57","15,01","15,11","14,50","1,57M","-2,87%"
"18.09.2020","15,00","15,27","15,46","14,92","1,62M","-1,12%"
"17.09.2020","15,17","14,77","15,43","14,62","3,00M","2,57%"
"16.09.2020","14,79","15,14","15,16","14,74","756,08K","-0,74%"
