"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","3,100","3,180","3,210","3,030","69,77M","-2,52%"
"22.10.2020","3,180","3,330","3,340","3,170","96,11M","-3,93%"
"21.10.2020","3,310","3,150","3,370","3,140","310,80M","5,75%"
"20.10.2020","3,130","3,090","3,170","3,070","125,01M","1,29%"
"19.10.2020","3,090","3,040","3,140","3,030","117,56M","1,98%"
"16.10.2020","3,030","3,040","3,070","3,020","36,09M","0,33%"
"15.10.2020","3,020","3,060","3,080","3,020","52,21M","-1,63%"
"14.10.2020","3,070","3,120","3,130","3,060","66,79M","-0,97%"
"13.10.2020","3,100","3,060","3,220","3,040","226,67M","1,31%"
"12.10.2020","3,060","3,050","3,090","3,020","48,20M","0,33%"
"09.10.2020","3,050","3,150","3,180","3,010","118,01M","-2,56%"
"08.10.2020","3,130","3,100","3,160","3,090","67,99M","1,29%"
"07.10.2020","3,090","3,110","3,130","3,070","42,19M","-0,64%"
"06.10.2020","3,110","3,140","3,190","3,080","102,39M","-0,32%"
"05.10.2020","3,120","3,080","3,150","3,060","76,56M","2,30%"
"02.10.2020","3,050","3,030","3,120","3,010","42,46M","0,33%"
"01.10.2020","3,040","3,110","3,130","3,030","42,52M","-2,25%"
"30.09.2020","3,110","3,110","3,270","3,090","300,39M","4,36%"
"29.09.2020","2,980","2,970","3,040","2,950","87,82M","1,02%"
"28.09.2020","2,950","2,990","3,050","2,950","65,78M","-1,34%"
"25.09.2020","2,990","2,990","3,070","2,980","87,02M","1,01%"
"24.09.2020","2,960","2,950","2,980","2,940","26,52M","-0,67%"
"23.09.2020","2,980","2,900","3,030","2,900","68,43M","3,47%"
"22.09.2020","2,880","2,890","2,920","2,860","28,36M","0,35%"
"21.09.2020","2,870","2,990","3,020","2,850","53,41M","-3,69%"
"18.09.2020","2,980","3,010","3,040","2,970","48,87M","-0,67%"
"17.09.2020","3,000","2,930","3,060","2,920","114,68M","2,04%"
"16.09.2020","2,940","2,980","2,990","2,940","28,98M","-1,01%"
"15.09.2020","2,970","3,010","3,050","2,940","50,28M","-0,67%"
"14.09.2020","2,990","3,030","3,050","2,990","37,80M","-0,66%"
"11.09.2020","3,010","3,020","3,080","3,000","71,90M","0,33%"
"10.09.2020","3,000","2,990","3,090","2,960","90,40M","0,67%"
"09.09.2020","2,980","2,930","3,040","2,920","93,77M","1,71%"
"08.09.2020","2,930","3,010","3,020","2,930","36,16M","-2,33%"
"07.09.2020","3,000","3,010","3,060","2,990","48,19M","0,00%"
"04.09.2020","3,000","3,000","3,110","2,970","71,00M","0,33%"
"03.09.2020","2,990","3,070","3,120","2,980","51,35M","-2,29%"
"02.09.2020","3,060","3,120","3,180","3,060","56,84M","-1,92%"
"01.09.2020","3,120","3,060","3,150","2,970","21,67M","1,96%"
"31.08.2020","3,060","3,070","3,080","2,960","14,85M","-0,97%"
"28.08.2020","3,090","3,130","3,140","3,010","14,69M","-0,96%"
"27.08.2020","3,120","3,000","3,160","2,960","22,58M","4,00%"
"26.08.2020","3,000","2,950","3,040","2,810","19,38M","1,01%"
"25.08.2020","2,970","2,790","2,980","2,750","24,72M","7,22%"
"24.08.2020","2,770","2,710","2,780","2,710","6,38M","2,59%"
"21.08.2020","2,700","2,770","2,800","2,690","11,29M","-2,53%"
"20.08.2020","2,770","2,830","2,830","2,720","8,93M","-2,46%"
"19.08.2020","2,840","2,870","2,900","2,820","11,29M","-2,07%"
"18.08.2020","2,900","2,710","3,000","2,600","17,40M","1,40%"
"17.08.2020","2,860","3,040","3,060","2,860","111,33M","-5,61%"
"14.08.2020","3,030","3,260","3,270","2,970","159,43M","-7,90%"
"13.08.2020","3,290","3,080","3,310","3,060","299,02M","7,52%"
"12.08.2020","3,060","3,050","3,160","3,020","115,50M","0,66%"
"11.08.2020","3,040","2,950","3,130","2,950","114,68M","3,75%"
"10.08.2020","2,930","2,650","2,960","2,580","216,15M","8,12%"
"07.08.2020","2,710","2,470","2,770","2,270","182,09M","7,54%"
"06.08.2020","2,520","2,770","2,850","2,520","96,81M","-9,68%"
"05.08.2020","2,790","2,770","2,850","2,640","103,21M","1,45%"
"04.08.2020","2,750","2,980","3,030","2,650","93,28M","-6,46%"
"30.07.2020","2,940","2,960","2,980","2,920","17,48M","-0,34%"
"29.07.2020","2,950","2,990","3,050","2,880","112,56M","-1,34%"
"28.07.2020","2,990","3,070","3,190","2,930","197,03M","-2,29%"
"27.07.2020","3,060","3,120","3,150","3,050","40,19M","-0,97%"
"24.07.2020","3,090","3,010","3,170","2,990","152,48M","1,31%"
"23.07.2020","3,050","3,130","3,160","3,040","53,98M","-1,29%"
"22.07.2020","3,090","3,120","3,260","3,050","104,60M","0,32%"
"21.07.2020","3,080","3,190","3,290","3,040","71,91M","-2,53%"
"20.07.2020","3,160","3,330","3,340","3,160","91,75M","-4,82%"
"17.07.2020","3,320","3,340","3,420","3,310","54,69M","0,00%"
"16.07.2020","3,320","3,390","3,480","3,320","108,32M","-1,78%"
"14.07.2020","3,380","3,360","3,570","3,240","212,52M","0,60%"
"13.07.2020","3,360","3,530","3,620","3,360","162,66M","-2,04%"
"10.07.2020","3,430","3,150","3,470","2,990","218,55M","7,52%"
"09.07.2020","3,190","3,550","3,560","3,190","146,02M","-9,63%"
"08.07.2020","3,530","3,710","3,750","3,530","144,36M","-3,81%"
"07.07.2020","3,670","3,670","3,840","3,490","202,46M","0,55%"
"06.07.2020","3,650","3,540","3,710","3,480","166,31M","6,10%"
"03.07.2020","3,440","3,300","3,540","3,260","249,98M","4,24%"
"02.07.2020","3,300","3,060","3,350","3,000","328,40M","8,20%"
"01.07.2020","3,050","2,950","3,090","2,950","192,80M","4,10%"
"30.06.2020","2,930","2,870","3,020","2,810","284,74M","3,17%"
"29.06.2020","2,840","2,800","2,880","2,780","131,88M","3,27%"
"26.06.2020","2,750","2,750","2,860","2,700","232,92M","0,73%"
"25.06.2020","2,730","2,700","2,790","2,680","144,18M","2,25%"
"24.06.2020","2,670","2,710","2,890","2,650","262,07M","-2,20%"
"23.06.2020","2,730","2,590","2,800","2,490","447,63M","7,06%"
"22.06.2020","2,550","2,350","2,550","2,320","269,56M","9,91%"
"19.06.2020","2,320","2,460","2,480","2,300","119,51M","-4,53%"
"18.06.2020","2,430","2,380","2,480","2,360","191,51M","3,40%"
"17.06.2020","2,350","2,300","2,410","2,290","143,49M","3,07%"
"16.06.2020","2,280","2,260","2,430","2,210","268,54M","2,24%"
"15.06.2020","2,230","2,000","2,230","1,990","218,39M","9,85%"
"12.06.2020","2,030","1,970","2,050","1,950","110,73M","2,53%"
"11.06.2020","1,980","1,990","2,040","1,980","109,49M","-1,98%"
"10.06.2020","2,020","2,040","2,080","2,000","139,70M","-0,49%"
"09.06.2020","2,030","1,920","2,040","1,890","220,24M","6,28%"
"08.06.2020","1,910","1,910","1,950","1,900","98,97M","0,53%"
"05.06.2020","1,900","1,910","1,930","1,890","72,04M","0,53%"
"04.06.2020","1,890","1,850","1,930","1,840","161,51M","2,16%"
"03.06.2020","1,850","1,840","1,890","1,820","112,05M","1,09%"
"02.06.2020","1,830","1,860","1,860","1,820","46,63M","-1,08%"
"01.06.2020","1,850","1,830","1,880","1,810","105,00M","2,21%"
"29.05.2020","1,810","1,790","1,860","1,790","100,25M","1,12%"
"28.05.2020","1,790","1,830","1,840","1,780","56,69M","-1,10%"
"27.05.2020","1,810","1,850","1,860","1,810","61,89M","0,00%"
"22.05.2020","1,810","1,770","1,830","1,750","108,80M","2,26%"
"21.05.2020","1,770","1,780","1,810","1,750","72,40M","1,14%"
"20.05.2020","1,750","1,770","1,790","1,750","39,59M","0,00%"
"18.05.2020","1,750","1,740","1,820","1,730","129,15M","1,74%"
"15.05.2020","1,720","1,700","1,810","1,700","163,57M","2,38%"
"14.05.2020","1,680","1,720","1,740","1,670","53,28M","-2,89%"
"13.05.2020","1,730","1,740","1,770","1,720","39,72M","-0,57%"
"12.05.2020","1,740","1,750","1,780","1,710","93,42M","-3,87%"
"11.05.2020","1,810","1,790","1,850","1,770","58,89M","2,26%"
"08.05.2020","1,770","1,810","1,850","1,760","47,72M","-1,12%"
"07.05.2020","1,790","1,840","1,860","1,790","61,35M","-2,72%"
"06.05.2020","1,840","1,740","1,900","1,730","172,85M","6,36%"
"05.05.2020","1,730","1,840","1,850","1,720","99,45M","-4,95%"
"04.05.2020","1,820","1,620","1,820","1,620","129,98M","9,64%"
"30.04.2020","1,660","1,710","1,730","1,630","60,89M","-2,35%"
"29.04.2020","1,700","1,690","1,720","1,690","55,02M","1,19%"
"28.04.2020","1,680","1,670","1,730","1,640","102,51M","1,20%"
"27.04.2020","1,660","1,640","1,680","1,630","52,88M","3,75%"
"24.04.2020","1,600","1,580","1,630","1,570","96,96M","1,91%"
"22.04.2020","1,570","1,530","1,610","1,510","139,61M","3,97%"
"21.04.2020","1,510","1,510","1,530","1,480","79,96M","-1,31%"
"20.04.2020","1,530","1,480","1,560","1,480","125,12M","4,79%"
"17.04.2020","1,460","1,420","1,510","1,410","190,82M","5,80%"
"16.04.2020","1,380","1,370","1,390","1,340","62,04M","2,22%"
"15.04.2020","1,350","1,420","1,420","1,320","55,47M","-4,26%"
"14.04.2020","1,410","1,410","1,430","1,400","70,56M","1,44%"
"13.04.2020","1,390","1,370","1,430","1,360","54,22M","0,72%"
"10.04.2020","1,380","1,380","1,400","1,370","56,79M","0,00%"
"09.04.2020","1,380","1,370","1,380","1,350","53,32M","2,22%"
"08.04.2020","1,350","1,360","1,370","1,340","41,85M","-0,74%"
"07.04.2020","1,360","1,380","1,410","1,350","93,25M","0,00%"
"06.04.2020","1,360","1,340","1,380","1,320","118,25M","3,82%"
"03.04.2020","1,310","1,310","1,360","1,300","81,92M","0,77%"
"02.04.2020","1,300","1,330","1,360","1,270","73,63M","0,00%"
"01.04.2020","1,300","1,240","1,310","1,220","102,00M","3,17%"
"31.03.2020","1,260","1,240","1,270","1,230","41,81M","3,28%"
"30.03.2020","1,220","1,230","1,240","1,200","25,93M","-0,81%"
"27.03.2020","1,230","1,310","1,320","1,220","51,93M","-6,11%"
"26.03.2020","1,310","1,290","1,330","1,270","96,18M","1,55%"
"25.03.2020","1,290","1,280","1,320","1,240","100,79M","2,38%"
"24.03.2020","1,260","1,230","1,260","1,210","68,50M","6,78%"
"23.03.2020","1,180","1,180","1,210","1,160","40,69M","-4,07%"
"20.03.2020","1,230","1,270","1,290","1,220","48,22M","0,82%"
"19.03.2020","1,220","1,230","1,260","1,200","50,21M","-1,61%"
"18.03.2020","1,240","1,200","1,310","1,190","69,09M","0,00%"
"17.03.2020","1,240","1,290","1,320","1,150","96,40M","-2,36%"
"16.03.2020","1,270","1,330","1,370","1,260","58,97M","-8,63%"
"13.03.2020","1,390","1,270","1,390","1,210","84,67M","9,45%"
"12.03.2020","1,270","1,470","1,480","1,260","110,82M","-17,53%"
"11.03.2020","1,540","1,500","1,570","1,390","111,60M","1,99%"
"10.03.2020","1,510","1,720","1,750","1,500","109,87M","-9,04%"
"09.03.2020","1,660","1,780","1,840","1,580","128,76M","-10,27%"
"06.03.2020","1,850","1,890","1,930","1,820","115,71M","-3,14%"
"05.03.2020","1,910","1,960","1,990","1,900","136,12M","-1,04%"
"04.03.2020","1,930","1,920","2,030","1,880","307,46M","1,58%"
"03.03.2020","1,900","1,990","2,020","1,880","194,43M","-3,55%"
"02.03.2020","1,970","1,880","2,000","1,820","327,76M","17,96%"
"28.02.2020","1,670","1,480","1,720","1,470","84,94M","-3,47%"
"27.02.2020","1,730","1,930","1,950","1,730","173,45M","-10,82%"
"26.02.2020","1,940","1,920","2,010","1,910","136,50M","0,00%"
"25.02.2020","1,940","1,880","2,080","1,820","371,64M","4,30%"
"24.02.2020","1,860","1,750","1,870","1,730","74,71M","3,33%"
"21.02.2020","1,800","1,750","1,810","1,700","73,92M","2,27%"
"20.02.2020","1,760","1,870","1,880","1,730","109,53M","-5,88%"
"19.02.2020","1,870","1,920","1,950","1,860","119,72M","-2,09%"
"18.02.2020","1,910","1,920","1,950","1,870","100,13M","0,00%"
"17.02.2020","1,910","1,990","2,000","1,900","120,93M","-3,05%"
"14.02.2020","1,970","1,850","1,980","1,840","217,53M","7,07%"
"13.02.2020","1,840","1,810","1,850","1,800","77,18M","1,66%"
"12.02.2020","1,810","1,810","1,840","1,740","129,09M","0,00%"
"11.02.2020","1,810","1,780","1,820","1,740","99,56M","3,43%"
"10.02.2020","1,750","1,810","1,870","1,640","141,14M","-3,31%"
"07.02.2020","1,810","1,880","1,890","1,800","99,29M","-3,21%"
"06.02.2020","1,870","1,800","1,890","1,790","119,08M","5,06%"
"05.02.2020","1,780","1,790","1,820","1,770","70,76M","0,00%"
"04.02.2020","1,780","1,770","1,790","1,760","62,14M","1,71%"
"03.02.2020","1,750","1,700","1,770","1,690","112,44M","2,94%"
"31.01.2020","1,700","1,680","1,700","1,670","48,79M","1,80%"
"30.01.2020","1,670","1,690","1,700","1,650","52,60M","-1,76%"
"29.01.2020","1,700","1,750","1,770","1,690","84,43M","-2,30%"
"28.01.2020","1,740","1,680","1,740","1,660","141,00M","4,82%"
"27.01.2020","1,660","1,630","1,680","1,610","84,33M","1,22%"
"24.01.2020","1,640","1,680","1,680","1,630","59,05M","-0,61%"
"23.01.2020","1,650","1,610","1,670","1,600","101,25M","1,85%"
"22.01.2020","1,620","1,650","1,670","1,610","48,30M","-1,82%"
"21.01.2020","1,650","1,640","1,670","1,620","58,44M","0,00%"
"20.01.2020","1,650","1,610","1,660","1,600","94,07M","3,77%"
"17.01.2020","1,590","1,570","1,620","1,530","105,26M","1,92%"
"16.01.2020","1,560","1,610","1,630","1,560","97,20M","-2,50%"
"15.01.2020","1,600","1,520","1,610","1,500","157,13M","3,90%"
"14.01.2020","1,540","1,560","1,560","1,510","37,87M","-0,65%"
"13.01.2020","1,550","1,520","1,570","1,520","44,79M","2,65%"
"10.01.2020","1,510","1,520","1,540","1,500","57,74M","-0,66%"
"09.01.2020","1,520","1,500","1,520","1,470","45,55M","7,80%"
"08.01.2020","1,410","1,420","1,440","1,390","53,88M","-2,76%"
"07.01.2020","1,450","1,460","1,480","1,450","36,09M","1,40%"
"06.01.2020","1,430","1,480","1,490","1,430","32,58M","-4,67%"
"03.01.2020","1,500","1,570","1,580","1,450","70,54M","-5,06%"
"02.01.2020","1,580","1,600","1,610","1,560","35,19M","0,00%"
"31.12.2019","1,580","1,570","1,640","1,570","123,90M","2,60%"
"30.12.2019","1,540","1,600","1,610","1,530","58,29M","-1,91%"
"27.12.2019","1,570","1,640","1,660","1,550","84,96M","-3,68%"
"26.12.2019","1,630","1,670","1,690","1,600","91,02M","-1,21%"
"25.12.2019","1,650","1,630","1,660","1,600","72,30M","1,85%"
"24.12.2019","1,620","1,650","1,680","1,610","76,48M","-1,22%"
"23.12.2019","1,640","1,630","1,750","1,620","272,23M","2,50%"
"20.12.2019","1,600","1,530","1,600","1,520","114,45M","5,26%"
"19.12.2019","1,520","1,520","1,540","1,510","25,85M","0,00%"
"18.12.2019","1,520","1,520","1,540","1,500","35,61M","-0,65%"
"17.12.2019","1,530","1,530","1,550","1,520","33,80M","0,66%"
"16.12.2019","1,520","1,510","1,540","1,500","32,80M","1,33%"
"13.12.2019","1,500","1,530","1,540","1,500","35,95M","-1,32%"
"12.12.2019","1,520","1,550","1,560","1,510","48,35M","-1,30%"
"11.12.2019","1,540","1,510","1,550","1,490","92,48M","3,36%"
"10.12.2019","1,490","1,500","1,550","1,480","73,07M","0,68%"
