"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","28,08","27,78","28,12","27,50","2,22M","0,93%"
"22.10.2020","27,82","27,80","27,82","26,82","2,88M","0,51%"
"21.10.2020","27,68","28,22","28,38","27,68","2,84M","-1,84%"
"20.10.2020","28,20","27,40","28,48","27,26","3,57M","3,22%"
"19.10.2020","27,32","27,20","27,36","27,00","1,55M","0,81%"
"16.10.2020","27,10","27,32","27,42","27,00","1,50M","-0,73%"
"15.10.2020","27,30","27,38","27,38","26,92","1,55M","-0,29%"
"14.10.2020","27,38","27,26","27,40","26,62","2,51M","0,44%"
"13.10.2020","27,26","26,68","27,30","26,34","2,89M","2,48%"
"12.10.2020","26,60","25,52","26,66","25,52","3,71M","4,48%"
"09.10.2020","25,46","25,28","25,46","25,08","1,34M","1,03%"
"08.10.2020","25,20","25,36","25,48","24,80","1,42M","-0,40%"
"07.10.2020","25,30","24,90","25,40","24,86","1,89M","0,88%"
"06.10.2020","25,08","25,32","25,42","25,08","1,11M","-0,71%"
"05.10.2020","25,26","25,46","25,80","25,24","1,54M","0,40%"
"02.10.2020","25,16","25,10","25,42","24,82","2,20M","0,08%"
"01.10.2020","25,14","24,76","25,30","24,66","2,66M","2,20%"
"30.09.2020","24,60","24,44","24,70","24,30","2,26M","1,91%"
"29.09.2020","24,14","24,10","24,38","23,70","3,10M","0,50%"
"28.09.2020","24,02","23,38","24,06","23,28","3,40M","3,27%"
"25.09.2020","23,26","23,44","23,58","23,16","1,87M","-0,09%"
"24.09.2020","23,28","23,08","23,36","22,92","1,61M","0,52%"
"23.09.2020","23,16","23,20","23,52","23,12","1,65M","-0,17%"
"22.09.2020","23,20","22,68","23,22","22,60","1,39M","2,29%"
"21.09.2020","22,68","23,30","23,42","22,40","1,62M","-2,91%"
"18.09.2020","23,36","23,50","23,76","23,36","1,24M","-0,51%"
"17.09.2020","23,48","23,42","23,50","23,26","985,59K","-0,34%"
"16.09.2020","23,56","23,62","23,74","23,20","1,16M","0,00%"
"15.09.2020","23,56","23,46","23,82","23,32","2,05M","0,51%"
"14.09.2020","23,44","23,52","23,58","23,18","1,30M","0,17%"
"11.09.2020","23,40","22,90","23,42","22,74","2,59M","2,09%"
"10.09.2020","22,92","23,06","23,32","22,88","1,55M","-0,35%"
"09.09.2020","23,00","23,10","23,32","22,74","1,95M","-0,43%"
"08.09.2020","23,10","23,54","23,68","22,74","2,68M","-1,28%"
"07.09.2020","23,40","23,08","23,50","23,08","1,80M","3,08%"
"04.09.2020","22,70","22,00","22,86","21,76","3,06M","2,62%"
"03.09.2020","22,12","22,40","22,56","22,06","1,30M","-0,81%"
"02.09.2020","22,30","22,38","22,42","21,98","1,26M","-0,27%"
"01.09.2020","22,36","22,48","22,56","21,88","1,94M","-0,45%"
"31.08.2020","22,46","22,68","23,00","22,02","5,24M","1,63%"
"28.08.2020","22,10","21,98","22,28","21,86","1,99M","0,64%"
"27.08.2020","21,96","22,06","22,12","21,70","2,08M","0,55%"
"26.08.2020","21,84","21,54","21,96","21,32","2,14M","1,30%"
"25.08.2020","21,56","22,04","22,36","21,32","2,15M","-2,09%"
"24.08.2020","22,02","22,10","22,20","21,88","1,42M","0,27%"
"21.08.2020","21,96","22,34","22,58","21,56","2,67M","-0,63%"
"20.08.2020","22,10","22,02","22,10","21,54","1,82M","0,45%"
"19.08.2020","22,00","21,24","22,16","21,24","2,64M","3,97%"
"18.08.2020","21,16","21,06","21,54","21,04","1,70M","0,76%"
"17.08.2020","21,00","21,16","21,30","20,94","1,43M","-0,76%"
"14.08.2020","21,16","21,92","22,34","21,12","2,22M","-3,91%"
"13.08.2020","22,02","23,10","23,16","22,02","2,85M","-3,84%"
"12.08.2020","22,90","23,46","23,50","22,60","2,48M","-2,39%"
"11.08.2020","23,46","23,42","24,04","23,10","3,20M","0,60%"
"10.08.2020","23,32","22,80","23,58","22,50","2,53M","1,83%"
