"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","18,30","17,94","18,72","17,90","12,93M","2,23%"
"22.10.2020","17,90","18,48","18,50","17,89","5,47M","-2,98%"
"21.10.2020","18,45","18,21","18,75","18,13","10,08M","1,88%"
"20.10.2020","18,11","18,48","18,59","18,10","5,43M","-1,90%"
"19.10.2020","18,46","18,45","18,80","18,43","8,02M","0,49%"
"16.10.2020","18,37","18,92","18,99","18,33","7,38M","-1,82%"
"15.10.2020","18,71","17,85","19,36","17,83","18,46M","4,76%"
"14.10.2020","17,86","18,40","18,59","17,76","7,09M","-2,14%"
"13.10.2020","18,25","18,00","18,63","17,80","12,99M","2,24%"
"12.10.2020","17,85","18,00","18,19","17,73","7,92M","0,00%"
"09.10.2020","17,85","17,11","18,24","17,09","13,48M","5,37%"
"08.10.2020","16,94","17,40","17,52","16,92","3,08M","-2,36%"
"07.10.2020","17,35","17,71","17,74","17,35","2,65M","-1,87%"
"06.10.2020","17,68","17,86","18,08","17,66","6,43M","-0,28%"
"05.10.2020","17,73","17,72","17,94","17,61","4,58M","2,37%"
"02.10.2020","17,32","17,06","17,58","17,01","7,68M","1,41%"
"01.10.2020","17,08","17,37","17,52","17,06","4,73M","-1,10%"
"30.09.2020","17,27","16,77","17,43","16,77","8,95M","3,85%"
"29.09.2020","16,63","16,40","17,25","16,27","8,61M","2,02%"
"28.09.2020","16,30","16,55","16,69","16,30","2,25M","-1,27%"
"25.09.2020","16,51","16,70","16,81","16,50","2,00M","-0,54%"
"24.09.2020","16,60","16,50","16,92","16,49","2,42M","0,67%"
"23.09.2020","16,49","16,64","16,82","16,46","1,70M","-0,60%"
"22.09.2020","16,59","16,45","16,99","16,23","4,02M","1,04%"
"21.09.2020","16,42","17,10","17,15","16,42","2,97M","-3,81%"
"18.09.2020","17,07","17,40","17,61","17,06","4,64M","-1,78%"
"17.09.2020","17,38","17,51","17,70","17,38","2,44M","-0,52%"
"16.09.2020","17,47","17,38","17,69","17,36","2,15M","0,87%"
"15.09.2020","17,32","17,57","17,77","16,70","3,69M","-0,97%"
"14.09.2020","17,49","17,57","17,90","17,45","2,47M","0,40%"
"11.09.2020","17,42","17,80","17,98","17,30","3,30M","-1,69%"
"10.09.2020","17,72","17,75","18,17","17,50","6,20M","0,45%"
"09.09.2020","17,64","17,90","18,70","17,54","9,27M","-0,95%"
"08.09.2020","17,81","17,16","18,24","16,55","12,69M","4,76%"
"07.09.2020","17,00","16,61","17,12","16,61","4,67M","4,49%"
"04.09.2020","16,27","15,55","16,75","15,55","9,61M","4,90%"
"03.09.2020","15,51","15,80","16,02","15,46","2,25M","-1,21%"
"02.09.2020","15,70","16,03","16,29","15,70","3,72M","-2,06%"
"01.09.2020","16,03","15,47","16,48","15,20","9,31M","4,77%"
"31.08.2020","15,30","15,27","15,71","14,88","5,42M","0,86%"
"28.08.2020","15,17","15,50","15,56","15,02","2,18M","-1,69%"
"27.08.2020","15,43","15,60","15,88","15,39","4,42M","-0,45%"
"26.08.2020","15,50","14,86","16,34","14,86","10,50M","4,31%"
"25.08.2020","14,86","15,64","15,74","14,86","1,89M","-4,44%"
"24.08.2020","15,55","15,70","15,88","15,52","1,37M","-0,32%"
"21.08.2020","15,60","16,11","16,12","15,55","2,05M","-1,70%"
