"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","37,70","39,26","39,80","37,24","1,49M","-3,88%"
"22.10.2020","39,22","38,66","39,88","38,10","1,45M","1,61%"
"21.10.2020","38,60","39,56","40,46","38,60","1,08M","-2,28%"
"20.10.2020","39,50","40,34","41,28","39,30","1,45M","-1,79%"
"19.10.2020","40,22","41,36","41,56","40,22","1,43M","-2,85%"
"16.10.2020","41,40","40,16","42,10","39,62","2,77M","3,14%"
"15.10.2020","40,14","38,40","40,32","37,50","2,74M","5,08%"
"14.10.2020","38,20","40,68","41,24","37,80","3,23M","-4,36%"
"13.10.2020","39,94","37,92","40,16","37,10","4,20M","6,39%"
"12.10.2020","37,54","36,00","39,10","35,36","5,54M","5,57%"
"09.10.2020","35,56","36,40","37,12","35,24","2,48M","-2,09%"
"08.10.2020","36,32","33,58","36,42","33,58","4,63M","8,42%"
"07.10.2020","33,50","32,94","34,14","32,56","1,58M","1,21%"
"06.10.2020","33,10","34,10","34,28","32,88","1,80M","-2,47%"
"05.10.2020","33,94","32,24","34,38","32,14","2,54M","6,39%"
"02.10.2020","31,90","32,56","33,30","31,48","1,83M","-2,03%"
"01.10.2020","32,56","31,04","33,40","30,94","4,16M","6,06%"
"30.09.2020","30,70","31,00","31,46","30,68","1,33M","0,00%"
"29.09.2020","30,70","30,00","31,10","29,90","2,02M","2,40%"
"28.09.2020","29,98","30,44","30,60","29,74","1,09M","-1,25%"
"25.09.2020","30,36","30,48","30,98","30,24","1,23M","0,46%"
"24.09.2020","30,22","30,00","30,42","29,64","1,36M","-0,13%"
"23.09.2020","30,26","31,28","31,30","29,94","2,17M","-2,39%"
"22.09.2020","31,00","34,00","35,06","30,90","6,20M","-6,57%"
"21.09.2020","33,18","31,50","33,74","31,28","4,36M","5,74%"
"18.09.2020","31,38","30,10","32,70","29,92","8,49M","5,51%"
"17.09.2020","29,74","29,92","30,92","29,36","1,76M","-0,54%"
"16.09.2020","29,90","29,00","30,30","29,00","2,15M","3,75%"
"15.09.2020","28,82","28,90","29,52","28,62","943,16K","0,07%"
"14.09.2020","28,80","28,98","29,48","28,70","966,14K","-0,14%"
"11.09.2020","28,84","29,20","29,54","28,56","1,29M","0,00%"
"10.09.2020","28,84","29,10","29,46","28,34","1,58M","-0,55%"
"09.09.2020","29,00","30,52","31,18","29,00","3,04M","-5,23%"
"08.09.2020","30,60","30,24","32,58","29,20","5,99M","2,55%"
"07.09.2020","29,84","27,30","29,84","27,30","2,68M","9,95%"
"04.09.2020","27,14","27,38","27,82","27,12","852,22K","-0,66%"
"03.09.2020","27,32","26,92","28,98","26,84","2,58M","1,94%"
"02.09.2020","26,80","26,90","27,30","26,70","775,17K","-0,37%"
"01.09.2020","26,90","26,38","27,48","26,22","1,29M","1,97%"
"31.08.2020","26,38","26,80","26,90","26,34","538,53K","-1,20%"
"28.08.2020","26,70","27,06","27,30","26,70","648,05K","-0,89%"
"27.08.2020","26,94","26,86","28,58","26,52","2,17M","0,67%"
"26.08.2020","26,76","27,46","27,80","26,34","1,20M","-2,83%"
"25.08.2020","27,54","27,90","28,34","27,32","602,39K","-1,15%"
"24.08.2020","27,86","28,10","28,28","27,86","415,64K","-0,85%"
"21.08.2020","28,10","28,54","28,68","27,94","646,07K","-1,40%"
