"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","57,650","62,000","63,000","56,050","165,48K","-5,57%"
"22.10.2020","61,050","56,400","61,050","53,800","262,50K","10,00%"
"21.10.2020","55,500","57,950","57,950","55,050","101,21K","-2,55%"
"20.10.2020","56,950","59,000","59,000","56,300","85,03K","-1,13%"
"19.10.2020","57,600","58,800","59,200","57,450","109,25K","-2,04%"
"16.10.2020","58,800","58,550","60,200","58,150","81,64K","0,68%"
"15.10.2020","58,400","59,050","59,550","58,050","55,62K","-0,93%"
"14.10.2020","58,950","58,700","60,600","57,850","96,82K","1,90%"
"13.10.2020","57,850","59,850","60,250","56,900","126,05K","-3,34%"
"12.10.2020","59,850","62,000","62,400","59,000","118,80K","-1,89%"
"09.10.2020","61,000","59,500","63,050","58,500","108,00K","1,33%"
"08.10.2020","60,200","60,950","64,150","58,050","167,72K","-1,23%"
"07.10.2020","60,950","64,000","64,000","60,950","165,21K","-5,94%"
"06.10.2020","64,800","63,300","67,500","62,700","315,79K","4,26%"
"05.10.2020","62,150","56,500","62,150","56,500","246,52K","10,00%"
"02.10.2020","56,500","57,000","58,000","55,000","117,48K","-0,79%"
"01.10.2020","56,950","61,050","61,050","55,950","171,16K","-6,72%"
"30.09.2020","61,050","60,050","63,700","57,050","278,98K","0,99%"
"29.09.2020","60,450","62,850","65,300","60,300","396,70K","-9,78%"
"28.09.2020","67,000","62,750","71,800","59,400","709,00K","1,52%"
"25.09.2020","66,000","66,000","70,550","66,000","523,99K","-9,96%"
"24.09.2020","73,300","81,700","84,950","73,300","493,46K","-9,95%"
"23.09.2020","81,400","69,900","81,400","67,950","237,88K","10,00%"
"22.09.2020","74,000","82,100","82,100","74,000","205,45K","-9,98%"
"21.09.2020","82,200","90,000","93,400","82,200","266,23K","-9,97%"
"18.09.2020","91,300","84,600","94,000","79,900","228,48K","6,04%"
"17.09.2020","86,100","78,000","86,250","70,650","269,74K","9,75%"
"16.09.2020","78,450","77,800","78,450","72,900","674,95K","9,95%"
"15.09.2020","71,350","66,000","71,350","65,300","198,97K","9,94%"
"14.09.2020","64,900","60,500","64,900","58,050","231,87K","10,00%"
"11.09.2020","59,000","59,500","61,900","58,500","136,50K","-4,14%"
"10.09.2020","61,550","63,600","65,000","56,450","347,57K","-1,83%"
"09.09.2020","62,700","60,750","62,700","58,000","293,13K","10,00%"
"08.09.2020","57,000","55,000","57,000","53,000","253,36K","9,93%"
"07.09.2020","51,850","50,900","51,850","49,000","211,33K","9,90%"
"04.09.2020","47,180","43,300","47,180","43,000","114,82K","9,98%"
"03.09.2020","42,900","39,600","42,900","39,000","318,00K","10,00%"
