"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","18,06","18,34","18,38","17,78","31,20M","-1,53%"
"22.10.2020","18,34","18,09","18,49","18,00","53,04M","1,49%"
"21.10.2020","18,07","18,25","18,27","18,07","19,43M","-0,61%"
"20.10.2020","18,18","18,12","18,37","18,08","49,28M","0,44%"
"19.10.2020","18,10","18,09","18,19","18,07","21,77M","0,28%"
"16.10.2020","18,05","18,20","18,24","17,98","24,78M","-0,72%"
"15.10.2020","18,18","18,09","18,30","17,96","36,56M","0,55%"
"14.10.2020","18,08","18,07","18,18","17,98","27,87M","0,28%"
"13.10.2020","18,03","18,10","18,35","17,94","39,05M","-0,11%"
"12.10.2020","18,05","18,16","18,29","18,05","26,25M","-0,33%"
"09.10.2020","18,11","18,14","18,27","17,97","39,18M","0,06%"
"08.10.2020","18,10","18,62","18,76","18,01","60,76M","-2,48%"
"07.10.2020","18,56","18,45","18,72","18,42","50,74M","0,11%"
"06.10.2020","18,54","18,76","18,87","18,54","32,64M","-0,86%"
"05.10.2020","18,70","18,53","18,96","18,49","47,18M","1,63%"
"02.10.2020","18,40","18,45","18,88","18,25","69,61M","-0,70%"
"01.10.2020","18,53","19,32","19,86","18,53","91,13M","-4,09%"
"30.09.2020","19,32","18,46","19,80","18,11","228,38M","3,82%"
"29.09.2020","18,61","17,49","18,62","17,36","96,57M","6,59%"
"28.09.2020","17,46","17,24","17,70","17,24","55,28M","1,39%"
"25.09.2020","17,22","17,10","17,44","17,01","73,52M","1,47%"
"24.09.2020","16,97","16,27","16,99","16,24","53,58M","3,73%"
"23.09.2020","16,36","16,37","16,56","16,30","24,14M","0,12%"
"22.09.2020","16,34","16,22","16,44","16,05","21,89M","0,74%"
"21.09.2020","16,22","16,57","16,66","16,10","22,76M","-2,11%"
"18.09.2020","16,57","16,75","16,76","16,57","14,58M","-0,48%"
"17.09.2020","16,65","16,58","16,65","16,46","16,62M","-0,12%"
"16.09.2020","16,67","16,76","16,77","16,58","14,12M","-0,12%"
"15.09.2020","16,69","16,77","16,90","16,50","23,93M","-0,24%"
"14.09.2020","16,73","16,68","16,86","16,66","21,50M","0,60%"
"11.09.2020","16,63","16,71","16,73","16,55","13,97M","-0,24%"
"10.09.2020","16,67","16,60","16,85","16,55","25,13M","0,66%"
"09.09.2020","16,56","16,66","16,85","16,51","23,34M","-0,60%"
"08.09.2020","16,66","16,96","17,06","16,65","24,83M","-1,42%"
"07.09.2020","16,90","16,90","17,00","16,83","28,65M","0,12%"
"04.09.2020","16,88","16,93","17,10","16,76","47,20M","-0,12%"
"03.09.2020","16,90","16,62","17,27","16,62","83,56M","1,81%"
"02.09.2020","16,60","16,82","16,96","16,60","41,64M","-1,37%"
"01.09.2020","16,83","16,25","17,00","15,85","56,81M","3,63%"
"31.08.2020","16,24","16,75","16,76","16,21","33,61M","-3,04%"
"28.08.2020","16,75","16,94","16,99","16,60","16,50M","-1,06%"
"27.08.2020","16,93","17,05","17,15","16,88","18,74M","-0,29%"
"26.08.2020","16,98","16,88","17,21","16,76","33,97M","0,30%"
"25.08.2020","16,93","17,30","17,34","16,58","31,35M","-1,51%"
"24.08.2020","17,19","17,36","17,54","17,15","19,69M","-0,92%"
"21.08.2020","17,35","17,72","17,93","17,32","31,42M","-1,87%"
"20.08.2020","17,68","17,90","17,91","17,59","31,74M","-1,17%"
"19.08.2020","17,89","17,90","18,04","17,75","54,73M","1,07%"
"18.08.2020","17,70","17,85","18,06","17,66","44,65M","-0,78%"
"17.08.2020","17,84","17,29","17,92","17,22","45,18M","3,30%"
"14.08.2020","17,27","17,50","17,50","17,14","36,25M","-1,82%"
"13.08.2020","17,59","17,77","18,14","17,46","64,00M","-0,90%"
"12.08.2020","17,75","18,15","18,19","17,46","58,74M","-1,93%"
"11.08.2020","18,10","18,11","18,88","18,00","99,58M","0,39%"
"10.08.2020","18,03","16,79","18,15","16,25","145,81M","7,39%"
"07.08.2020","16,79","15,20","16,79","14,23","109,68M","9,95%"
"06.08.2020","15,27","16,84","17,04","15,24","70,32M","-9,32%"
"05.08.2020","16,84","17,38","17,48","16,60","47,68M","-2,43%"
"04.08.2020","17,26","18,00","18,22","16,47","92,32M","-2,10%"
"30.07.2020","17,63","17,70","17,76","17,29","38,65M","-0,06%"
"29.07.2020","17,64","18,30","18,54","17,55","127,68M","-3,29%"
"28.07.2020","18,24","18,92","19,16","18,24","150,22M","-3,18%"
"27.07.2020","18,84","17,62","19,11","17,54","192,41M","7,41%"
"24.07.2020","17,54","17,47","18,03","17,41","101,77M","-0,17%"
"23.07.2020","17,57","16,93","17,64","16,88","131,44M","4,15%"
"22.07.2020","16,87","16,29","16,97","16,19","129,83M","4,33%"
"21.07.2020","16,17","16,69","16,74","16,08","45,89M","-2,41%"
"20.07.2020","16,57","16,23","16,71","16,17","65,14M","1,78%"
"17.07.2020","16,28","16,50","16,51","16,22","36,65M","-1,52%"
"16.07.2020","16,53","16,12","16,56","16,08","72,96M","3,37%"
"14.07.2020","15,99","16,08","16,20","15,97","25,77M","-0,80%"
"13.07.2020","16,12","15,93","16,16","15,93","32,05M","1,76%"
"10.07.2020","15,84","15,86","15,87","15,33","55,21M","-0,13%"
"09.07.2020","15,86","16,19","16,41","15,85","58,39M","-1,49%"
"08.07.2020","16,10","16,25","16,34","16,10","33,68M","-0,92%"
"07.07.2020","16,25","16,22","16,40","16,02","52,50M","0,31%"
"06.07.2020","16,20","16,25","16,29","16,12","25,60M","0,74%"
"03.07.2020","16,08","16,41","16,44","15,95","45,54M","-1,77%"
"02.07.2020","16,37","16,43","16,54","16,37","38,98M","0,24%"
"01.07.2020","16,33","16,33","16,56","16,19","79,61M","0,86%"
"30.06.2020","16,19","16,10","16,32","16,06","53,51M","1,31%"
"29.06.2020","15,98","15,69","16,17","15,64","60,84M","1,97%"
"26.06.2020","15,67","15,78","15,81","15,62","22,72M","0,13%"
"25.06.2020","15,65","15,70","15,94","15,53","46,83M","-0,32%"
"24.06.2020","15,70","16,03","16,07","15,66","40,21M","-2,05%"
"23.06.2020","16,03","16,17","16,23","16,02","37,19M","-0,43%"
"22.06.2020","16,10","16,40","16,43","16,10","49,36M","-1,28%"
"19.06.2020","16,31","16,36","17,00","16,05","181,50M","0,37%"
"18.06.2020","16,25","15,92","16,25","15,87","61,55M","2,39%"
"17.06.2020","15,87","16,27","16,30","15,87","48,66M","-2,09%"
"16.06.2020","16,21","16,10","16,36","16,05","76,75M","1,69%"
"15.06.2020","15,94","15,95","16,10","15,88","33,98M","-0,68%"
"12.06.2020","16,05","15,95","16,21","15,89","59,59M","-0,12%"
"11.06.2020","16,07","15,90","16,30","15,87","61,71M","0,12%"
