"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","12,690","14,300","14,430","12,690","2,46M","-9,94%"
"22.10.2020","14,090","14,090","14,100","14,090","1,52M","0,00%"
"21.10.2020","14,090","14,520","14,520","14,090","3,58M","6,74%"
"20.10.2020","13,200","13,000","13,200","13,000","302,87K","-4,00%"
"19.10.2020","13,750","12,960","13,800","12,960","275,22K","-4,45%"
"16.10.2020","14,390","13,160","14,500","13,160","544,98K","-1,57%"
"15.10.2020","14,620","16,000","16,000","14,620","310,31K","-9,98%"
"14.10.2020","16,240","16,230","16,240","16,100","1,20M","9,95%"
"13.10.2020","14,770","14,770","14,770","14,770","527,39K","9,98%"
"12.10.2020","13,430","13,430","13,430","13,430","86,55K","9,99%"
"09.10.2020","12,210","12,200","12,210","12,200","77,51K","5,26%"
"08.10.2020","11,600","11,000","11,600","11,000","95,60K","5,94%"
"07.10.2020","10,950","10,980","10,980","10,900","71,89K","-0,27%"
"06.10.2020","10,980","11,000","11,000","10,980","58,21K","2,14%"
"05.10.2020","10,750","10,100","11,000","10,100","83,89K","-0,37%"
"02.10.2020","10,790","10,790","10,790","10,500","65,39K","0,00%"
"01.10.2020","10,790","11,050","11,050","10,650","42,32K","-2,62%"
"30.09.2020","11,080","11,080","11,080","11,080","83,72K","0,18%"
"29.09.2020","11,060","11,010","11,070","11,010","34,29K","0,55%"
"28.09.2020","11,000","10,800","11,000","10,800","99,55K","-0,36%"
"25.09.2020","11,040","9,200","11,040","9,200","190,01K","9,96%"
"24.09.2020","10,040","10,040","10,040","10,040","87,82K","-9,96%"
"23.09.2020","11,150","11,150","11,150","11,150","132,35K","-9,94%"
"22.09.2020","12,380","12,280","12,420","11,950","171,36K","0,73%"
"21.09.2020","12,290","11,670","12,500","11,670","240,61K","6,41%"
"18.09.2020","11,550","11,500","11,610","11,100","162,41K","0,43%"
"17.09.2020","11,500","11,100","11,600","10,880","313,58K","3,60%"
"16.09.2020","11,100","10,600","11,160","10,550","296,16K","3,45%"
"15.09.2020","10,730","10,740","10,850","10,410","168,75K","0,00%"
"14.09.2020","10,730","11,100","11,100","10,600","283,42K","-4,62%"
"11.09.2020","11,250","11,280","11,280","10,600","321,55K","-0,71%"
"10.09.2020","11,330","10,300","11,330","9,990","489,02K","10,00%"
"09.09.2020","10,300","10,400","10,420","10,000","194,38K","0,49%"
"08.09.2020","10,250","9,920","10,460","9,770","297,43K","3,54%"
"07.09.2020","9,900","10,200","10,200","9,810","197,03K","-3,88%"
"04.09.2020","10,300","10,140","10,300","9,760","152,42K","0,19%"
"03.09.2020","10,280","9,730","10,400","9,630","257,57K","6,42%"
"02.09.2020","9,660","9,590","9,700","9,500","100,77K","0,73%"
"01.09.2020","9,590","9,600","9,720","9,540","81,99K","0,74%"
"31.08.2020","9,520","9,670","9,700","9,500","126,38K","-1,65%"
"28.08.2020","9,680","9,700","9,990","9,470","129,84K","-0,21%"
"27.08.2020","9,700","9,700","9,800","9,500","153,72K","0,52%"
"26.08.2020","9,650","9,700","9,860","9,650","126,87K","-0,52%"
"25.08.2020","9,700","9,600","9,750","9,600","116,99K","1,04%"
"24.08.2020","9,600","9,500","9,620","9,360","216,80K","1,16%"
"21.08.2020","9,490","9,500","9,640","9,210","115,09K","-0,11%"
"20.08.2020","9,500","9,510","9,700","9,400","157,53K","-3,16%"
"19.08.2020","9,810","9,420","9,990","9,340","375,44K","5,03%"
"18.08.2020","9,340","9,340","9,340","9,000","111,48K","0,00%"
"17.08.2020","9,340","8,900","9,340","8,880","332,24K","4,94%"
"14.08.2020","8,900","8,680","8,990","8,600","128,01K","2,53%"
"13.08.2020","8,680","8,600","8,850","8,550","133,87K","0,93%"
"12.08.2020","8,600","8,800","8,800","8,480","180,00K","0,23%"
"11.08.2020","8,580","8,490","8,700","8,150","382,71K","2,14%"
"10.08.2020","8,400","7,880","8,500","7,100","260,76K","6,60%"
"07.08.2020","7,880","7,250","7,880","7,000","574,13K","9,90%"
"06.08.2020","7,170","7,490","7,490","6,720","213,72K","-1,78%"
"05.08.2020","7,300","7,560","7,790","7,230","87,22K","-3,31%"
"04.08.2020","7,550","7,300","7,950","7,300","353,38K","0,67%"
"30.07.2020","7,500","7,590","7,590","7,290","97,89K","1,35%"
"29.07.2020","7,400","7,540","7,540","7,220","103,73K","-2,37%"
"28.07.2020","7,580","7,390","7,600","7,250","215,23K","1,47%"
"27.07.2020","7,470","7,650","7,850","7,300","383,64K","-4,11%"
"24.07.2020","7,790","7,510","7,990","7,370","564,00K","5,70%"
"23.07.2020","7,370","6,710","7,370","6,500","696,70K","10,00%"
"22.07.2020","6,700","6,620","7,270","6,620","168,97K","1,21%"
"21.07.2020","6,620","6,650","6,730","6,490","287,73K","-0,45%"
"20.07.2020","6,650","6,790","6,790","6,620","193,28K","-2,06%"
"17.07.2020","6,790","6,780","6,900","6,560","274,55K","-0,29%"
"16.07.2020","6,810","6,620","7,060","6,500","496,73K","0,74%"
"14.07.2020","6,760","6,200","6,990","6,200","807,08K","6,29%"
"13.07.2020","6,360","6,450","6,450","6,110","427,97K","0,63%"
"10.07.2020","6,320","5,830","6,390","5,700","1,31M","8,22%"
"09.07.2020","5,840","5,870","6,050","5,650","550,64K","0,86%"
"08.07.2020","5,790","5,880","5,940","5,700","433,72K","-0,86%"
"07.07.2020","5,840","5,880","5,950","5,760","379,77K","-0,51%"
"06.07.2020","5,870","5,900","5,960","5,770","471,93K","-0,51%"
