"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","6,340","6,580","6,600","6,150","7,43M","-3,21%"
"22.10.2020","6,550","6,290","6,550","6,220","12,79M","4,47%"
"21.10.2020","6,270","6,190","6,330","6,180","4,76M","1,62%"
"20.10.2020","6,170","6,240","6,260","6,140","2,54M","-0,80%"
"19.10.2020","6,220","6,200","6,310","6,180","4,25M","0,32%"
"16.10.2020","6,200","6,100","6,350","6,100","7,36M","1,14%"
"15.10.2020","6,130","6,230","6,290","6,090","4,77M","-1,61%"
"14.10.2020","6,230","6,170","6,370","6,140","9,07M","1,30%"
"13.10.2020","6,150","6,340","6,340","6,130","3,86M","-2,84%"
"12.10.2020","6,330","6,340","6,500","6,270","4,34M","0,96%"
"09.10.2020","6,270","6,180","6,310","6,110","4,25M","1,46%"
"08.10.2020","6,180","6,310","6,340","6,120","3,39M","-1,75%"
"07.10.2020","6,290","6,280","6,390","6,210","3,40M","0,16%"
"06.10.2020","6,280","6,220","6,360","6,170","5,72M","1,13%"
"05.10.2020","6,210","6,220","6,250","6,170","2,53M","0,81%"
"02.10.2020","6,160","6,000","6,210","5,950","3,66M","2,84%"
"01.10.2020","5,990","6,130","6,150","5,840","3,04M","-2,12%"
"30.09.2020","6,120","6,100","6,200","6,060","4,65M","0,99%"
"29.09.2020","6,060","6,230","6,300","6,000","4,14M","-2,42%"
"28.09.2020","6,210","6,330","6,360","6,150","3,83M","-2,05%"
"25.09.2020","6,340","6,400","6,500","6,270","3,88M","0,32%"
"24.09.2020","6,320","6,100","6,380","6,030","8,37M","4,64%"
"23.09.2020","6,040","5,910","6,130","5,880","5,46M","2,55%"
"22.09.2020","5,890","5,860","5,950","5,770","5,14M","0,68%"
"21.09.2020","5,850","5,950","6,020","5,730","7,61M","-0,85%"
"18.09.2020","5,900","5,980","5,980","5,840","3,15M","0,00%"
"17.09.2020","5,900","5,920","5,950","5,710","5,23M","1,03%"
"16.09.2020","5,840","5,800","6,040","5,780","5,03M","1,74%"
"15.09.2020","5,740","6,520","6,800","5,700","43,39M","-7,27%"
"14.09.2020","6,190","5,670","6,190","5,640","7,82M","9,95%"
"11.09.2020","5,630","5,680","5,780","5,570","5,58M","-0,18%"
"10.09.2020","5,640","5,440","5,850","5,420","11,92M","3,87%"
"09.09.2020","5,430","5,360","5,540","5,320","6,73M","1,50%"
"08.09.2020","5,350","5,330","5,510","5,280","6,22M","0,75%"
"07.09.2020","5,310","5,450","5,510","5,280","5,89M","-2,21%"
"04.09.2020","5,430","6,030","6,390","5,410","26,66M","-9,65%"
"03.09.2020","6,010","5,520","6,020","5,250","17,92M","9,67%"
"02.09.2020","5,480","5,270","5,500","5,230","4,53M","4,58%"
"01.09.2020","5,240","5,330","5,340","5,120","2,08M","0,00%"
"31.08.2020","5,240","5,170","5,350","5,150","2,79M","2,34%"
"28.08.2020","5,120","5,040","5,400","4,930","3,91M","1,59%"
"27.08.2020","5,040","4,930","5,070","4,920","2,42M","2,65%"
"26.08.2020","4,910","4,780","4,960","4,780","1,19M","0,82%"
"25.08.2020","4,870","4,960","4,960","4,790","1,67M","-2,01%"
"24.08.2020","4,970","4,760","5,060","4,740","3,05M","4,41%"
"21.08.2020","4,760","5,100","5,430","4,760","4,56M","-6,30%"
"20.08.2020","5,080","4,640","5,080","4,570","2,13M","9,96%"
"19.08.2020","4,620","4,490","4,760","4,450","1,31M","-1,28%"
"18.08.2020","4,680","4,640","4,690","4,610","552,36K","0,86%"
"17.08.2020","4,640","4,580","4,640","4,530","479,40K","1,31%"
"14.08.2020","4,580","4,640","4,680","4,520","480,79K","-1,72%"
"13.08.2020","4,660","4,810","4,870","4,610","869,19K","-3,12%"
"12.08.2020","4,810","4,760","4,850","4,660","2,63M","0,84%"
"11.08.2020","4,770","4,650","4,810","4,620","2,65M","4,15%"
"10.08.2020","4,580","4,450","4,780","4,350","908,48K","1,78%"
"07.08.2020","4,500","4,280","4,500","3,910","931,69K","3,69%"
"06.08.2020","4,340","4,780","4,820","4,330","1,20M","-9,21%"
"05.08.2020","4,780","4,940","4,990","4,750","884,56K","-3,24%"
"04.08.2020","4,940","5,170","5,210","4,730","1,55M","-4,08%"
"30.07.2020","5,150","5,090","5,200","5,040","355,26K","1,38%"
"29.07.2020","5,080","5,110","5,150","4,910","1,29M","-0,39%"
"28.07.2020","5,100","5,500","5,500","5,100","1,51M","-5,73%"
"27.07.2020","5,410","5,340","5,470","5,330","1,77M","1,88%"
"24.07.2020","5,310","5,320","5,360","5,200","776,50K","-0,56%"
"23.07.2020","5,340","5,390","5,450","5,300","1,07M","-0,37%"
"22.07.2020","5,360","5,440","5,540","5,300","1,62M","-1,11%"
"21.07.2020","5,420","5,650","5,700","5,370","3,63M","-3,56%"
"20.07.2020","5,620","5,480","5,680","5,470","3,78M","2,74%"
"17.07.2020","5,470","5,550","5,560","5,430","2,16M","-0,91%"
"16.07.2020","5,520","5,530","5,570","5,410","3,19M","1,66%"
"14.07.2020","5,430","5,330","5,560","5,230","3,42M","2,07%"
"13.07.2020","5,320","5,120","5,340","5,120","1,80M","5,35%"
"10.07.2020","5,050","5,150","5,150","4,840","2,37M","-2,51%"
"09.07.2020","5,180","5,640","5,640","5,140","3,42M","-7,33%"
"08.07.2020","5,590","5,630","5,730","5,560","5,14M","-0,71%"
"07.07.2020","5,630","5,700","5,820","5,420","6,16M","-0,88%"
"06.07.2020","5,680","5,620","5,730","5,590","6,28M","2,34%"
"03.07.2020","5,550","5,640","5,650","5,530","5,10M","-1,60%"
"02.07.2020","5,640","5,600","5,740","5,600","5,11M","1,81%"
"01.07.2020","5,540","5,420","5,590","5,400","7,18M","2,97%"
"30.06.2020","5,380","5,350","5,530","5,320","7,94M","1,13%"
"29.06.2020","5,320","5,260","5,390","5,230","3,61M","1,33%"
"26.06.2020","5,250","5,160","5,370","5,150","7,22M","2,34%"
"25.06.2020","5,130","5,150","5,220","5,110","1,83M","-0,39%"
"24.06.2020","5,150","5,170","5,260","5,150","2,79M","-0,39%"
"23.06.2020","5,170","5,220","5,310","5,150","2,52M","-0,77%"
