"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","45,760","45,920","46,560","45,420","2,46M","-0,31%"
"22.10.2020","45,900","46,280","46,440","45,820","2,33M","-0,86%"
"21.10.2020","46,300","46,960","47,020","46,280","2,33M","-0,81%"
"20.10.2020","46,680","47,340","48,020","46,660","3,59M","-0,77%"
"19.10.2020","47,040","46,740","47,420","46,480","3,66M","1,16%"
"16.10.2020","46,500","46,140","47,200","46,000","3,70M","0,96%"
"15.10.2020","46,060","46,860","47,140","46,020","2,28M","-2,12%"
"14.10.2020","47,060","47,120","47,380","46,820","2,66M","-0,08%"
"13.10.2020","47,100","48,000","48,200","47,100","3,81M","-1,51%"
"12.10.2020","47,820","47,140","48,520","47,020","6,32M","1,70%"
"09.10.2020","47,020","46,740","47,280","46,680","2,73M","0,73%"
"08.10.2020","46,680","47,040","47,160","46,600","2,59M","0,00%"
"07.10.2020","46,680","46,740","47,080","46,500","2,39M","-0,30%"
"06.10.2020","46,820","47,280","47,540","46,700","4,26M","-0,64%"
"05.10.2020","47,120","46,960","47,780","46,900","3,71M","0,73%"
"02.10.2020","46,780","46,540","47,760","46,260","8,77M","0,04%"
"01.10.2020","46,760","46,400","48,320","46,280","10,48M","1,21%"
"30.09.2020","46,200","45,740","46,340","45,680","2,82M","1,18%"
"29.09.2020","45,660","45,820","46,180","45,340","2,45M","-0,26%"
"28.09.2020","45,780","45,800","47,280","45,400","5,89M","-0,26%"
"25.09.2020","45,900","46,300","46,820","45,780","4,45M","-0,43%"
"24.09.2020","46,100","46,000","46,380","45,520","3,52M","0,09%"
"23.09.2020","46,060","46,100","47,000","45,880","7,80M","0,39%"
"22.09.2020","45,880","45,400","46,000","44,940","2,87M","1,50%"
"21.09.2020","45,200","46,700","46,760","45,140","2,71M","-3,21%"
"18.09.2020","46,700","47,300","47,460","46,600","2,17M","-0,76%"
"17.09.2020","47,060","46,220","47,340","46,000","3,83M","1,64%"
"16.09.2020","46,300","47,040","47,380","46,160","3,01M","-0,77%"
"15.09.2020","46,660","47,900","47,960","46,200","4,08M","-2,38%"
"14.09.2020","47,800","48,440","49,600","47,640","7,59M","-1,20%"
"11.09.2020","48,380","46,000","48,660","45,960","16,33M","5,17%"
"10.09.2020","46,000","45,580","46,220","45,320","5,57M","0,97%"
"09.09.2020","45,560","45,200","46,040","45,040","4,67M","0,26%"
"08.09.2020","45,440","46,900","47,140","45,300","3,30M","-1,60%"
"07.09.2020","46,180","45,020","46,520","44,880","3,25M","2,62%"
"04.09.2020","45,000","44,600","45,320","44,320","2,88M","0,90%"
"03.09.2020","44,600","45,240","45,800","44,560","2,17M","-1,41%"
"02.09.2020","45,240","45,500","46,040","45,100","2,20M","-0,57%"
"01.09.2020","45,500","45,800","46,260","44,920","1,87M","-0,66%"
"31.08.2020","45,800","47,000","47,020","45,000","3,51M","-2,55%"
"28.08.2020","47,000","47,620","47,720","46,920","2,47M","-1,05%"
