"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","71,350","70,000","74,550","70,000","106,38K","1,64%"
"22.10.2020","70,200","71,950","71,950","70,000","68,74K","-1,13%"
"21.10.2020","71,000","71,600","72,400","70,900","65,70K","-0,98%"
"20.10.2020","71,700","72,000","72,900","70,800","97,05K","0,84%"
"19.10.2020","71,100","71,000","72,400","69,500","124,02K","0,07%"
"16.10.2020","71,050","69,400","72,000","68,200","122,73K","2,38%"
"15.10.2020","69,400","69,950","70,500","68,000","137,87K","-4,28%"
"14.10.2020","72,500","83,450","84,500","70,650","345,58K","-7,64%"
"13.10.2020","78,500","73,300","78,500","73,300","251,91K","9,94%"
"12.10.2020","71,400","67,000","71,400","65,600","312,11K","9,93%"
"09.10.2020","64,950","65,200","65,200","64,500","48,15K","-0,38%"
"08.10.2020","65,200","65,250","66,200","64,550","59,34K","1,09%"
"07.10.2020","64,500","65,700","65,800","64,500","59,98K","-1,83%"
"06.10.2020","65,700","66,450","66,450","65,500","75,59K","-1,13%"
"05.10.2020","66,450","66,950","67,900","66,150","65,11K","-0,75%"
"02.10.2020","66,950","66,150","67,950","66,100","63,59K","1,13%"
"01.10.2020","66,200","67,650","68,000","64,300","83,31K","-2,22%"
"30.09.2020","67,700","67,750","69,850","67,250","216,90K","0,00%"
"29.09.2020","67,700","68,400","68,900","67,100","149,06K","-0,95%"
"28.09.2020","68,350","69,900","70,000","68,200","166,88K","-1,16%"
"25.09.2020","69,150","70,100","71,250","69,000","218,15K","-1,00%"
"24.09.2020","69,850","69,000","71,300","68,500","432,51K","0,94%"
"23.09.2020","69,200","69,650","70,500","69,050","196,02K","-0,50%"
"22.09.2020","69,550","69,350","72,650","68,300","381,40K","0,36%"
"21.09.2020","69,300","71,000","72,700","68,700","374,02K","-2,12%"
"18.09.2020","70,800","68,700","75,300","68,350","1,37M","2,98%"
"17.09.2020","68,750","69,500","70,000","68,350","236,07K","-1,01%"
"16.09.2020","69,450","67,250","73,300","67,250","833,98K","1,83%"
"15.09.2020","68,200","69,100","69,500","66,750","168,84K","-0,87%"
"14.09.2020","68,800","68,800","70,500","68,500","218,44K","0,07%"
"11.09.2020","68,750","69,000","70,600","68,200","215,01K","-0,43%"
