"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","2,350","2,410","2,460","2,300","71,95M","-2,08%"
"22.10.2020","2,400","2,490","2,500","2,370","26,09M","-3,23%"
"21.10.2020","2,480","2,500","2,550","2,460","77,32M","0,40%"
"20.10.2020","2,470","2,520","2,520","2,430","47,94M","-1,59%"
"19.10.2020","2,510","2,510","2,650","2,430","85,36M","-3,83%"
"16.10.2020","2,610","2,680","2,710","2,600","63,59M","-1,51%"
"15.10.2020","2,650","2,630","2,780","2,550","143,30M","1,53%"
"14.10.2020","2,610","2,400","2,610","2,370","183,95M","9,66%"
"13.10.2020","2,380","2,450","2,460","2,340","47,04M","-2,06%"
"12.10.2020","2,430","2,290","2,490","2,280","168,54M","7,05%"
"09.10.2020","2,270","2,220","2,290","2,200","95,55M","3,18%"
"08.10.2020","2,200","2,240","2,280","2,170","88,74M","-1,79%"
"07.10.2020","2,240","2,130","2,300","2,100","155,93M","5,16%"
"06.10.2020","2,130","2,080","2,150","2,070","99,85M","2,40%"
"05.10.2020","2,080","2,060","2,090","2,050","27,41M","1,96%"
"02.10.2020","2,040","2,050","2,100","2,040","31,75M","0,49%"
"01.10.2020","2,030","2,090","2,100","2,020","35,78M","-1,93%"
"30.09.2020","2,070","2,050","2,150","2,030","95,44M","1,97%"
"29.09.2020","2,030","2,020","2,060","1,960","44,99M","1,00%"
"28.09.2020","2,010","2,040","2,070","2,000","83,14M","-2,43%"
"25.09.2020","2,060","2,010","2,200","1,960","244,22M","3,00%"
"24.09.2020","2,000","1,980","2,030","1,970","31,37M","0,00%"
"23.09.2020","2,000","2,010","2,060","1,990","49,34M","0,00%"
"22.09.2020","2,000","1,960","2,010","1,910","76,59M","2,04%"
"21.09.2020","1,960","2,040","2,060","1,940","42,78M","-4,39%"
"18.09.2020","2,050","2,050","2,080","2,030","56,67M","0,99%"
"17.09.2020","2,030","2,000","2,070","1,990","69,04M","1,00%"
"16.09.2020","2,010","2,010","2,050","1,980","61,85M","0,50%"
