"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","12,63","12,52","12,89","12,42","476,30K","0,40%"
"22.10.2020","12,58","12,63","12,64","12,36","302,01K","-0,40%"
"21.10.2020","12,63","12,55","12,78","12,35","689,92K","1,36%"
"20.10.2020","12,46","12,80","12,83","12,34","503,54K","-2,27%"
"19.10.2020","12,75","13,00","13,19","12,65","841,53K","-1,92%"
"16.10.2020","13,00","12,80","13,30","12,52","1,30M","2,85%"
"15.10.2020","12,64","13,17","13,30","12,52","932,74K","-4,02%"
"14.10.2020","13,17","12,34","13,42","12,30","2,41M","6,90%"
"13.10.2020","12,32","12,61","12,72","12,21","828,50K","-2,14%"
"12.10.2020","12,59","11,70","12,75","11,70","2,02M","7,70%"
"09.10.2020","11,69","11,78","11,92","11,63","537,06K","-0,60%"
"08.10.2020","11,76","12,25","12,31","11,76","697,87K","-3,53%"
"07.10.2020","12,19","12,19","12,67","12,13","1,04M","0,08%"
"06.10.2020","12,18","11,75","12,41","11,75","2,05M","4,82%"
"05.10.2020","11,62","11,25","11,97","11,17","1,15M","4,12%"
"02.10.2020","11,16","11,18","11,47","11,06","429,19K","-0,27%"
"01.10.2020","11,19","11,50","11,64","11,13","517,40K","-2,27%"
"30.09.2020","11,45","11,13","11,61","11,13","1,19M","3,15%"
"29.09.2020","11,10","11,01","11,38","10,82","867,88K","1,00%"
"28.09.2020","10,99","10,71","11,06","10,66","849,84K","2,81%"
"25.09.2020","10,69","10,51","10,94","10,51","642,23K","1,91%"
"24.09.2020","10,49","10,48","10,55","10,42","104,78K","-0,10%"
"23.09.2020","10,50","10,48","10,74","10,37","260,20K","0,48%"
"22.09.2020","10,45","10,38","10,55","10,28","172,95K","0,67%"
"21.09.2020","10,38","10,67","10,73","10,35","208,98K","-2,08%"
"18.09.2020","10,60","10,82","10,83","10,31","185,83K","-1,76%"
"17.09.2020","10,79","10,73","10,89","10,54","374,83K","0,56%"
"16.09.2020","10,73","10,98","10,98","10,66","259,30K","-0,28%"
"15.09.2020","10,76","10,69","10,98","10,59","371,59K","1,70%"
"14.09.2020","10,58","10,60","10,69","10,48","289,99K","0,76%"
"11.09.2020","10,50","10,60","10,74","10,31","435,59K","-0,47%"
"10.09.2020","10,55","10,89","11,41","10,42","1,08M","-2,59%"
"09.09.2020","10,83","10,19","11,00","10,10","1,43M","6,28%"
"08.09.2020","10,19","10,40","10,48","10,15","329,04K","-1,55%"
"07.09.2020","10,35","10,29","10,60","10,27","546,51K","0,58%"
"04.09.2020","10,29","10,07","10,38","10,03","722,01K","1,88%"
"03.09.2020","10,10","10,08","10,30","10,00","388,63K","0,20%"
"02.09.2020","10,08","9,95","10,13","9,90","457,64K","1,51%"
"01.09.2020","9,93","9,90","10,07","9,51","304,52K","-0,30%"
"31.08.2020","9,96","10,19","10,19","9,95","352,33K","-2,45%"
"28.08.2020","10,21","10,14","10,39","10,00","582,46K","0,99%"
"27.08.2020","10,11","9,96","10,21","9,92","521,03K","1,71%"
"26.08.2020","9,94","9,94","10,17","9,84","300,29K","0,00%"
"25.08.2020","9,94","9,98","10,30","9,88","321,59K","-0,40%"
"24.08.2020","9,98","10,10","10,21","9,91","321,39K","-2,73%"
"21.08.2020","10,26","11,50","11,95","10,25","1,50M","-9,84%"
"20.08.2020","11,38","11,40","11,58","10,86","1,60M","6,95%"
"19.08.2020","10,64","9,94","10,85","9,94","1,25M","7,15%"
"18.08.2020","9,93","9,93","10,09","9,70","166,20K","0,71%"
"17.08.2020","9,86","9,90","10,08","9,62","136,32K","-0,40%"
"14.08.2020","9,90","10,01","10,06","9,51","142,26K","0,20%"
"13.08.2020","9,88","10,15","10,15","9,80","171,16K","-0,70%"
"12.08.2020","9,95","10,30","10,30","9,79","147,31K","0,30%"
"11.08.2020","9,92","9,87","10,07","9,40","340,90K","1,33%"
"10.08.2020","9,79","9,70","10,22","9,32","341,41K","1,87%"
"07.08.2020","9,61","9,12","9,68","8,28","244,85K","5,03%"
"06.08.2020","9,15","10,03","10,40","9,10","408,23K","-8,41%"
"05.08.2020","9,99","10,15","10,22","9,65","233,13K","-1,58%"
"04.08.2020","10,15","11,00","11,00","9,90","310,02K","-6,45%"
"30.07.2020","10,85","10,76","10,87","10,75","59,46K","0,84%"
"29.07.2020","10,76","11,00","11,16","10,49","280,03K","-2,00%"
"28.07.2020","10,98","11,53","11,70","10,96","396,58K","-4,60%"
"27.07.2020","11,51","11,45","11,60","11,27","331,42K","1,32%"
"24.07.2020","11,36","11,27","11,43","11,17","251,31K","0,62%"
"23.07.2020","11,29","11,28","11,64","11,28","211,53K","-0,09%"
"22.07.2020","11,30","11,34","11,40","11,17","222,11K","0,71%"
"21.07.2020","11,22","11,39","11,68","11,14","588,81K","-1,06%"
"20.07.2020","11,34","11,41","11,58","11,26","389,85K","-0,53%"
"17.07.2020","11,40","11,46","12,31","11,17","948,85K","0,62%"
"16.07.2020","11,33","11,35","11,59","11,20","349,72K","0,62%"
"14.07.2020","11,26","11,51","11,51","11,11","205,79K","-2,17%"
"13.07.2020","11,51","11,05","11,65","11,05","290,16K","4,54%"
"10.07.2020","11,01","11,39","11,44","10,54","331,81K","-3,25%"
"09.07.2020","11,38","12,18","12,23","11,33","485,86K","-5,32%"
"08.07.2020","12,02","12,19","12,55","12,02","740,23K","-0,66%"
"07.07.2020","12,10","12,41","12,66","11,79","1,75M","-0,82%"
"06.07.2020","12,20","11,50","12,39","11,50","1,58M","6,92%"
"03.07.2020","11,41","11,48","11,62","11,30","810,11K","0,09%"
"02.07.2020","11,40","11,33","11,63","11,17","718,99K","0,62%"
"01.07.2020","11,33","11,55","11,70","11,27","711,26K","-0,87%"
"30.06.2020","11,43","11,08","11,96","11,04","1,60M","3,72%"
"29.06.2020","11,02","11,46","11,50","10,70","2,25M","-3,59%"
"26.06.2020","11,43","11,72","12,07","11,16","4,90M","3,35%"
"25.06.2020","11,06","10,08","11,06","9,90","2,69M","9,94%"
"24.06.2020","10,06","10,28","10,42","10,04","429,94K","-2,24%"
"23.06.2020","10,29","10,19","10,58","10,12","1,07M","1,18%"
"22.06.2020","10,17","10,30","10,34","10,11","298,31K","-0,29%"
"19.06.2020","10,20","10,27","10,37","10,06","172,21K","-0,58%"
"18.06.2020","10,26","10,29","10,39","10,18","264,02K","0,00%"
"17.06.2020","10,26","10,40","10,60","10,12","587,27K","-0,29%"
"16.06.2020","10,29","9,99","10,45","9,94","1,39M","3,73%"
"15.06.2020","9,92","9,61","9,93","9,61","326,96K","1,85%"
"12.06.2020","9,74","9,72","9,88","9,59","352,38K","-0,51%"
"11.06.2020","9,79","9,81","9,96","9,70","263,33K","-0,31%"
"10.06.2020","9,82","9,83","9,98","9,80","358,21K","0,20%"
"09.06.2020","9,80","9,97","10,05","9,75","311,46K","-1,71%"
"08.06.2020","9,97","10,09","10,19","9,90","625,96K","-0,20%"
"05.06.2020","9,99","10,10","10,11","9,93","281,58K","-0,60%"
"04.06.2020","10,05","10,16","10,20","9,98","493,49K","-0,40%"
"03.06.2020","10,09","10,01","10,16","9,93","724,10K","1,20%"
"02.06.2020","9,97","9,76","9,97","9,71","578,33K","2,15%"
"01.06.2020","9,76","9,80","9,86","9,70","187,23K","0,41%"
"29.05.2020","9,72","9,99","9,99","9,50","371,49K","-2,99%"
