"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","5,980","6,140","6,270","5,880","2,63M","-1,97%"
"22.10.2020","6,100","6,200","6,220","6,050","1,86M","-1,45%"
"21.10.2020","6,190","6,390","6,390","6,190","2,91M","-0,80%"
"20.10.2020","6,240","6,310","6,380","6,170","3,68M","-1,27%"
"19.10.2020","6,320","6,500","6,550","6,320","3,09M","-2,77%"
"16.10.2020","6,500","6,600","6,700","6,500","3,58M","0,15%"
"15.10.2020","6,490","6,730","6,740","6,480","5,95M","-3,99%"
"14.10.2020","6,760","6,450","6,940","6,380","18,41M","5,13%"
"13.10.2020","6,430","6,710","6,730","6,380","4,43M","-3,45%"
"12.10.2020","6,660","6,590","6,850","6,470","10,12M","1,52%"
"09.10.2020","6,560","6,900","6,900","6,560","6,89M","-0,61%"
"08.10.2020","6,600","6,400","6,620","6,370","12,41M","5,10%"
"07.10.2020","6,280","6,100","6,600","6,040","15,21M","2,95%"
"06.10.2020","6,100","6,120","6,290","6,060","6,92M","-0,16%"
"05.10.2020","6,110","6,150","6,240","6,050","4,30M","-0,16%"
"02.10.2020","6,120","6,350","6,450","6,040","4,28M","-5,12%"
"01.10.2020","6,450","6,570","6,910","6,010","3,51M","-1,83%"
"30.09.2020","6,570","6,350","6,670","6,350","2,96M","3,63%"
"29.09.2020","6,340","6,040","6,450","5,920","3,64M","5,14%"
"28.09.2020","6,030","5,860","6,160","5,760","2,43M","3,08%"
"25.09.2020","5,850","5,820","5,950","5,650","1,57M","0,52%"
"24.09.2020","5,820","5,870","5,960","5,750","1,54M","-1,19%"
"23.09.2020","5,890","5,770","6,050","5,640","3,65M","2,08%"
"22.09.2020","5,770","5,500","5,900","5,380","3,31M","6,07%"
"21.09.2020","5,440","5,430","5,580","5,380","1,59M","0,37%"
"18.09.2020","5,420","5,490","5,490","5,400","813,27K","-0,37%"
"17.09.2020","5,440","5,410","5,480","5,360","766,67K","0,55%"
"16.09.2020","5,410","5,500","5,500","5,400","1,06M","-0,92%"
"15.09.2020","5,460","5,480","5,550","5,440","1,29M","-0,36%"
"14.09.2020","5,480","5,490","5,570","5,450","992,90K","0,18%"
"11.09.2020","5,470","5,530","5,600","5,460","1,08M","-1,26%"
"10.09.2020","5,540","5,690","5,690","5,480","2,22M","-3,99%"
"09.09.2020","5,770","5,440","5,880","5,360","2,96M","6,07%"
"08.09.2020","5,440","5,540","5,600","5,430","1,33M","-1,98%"
"07.09.2020","5,550","5,430","5,750","5,350","1,83M","1,65%"
"04.09.2020","5,460","5,390","5,700","5,340","1,20M","-1,44%"
"03.09.2020","5,540","5,590","5,950","5,400","2,50M","-3,15%"
"02.09.2020","5,720","6,180","6,180","5,700","3,69M","1,60%"
"01.09.2020","5,630","5,120","5,630","4,900","1,93M","9,96%"
"31.08.2020","5,120","5,300","5,350","5,100","886,23K","-3,21%"
"28.08.2020","5,290","5,320","5,460","5,160","1,05M","-1,31%"
"27.08.2020","5,360","5,130","5,400","5,100","1,49M","4,69%"
"26.08.2020","5,120","5,190","5,300","5,050","1,17M","-1,92%"
"25.08.2020","5,220","5,340","5,500","5,100","1,79M","-1,88%"
"24.08.2020","5,320","5,270","5,740","5,270","2,03M","-5,51%"
"21.08.2020","5,630","6,290","6,400","5,630","3,27M","-9,92%"
"20.08.2020","6,250","6,470","6,670","6,100","4,15M","-3,25%"
"19.08.2020","6,460","6,070","6,560","5,920","6,07M","8,03%"
"18.08.2020","5,980","5,500","5,980","5,490","4,73M","9,93%"
"17.08.2020","5,440","4,970","5,440","4,750","2,58M","9,90%"
"14.08.2020","4,950","4,610","5,030","4,450","1,77M","7,38%"
"13.08.2020","4,610","4,760","4,800","4,590","784,73K","-2,54%"
"12.08.2020","4,730","4,850","4,870","4,650","830,17K","-2,47%"
"11.08.2020","4,850","4,800","4,940","4,650","1,27M","1,68%"
"10.08.2020","4,770","4,890","5,000","4,650","1,20M","-2,25%"
"07.08.2020","4,880","4,200","4,890","4,010","1,86M","9,66%"
"06.08.2020","4,450","4,910","5,000","4,450","1,48M","-9,92%"
"05.08.2020","4,940","5,130","5,130","4,890","1,03M","-4,45%"
"04.08.2020","5,170","5,470","5,590","4,940","1,69M","-5,48%"
"30.07.2020","5,470","5,450","5,670","5,400","395,68K","0,37%"
"29.07.2020","5,450","5,240","5,680","4,980","1,56M","0,55%"
"28.07.2020","5,420","5,810","5,820","5,400","1,94M","-6,71%"
"27.07.2020","5,810","5,890","6,100","5,740","2,25M","-1,19%"
"24.07.2020","5,880","5,950","6,000","5,800","1,78M","-3,61%"
"23.07.2020","6,100","6,340","6,400","6,030","3,47M","-3,79%"
