"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","2,750","2,710","2,760","2,690","108,43M","1,85%"
"22.10.2020","2,700","2,770","2,770","2,700","53,66M","-2,17%"
"21.10.2020","2,760","2,760","2,830","2,760","115,83M","0,73%"
"20.10.2020","2,740","2,790","2,800","2,720","114,61M","-1,44%"
"19.10.2020","2,780","2,850","2,850","2,760","111,44M","-4,47%"
"16.10.2020","2,910","3,000","3,040","2,900","172,79M","-1,69%"
"15.10.2020","2,960","3,060","3,200","2,940","486,27M","-3,27%"
"14.10.2020","3,060","2,810","3,060","2,800","561,25M","9,68%"
"13.10.2020","2,790","2,900","2,910","2,780","138,91M","-3,13%"
"12.10.2020","2,880","2,780","2,970","2,770","378,28M","4,35%"
"09.10.2020","2,760","2,730","2,800","2,710","248,24M","1,47%"
"08.10.2020","2,720","2,730","2,760","2,700","195,72M","0,37%"
"07.10.2020","2,710","2,650","2,780","2,640","275,68M","1,88%"
"06.10.2020","2,660","2,630","2,710","2,610","264,06M","1,92%"
"05.10.2020","2,610","2,590","2,630","2,590","83,65M","1,16%"
"02.10.2020","2,580","2,560","2,600","2,560","65,08M","0,39%"
"01.10.2020","2,570","2,600","2,630","2,560","79,20M","-0,39%"
"30.09.2020","2,580","2,570","2,630","2,570","65,59M","1,18%"
"29.09.2020","2,550","2,590","2,620","2,550","62,92M","-1,16%"
"28.09.2020","2,580","2,630","2,640","2,570","99,43M","-2,27%"
"25.09.2020","2,640","2,580","2,750","2,550","235,29M","3,13%"
"24.09.2020","2,560","2,580","2,600","2,560","46,12M","-1,16%"
"23.09.2020","2,590","2,630","2,660","2,580","72,27M","-0,38%"
"22.09.2020","2,600","2,590","2,620","2,530","83,18M","1,17%"
"21.09.2020","2,570","2,690","2,710","2,530","75,61M","-4,46%"
"18.09.2020","2,690","2,710","2,740","2,680","74,70M","0,00%"
"17.09.2020","2,690","2,650","2,710","2,640","78,77M","0,75%"
"16.09.2020","2,670","2,700","2,720","2,660","74,80M","-0,74%"
"15.09.2020","2,690","2,740","2,790","2,640","172,24M","-1,10%"
"14.09.2020","2,720","2,790","2,820","2,720","157,35M","0,00%"
"11.09.2020","2,720","2,730","2,810","2,680","214,00M","0,00%"
"10.09.2020","2,720","2,870","2,990","2,720","403,16M","-5,88%"
