"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","22,94","23,20","23,38","22,36","1,52M","-0,26%"
"22.10.2020","23,00","22,60","23,04","22,38","1,76M","1,77%"
"21.10.2020","22,60","23,28","23,36","22,56","1,79M","-2,67%"
"20.10.2020","23,22","23,40","23,48","22,98","1,06M","-0,51%"
"19.10.2020","23,34","23,20","23,40","23,10","811,85K","1,21%"
"16.10.2020","23,06","22,86","23,06","22,84","1,10M","0,87%"
"15.10.2020","22,86","22,78","22,96","22,60","1,34M","0,53%"
"14.10.2020","22,74","22,40","22,74","22,30","1,65M","1,61%"
"13.10.2020","22,38","22,10","22,50","22,08","1,66M","1,27%"
"12.10.2020","22,10","22,10","22,36","22,08","1,19M","0,00%"
"09.10.2020","22,10","22,02","22,40","21,78","1,47M","0,27%"
"08.10.2020","22,04","22,20","22,58","21,58","4,41M","-0,36%"
"07.10.2020","22,12","21,88","22,32","21,58","2,03M","1,00%"
"06.10.2020","21,90","21,50","22,22","21,48","3,30M","2,34%"
"05.10.2020","21,40","20,94","21,42","20,92","2,94M","2,39%"
"02.10.2020","20,90","20,88","21,18","20,82","1,41M","0,10%"
"01.10.2020","20,88","20,74","20,90","20,64","953,49K","0,97%"
"30.09.2020","20,68","20,90","20,98","20,60","1,35M","-1,05%"
"29.09.2020","20,90","21,04","21,12","20,50","1,13M","-0,38%"
"28.09.2020","20,98","20,82","20,98","20,52","1,17M","0,87%"
"25.09.2020","20,80","21,20","21,20","20,80","983,87K","-1,52%"
"24.09.2020","21,12","20,70","21,12","20,70","1,87M","1,64%"
"23.09.2020","20,78","20,78","20,96","20,70","1,10M","0,39%"
"22.09.2020","20,70","20,14","20,82","20,14","1,06M","2,88%"
"21.09.2020","20,12","20,92","21,16","20,08","1,06M","-4,19%"
"18.09.2020","21,00","20,72","21,02","20,62","1,88M","1,65%"
"17.09.2020","20,66","19,14","20,82","19,14","1,74M","-0,96%"
"16.09.2020","20,86","21,16","21,26","20,80","1,19M","-1,23%"
"15.09.2020","21,12","20,90","21,20","20,76","1,86M","1,54%"
"14.09.2020","20,80","20,62","20,84","20,34","1,36M","0,97%"
"11.09.2020","20,60","20,32","20,82","20,30","3,38M","2,79%"
"10.09.2020","20,04","19,98","20,26","19,91","1,46M","0,65%"
"09.09.2020","19,91","19,92","20,00","19,76","818,21K","-0,05%"
"08.09.2020","19,92","20,10","20,20","19,71","1,22M","-0,60%"
"07.09.2020","20,04","20,16","20,30","20,02","789,61K","-0,30%"
"04.09.2020","20,10","20,00","20,34","19,83","3,03M","0,65%"
"03.09.2020","19,97","19,17","19,98","19,13","5,05M","4,17%"
"02.09.2020","19,17","19,20","19,29","18,98","2,04M","-0,47%"
"01.09.2020","19,26","19,35","19,35","18,79","1,68M","-0,87%"
"31.08.2020","19,43","19,50","19,51","18,77","2,02M","-0,56%"
"28.08.2020","19,54","19,70","19,76","19,29","908,32K","-0,66%"
"27.08.2020","19,67","19,80","19,92","19,60","1,36M","-0,46%"
"26.08.2020","19,76","19,96","20,04","19,66","1,78M","-0,70%"
"25.08.2020","19,90","19,94","19,96","19,69","1,75M","0,51%"
"24.08.2020","19,80","19,83","20,10","19,71","1,11M","0,00%"
"21.08.2020","19,80","19,61","19,90","19,52","2,27M","1,54%"
