"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","25,700","25,500","25,760","25,000","296,51K","1,18%"
"22.10.2020","25,400","24,900","25,420","24,800","282,91K","2,01%"
"21.10.2020","24,900","24,980","25,020","24,800","92,92K","-0,40%"
"20.10.2020","25,000","25,140","25,180","24,580","131,15K","-0,56%"
"19.10.2020","25,140","25,200","25,340","25,100","130,58K","-0,32%"
"16.10.2020","25,220","25,200","25,400","25,100","107,70K","0,08%"
"15.10.2020","25,200","25,380","25,460","25,000","114,91K","-0,71%"
"14.10.2020","25,380","25,640","25,860","25,360","175,54K","-1,01%"
"13.10.2020","25,640","25,620","25,800","25,140","149,79K","0,16%"
"12.10.2020","25,600","25,760","25,860","25,500","168,52K","-0,62%"
"09.10.2020","25,760","25,540","25,800","25,200","174,45K","0,70%"
"08.10.2020","25,580","25,600","25,640","24,900","184,70K","0,00%"
"07.10.2020","25,580","24,980","25,960","24,800","276,42K","2,40%"
"06.10.2020","24,980","24,960","25,300","24,820","179,88K","0,24%"
"05.10.2020","24,920","25,000","25,020","24,800","81,70K","-0,40%"
"02.10.2020","25,020","24,720","25,020","24,680","84,69K","-0,48%"
"01.10.2020","25,140","25,220","25,360","24,540","192,33K","-0,24%"
"30.09.2020","25,200","25,240","25,400","25,120","429,62K","0,00%"
"29.09.2020","25,200","25,380","25,580","25,080","608,96K","-0,71%"
"28.09.2020","25,380","25,560","25,700","25,020","446,38K","-0,47%"
"25.09.2020","25,500","25,940","26,120","25,500","783,20K","0,16%"
"24.09.2020","25,460","25,020","25,660","25,020","633,48K","1,76%"
"23.09.2020","25,020","24,920","25,580","24,840","586,51K","0,89%"
"22.09.2020","24,800","25,160","25,340","24,520","448,74K","0,81%"
"21.09.2020","24,600","25,320","25,500","24,360","416,27K","-2,84%"
"18.09.2020","25,320","25,460","25,520","25,160","295,25K","-0,47%"
"17.09.2020","25,440","25,300","25,440","24,720","579,82K","-0,62%"
"16.09.2020","25,600","26,260","26,260","25,340","475,25K","-1,92%"
"15.09.2020","26,100","27,000","27,040","25,660","1,40M","-2,61%"
"14.09.2020","26,800","25,520","27,600","25,520","2,99M","6,77%"
"11.09.2020","25,100","24,320","26,220","24,320","1,29M","3,46%"
"10.09.2020","24,260","24,040","25,080","23,820","621,75K","1,08%"
"09.09.2020","24,000","24,000","24,800","24,000","313,13K","0,00%"
"08.09.2020","24,000","24,580","24,580","23,600","198,20K","-1,48%"
"07.09.2020","24,360","24,200","24,860","24,200","353,56K","0,66%"
"04.09.2020","24,200","23,740","24,580","23,500","290,86K","1,94%"
"03.09.2020","23,740","23,740","23,880","23,320","164,78K","0,00%"
"02.09.2020","23,740","24,260","24,280","23,740","194,35K","-1,66%"
"01.09.2020","24,140","23,580","25,160","23,580","796,51K","2,72%"
"31.08.2020","23,500","23,480","23,780","23,220","181,51K","0,17%"
"28.08.2020","23,460","23,660","23,720","23,400","94,62K","-0,59%"
"27.08.2020","23,600","23,840","24,200","23,580","180,61K","0,00%"
"26.08.2020","23,600","23,300","23,940","23,300","151,00K","-0,42%"
"25.08.2020","23,700","23,660","23,800","23,200","133,27K","0,00%"
"24.08.2020","23,700","23,780","24,160","23,240","223,82K","-0,34%"
"21.08.2020","23,780","24,300","24,300","23,660","195,86K","-1,74%"
"20.08.2020","24,200","24,140","24,200","23,800","162,94K","-0,33%"
"19.08.2020","24,280","24,120","24,580","24,080","281,46K","0,50%"
"18.08.2020","24,160","24,400","24,500","24,000","187,90K","-0,98%"
"17.08.2020","24,400","24,400","24,740","24,120","164,32K","-0,73%"
"14.08.2020","24,580","24,500","25,100","24,360","229,33K","-1,29%"
"13.08.2020","24,900","25,000","25,000","24,500","473,22K","-3,56%"
"12.08.2020","25,820","25,980","26,080","25,220","268,73K","0,08%"
