"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","70,20","72,95","72,95","70,15","4,46M","-3,77%"
"22.10.2020","72,95","70,40","73,10","70,35","7,06M","3,99%"
"21.10.2020","70,15","69,55","70,35","69,25","2,91M","1,23%"
"20.10.2020","69,30","68,95","69,90","68,50","5,37M","1,02%"
"19.10.2020","68,60","69,95","70,05","68,45","3,11M","-1,58%"
"16.10.2020","69,70","69,50","69,80","69,00","2,14M","0,36%"
"15.10.2020","69,45","68,95","70,00","68,80","3,45M","0,65%"
"14.10.2020","69,00","68,90","69,20","68,30","2,44M","0,22%"
"13.10.2020","68,85","70,00","70,10","68,85","2,92M","-1,64%"
"12.10.2020","70,00","70,05","71,00","69,85","3,36M","0,00%"
"09.10.2020","70,00","69,30","70,00","69,10","2,15M","1,08%"
"08.10.2020","69,25","68,90","69,55","68,80","3,10M","0,51%"
"07.10.2020","68,90","69,15","69,45","68,80","2,21M","-0,79%"
"06.10.2020","69,45","70,60","70,75","69,45","3,04M","-1,21%"
"05.10.2020","70,30","69,40","70,40","69,40","1,74M","1,37%"
"02.10.2020","69,35","69,80","69,80","69,10","1,26M","-0,79%"
"01.10.2020","69,90","70,00","70,85","69,30","2,40M","0,43%"
"30.09.2020","69,60","68,95","69,90","68,80","3,18M","1,31%"
"29.09.2020","68,70","68,60","69,00","68,00","2,82M","0,44%"
"28.09.2020","68,40","69,00","69,60","68,35","3,02M","-1,16%"
"25.09.2020","69,20","69,20","70,45","69,20","3,09M","0,29%"
"24.09.2020","69,00","68,30","69,20","68,15","2,02M","0,73%"
"23.09.2020","68,50","69,60","69,60","68,35","1,98M","-0,72%"
"22.09.2020","69,00","68,55","69,90","68,55","3,12M","0,29%"
"21.09.2020","68,80","69,90","70,25","68,80","2,31M","-1,92%"
"18.09.2020","70,15","70,10","70,35","69,60","2,04M","-0,07%"
"17.09.2020","70,20","71,30","71,30","68,80","2,46M","0,86%"
"16.09.2020","69,60","70,30","71,45","69,60","2,55M","-0,71%"
"15.09.2020","70,10","70,20","71,85","69,05","4,04M","-0,28%"
"14.09.2020","70,30","69,30","70,55","68,75","2,85M","1,44%"
"11.09.2020","69,30","67,70","69,40","67,70","3,32M","2,36%"
"10.09.2020","67,70","68,30","68,60","67,20","2,40M","-0,73%"
"09.09.2020","68,20","67,55","68,60","67,45","2,46M","0,96%"
"08.09.2020","67,55","67,70","67,95","67,20","2,07M","-0,22%"
"07.09.2020","67,70","68,10","68,20","67,30","1,64M","-0,07%"
"04.09.2020","67,75","67,40","68,35","67,15","2,08M","0,44%"
"03.09.2020","67,45","68,20","68,40","67,30","2,36M","-1,10%"
"02.09.2020","68,20","68,25","68,25","67,75","2,36M","0,66%"
"01.09.2020","67,75","68,20","69,10","67,30","4,28M","-0,15%"
"31.08.2020","67,85","70,00","70,20","67,40","5,81M","-2,79%"
"28.08.2020","69,80","71,20","71,40","69,70","2,05M","-1,83%"
"27.08.2020","71,10","71,75","72,65","70,85","3,09M","-0,77%"
"26.08.2020","71,65","69,30","71,70","68,45","5,73M","2,95%"
"25.08.2020","69,60","69,60","69,75","68,10","3,35M","0,07%"
"24.08.2020","69,55","67,85","69,85","67,35","3,75M","2,28%"
"21.08.2020","68,00","69,15","69,40","67,50","3,47M","-0,95%"
"20.08.2020","68,65","70,10","70,25","68,40","3,62M","-2,00%"
"19.08.2020","70,05","68,70","71,00","68,50","11,20M","5,02%"
"18.08.2020","66,70","68,00","68,50","66,70","3,91M","-0,22%"
"17.08.2020","66,85","67,30","67,50","66,80","2,09M","-0,52%"
"14.08.2020","67,20","67,15","68,05","65,90","4,55M","-0,37%"
"13.08.2020","67,45","67,90","68,20","66,40","7,06M","0,37%"
"12.08.2020","67,20","65,85","67,20","65,45","7,30M","2,67%"
"11.08.2020","65,45","65,75","66,80","64,25","8,88M","1,16%"
"10.08.2020","64,70","62,60","65,15","62,45","9,13M","3,35%"
"07.08.2020","62,60","62,70","63,60","61,15","8,81M","0,16%"
"06.08.2020","62,50","63,55","64,45","62,15","7,33M","-1,57%"
"05.08.2020","63,50","65,30","66,85","62,05","8,19M","-1,93%"
"04.08.2020","64,75","71,55","72,15","64,75","11,39M","-9,38%"
"30.07.2020","71,45","72,10","72,30","71,30","1,19M","-0,90%"
"29.07.2020","72,10","74,30","74,40","71,10","4,01M","-2,30%"
"28.07.2020","73,80","74,35","75,55","73,55","3,28M","-0,67%"
"27.07.2020","74,30","74,70","75,90","74,25","2,74M","0,61%"
"24.07.2020","73,85","72,90","73,85","72,40","2,22M","0,89%"
"23.07.2020","73,20","71,25","73,85","71,00","3,88M","3,10%"
"22.07.2020","71,00","71,30","71,55","70,55","2,14M","0,00%"
"21.07.2020","71,00","71,90","72,35","69,50","3,64M","-0,84%"
"20.07.2020","71,60","70,85","71,80","70,50","2,60M","1,06%"
"17.07.2020","70,85","71,00","71,40","70,35","2,16M","-0,07%"
"16.07.2020","70,90","70,90","71,50","69,95","3,61M","-0,07%"
"14.07.2020","70,95","70,50","71,00","69,90","4,23M","0,64%"
"13.07.2020","70,50","68,60","70,50","68,60","3,30M","3,45%"
"10.07.2020","68,15","68,90","68,90","67,65","3,09M","-1,09%"
"09.07.2020","68,90","70,70","71,20","68,05","3,62M","-1,99%"
"08.07.2020","70,30","71,40","72,00","70,05","3,17M","-1,54%"
"07.07.2020","71,40","70,00","71,60","69,15","5,52M","2,44%"
"06.07.2020","69,70","68,10","70,30","68,00","6,51M","3,64%"
"03.07.2020","67,25","67,35","68,90","66,80","5,92M","0,98%"
"02.07.2020","66,60","66,50","66,95","66,30","3,51M","0,23%"
"01.07.2020","66,45","68,00","68,15","66,30","4,27M","-2,28%"
"30.06.2020","68,00","68,15","68,95","67,60","5,97M","0,07%"
"29.06.2020","67,95","69,70","69,95","67,95","2,45M","-2,65%"
"26.06.2020","69,80","70,95","71,00","69,75","1,82M","-0,50%"
"25.06.2020","70,15","71,10","72,00","69,20","4,31M","-1,13%"
"24.06.2020","70,95","69,00","71,00","68,95","2,83M","2,83%"
"23.06.2020","69,00","68,30","69,80","68,30","2,31M","0,51%"
"22.06.2020","68,65","67,50","69,00","67,50","2,34M","1,78%"
"19.06.2020","67,45","67,80","68,50","66,25","3,92M","0,30%"
"18.06.2020","67,25","66,70","67,70","66,40","2,79M","1,05%"
"17.06.2020","66,55","64,55","66,65","64,30","6,06M","3,10%"
"16.06.2020","64,55","65,00","65,45","64,35","2,82M","0,08%"
