"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","51,45","52,00","52,65","51,20","784,08K","-0,96%"
"22.10.2020","51,95","52,90","53,00","51,90","894,70K","-1,70%"
"21.10.2020","52,85","52,70","53,45","51,80","671,77K","1,05%"
"20.10.2020","52,30","53,30","54,15","52,30","533,05K","-1,41%"
"19.10.2020","53,05","54,20","54,60","52,60","984,45K","-2,93%"
"16.10.2020","54,65","52,00","55,15","51,60","1,04M","5,10%"
"15.10.2020","52,00","51,75","53,70","50,75","958,32K","0,48%"
"14.10.2020","51,75","49,28","52,45","49,26","1,12M","4,97%"
"13.10.2020","49,30","47,84","49,86","47,84","1,29M","5,79%"
"12.10.2020","46,60","48,00","48,36","46,60","657,86K","-2,43%"
"09.10.2020","47,76","47,70","48,02","47,26","397,45K","0,13%"
"08.10.2020","47,70","46,42","47,70","45,56","629,37K","2,98%"
"07.10.2020","46,32","46,80","46,80","46,24","723,47K","-1,74%"
"06.10.2020","47,14","47,88","48,00","47,00","594,82K","-1,17%"
"05.10.2020","47,70","47,02","48,00","46,82","823,92K","2,89%"
"02.10.2020","46,36","45,94","46,66","45,84","565,57K","1,05%"
"01.10.2020","45,88","45,18","45,88","45,02","407,15K","2,41%"
"30.09.2020","44,80","44,92","45,34","44,80","395,06K","-0,22%"
"29.09.2020","44,90","44,60","45,50","44,44","284,84K","0,85%"
"28.09.2020","44,52","44,88","45,18","44,32","228,80K","-0,89%"
"25.09.2020","44,92","45,10","45,60","44,92","268,58K","-0,18%"
"24.09.2020","45,00","44,52","45,22","44,22","258,64K","1,08%"
"23.09.2020","44,52","44,40","45,14","44,40","269,66K","0,27%"
"22.09.2020","44,40","44,60","44,84","44,16","310,61K","-0,45%"
"21.09.2020","44,60","45,12","45,58","44,54","267,26K","-1,63%"
"18.09.2020","45,34","45,00","45,74","45,00","513,69K","1,61%"
"17.09.2020","44,62","45,12","45,12","44,40","303,01K","-1,15%"
"16.09.2020","45,14","45,50","45,86","45,10","263,47K","-0,79%"
"15.09.2020","45,50","45,20","45,62","45,02","640,39K","0,93%"
"14.09.2020","45,08","45,58","46,16","44,98","415,21K","-0,92%"
"11.09.2020","45,50","45,46","46,10","45,40","484,68K","0,57%"
"10.09.2020","45,24","44,44","45,30","44,44","437,39K","2,35%"
"09.09.2020","44,20","44,60","45,06","44,14","379,92K","-0,90%"
"08.09.2020","44,60","45,20","45,48","44,46","338,27K","-1,06%"
"07.09.2020","45,08","44,28","45,32","43,98","690,62K","2,50%"
"04.09.2020","43,98","44,82","44,82","43,74","376,11K","-1,83%"
"03.09.2020","44,80","44,82","45,74","44,56","554,77K","0,31%"
"02.09.2020","44,66","43,20","44,72","43,06","1,05M","4,35%"
"01.09.2020","42,80","43,20","43,48","42,32","363,51K","-0,97%"
"31.08.2020","43,22","43,28","43,48","42,52","354,05K","-0,14%"
"28.08.2020","43,28","43,34","43,68","43,00","360,29K","-0,05%"
"27.08.2020","43,30","42,78","43,68","42,78","325,91K","1,41%"
"26.08.2020","42,70","43,16","43,42","42,62","505,51K","-1,79%"
"25.08.2020","43,48","44,12","44,34","43,22","370,67K","-0,82%"
"24.08.2020","43,84","44,46","45,18","43,80","473,73K","-1,39%"
"21.08.2020","44,46","44,42","44,88","44,14","625,56K","0,41%"
