"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","42,84","43,00","43,44","42,40","2,29M","-0,09%"
"22.10.2020","42,88","43,50","43,68","42,70","2,04M","-1,43%"
"21.10.2020","43,50","42,52","43,50","42,36","3,11M","2,84%"
"20.10.2020","42,30","42,32","43,20","41,80","2,48M","0,19%"
"19.10.2020","42,22","42,90","43,70","42,22","1,51M","-2,58%"
"16.10.2020","43,34","44,20","44,50","42,82","1,91M","-1,50%"
"15.10.2020","44,00","42,14","44,28","41,96","4,97M","4,41%"
"14.10.2020","42,14","41,78","42,32","41,54","1,17M","0,72%"
"13.10.2020","41,84","42,12","42,30","41,20","1,06M","-0,38%"
"12.10.2020","42,00","41,60","42,50","41,56","1,27M","0,96%"
"09.10.2020","41,60","41,12","41,88","41,12","798,89K","0,97%"
"08.10.2020","41,20","42,06","42,24","40,82","1,31M","-1,90%"
"07.10.2020","42,00","42,22","42,54","41,90","1,11M","-0,52%"
"06.10.2020","42,22","42,74","43,26","42,22","1,50M","-1,12%"
"05.10.2020","42,70","42,34","42,98","42,34","1,33M","0,90%"
"02.10.2020","42,32","41,02","42,72","41,02","3,99M","3,52%"
"01.10.2020","40,88","41,30","41,80","40,78","1,87M","-0,78%"
"30.09.2020","41,20","40,48","41,20","40,48","1,52M","2,08%"
"29.09.2020","40,36","40,54","41,20","40,34","1,99M","-0,30%"
"28.09.2020","40,48","40,80","41,10","40,10","1,29M","-0,83%"
"25.09.2020","40,82","41,10","41,40","40,68","1,73M","-0,29%"
"24.09.2020","40,94","40,18","41,84","40,12","3,70M","1,94%"
"23.09.2020","40,16","40,82","40,94","40,12","2,28M","-1,38%"
"22.09.2020","40,72","39,30","40,82","39,20","4,58M","3,98%"
"21.09.2020","39,16","39,34","39,70","38,70","1,57M","-0,46%"
"18.09.2020","39,34","39,50","39,66","39,22","885,60K","-0,41%"
"17.09.2020","39,50","39,30","39,66","38,84","1,17M","0,36%"
"16.09.2020","39,36","39,76","39,98","39,20","1,78M","-0,96%"
"15.09.2020","39,74","38,62","40,10","38,56","6,14M","3,65%"
"14.09.2020","38,34","37,76","38,62","37,76","2,63M","1,54%"
"11.09.2020","37,76","38,20","38,32","37,76","1,39M","-0,94%"
"10.09.2020","38,12","38,48","38,48","38,12","1,15M","-1,04%"
"09.09.2020","38,52","38,30","38,94","37,92","1,53M","0,42%"
"08.09.2020","38,36","38,30","38,46","37,80","1,05M","0,16%"
"07.09.2020","38,30","38,30","38,56","38,24","672,55K","0,00%"
"04.09.2020","38,30","38,40","38,86","38,20","1,13M","-0,47%"
"03.09.2020","38,48","38,58","38,76","38,06","1,09M","-0,21%"
"02.09.2020","38,56","39,10","39,16","38,56","983,41K","-1,63%"
"01.09.2020","39,20","39,00","39,20","38,28","1,70M","-0,05%"
"31.08.2020","39,22","38,72","39,22","37,94","1,80M","1,29%"
"28.08.2020","38,72","38,94","39,08","38,24","1,31M","-0,36%"
"27.08.2020","38,86","38,86","39,44","38,64","2,05M","1,04%"
"26.08.2020","38,46","38,22","39,20","38,22","2,16M","-1,13%"
"25.08.2020","38,90","39,64","40,54","38,22","4,36M","-1,62%"
"24.08.2020","39,54","39,08","39,54","38,70","2,25M","1,28%"
"21.08.2020","39,04","39,20","39,36","38,04","2,02M","0,10%"
"20.08.2020","39,00","39,00","39,90","38,56","1,91M","0,00%"
"19.08.2020","39,00","38,60","39,20","38,00","2,56M","1,19%"
"18.08.2020","38,54","39,00","39,10","38,24","2,07M","-1,93%"
"17.08.2020","39,30","38,30","39,74","38,14","3,81M","2,99%"
"14.08.2020","38,16","38,04","38,46","36,56","3,78M","-0,63%"
"13.08.2020","38,40","40,40","40,76","38,20","3,92M","-4,95%"
"12.08.2020","40,40","41,74","41,90","39,90","6,88M","-6,13%"
"11.08.2020","43,04","42,16","43,18","41,76","5,62M","2,82%"
"10.08.2020","41,86","38,68","42,20","37,92","7,53M","8,61%"
"07.08.2020","38,54","38,84","39,40","35,78","6,75M","-2,43%"
"06.08.2020","39,50","42,26","42,90","38,78","5,74M","-7,06%"
"05.08.2020","42,50","43,10","43,46","41,60","4,92M","-1,16%"
"04.08.2020","43,00","45,00","45,56","42,38","5,98M","-3,93%"
"30.07.2020","44,76","43,50","45,32","43,38","4,57M","3,13%"
"29.07.2020","43,40","42,30","43,40","41,26","4,71M","2,60%"
"28.07.2020","42,30","43,30","43,36","42,10","3,67M","-2,26%"
"27.07.2020","43,28","43,00","43,50","43,00","1,98M","0,74%"
"24.07.2020","42,96","42,20","43,60","42,20","2,92M","0,70%"
"23.07.2020","42,66","43,78","43,78","42,50","1,85M","0,38%"
"22.07.2020","42,50","42,90","42,94","42,12","2,60M","-0,38%"
"21.07.2020","42,66","42,02","43,10","41,84","5,18M","2,84%"
"20.07.2020","41,48","41,62","41,92","41,26","1,73M","-0,29%"
"17.07.2020","41,60","41,80","42,12","41,18","1,49M","-0,10%"
"16.07.2020","41,64","42,00","42,28","41,62","1,72M","-0,57%"
"14.07.2020","41,88","42,44","42,66","41,78","2,28M","-1,09%"
"13.07.2020","42,34","42,20","42,42","42,08","2,43M","1,10%"
"10.07.2020","41,88","40,72","42,24","40,20","5,54M","1,65%"
"09.07.2020","41,20","42,00","42,58","41,06","2,91M","-1,44%"
"08.07.2020","41,80","42,66","43,88","41,70","4,48M","-1,88%"
"07.07.2020","42,60","43,36","44,00","42,00","8,06M","-1,80%"
"06.07.2020","43,38","39,80","43,50","39,80","11,06M","9,66%"
"03.07.2020","39,56","39,08","39,72","38,88","3,91M","1,96%"
"02.07.2020","38,80","38,30","38,96","38,24","3,53M","2,11%"
"01.07.2020","38,00","38,80","39,38","37,88","4,95M","-1,30%"
"30.06.2020","38,50","38,16","39,06","38,14","5,29M","1,05%"
"29.06.2020","38,10","37,42","38,44","37,36","4,26M","1,87%"
"26.06.2020","37,40","37,16","37,62","36,86","6,22M","1,91%"
"25.06.2020","36,70","37,48","37,86","36,64","3,29M","-2,13%"
"24.06.2020","37,50","36,26","39,00","36,10","5,79M","3,08%"
