"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","9,240","8,510","9,240","8,510","23,48M","10,00%"
"22.10.2020","8,400","8,050","8,430","7,940","7,00M","5,00%"
"21.10.2020","8,000","8,160","8,190","7,920","2,17M","-1,23%"
"20.10.2020","8,100","8,170","8,260","8,010","4,08M","0,37%"
"19.10.2020","8,070","8,070","8,130","8,000","2,23M","0,12%"
"16.10.2020","8,060","8,200","8,300","8,020","2,71M","-0,49%"
"15.10.2020","8,100","8,040","8,230","8,010","5,57M","2,02%"
"14.10.2020","7,940","8,000","8,030","7,840","1,79M","-0,75%"
"13.10.2020","8,000","8,270","8,300","7,860","2,31M","-1,96%"
"12.10.2020","8,160","8,100","8,290","8,040","3,88M","1,62%"
"09.10.2020","8,030","7,920","8,340","7,910","4,43M","1,52%"
"08.10.2020","7,910","7,950","7,990","7,840","1,96M","0,89%"
"07.10.2020","7,840","7,830","7,970","7,780","2,42M","0,13%"
"06.10.2020","7,830","7,860","8,050","7,780","2,25M","-0,13%"
"05.10.2020","7,840","7,840","7,890","7,780","1,06M","0,38%"
"02.10.2020","7,810","7,900","8,020","7,790","1,29M","-0,13%"
"01.10.2020","7,820","8,090","8,190","7,720","1,96M","-3,34%"
"30.09.2020","8,090","8,170","8,310","8,000","3,07M","0,12%"
"29.09.2020","8,080","7,920","8,550","7,740","9,02M","2,02%"
"28.09.2020","7,920","8,200","8,360","7,790","2,85M","-3,41%"
"25.09.2020","8,200","8,540","8,640","8,180","2,92M","-3,98%"
"24.09.2020","8,540","8,010","8,770","8,010","1,88M","0,47%"
"23.09.2020","8,500","8,350","8,900","8,030","2,84M","1,43%"
"22.09.2020","8,380","7,650","8,380","7,600","2,80M","9,97%"
"21.09.2020","7,620","7,920","7,950","7,600","727,85K","-1,93%"
"18.09.2020","7,770","7,600","7,950","7,600","602,09K","-0,51%"
"17.09.2020","7,810","7,920","8,000","7,530","1,02M","-1,39%"
"16.09.2020","7,920","8,240","8,290","7,830","1,17M","-4,00%"
"15.09.2020","8,250","8,250","8,620","7,850","2,42M","-0,36%"
"14.09.2020","8,280","7,550","8,280","7,300","2,39M","9,96%"
"11.09.2020","7,530","7,790","7,890","7,480","1,47M","-5,52%"
"10.09.2020","7,970","8,300","8,500","7,470","2,11M","-3,86%"
"09.09.2020","8,290","9,000","9,300","8,230","10,70M","-7,68%"
"08.09.2020","8,980","9,880","10,080","8,340","37,06M","-2,92%"
"07.09.2020","9,250","8,510","9,250","8,500","4,33M","9,99%"
"04.09.2020","8,410","7,800","8,410","7,690","6,23M","9,93%"
"03.09.2020","7,650","6,960","7,650","6,730","15,05M","9,91%"
"02.09.2020","6,960","7,880","8,100","6,960","13,97M","-6,33%"
"01.09.2020","7,430","7,170","7,430","7,170","1,04M","9,91%"
"31.08.2020","6,760","6,290","6,760","6,260","6,04M","9,92%"
"28.08.2020","6,150","5,820","6,350","5,700","9,90M","6,40%"
"27.08.2020","5,780","5,910","6,040","5,730","3,19M","-0,86%"
"26.08.2020","5,830","5,780","6,130","5,630","8,04M","1,39%"
"25.08.2020","5,750","5,600","6,000","5,320","11,04M","4,36%"
"24.08.2020","5,510","5,020","5,510","5,020","4,91M","9,98%"
"21.08.2020","5,010","5,080","5,120","4,990","615,91K","-1,38%"
"20.08.2020","5,080","5,120","5,140","5,060","616,82K","-0,97%"
"19.08.2020","5,130","5,170","5,220","5,100","917,43K","0,00%"
"18.08.2020","5,130","5,140","5,360","5,100","1,19M","-0,19%"
"17.08.2020","5,140","5,100","5,180","5,040","733,42K","0,78%"
"14.08.2020","5,100","5,140","5,430","5,000","2,98M","-0,78%"
"13.08.2020","5,140","5,240","5,300","5,090","787,67K","-1,91%"
"12.08.2020","5,240","5,360","5,410","5,220","799,02K","-2,06%"
"11.08.2020","5,350","5,300","5,650","5,300","4,16M","-1,83%"
"10.08.2020","5,450","5,200","5,580","5,130","2,94M","1,49%"
"07.08.2020","5,370","5,780","5,930","5,230","10,41M","-2,36%"
"06.08.2020","5,500","5,020","5,500","4,700","7,42M","10,00%"
"05.08.2020","5,000","5,190","5,280","4,950","922,22K","-3,29%"
"04.08.2020","5,170","5,550","5,820","4,910","6,92M","-5,14%"
"30.07.2020","5,450","5,390","5,560","5,370","346,95K","1,30%"
"29.07.2020","5,380","5,490","5,540","5,230","554,05K","-1,28%"
"28.07.2020","5,450","5,720","5,720","5,450","540,13K","-4,72%"
"27.07.2020","5,720","5,700","5,770","5,690","1,10M","0,35%"
"24.07.2020","5,700","5,680","5,780","5,620","818,27K","-0,35%"
"23.07.2020","5,720","5,900","5,990","5,690","3,34M","-2,39%"
"22.07.2020","5,860","5,630","6,160","5,500","6,85M","4,64%"
"21.07.2020","5,600","5,710","5,780","5,600","1,46M","-1,75%"
"20.07.2020","5,700","5,730","5,790","5,490","1,06M","-0,52%"
"17.07.2020","5,730","5,800","5,830","5,700","905,08K","-0,52%"
"16.07.2020","5,760","5,650","5,930","5,650","4,55M","2,49%"
"14.07.2020","5,620","5,700","5,740","5,580","1,15M","-1,75%"
"13.07.2020","5,720","5,540","5,730","5,540","901,41K","3,81%"
"10.07.2020","5,510","5,770","5,850","5,230","1,64M","-4,51%"
"09.07.2020","5,770","6,050","6,070","5,750","1,46M","-4,15%"
"08.07.2020","6,020","6,080","6,150","5,980","2,78M","0,00%"
"07.07.2020","6,020","6,210","6,250","5,940","2,76M","-2,75%"
"06.07.2020","6,190","6,050","6,200","6,020","4,16M","3,86%"
"03.07.2020","5,960","5,970","6,070","5,920","3,02M","0,17%"
"02.07.2020","5,950","5,860","6,200","5,840","9,93M","1,88%"
"01.07.2020","5,840","5,900","5,910","5,820","848,69K","-0,17%"
"30.06.2020","5,850","5,950","6,050","5,830","4,34M","-0,68%"
"29.06.2020","5,890","5,800","5,960","5,800","2,92M","1,55%"
"26.06.2020","5,800","5,800","5,980","5,790","3,09M","0,00%"
"25.06.2020","5,800","5,830","5,960","5,780","2,25M","-0,51%"
"24.06.2020","5,830","5,790","6,180","5,780","7,98M","0,69%"
"23.06.2020","5,790","5,830","5,930","5,730","1,91M","-0,69%"
"22.06.2020","5,830","5,830","5,880","5,790","910,29K","-0,17%"
"19.06.2020","5,840","5,890","5,930","5,820","1,16M","-0,85%"
"18.06.2020","5,890","5,980","5,990","5,850","2,32M","-2,16%"
"17.06.2020","6,020","6,100","6,200","6,010","2,22M","-0,99%"
"16.06.2020","6,080","6,150","6,180","5,950","3,29M","0,66%"
"15.06.2020","6,040","5,800","6,200","5,780","3,85M","3,42%"
"12.06.2020","5,840","5,850","5,900","5,600","1,42M","-0,51%"
"11.06.2020","5,870","5,930","5,990","5,850","1,04M","-1,01%"
"10.06.2020","5,930","5,960","6,040","5,920","1,62M","0,51%"
"09.06.2020","5,900","6,020","6,080","5,900","1,35M","-1,83%"
"08.06.2020","6,010","6,060","6,140","6,000","1,63M","-0,66%"
"05.06.2020","6,050","6,100","6,210","6,020","1,89M","-0,66%"
"04.06.2020","6,090","6,190","6,340","6,070","1,84M","-1,30%"
"03.06.2020","6,170","6,150","6,490","6,020","6,35M","0,82%"
"02.06.2020","6,120","6,250","6,300","6,070","1,49M","-1,45%"
"01.06.2020","6,210","6,110","6,400","6,000","3,01M","1,64%"
"29.05.2020","6,110","6,300","6,380","6,030","2,03M","-2,86%"
"28.05.2020","6,290","6,820","6,850","6,250","4,14M","-6,95%"
"27.05.2020","6,760","6,500","7,180","6,360","10,85M","1,96%"
"22.05.2020","6,630","6,530","6,840","6,400","2,43M","4,57%"
"21.05.2020","6,340","6,320","6,420","6,200","889,13K","0,32%"
"20.05.2020","6,320","6,410","6,650","6,110","1,30M","-2,77%"
"18.05.2020","6,500","6,350","6,900","6,000","3,09M","1,56%"
"15.05.2020","6,400","5,810","6,400","5,600","3,35M","9,97%"
"14.05.2020","5,820","6,040","6,090","5,460","1,51M","-3,64%"
"13.05.2020","6,040","6,130","6,220","5,850","1,21M","-3,36%"
"12.05.2020","6,250","6,130","6,600","5,770","1,78M","0,00%"
"11.05.2020","6,250","6,000","6,380","5,810","2,12M","-3,10%"
"08.05.2020","6,450","6,710","6,710","6,100","33,58M","5,74%"
"07.05.2020","6,100","5,570","6,100","5,300","9,67M","9,91%"
"06.05.2020","5,550","5,840","6,100","5,250","13,27M","-3,31%"
"05.05.2020","5,740","5,700","6,730","5,700","30,55M","-9,32%"
"04.05.2020","6,330","6,330","6,330","6,330","276,44K","-9,96%"
"30.04.2020","7,030","8,590","8,590","7,030","2,36M","-9,99%"
"29.04.2020","7,810","7,810","7,810","7,810","651,38K","10,00%"
"28.04.2020","7,100","7,100","7,100","7,100","359,98K","9,91%"
"27.04.2020","6,460","6,460","6,460","6,400","829,89K","9,86%"
"24.04.2020","5,880","5,880","5,880","5,780","1,12M","9,91%"
"22.04.2020","5,350","5,190","5,350","5,110","3,95M","9,86%"
"21.04.2020","4,870","4,870","4,870","4,650","12,39M","9,93%"
"20.04.2020","4,430","4,130","4,430","4,100","4,81M","9,93%"
"17.04.2020","4,030","4,110","4,200","3,620","10,53M","4,68%"
"16.04.2020","3,850","3,580","3,850","3,570","11,64M","10,00%"
"15.04.2020","3,500","3,210","3,500","2,930","18,58M","9,72%"
"14.04.2020","3,190","3,050","3,260","3,030","11,94M","5,98%"
"13.04.2020","3,010","2,940","3,090","2,890","6,52M","2,03%"
"10.04.2020","2,950","3,030","3,030","2,930","2,54M","-1,99%"
"09.04.2020","3,010","3,120","3,130","2,980","3,68M","0,00%"
"08.04.2020","3,010","2,940","3,120","2,850","4,75M","1,01%"
"07.04.2020","2,980","3,120","3,240","2,980","5,96M","-2,93%"
"06.04.2020","3,070","2,940","3,090","2,880","8,15M","7,34%"
"03.04.2020","2,860","2,800","2,990","2,660","8,81M","2,14%"
"02.04.2020","2,800","3,020","3,200","2,800","5,43M","-9,97%"
"01.04.2020","3,110","3,350","3,550","3,060","8,48M","-5,18%"
"31.03.2020","3,280","3,060","3,280","3,060","6,12M","9,70%"
"30.03.2020","2,990","2,760","2,990","2,740","6,69M","9,93%"
"27.03.2020","2,720","2,750","2,830","2,500","5,49M","5,02%"
"26.03.2020","2,590","2,440","2,590","2,420","2,94M","9,75%"
"25.03.2020","2,360","2,330","2,360","2,200","4,04M","9,77%"
"24.03.2020","2,150","2,110","2,150","2,010","1,49M","9,69%"
"23.03.2020","1,960","1,790","1,960","1,740","5,61M","9,50%"
"20.03.2020","1,790","1,820","1,850","1,770","2,55M","1,13%"
"19.03.2020","1,770","1,760","1,870","1,690","3,36M","-1,67%"
"18.03.2020","1,800","1,810","1,950","1,800","5,04M","-10,00%"
"17.03.2020","2,000","2,000","2,180","2,000","1,54M","-9,91%"
"16.03.2020","2,220","2,380","2,380","2,220","1,34M","-9,76%"
"13.03.2020","2,460","2,830","2,900","2,430","6,16M","-8,55%"
"12.03.2020","2,690","2,330","2,840","2,250","10,80M","13,50%"
"11.03.2020","2,370","2,160","2,510","2,040","4,99M","9,22%"
"10.03.2020","2,170","2,430","2,470","2,170","999,26K","-8,82%"
"09.03.2020","2,380","2,590","2,740","2,330","1,22M","-9,85%"
"06.03.2020","2,640","2,640","2,670","2,620","446,43K","-0,38%"
"05.03.2020","2,650","2,710","2,720","2,650","597,33K","-1,12%"
"04.03.2020","2,680","2,690","2,740","2,670","707,29K","-0,37%"
"03.03.2020","2,690","2,640","2,810","2,620","1,58M","3,07%"
"02.03.2020","2,610","2,630","2,670","2,610","950,28K","1,16%"
"28.02.2020","2,580","2,470","2,620","2,400","1,61M","-5,49%"
"27.02.2020","2,730","2,830","2,850","2,690","1,06M","-3,87%"
"26.02.2020","2,840","2,800","2,890","2,780","1,25M","0,71%"
"25.02.2020","2,820","2,820","2,900","2,800","756,12K","0,00%"
"24.02.2020","2,820","2,770","2,820","2,750","593,61K","0,00%"
"21.02.2020","2,820","2,760","2,860","2,730","1,06M","2,17%"
"20.02.2020","2,760","2,930","2,940","2,710","1,92M","-5,80%"
"19.02.2020","2,930","2,980","3,040","2,930","1,92M","-1,35%"
"18.02.2020","2,970","3,020","3,090","2,900","2,49M","-1,66%"
"17.02.2020","3,020","3,030","3,110","3,000","1,97M","0,33%"
"14.02.2020","3,010","3,050","3,080","2,990","2,58M","-0,99%"
"13.02.2020","3,040","3,050","3,070","3,000","991,98K","1,67%"
"12.02.2020","2,990","3,050","3,080","2,990","1,71M","-1,64%"
"11.02.2020","3,040","3,010","3,050","2,920","1,56M","2,36%"
"10.02.2020","2,970","3,070","3,130","2,770","2,04M","-2,94%"
"07.02.2020","3,060","3,040","3,250","3,030","4,62M","0,99%"
"06.02.2020","3,030","3,070","3,100","2,990","1,71M","-0,98%"
