"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","12,040","11,830","12,230","11,800","4,41M","1,78%"
"22.10.2020","11,830","11,950","12,080","11,810","1,79M","-1,00%"
"21.10.2020","11,950","12,080","12,200","11,930","2,85M","-0,99%"
"20.10.2020","12,070","11,950","12,200","11,840","3,92M","1,00%"
"19.10.2020","11,950","12,200","12,270","11,920","3,59M","-1,97%"
"16.10.2020","12,190","12,280","12,470","12,160","3,22M","-0,49%"
"15.10.2020","12,250","12,190","12,550","12,130","5,69M","0,49%"
"14.10.2020","12,190","12,920","13,120","12,010","11,40M","-0,97%"
"13.10.2020","12,310","12,750","12,950","12,200","6,72M","-2,53%"
"12.10.2020","12,630","12,370","13,000","12,310","9,40M","3,10%"
"09.10.2020","12,250","12,040","12,550","11,940","9,58M","3,11%"
"08.10.2020","11,880","11,400","12,130","11,320","11,55M","4,95%"
"07.10.2020","11,320","11,330","11,540","11,220","2,84M","-0,44%"
"06.10.2020","11,370","11,590","11,710","11,330","3,64M","-1,30%"
"05.10.2020","11,520","11,260","11,570","11,210","3,60M","2,77%"
"02.10.2020","11,210","11,210","11,420","11,070","2,54M","-0,36%"
"01.10.2020","11,250","11,700","11,730","11,140","5,21M","-2,17%"
"30.09.2020","11,500","11,550","12,070","11,460","11,58M","1,59%"
"29.09.2020","11,320","10,970","11,530","10,970","10,21M","3,57%"
"28.09.2020","10,930","11,150","11,520","10,930","13,25M","-1,26%"
"25.09.2020","11,070","10,850","11,670","10,520","21,17M","4,34%"
"24.09.2020","10,610","10,250","10,700","10,110","4,70M","3,51%"
"23.09.2020","10,250","10,090","10,560","10,050","4,64M","2,30%"
"22.09.2020","10,020","10,100","10,150","9,840","2,40M","0,60%"
"21.09.2020","9,960","10,610","10,650","9,960","3,48M","-6,04%"
"18.09.2020","10,600","10,740","10,840","10,600","2,27M","-0,93%"
"17.09.2020","10,700","10,710","11,060","10,650","4,24M","-0,37%"
"16.09.2020","10,740","10,890","10,980","10,640","1,57M","-1,20%"
"15.09.2020","10,870","10,900","11,050","10,760","2,93M","0,28%"
"14.09.2020","10,840","10,700","10,920","10,640","4,45M","1,98%"
"11.09.2020","10,630","10,530","10,660","10,470","1,78M","1,05%"
"10.09.2020","10,520","10,500","10,760","10,410","2,50M","0,38%"
"09.09.2020","10,480","10,380","10,650","10,330","1,75M","0,96%"
"08.09.2020","10,380","10,550","10,620","10,330","1,22M","-1,33%"
"07.09.2020","10,520","10,430","10,670","10,320","3,19M","1,35%"
"04.09.2020","10,380","10,090","10,420","10,030","1,94M","2,27%"
"03.09.2020","10,150","10,340","10,410","10,140","2,05M","-1,26%"
"02.09.2020","10,280","10,460","10,560","10,280","2,29M","-1,72%"
"01.09.2020","10,460","10,260","10,650","10,190","8,04M","2,35%"
"31.08.2020","10,220","10,240","10,430","10,020","3,17M","-0,10%"
"28.08.2020","10,230","10,450","10,490","10,110","2,68M","-1,54%"
"27.08.2020","10,390","10,310","10,500","10,080","4,10M","1,27%"
"26.08.2020","10,260","9,850","10,480","9,850","11,97M","5,88%"
"25.08.2020","9,690","9,830","9,990","9,550","3,29M","-0,82%"
"24.08.2020","9,770","9,810","10,110","9,730","4,88M","0,21%"
"21.08.2020","9,750","9,530","9,800","9,460","4,10M","2,85%"
"20.08.2020","9,480","9,600","9,610","9,420","1,94M","-1,04%"
"19.08.2020","9,580","9,670","9,770","9,540","2,42M","0,10%"
"18.08.2020","9,570","9,420","9,680","9,390","2,30M","1,59%"
"17.08.2020","9,420","9,470","9,700","9,420","2,47M","-0,42%"
"14.08.2020","9,460","9,430","9,680","9,340","2,26M","0,32%"
"13.08.2020","9,430","9,750","9,970","9,430","4,65M","-2,28%"
"12.08.2020","9,650","9,920","9,960","9,600","2,92M","-2,43%"
"11.08.2020","9,890","10,030","10,340","9,850","5,45M","-1,00%"
"10.08.2020","9,990","9,760","10,370","9,460","9,03M","1,63%"
"07.08.2020","9,830","10,100","10,740","9,200","9,10M","-1,70%"
"06.08.2020","10,000","10,820","10,960","10,000","3,29M","-8,68%"
"05.08.2020","10,950","10,600","11,120","10,080","3,61M","6,41%"
"04.08.2020","10,290","11,550","11,640","10,270","6,89M","-9,82%"
"30.07.2020","11,410","11,150","11,570","11,040","3,41M","3,73%"
"29.07.2020","11,000","10,890","11,200","10,860","8,01M","1,29%"
"28.07.2020","10,860","11,180","11,300","10,780","5,60M","-2,86%"
"27.07.2020","11,180","11,250","11,580","11,150","9,19M","0,99%"
"24.07.2020","11,070","10,990","11,270","10,880","4,53M","0,27%"
"23.07.2020","11,040","11,690","11,750","11,040","11,49M","-4,50%"
"22.07.2020","11,560","10,620","11,560","10,220","13,06M","9,99%"
"21.07.2020","10,510","10,980","11,080","10,440","2,97M","-3,31%"
"20.07.2020","10,870","10,590","10,950","10,580","5,09M","3,13%"
"17.07.2020","10,540","10,610","10,700","10,450","2,40M","-0,38%"
"16.07.2020","10,580","10,560","10,750","10,490","3,60M","1,15%"
"14.07.2020","10,460","10,020","10,650","9,930","5,87M","3,87%"
"13.07.2020","10,070","9,990","10,180","9,790","2,78M","3,18%"
"10.07.2020","9,760","9,930","10,050","9,470","4,35M","-1,51%"
"09.07.2020","9,910","10,500","10,520","9,910","2,79M","-4,25%"
"08.07.2020","10,350","10,520","10,830","10,330","6,28M","-1,24%"
"07.07.2020","10,480","10,250","10,660","10,150","10,01M","3,15%"
"06.07.2020","10,160","10,050","10,320","9,940","7,10M","2,73%"
"03.07.2020","9,890","10,050","10,150","9,850","4,26M","-1,10%"
"02.07.2020","10,000","9,850","10,100","9,840","3,77M","1,94%"
"01.07.2020","9,810","10,000","10,030","9,780","2,35M","-1,90%"
"30.06.2020","10,000","10,000","10,160","9,970","3,06M","0,30%"
"29.06.2020","9,970","9,920","10,120","9,800","4,16M","1,42%"
"26.06.2020","9,830","9,800","10,230","9,740","5,86M","0,92%"
"25.06.2020","9,740","9,750","9,810","9,610","2,07M","0,10%"
"24.06.2020","9,730","9,660","9,890","9,600","3,01M","0,52%"
"23.06.2020","9,680","9,700","9,840","9,590","1,91M","-0,10%"
"22.06.2020","9,690","9,850","9,950","9,690","5,77M","-1,22%"
"19.06.2020","9,810","9,670","9,830","9,490","5,44M","1,55%"
"18.06.2020","9,660","10,070","10,170","9,620","6,71M","-3,40%"
"17.06.2020","10,000","9,350","10,170","9,320","16,80M","7,53%"
"16.06.2020","9,300","9,370","9,480","9,290","2,89M","0,32%"
"15.06.2020","9,270","9,260","9,480","9,230","3,93M","1,09%"
"12.06.2020","9,170","9,300","9,440","9,170","3,83M","-1,93%"
"11.06.2020","9,350","9,040","9,540","9,040","14,22M","5,06%"
