"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","23,46","24,18","24,24","23,34","1,43M","-2,74%"
"22.10.2020","24,12","24,40","24,92","24,06","2,24M","-1,39%"
"21.10.2020","24,46","24,94","25,04","24,28","1,65M","-1,37%"
"20.10.2020","24,80","24,96","24,98","24,54","1,22M","-0,24%"
"19.10.2020","24,86","24,60","24,98","24,46","1,74M","1,47%"
"16.10.2020","24,50","24,28","24,52","24,08","1,26M","1,24%"
"15.10.2020","24,20","24,38","24,40","24,00","1,27M","-0,82%"
"14.10.2020","24,40","24,02","24,70","24,02","1,78M","1,75%"
"13.10.2020","23,98","24,50","24,66","23,96","1,24M","-2,12%"
"12.10.2020","24,50","23,84","25,00","23,66","2,57M","4,17%"
"09.10.2020","23,52","23,60","23,80","23,52","1,07M","0,17%"
"08.10.2020","23,48","23,96","24,10","23,30","1,35M","-1,51%"
"07.10.2020","23,84","23,76","24,22","23,62","2,03M","0,00%"
"06.10.2020","23,84","23,60","24,42","23,60","3,07M","1,27%"
"05.10.2020","23,54","23,48","23,68","23,32","2,00M","1,47%"
"02.10.2020","23,20","23,00","23,64","22,80","1,94M","0,43%"
"01.10.2020","23,10","23,00","23,24","22,84","1,58M","1,05%"
"30.09.2020","22,86","22,60","22,96","22,52","1,43M","1,42%"
"29.09.2020","22,54","22,58","22,74","22,38","1,77M","-0,09%"
"28.09.2020","22,56","22,76","22,80","22,30","2,73M","-1,40%"
"25.09.2020","22,88","23,04","23,10","22,70","1,62M","-0,26%"
"24.09.2020","22,94","22,98","23,22","22,80","1,68M","-0,26%"
"23.09.2020","23,00","23,00","23,24","22,84","1,37M","0,44%"
"22.09.2020","22,90","22,60","22,90","22,50","945,95K","1,42%"
"21.09.2020","22,58","22,72","22,92","22,28","1,77M","-0,44%"
"18.09.2020","22,68","22,46","22,72","22,40","1,60M","1,16%"
"17.09.2020","22,42","22,30","22,50","22,26","842,31K","0,18%"
"16.09.2020","22,38","22,60","22,70","22,38","1,39M","-0,89%"
"15.09.2020","22,58","22,82","23,10","22,36","2,30M","-0,27%"
"14.09.2020","22,64","22,42","22,80","22,42","725,28K","1,07%"
"11.09.2020","22,40","22,78","22,82","22,32","1,29M","-1,58%"
"10.09.2020","22,76","22,88","23,00","22,64","925,74K","-0,52%"
"09.09.2020","22,88","22,32","22,92","22,28","1,71M","2,69%"
"08.09.2020","22,28","22,46","22,64","22,06","2,04M","-0,27%"
"07.09.2020","22,34","22,20","22,38","22,08","1,21M","1,09%"
"04.09.2020","22,10","22,02","22,32","21,98","1,26M","0,55%"
"03.09.2020","21,98","22,44","22,46","21,88","1,92M","-1,79%"
"02.09.2020","22,38","22,64","22,76","22,38","1,47M","-1,15%"
"01.09.2020","22,64","23,10","23,16","22,42","2,44M","-1,14%"
"31.08.2020","22,90","23,16","23,34","22,68","2,16M","-1,12%"
"28.08.2020","23,16","23,18","23,42","22,90","2,94M","1,85%"
"27.08.2020","22,74","22,96","23,02","22,64","1,45M","-0,26%"
"26.08.2020","22,80","23,02","23,34","22,52","1,82M","-0,87%"
"25.08.2020","23,00","22,74","23,40","22,74","2,62M","1,23%"
"24.08.2020","22,72","22,96","23,08","22,68","1,44M","-0,35%"
"21.08.2020","22,80","23,04","23,16","22,72","1,73M","-0,78%"
"20.08.2020","22,98","22,88","23,22","22,54","2,66M","0,44%"
"19.08.2020","22,88","22,42","23,40","22,34","3,67M","2,51%"
"18.08.2020","22,32","22,40","22,62","22,16","3,16M","-0,36%"
"17.08.2020","22,40","22,42","22,80","21,90","2,71M","-0,18%"
"14.08.2020","22,44","22,54","22,92","21,48","2,69M","-0,71%"
"13.08.2020","22,60","22,78","23,26","22,04","3,02M","-0,62%"
"12.08.2020","22,74","23,70","23,70","22,42","5,50M","-3,64%"
"11.08.2020","23,60","23,14","24,16","23,14","3,60M","2,34%"
"10.08.2020","23,06","22,10","23,36","22,00","5,15M","4,34%"
"07.08.2020","22,10","21,90","22,18","20,00","4,99M","1,19%"
"06.08.2020","21,84","24,30","24,48","21,80","6,26M","-9,75%"
"05.08.2020","24,20","25,30","25,30","24,04","3,56M","-3,51%"
"04.08.2020","25,08","26,40","26,90","24,12","3,97M","-3,76%"
"30.07.2020","26,06","26,28","26,50","26,02","696,61K","-0,84%"
"29.07.2020","26,28","26,74","26,88","25,50","1,92M","-1,72%"
"28.07.2020","26,74","27,60","27,74","26,60","2,06M","-3,05%"
"27.07.2020","27,58","26,80","27,72","26,74","3,53M","3,76%"
"24.07.2020","26,58","26,54","26,68","26,40","807,68K","0,15%"
"23.07.2020","26,54","26,72","26,78","26,42","1,04M","0,15%"
"22.07.2020","26,50","26,36","26,90","26,00","2,05M","0,61%"
"21.07.2020","26,34","27,10","27,18","25,92","1,72M","-2,01%"
"20.07.2020","26,88","26,78","27,22","26,60","2,11M","0,83%"
"17.07.2020","26,66","27,10","27,16","26,66","1,74M","-1,55%"
"16.07.2020","27,08","27,12","27,54","26,86","3,43M","0,82%"
"14.07.2020","26,86","26,16","26,90","26,00","2,86M","2,75%"
"13.07.2020","26,14","25,58","26,28","25,54","2,15M","3,16%"
"10.07.2020","25,34","25,44","25,70","24,72","2,99M","-0,63%"
"09.07.2020","25,50","26,30","26,76","25,36","3,90M","-2,15%"
"08.07.2020","26,06","26,52","26,94","25,92","3,39M","-1,21%"
"07.07.2020","26,38","25,48","26,44","25,20","7,35M","5,18%"
"06.07.2020","25,08","24,92","25,48","24,86","3,46M","1,21%"
"03.07.2020","24,78","24,68","24,88","24,48","3,14M","1,31%"
"02.07.2020","24,46","24,20","24,58","24,20","2,05M","1,33%"
"01.07.2020","24,14","24,50","24,70","24,12","2,13M","-0,66%"
"30.06.2020","24,30","23,90","24,38","23,86","2,41M","2,27%"
"29.06.2020","23,76","24,08","24,20","23,72","1,89M","-1,08%"
"26.06.2020","24,02","24,30","24,50","23,94","1,66M","0,25%"
"25.06.2020","23,96","24,00","24,04","23,54","1,15M","-0,33%"
"24.06.2020","24,04","24,56","24,68","23,98","1,70M","-2,12%"
"23.06.2020","24,56","25,00","25,04","24,50","1,23M","-1,37%"
"22.06.2020","24,90","25,04","25,24","24,60","1,91M","-0,24%"
"19.06.2020","24,96","25,38","26,00","24,96","2,88M","-0,16%"
"18.06.2020","25,00","24,70","25,10","24,60","2,00M","1,21%"
"17.06.2020","24,70","25,40","25,56","24,68","3,19M","-1,83%"
"16.06.2020","25,16","24,34","25,34","24,30","4,38M","4,14%"
"15.06.2020","24,16","23,50","24,30","23,44","2,86M","2,90%"
"12.06.2020","23,48","23,00","23,74","22,90","1,93M","1,47%"
"11.06.2020","23,14","23,10","23,42","23,10","1,40M","-0,69%"
"10.06.2020","23,30","23,32","23,68","23,26","1,31M","0,00%"
"09.06.2020","23,30","23,48","23,56","23,16","1,00M","-0,77%"
"08.06.2020","23,48","23,48","23,76","23,20","1,13M","1,21%"
"05.06.2020","23,20","23,30","23,32","23,04","553,44K","0,43%"
"04.06.2020","23,10","23,74","23,80","23,02","1,16M","-2,12%"
"03.06.2020","23,60","24,00","24,02","23,60","1,15M","-1,17%"
"02.06.2020","23,88","24,00","24,10","23,74","1,30M","-0,50%"
"01.06.2020","24,00","23,86","24,10","23,86","1,57M","1,69%"
"29.05.2020","23,60","23,94","24,12","23,60","2,28M","-1,58%"
"28.05.2020","23,98","23,86","24,50","23,84","2,18M","0,84%"
"27.05.2020","23,78","23,80","24,02","23,64","1,52M","0,51%"
"22.05.2020","23,66","23,92","24,06","23,42","923,82K","-1,00%"
"21.05.2020","23,90","23,96","24,18","23,58","1,28M","-0,25%"
"20.05.2020","23,96","24,02","24,18","23,82","1,20M","-0,17%"
"18.05.2020","24,00","23,56","24,48","23,30","4,44M","3,45%"
"15.05.2020","23,20","23,26","23,64","23,04","821,19K","-0,09%"
"14.05.2020","23,22","22,74","23,64","22,74","1,92M","0,00%"
"13.05.2020","23,22","22,82","23,34","22,80","1,87M","1,84%"
"12.05.2020","22,80","22,24","23,06","22,22","1,62M","2,61%"
"11.05.2020","22,22","22,48","22,80","22,22","663,51K","-0,89%"
"08.05.2020","22,42","22,92","23,14","22,20","1,83M","-1,58%"
"07.05.2020","22,78","22,04","23,56","21,80","2,79M","2,43%"
"06.05.2020","22,24","22,92","22,98","22,04","2,14M","-2,71%"
