"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","13,380","13,550","14,200","12,910","39,82M","1,21%"
"22.10.2020","13,220","12,100","13,220","12,040","19,36M","9,98%"
"21.10.2020","12,020","12,800","12,900","11,970","8,21M","-5,06%"
"20.10.2020","12,660","11,940","13,020","11,940","21,53M","6,93%"
"19.10.2020","11,840","11,180","12,000","10,930","14,39M","6,28%"
"16.10.2020","11,140","11,340","11,530","11,040","9,88M","-1,42%"
"15.10.2020","11,300","10,680","11,730","10,610","36,37M","5,90%"
"14.10.2020","10,670","11,000","11,120","10,630","9,28M","-1,57%"
"13.10.2020","10,840","10,680","10,860","10,390","5,98M","2,75%"
"12.10.2020","10,550","10,450","10,900","10,450","8,35M","1,64%"
"09.10.2020","10,380","10,310","10,450","10,210","5,43M","1,47%"
"08.10.2020","10,230","10,330","10,420","10,180","3,36M","-0,10%"
"07.10.2020","10,240","10,400","10,400","10,180","3,74M","-1,44%"
"06.10.2020","10,390","10,520","10,630","10,370","5,18M","-0,76%"
"05.10.2020","10,470","10,630","10,660","10,470","3,49M","-0,95%"
"02.10.2020","10,570","10,380","10,640","10,310","3,68M","2,22%"
"01.10.2020","10,340","10,490","10,540","10,280","3,23M","-1,05%"
"30.09.2020","10,450","10,510","10,680","10,440","5,36M","-0,29%"
"29.09.2020","10,480","11,070","11,070","10,400","22,14M","-4,73%"
"28.09.2020","11,000","10,570","11,150","10,410","12,41M","4,36%"
"25.09.2020","10,540","10,800","10,870","10,520","8,44M","-1,59%"
"24.09.2020","10,710","10,430","11,130","10,330","25,28M","3,08%"
"23.09.2020","10,390","10,260","10,730","10,200","11,69M","2,06%"
"22.09.2020","10,180","10,270","10,400","10,060","6,22M","-0,88%"
"21.09.2020","10,270","10,300","10,530","10,160","6,02M","0,39%"
"18.09.2020","10,230","10,080","10,380","10,010","9,30M","2,20%"
"17.09.2020","10,010","10,330","10,330","9,990","4,84M","-3,19%"
"16.09.2020","10,340","10,820","10,980","10,310","10,22M","-4,08%"
"15.09.2020","10,780","10,360","11,190","10,290","35,04M","4,86%"
"14.09.2020","10,280","9,950","10,550","9,850","16,50M","4,37%"
"11.09.2020","9,850","9,900","9,960","9,850","1,89M","-0,30%"
"10.09.2020","9,880","9,900","10,060","9,860","4,27M","0,20%"
"09.09.2020","9,860","9,990","10,090","9,840","3,68M","-0,90%"
"08.09.2020","9,950","10,040","10,090","9,800","4,21M","-0,80%"
"07.09.2020","10,030","10,100","10,230","9,960","5,13M","0,60%"
"04.09.2020","9,970","9,990","10,300","9,880","7,13M","0,40%"
"03.09.2020","9,930","9,920","10,250","9,800","11,43M","0,81%"
"02.09.2020","9,850","10,100","10,100","9,810","7,78M","-3,53%"
"01.09.2020","10,210","10,880","11,680","10,150","40,43M","-4,85%"
"31.08.2020","10,730","10,160","10,930","10,080","17,21M","6,55%"
"28.08.2020","10,070","10,010","10,210","9,850","7,70M","1,31%"
"27.08.2020","9,940","9,650","9,940","9,590","4,90M","3,87%"
