"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","4,300","4,350","4,480","4,180","4,39M","-2,27%"
"22.10.2020","4,400","4,780","4,790","4,350","7,78M","-7,37%"
"21.10.2020","4,750","4,340","4,750","4,340","12,55M","9,95%"
"20.10.2020","4,320","4,300","4,380","4,230","3,39M","0,93%"
"19.10.2020","4,280","4,260","4,350","4,250","2,11M","0,47%"
"16.10.2020","4,260","4,270","4,390","4,250","2,22M","0,00%"
"15.10.2020","4,260","4,350","4,400","4,230","2,28M","-1,84%"
"14.10.2020","4,340","4,220","4,440","4,210","3,43M","2,84%"
"13.10.2020","4,220","4,160","4,300","4,130","3,19M","1,69%"
"12.10.2020","4,150","4,140","4,200","4,100","2,03M","0,97%"
"09.10.2020","4,110","4,070","4,200","4,050","2,57M","0,98%"
"08.10.2020","4,070","4,170","4,180","4,050","2,52M","-1,69%"
"07.10.2020","4,140","3,950","4,220","3,940","4,15M","4,55%"
"06.10.2020","3,960","4,020","4,080","3,930","3,04M","-1,00%"
"05.10.2020","4,000","4,220","4,220","3,970","5,07M","-5,44%"
"02.10.2020","4,230","4,260","4,460","4,150","2,58M","0,71%"
"01.10.2020","4,200","4,120","4,280","4,020","4,03M","2,69%"
"30.09.2020","4,090","3,840","4,190","3,840","6,31M","7,35%"
"29.09.2020","3,810","3,760","3,910","3,730","5,01M","2,42%"
"28.09.2020","3,720","3,660","3,840","3,640","4,39M","2,20%"
"25.09.2020","3,640","3,570","3,730","3,550","3,27M","2,82%"
"24.09.2020","3,540","3,520","3,620","3,510","2,13M","0,00%"
"23.09.2020","3,540","3,530","3,660","3,490","2,27M","0,85%"
"22.09.2020","3,510","3,800","3,830","3,460","7,93M","-6,40%"
"21.09.2020","3,750","3,470","3,750","3,470","8,97M","9,97%"
"18.09.2020","3,410","3,330","3,500","3,280","3,21M","3,02%"
"17.09.2020","3,310","3,340","3,350","3,260","1,19M","-1,19%"
"16.09.2020","3,350","3,360","3,360","3,310","620,10K","0,60%"
"15.09.2020","3,330","3,350","3,400","3,300","2,12M","-0,60%"
"14.09.2020","3,350","3,380","3,390","3,300","1,43M","-0,30%"
"11.09.2020","3,360","3,360","3,450","3,340","4,03M","0,30%"
"10.09.2020","3,350","3,320","3,380","3,310","2,79M","0,30%"
"09.09.2020","3,340","3,320","3,420","3,280","2,51M","0,91%"
"08.09.2020","3,310","3,320","3,380","3,270","6,51M","0,61%"
"07.09.2020","3,290","3,190","3,330","3,180","4,74M","4,11%"
"04.09.2020","3,160","3,070","3,310","3,030","2,85M","3,27%"
"03.09.2020","3,060","3,020","3,110","3,010","1,01M","1,32%"
"02.09.2020","3,020","3,040","3,080","3,010","758,27K","-0,66%"
"01.09.2020","3,040","3,100","3,100","3,000","897,18K","-1,30%"
"31.08.2020","3,080","3,160","3,230","3,070","1,37M","-2,53%"
"28.08.2020","3,160","3,200","3,260","3,120","1,28M","-0,94%"
"27.08.2020","3,190","3,150","3,230","3,120","1,71M","2,24%"
"26.08.2020","3,120","3,110","3,150","3,090","681,21K","0,32%"
"25.08.2020","3,110","3,110","3,170","3,090","843,72K","0,32%"
"24.08.2020","3,100","3,250","3,250","3,090","947,28K","-3,43%"
"21.08.2020","3,210","3,170","3,300","3,140","1,64M","1,58%"
"20.08.2020","3,160","3,130","3,220","3,060","956,06K","0,64%"
"19.08.2020","3,140","3,130","3,150","3,110","621,99K","0,64%"
"18.08.2020","3,120","3,120","3,170","3,080","711,07K","0,00%"
"17.08.2020","3,120","3,270","3,270","3,100","1,38M","-3,41%"
"14.08.2020","3,230","3,260","3,450","3,200","1,94M","-2,42%"
"13.08.2020","3,310","3,220","3,350","3,080","1,84M","2,80%"
"12.08.2020","3,220","3,130","3,370","3,100","3,18M","-0,62%"
"11.08.2020","3,240","2,970","3,240","2,970","3,33M","9,83%"
"10.08.2020","2,950","2,910","3,010","2,800","1,87M","1,72%"
"07.08.2020","2,900","2,850","2,930","2,610","3,54M","0,00%"
"06.08.2020","2,900","3,210","3,210","2,900","1,44M","-9,94%"
"05.08.2020","3,220","3,360","3,370","3,200","2,60M","-3,88%"
"04.08.2020","3,350","3,670","3,670","3,290","1,72M","-7,97%"
"30.07.2020","3,640","3,700","3,700","3,600","492,99K","-1,89%"
"29.07.2020","3,710","3,700","3,810","3,530","1,84M","-0,54%"
"28.07.2020","3,730","3,990","3,990","3,730","1,60M","-6,52%"
"27.07.2020","3,990","4,000","4,030","3,900","2,25M","3,64%"
"24.07.2020","3,850","3,810","3,870","3,780","656,42K","0,26%"
"23.07.2020","3,840","3,810","3,910","3,790","1,75M","0,79%"
"22.07.2020","3,810","3,830","3,860","3,750","1,27M","-0,52%"
"21.07.2020","3,830","3,930","3,980","3,750","2,21M","-1,79%"
"20.07.2020","3,900","3,840","4,010","3,800","3,70M","1,56%"
"17.07.2020","3,840","3,870","3,900","3,800","1,15M","-0,52%"
"16.07.2020","3,860","3,850","4,000","3,850","2,65M","1,05%"
"14.07.2020","3,820","3,930","3,930","3,790","1,37M","-2,80%"
"13.07.2020","3,930","3,810","3,940","3,760","1,46M","4,80%"
"10.07.2020","3,750","3,880","3,900","3,610","2,24M","-3,85%"
"09.07.2020","3,900","4,140","4,180","3,890","1,67M","-5,80%"
"08.07.2020","4,140","4,180","4,300","4,130","4,16M","-0,96%"
"07.07.2020","4,180","4,250","4,250","4,050","3,05M","-0,95%"
"06.07.2020","4,220","4,170","4,270","4,120","4,21M","1,44%"
"03.07.2020","4,160","4,060","4,160","4,000","2,47M","2,97%"
"02.07.2020","4,040","3,930","4,170","3,910","6,94M","2,80%"
"01.07.2020","3,930","3,890","3,950","3,840","4,60M","2,08%"
"30.06.2020","3,850","3,760","3,880","3,700","6,10M","2,94%"
"29.06.2020","3,740","3,570","3,770","3,550","4,82M","5,06%"
"26.06.2020","3,560","3,590","3,620","3,550","1,61M","0,00%"
"25.06.2020","3,560","3,550","3,670","3,490","3,65M","0,85%"
"24.06.2020","3,530","3,580","3,590","3,520","1,31M","-1,12%"
"23.06.2020","3,570","3,530","3,620","3,510","1,57M","1,13%"
"22.06.2020","3,530","3,570","3,580","3,510","776,09K","-1,40%"
"19.06.2020","3,580","3,570","3,620","3,470","1,85M","0,85%"
"18.06.2020","3,550","3,610","3,660","3,550","2,68M","-1,66%"
"17.06.2020","3,610","3,660","3,690","3,570","1,94M","-0,28%"
"16.06.2020","3,620","3,560","3,740","3,550","4,36M","2,55%"
"15.06.2020","3,530","3,500","3,560","3,470","1,04M","-0,28%"
"12.06.2020","3,540","3,400","3,570","3,390","1,55M","-1,12%"
"11.06.2020","3,580","3,550","3,650","3,540","1,70M","-1,92%"
"10.06.2020","3,650","3,650","3,730","3,600","1,67M","0,55%"
"09.06.2020","3,630","3,560","3,800","3,430","6,93M","1,11%"
"08.06.2020","3,590","3,290","3,590","3,280","6,13M","9,79%"
"05.06.2020","3,270","3,220","3,350","3,180","3,30M","0,00%"
"04.06.2020","3,270","3,300","3,330","3,240","2,57M","0,00%"
"03.06.2020","3,270","3,220","3,320","3,180","3,71M","2,19%"
"02.06.2020","3,200","3,250","3,260","3,180","1,64M","-0,93%"
"01.06.2020","3,230","3,210","3,280","3,200","2,83M","1,25%"
"29.05.2020","3,190","3,240","3,270","3,160","2,46M","-1,54%"
"28.05.2020","3,240","3,240","3,250","3,120","1,32M","0,62%"
"27.05.2020","3,220","3,170","3,250","3,160","2,10M","3,21%"
"22.05.2020","3,120","3,110","3,150","3,050","2,88M","0,00%"
"21.05.2020","3,120","3,220","3,220","3,090","1,32M","-1,89%"
"20.05.2020","3,180","3,210","3,240","3,140","1,39M","2,25%"
"18.05.2020","3,110","3,100","3,190","3,070","3,17M","1,63%"
"15.05.2020","3,060","3,090","3,110","3,040","973,64K","0,00%"
"14.05.2020","3,060","3,060","3,100","3,000","1,97M","0,00%"
"13.05.2020","3,060","3,040","3,160","3,000","3,57M","0,66%"
"12.05.2020","3,040","2,990","3,100","2,990","2,50M","2,36%"
"11.05.2020","2,970","2,940","3,010","2,860","1,96M","2,06%"
"08.05.2020","2,910","2,960","2,990","2,870","723,65K","-1,69%"
"07.05.2020","2,960","3,010","3,010","2,920","950,28K","-1,33%"
"06.05.2020","3,000","3,050","3,050","2,950","747,56K","0,67%"
"05.05.2020","2,980","2,900","3,020","2,870","1,53M","3,47%"
"04.05.2020","2,880","2,940","2,940","2,830","828,82K","-2,70%"
"30.04.2020","2,960","3,040","3,080","2,880","1,40M","-1,66%"
"29.04.2020","3,010","3,030","3,060","2,990","953,88K","-0,33%"
"28.04.2020","3,020","3,030","3,080","2,980","1,78M","0,67%"
"27.04.2020","3,000","2,960","3,030","2,950","1,73M","2,39%"
"24.04.2020","2,930","2,940","2,970","2,910","1,13M","0,34%"
"22.04.2020","2,920","2,850","3,020","2,830","2,77M","2,82%"
"21.04.2020","2,840","2,860","2,900","2,780","1,16M","-0,70%"
"20.04.2020","2,860","2,820","2,880","2,780","1,39M","2,88%"
"17.04.2020","2,780","2,750","2,860","2,720","2,12M","2,96%"
"16.04.2020","2,700","2,720","2,770","2,620","1,92M","0,75%"
