"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","3,310","3,970","3,970","3,310","46,33M","-9,81%"
"22.10.2020","3,670","3,670","3,670","3,510","18,74M","9,88%"
"21.10.2020","3,340","3,340","3,340","3,340","969,15K","9,87%"
"20.10.2020","3,040","3,040","3,040","3,040","1,38M","9,75%"
"19.10.2020","2,770","2,600","2,770","2,600","16,87M","9,92%"
"16.10.2020","2,520","2,360","2,570","2,340","65,75M","7,69%"
"15.10.2020","2,340","2,330","2,360","2,310","7,95M","0,43%"
"14.10.2020","2,330","2,400","2,410","2,310","10,95M","-2,51%"
"13.10.2020","2,390","2,330","2,440","2,260","28,63M","3,02%"
"12.10.2020","2,320","2,340","2,400","2,300","11,89M","-0,43%"
"09.10.2020","2,330","2,280","2,480","2,270","35,38M","2,19%"
"08.10.2020","2,280","2,300","2,360","2,250","11,95M","-1,72%"
"07.10.2020","2,320","2,250","2,350","2,170","5,52M","1,75%"
"06.10.2020","2,280","2,420","2,430","2,240","6,33M","-4,20%"
"05.10.2020","2,380","2,210","2,380","2,200","7,30M","9,68%"
"02.10.2020","2,170","2,080","2,170","2,050","2,91M","3,33%"
"01.10.2020","2,100","2,190","2,200","2,040","2,22M","-1,87%"
"30.09.2020","2,140","2,090","2,170","2,090","2,75M","3,38%"
"29.09.2020","2,070","2,020","2,120","2,020","3,99M","2,48%"
"28.09.2020","2,020","2,060","2,060","2,000","2,01M","-1,94%"
"25.09.2020","2,060","2,070","2,100","2,040","2,40M","-0,96%"
"24.09.2020","2,080","2,010","2,120","1,980","3,10M","3,48%"
"23.09.2020","2,010","2,060","2,080","2,010","2,32M","-1,95%"
"22.09.2020","2,050","2,080","2,090","1,970","3,10M","0,00%"
"21.09.2020","2,050","1,990","2,130","1,990","6,46M","4,06%"
"18.09.2020","1,970","1,930","1,970","1,930","2,13M","2,07%"
"17.09.2020","1,930","1,940","1,950","1,920","1,98M","-1,03%"
"16.09.2020","1,950","1,950","1,970","1,920","2,45M","0,00%"
"15.09.2020","1,950","1,970","1,990","1,930","2,40M","-1,02%"
"14.09.2020","1,970","1,940","2,000","1,920","2,63M","1,55%"
"11.09.2020","1,940","1,950","1,960","1,920","2,00M","0,52%"
"10.09.2020","1,930","1,930","1,960","1,910","2,00M","0,00%"
"09.09.2020","1,930","1,950","1,950","1,920","2,18M","-1,03%"
"08.09.2020","1,950","1,960","1,970","1,910","2,86M","-0,51%"
"07.09.2020","1,960","1,970","2,010","1,880","3,18M","-0,51%"
"04.09.2020","1,970","1,960","2,050","1,940","4,60M","-4,83%"
"03.09.2020","2,070","1,870","2,070","1,850","9,20M","9,52%"
"02.09.2020","1,890","1,990","1,990","1,890","2,85M","-5,50%"
"01.09.2020","2,000","1,820","2,000","1,770","3,64M","9,89%"
"31.08.2020","1,820","1,840","1,850","1,800","1,01M","-1,09%"
"28.08.2020","1,840","1,860","1,900","1,830","1,74M","-0,54%"
"27.08.2020","1,850","1,850","1,890","1,820","1,31M","0,54%"
"26.08.2020","1,840","1,860","1,900","1,810","1,48M","-1,08%"
"25.08.2020","1,860","1,880","1,900","1,810","1,66M","-1,06%"
"24.08.2020","1,880","1,910","1,940","1,870","1,47M","-1,05%"
"21.08.2020","1,900","1,960","1,980","1,880","2,32M","-3,06%"
"20.08.2020","1,960","2,100","2,100","1,920","3,43M","-7,55%"
"19.08.2020","2,120","2,230","2,270","2,050","6,16M","1,44%"
"18.08.2020","2,090","1,880","2,090","1,880","4,99M","10,00%"
"17.08.2020","1,900","1,730","1,900","1,670","3,25M","9,83%"
"14.08.2020","1,730","1,790","1,790","1,720","1,63M","-4,42%"
"13.08.2020","1,810","1,890","1,890","1,800","2,06M","-4,23%"
"12.08.2020","1,890","1,930","1,930","1,850","2,08M","-2,07%"
"11.08.2020","1,930","1,890","1,960","1,840","2,60M","2,12%"
"10.08.2020","1,890","1,820","1,950","1,770","2,31M","-0,53%"
"07.08.2020","1,900","1,710","1,910","1,650","3,24M","3,83%"
"06.08.2020","1,830","1,940","2,060","1,740","4,12M","-4,19%"
"05.08.2020","1,910","2,010","2,020","1,840","2,20M","-4,98%"
"04.08.2020","2,010","2,120","2,120","1,910","3,23M","-5,19%"
"30.07.2020","2,120","2,120","2,150","2,070","566,35K","0,00%"
"29.07.2020","2,120","2,050","2,200","1,940","2,31M","4,43%"
"28.07.2020","2,030","2,170","2,180","2,000","3,58M","-6,88%"
"27.07.2020","2,180","2,280","2,290","2,170","2,96M","-3,11%"
"24.07.2020","2,250","2,250","2,320","2,210","3,60M","-3,85%"
"23.07.2020","2,340","2,340","2,500","2,290","6,57M","-2,50%"
"22.07.2020","2,400","2,300","2,500","2,190","11,09M","3,90%"
"21.07.2020","2,310","2,080","2,310","1,980","10,38M","10,00%"
"20.07.2020","2,100","2,220","2,230","2,090","6,10M","-5,41%"
"17.07.2020","2,220","2,300","2,300","2,110","4,81M","-3,90%"
"16.07.2020","2,310","2,410","2,470","2,300","4,69M","-4,15%"
"14.07.2020","2,410","2,500","2,580","2,380","4,93M","-3,98%"
"13.07.2020","2,510","2,290","2,510","2,230","6,39M","9,61%"
"10.07.2020","2,290","2,390","2,530","2,230","7,35M","-7,29%"
"09.07.2020","2,470","2,660","2,670","2,430","11,83M","-8,18%"
"08.07.2020","2,690","2,620","2,930","2,510","10,79M","-3,24%"
"07.07.2020","2,780","2,750","2,820","2,620","36,04M","8,17%"
"06.07.2020","2,570","2,400","2,570","2,400","22,78M","9,83%"
"03.07.2020","2,340","2,230","2,400","2,230","34,65M","6,36%"
"02.07.2020","2,200","2,100","2,200","2,020","49,66M","10,00%"
"01.07.2020","2,000","2,000","2,000","1,920","15,25M","9,89%"
"30.06.2020","1,820","1,660","1,820","1,650","27,09M","9,64%"
"29.06.2020","1,660","1,530","1,670","1,520","49,48M","9,21%"
"26.06.2020","1,520","1,530","1,540","1,510","5,17M","0,00%"
"25.06.2020","1,520","1,500","1,560","1,480","25,17M","1,33%"
"24.06.2020","1,500","1,520","1,530","1,490","6,28M","-1,32%"
"23.06.2020","1,520","1,530","1,550","1,500","8,86M","-0,65%"
"22.06.2020","1,530","1,560","1,560","1,520","6,94M","-1,29%"
"19.06.2020","1,550","1,600","1,610","1,530","13,64M","-2,52%"
"18.06.2020","1,590","1,560","1,610","1,540","18,44M","3,25%"
"17.06.2020","1,540","1,510","1,580","1,490","29,75M","3,36%"
"16.06.2020","1,490","1,470","1,530","1,460","20,12M","2,05%"
"15.06.2020","1,460","1,440","1,480","1,430","8,62M","0,69%"
"12.06.2020","1,450","1,430","1,490","1,410","26,89M","0,69%"
"11.06.2020","1,440","1,430","1,510","1,420","20,00M","-0,69%"
"10.06.2020","1,450","1,430","1,480","1,420","18,48M","2,11%"
"09.06.2020","1,420","1,440","1,460","1,380","15,09M","-1,39%"
"08.06.2020","1,440","1,450","1,500","1,410","14,28M","-0,69%"
"05.06.2020","1,450","1,480","1,510","1,430","16,30M","-1,36%"
"04.06.2020","1,470","1,420","1,530","1,400","48,63M","4,26%"
"03.06.2020","1,410","1,410","1,450","1,370","19,76M","1,44%"
"02.06.2020","1,390","1,390","1,450","1,370","28,20M","2,21%"
"01.06.2020","1,360","1,340","1,370","1,320","14,44M","2,26%"
"29.05.2020","1,330","1,290","1,360","1,260","12,39M","3,10%"
"28.05.2020","1,290","1,300","1,310","1,270","4,31M","0,00%"
"27.05.2020","1,290","1,280","1,310","1,280","5,11M","1,57%"
"22.05.2020","1,270","1,290","1,300","1,270","4,77M","-0,78%"
