"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","6,880","6,950","7,040","6,750","595,03K","-1,01%"
"22.10.2020","6,950","7,170","7,190","6,850","906,08K","-2,80%"
"21.10.2020","7,150","7,290","7,370","7,110","1,10M","-1,92%"
"20.10.2020","7,290","7,060","7,390","6,800","1,18M","3,26%"
"19.10.2020","7,060","6,600","7,220","6,600","1,21M","-2,89%"
"16.10.2020","7,270","7,250","7,500","7,210","700,73K","0,28%"
"15.10.2020","7,250","7,580","7,580","7,100","2,04M","-4,35%"
"14.10.2020","7,580","7,500","7,760","7,330","1,63M","1,07%"
"13.10.2020","7,500","7,450","7,620","7,150","1,31M","1,35%"
"12.10.2020","7,400","7,500","7,750","7,350","1,98M","-1,33%"
"09.10.2020","7,500","8,070","8,150","7,290","2,42M","-7,06%"
"08.10.2020","8,070","7,600","8,070","7,230","4,42M","9,95%"
"07.10.2020","7,340","6,680","7,340","6,600","2,95M","9,88%"
"06.10.2020","6,680","6,670","6,820","6,600","1,17M","0,15%"
"05.10.2020","6,670","6,620","6,740","6,580","745,58K","0,76%"
"02.10.2020","6,620","6,660","6,680","6,540","496,96K","-0,45%"
"01.10.2020","6,650","6,860","6,990","6,610","1,19M","-3,06%"
"30.09.2020","6,860","6,630","6,950","6,520","2,23M","3,94%"
"29.09.2020","6,600","6,670","6,730","6,500","1,22M","-1,05%"
"28.09.2020","6,670","6,700","6,900","6,630","1,28M","-1,62%"
"25.09.2020","6,780","6,650","6,920","6,510","2,17M","2,88%"
"24.09.2020","6,590","6,640","6,740","6,380","1,69M","-1,64%"
"23.09.2020","6,700","6,790","6,990","6,630","2,97M","-5,23%"
"22.09.2020","7,070","6,660","7,290","6,210","7,31M","2,61%"
"21.09.2020","6,890","7,450","7,680","6,890","3,79M","-9,93%"
"18.09.2020","7,650","8,030","8,600","7,650","10,14M","-9,89%"
"17.09.2020","8,490","9,330","9,540","8,490","5,95M","-9,97%"
"16.09.2020","9,430","10,470","11,200","9,430","9,27M","-9,93%"
"15.09.2020","10,470","9,600","10,470","9,600","5,41M","9,98%"
"14.09.2020","9,520","8,670","9,520","8,540","4,93M","9,93%"
"11.09.2020","8,660","9,060","9,440","8,450","3,53M","-4,20%"
"10.09.2020","9,040","8,500","9,100","8,420","3,62M","7,36%"
"09.09.2020","8,420","8,700","8,700","8,420","811,29K","-1,75%"
"08.09.2020","8,570","8,660","8,850","8,530","1,76M","-0,23%"
"07.09.2020","8,590","8,480","9,010","8,350","3,97M","3,25%"
"04.09.2020","8,320","7,570","8,320","7,530","4,90M","9,91%"
"03.09.2020","7,570","7,830","8,080","7,570","1,03M","-2,95%"
"02.09.2020","7,800","7,700","8,270","7,420","3,11M","0,78%"
"01.09.2020","7,740","7,200","7,820","7,000","3,87M","8,86%"
"31.08.2020","7,110","6,690","7,130","6,690","2,86M","7,56%"
"28.08.2020","6,610","6,690","6,720","6,520","832,40K","-0,60%"
"27.08.2020","6,650","6,550","6,730","6,420","418,23K","1,84%"
"26.08.2020","6,530","6,690","6,690","6,420","281,64K","-1,06%"
"25.08.2020","6,600","6,620","7,000","6,490","937,57K","0,15%"
"24.08.2020","6,590","6,240","6,680","6,170","841,16K","6,81%"
"21.08.2020","6,170","6,030","6,200","5,900","416,00K","3,18%"
"20.08.2020","5,980","5,900","5,980","5,800","376,24K","0,34%"
"19.08.2020","5,960","5,900","5,970","5,800","389,66K","1,02%"
"18.08.2020","5,900","5,910","6,080","5,830","472,67K","-0,17%"
"17.08.2020","5,910","6,000","6,220","5,880","423,30K","-3,11%"
"14.08.2020","6,100","5,880","6,300","5,630","989,22K","0,33%"
"13.08.2020","6,080","5,900","6,500","5,760","1,40M","-5,00%"
"12.08.2020","6,400","6,840","6,950","6,400","5,39M","-9,99%"
"11.08.2020","7,110","7,950","8,300","7,110","8,15M","-10,00%"
"10.08.2020","7,900","8,140","8,770","7,740","3,23M","-3,07%"
"07.08.2020","8,150","7,690","8,340","7,380","4,02M","5,16%"
"06.08.2020","7,750","7,780","8,080","7,370","3,11M","0,00%"
"05.08.2020","7,750","7,450","7,920","7,120","1,74M","5,44%"
"04.08.2020","7,350","7,580","7,850","7,060","1,97M","-2,78%"
"30.07.2020","7,560","7,390","7,730","7,200","2,08M","1,61%"
"29.07.2020","7,440","8,370","8,690","7,430","8,70M","-9,49%"
"28.07.2020","8,220","7,540","8,220","7,540","3,77M","9,89%"
"27.07.2020","7,480","6,890","7,480","6,880","2,65M","10,00%"
"24.07.2020","6,800","6,750","7,190","6,620","3,13M","0,15%"
"23.07.2020","6,790","6,910","7,240","6,500","6,63M","0,15%"
"22.07.2020","6,780","6,420","6,780","6,280","4,38M","9,89%"
