"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","4,960","5,150","5,160","4,910","6,67M","-2,94%"
"22.10.2020","5,110","5,250","5,250","5,030","8,66M","-2,48%"
"21.10.2020","5,240","5,500","5,530","5,240","12,67M","-4,03%"
"20.10.2020","5,460","5,260","5,470","5,260","21,08M","5,61%"
"19.10.2020","5,170","5,060","5,210","4,990","13,26M","2,58%"
"16.10.2020","5,040","5,050","5,120","5,010","6,88M","0,20%"
"15.10.2020","5,030","5,110","5,120","4,990","6,41M","-1,57%"
"14.10.2020","5,110","5,130","5,270","5,070","16,53M","-0,20%"
"13.10.2020","5,120","5,140","5,180","5,040","8,51M","0,20%"
"12.10.2020","5,110","5,050","5,130","5,020","7,31M","2,00%"
"09.10.2020","5,010","5,080","5,120","4,980","11,25M","-0,79%"
"08.10.2020","5,050","4,950","5,180","4,850","29,72M","3,27%"
"07.10.2020","4,890","4,860","4,920","4,820","6,36M","0,62%"
"06.10.2020","4,860","4,950","5,040","4,850","16,93M","-0,41%"
"05.10.2020","4,880","4,710","4,980","4,710","19,55M","3,61%"
"02.10.2020","4,710","4,680","4,740","4,660","2,98M","-0,21%"
"01.10.2020","4,720","4,780","4,780","4,690","3,75M","-1,05%"
"30.09.2020","4,770","4,760","4,810","4,740","4,62M","1,06%"
"29.09.2020","4,720","4,790","4,850","4,690","7,67M","-1,05%"
"28.09.2020","4,770","4,790","4,890","4,750","6,96M","-0,42%"
"25.09.2020","4,790","4,830","4,910","4,780","3,98M","-0,62%"
"24.09.2020","4,820","4,900","4,940","4,810","8,73M","-2,82%"
"23.09.2020","4,960","4,810","5,100","4,780","32,71M","3,77%"
"22.09.2020","4,780","4,750","4,860","4,650","5,85M","0,63%"
"21.09.2020","4,750","4,940","4,960","4,700","6,49M","-3,65%"
"18.09.2020","4,930","5,000","5,060","4,930","4,75M","-1,00%"
"17.09.2020","4,980","5,040","5,040","4,910","7,68M","-1,19%"
"16.09.2020","5,040","5,290","5,330","5,010","18,69M","-4,73%"
"15.09.2020","5,290","5,010","5,440","5,000","57,13M","6,01%"
"14.09.2020","4,990","5,070","5,090","4,970","5,89M","-0,99%"
"11.09.2020","5,040","4,930","5,220","4,920","22,46M","2,65%"
"10.09.2020","4,910","5,000","5,040","4,910","4,69M","-0,81%"
"09.09.2020","4,950","4,980","5,120","4,950","8,92M","-0,40%"
"08.09.2020","4,970","4,950","5,100","4,880","11,24M","1,02%"
"07.09.2020","4,920","5,120","5,210","4,910","21,91M","-2,96%"
"04.09.2020","5,070","4,650","5,070","4,590","34,65M","9,98%"
"03.09.2020","4,610","4,710","4,730","4,590","4,64M","-1,71%"
"02.09.2020","4,690","4,670","4,790","4,640","9,62M","1,30%"
"01.09.2020","4,630","4,510","4,820","4,490","29,65M","3,12%"
