"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","15,95","15,19","16,49","15,10","30,62M","5,00%"
"22.10.2020","15,19","15,08","15,25","14,79","6,09M","0,73%"
"21.10.2020","15,08","15,03","15,38","14,94","14,33M","1,21%"
"20.10.2020","14,90","15,17","15,29","14,81","9,67M","-1,65%"
"19.10.2020","15,15","14,60","15,15","14,48","11,88M","4,34%"
"16.10.2020","14,52","14,70","14,85","14,44","9,10M","-0,55%"
"15.10.2020","14,60","14,22","15,05","14,17","26,71M","2,82%"
"14.10.2020","14,20","14,54","14,60","14,12","6,08M","-2,14%"
"13.10.2020","14,51","14,06","14,62","13,95","17,11M","3,50%"
"12.10.2020","14,02","13,90","14,20","13,83","5,67M","1,45%"
"09.10.2020","13,82","13,87","13,98","13,74","5,33M","-0,36%"
"08.10.2020","13,87","14,60","14,75","13,87","14,21M","-4,34%"
"07.10.2020","14,50","13,99","14,53","13,97","17,12M","3,87%"
"06.10.2020","13,96","13,95","14,42","13,84","15,47M","0,65%"
"05.10.2020","13,87","13,75","14,00","13,75","7,13M","1,31%"
"02.10.2020","13,69","13,60","13,90","13,55","3,91M","0,07%"
"01.10.2020","13,68","13,88","13,91","13,68","3,33M","-1,01%"
"30.09.2020","13,82","13,82","13,98","13,79","7,67M","0,58%"
"29.09.2020","13,74","13,80","14,04","13,63","13,79M","0,07%"
"28.09.2020","13,73","13,79","14,02","13,60","9,44M","0,07%"
"25.09.2020","13,72","13,67","13,84","13,54","7,46M","1,48%"
"24.09.2020","13,52","13,72","13,72","13,42","7,28M","-1,46%"
"23.09.2020","13,72","14,10","14,11","13,65","7,06M","-1,65%"
"22.09.2020","13,95","14,39","14,59","13,89","8,89M","-2,38%"
"21.09.2020","14,29","14,10","15,10","14,04","23,15M","1,93%"
"18.09.2020","14,02","13,98","14,32","13,93","12,78M","0,50%"
"17.09.2020","13,95","13,95","14,07","13,86","6,90M","0,00%"
