"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","12,020","11,930","12,260","11,700","1,03M","0,75%"
"22.10.2020","11,930","12,420","12,450","11,820","1,01M","-3,79%"
"21.10.2020","12,400","11,960","12,540","11,960","1,50M","3,68%"
"20.10.2020","11,960","12,590","12,700","11,690","2,12M","-5,00%"
"19.10.2020","12,590","13,490","13,490","12,350","2,06M","-6,67%"
"16.10.2020","13,490","13,450","14,950","13,020","2,59M","-5,27%"
"15.10.2020","14,240","12,000","14,240","11,660","4,14M","9,96%"
"14.10.2020","12,950","12,990","14,100","12,950","1,82M","-9,94%"
"13.10.2020","14,380","17,550","17,560","14,380","36,86M","-9,96%"
"12.10.2020","15,970","14,800","15,970","14,800","7,09M","9,99%"
"09.10.2020","14,520","14,000","14,520","13,640","18,39M","10,00%"
"08.10.2020","13,200","13,200","13,200","12,100","19,53M","10,00%"
"07.10.2020","12,000","11,900","12,000","11,550","2,16M","9,99%"
"06.10.2020","10,910","10,810","10,910","10,700","4,27M","9,98%"
"05.10.2020","9,920","9,910","9,920","9,470","6,42M","9,98%"
"02.10.2020","9,020","8,180","9,020","8,060","16,45M","10,00%"
"01.10.2020","8,200","9,300","9,600","8,140","19,82M","-6,07%"
"30.09.2020","8,730","8,370","8,730","8,370","8,46M","9,95%"
"29.09.2020","7,940","7,290","7,940","7,290","14,16M","9,97%"
"28.09.2020","7,220","6,950","7,270","6,850","10,10M","4,18%"
"25.09.2020","6,930","6,830","7,030","6,820","6,30M","2,36%"
"24.09.2020","6,770","6,690","6,780","6,650","4,19M","1,20%"
"23.09.2020","6,690","6,530","6,690","6,510","3,75M","2,92%"
"22.09.2020","6,500","6,510","6,600","6,370","3,29M","-0,15%"
"21.09.2020","6,510","6,820","6,880","6,480","3,14M","-4,26%"
"18.09.2020","6,800","6,760","6,920","6,750","4,89M","1,04%"
"17.09.2020","6,730","6,710","6,780","6,390","3,17M","0,00%"
"16.09.2020","6,730","6,670","6,860","6,650","4,62M","1,36%"
"15.09.2020","6,640","6,800","6,940","6,500","5,14M","-2,21%"
"14.09.2020","6,790","6,640","6,960","6,610","5,46M","3,82%"
"11.09.2020","6,540","6,350","6,660","6,350","4,96M","2,51%"
"10.09.2020","6,380","6,740","7,190","6,300","17,62M","-4,49%"
"09.09.2020","6,680","6,490","6,780","6,320","9,06M","2,93%"
"08.09.2020","6,490","6,160","6,670","6,160","23,09M","5,70%"
"07.09.2020","6,140","5,940","6,150","5,940","10,26M","3,89%"
"04.09.2020","5,910","5,820","6,110","5,810","18,21M","1,55%"
"03.09.2020","5,820","5,830","5,940","5,800","2,59M","0,34%"
"02.09.2020","5,800","5,920","5,960","5,800","5,26M","-1,19%"
"01.09.2020","5,870","5,950","6,010","5,690","3,90M","-0,84%"
"31.08.2020","5,920","6,030","6,170","5,880","3,95M","-1,82%"
"28.08.2020","6,030","6,210","6,280","5,970","6,24M","-2,90%"
"27.08.2020","6,210","6,040","6,540","6,010","23,67M","4,37%"
"26.08.2020","5,950","5,800","6,070","5,740","7,79M","2,76%"
"25.08.2020","5,790","5,730","5,920","5,640","5,22M","1,05%"
"24.08.2020","5,730","5,750","5,820","5,670","1,80M","0,35%"
