"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","126,00","125,90","129,00","124,20","221,80K","0,32%"
"22.10.2020","125,60","124,70","128,10","123,20","139,79K","0,72%"
"21.10.2020","124,70","128,10","128,70","124,50","182,97K","-2,27%"
"20.10.2020","127,60","132,70","133,20","125,80","270,23K","-2,07%"
"19.10.2020","130,30","130,00","132,10","127,50","398,42K","5,76%"
"16.10.2020","123,20","123,10","125,70","122,80","82,78K","0,41%"
"15.10.2020","122,70","124,70","124,70","122,30","72,08K","-1,29%"
"14.10.2020","124,30","126,80","128,80","123,70","275,33K","-1,51%"
"13.10.2020","126,20","124,00","132,60","122,60","412,55K","1,77%"
"12.10.2020","124,00","123,10","125,10","121,00","124,92K","1,64%"
"09.10.2020","122,00","120,00","124,10","118,80","113,76K","1,67%"
"08.10.2020","120,00","123,60","125,30","119,60","114,52K","-2,83%"
"07.10.2020","123,50","124,30","126,00","123,10","102,06K","-0,72%"
"06.10.2020","124,40","127,60","130,00","123,10","228,40K","-2,28%"
"05.10.2020","127,30","125,00","132,50","123,80","408,96K","2,50%"
"02.10.2020","124,20","125,50","127,20","123,00","212,36K","-1,04%"
"01.10.2020","125,50","130,00","135,70","121,10","536,79K","-2,64%"
"30.09.2020","128,90","119,10","128,90","118,10","475,90K","9,98%"
"29.09.2020","117,20","118,00","122,70","116,20","256,93K","-0,34%"
"28.09.2020","117,60","120,30","120,80","116,20","153,10K","-2,24%"
"25.09.2020","120,30","117,50","123,00","116,60","266,57K","3,62%"
"24.09.2020","116,10","118,00","118,00","115,60","90,84K","-1,78%"
"23.09.2020","118,20","121,00","121,50","117,10","111,19K","-0,67%"
"22.09.2020","119,00","116,00","119,00","112,00","139,21K","3,48%"
"21.09.2020","115,00","121,60","123,00","114,00","155,60K","-3,20%"
"18.09.2020","118,80","113,60","121,80","111,50","289,03K","4,58%"
"17.09.2020","113,60","126,20","128,30","113,60","456,45K","-9,98%"
"16.09.2020","126,20","129,60","136,50","123,20","860,79K","1,28%"
"15.09.2020","124,60","115,00","124,60","114,70","678,84K","9,97%"
"14.09.2020","113,30","103,00","113,30","103,00","278,41K","10,00%"
"11.09.2020","103,00","102,90","104,00","100,40","137,17K","0,59%"
"10.09.2020","102,40","100,50","103,80","99,90","114,30K","1,89%"
"09.09.2020","100,50","96,30","105,30","95,60","364,83K","4,58%"
"08.09.2020","96,10","97,20","97,65","95,50","73,19K","-1,13%"
"07.09.2020","97,20","97,80","98,10","96,55","51,62K","0,05%"
"04.09.2020","97,15","94,00","98,50","94,00","45,33K","-0,21%"
"03.09.2020","97,35","97,40","99,80","96,85","60,28K","0,00%"
"02.09.2020","97,35","99,00","100,00","96,90","34,19K","-0,66%"
"01.09.2020","98,00","98,05","100,00","96,25","54,09K","0,56%"
"31.08.2020","97,45","100,00","100,00","97,25","59,86K","-1,57%"
"28.08.2020","99,00","99,80","101,70","97,00","85,33K","0,61%"
