"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","314,70","339,20","339,50","310,00","30,15K","-3,41%"
"22.10.2020","325,80","335,10","348,40","320,20","26,54K","-5,35%"
"21.10.2020","344,20","334,10","361,90","302,20","46,98K","3,02%"
"20.10.2020","334,10","360,00","365,10","333,30","43,94K","-7,19%"
"19.10.2020","360,00","377,00","385,10","341,00","43,63K","-4,51%"
"16.10.2020","377,00","380,00","399,30","362,20","38,10K","0,00%"
"15.10.2020","377,00","388,00","388,00","370,00","8,94K","3,09%"
"14.10.2020","365,70","389,00","389,00","365,70","6,41K","-5,99%"
"13.10.2020","389,00","336,60","390,00","336,60","15,23K","4,01%"
"12.10.2020","374,00","375,80","375,80","374,00","10,16K","-0,48%"
"09.10.2020","375,80","375,00","375,80","375,00","11,30K","8,93%"
"08.10.2020","345,00","382,50","382,50","344,40","18,49K","-9,80%"
"07.10.2020","382,50","423,70","423,70","382,50","20,79K","-10,00%"
"06.10.2020","425,00","389,20","425,00","389,20","19,13K","-1,71%"
"05.10.2020","432,40","450,40","450,40","432,40","26,97K","5,39%"
"02.10.2020","410,30","335,70","410,30","335,70","41,60K","10,00%"
"01.10.2020","373,00","373,00","373,00","373,00","10,97K","-9,99%"
"30.09.2020","414,40","506,00","506,00","414,40","161,43K","-9,99%"
"29.09.2020","460,40","459,90","460,40","440,00","25,94K","9,99%"
"28.09.2020","418,60","380,80","418,60","380,70","74,72K","9,98%"
"25.09.2020","380,60","380,00","380,60","364,90","89,23K","10,00%"
"24.09.2020","346,00","330,00","346,00","318,20","86,30K","9,98%"
"23.09.2020","314,60","279,00","314,60","260,00","122,86K","10,00%"
"22.09.2020","286,00","317,70","317,70","286,00","100,77K","-9,98%"
"21.09.2020","317,70","338,50","364,00","309,20","96,55K","-7,51%"
"18.09.2020","343,50","381,60","381,60","343,50","72,20K","-9,98%"
"17.09.2020","381,60","401,30","401,30","328,50","181,19K","4,58%"
"16.09.2020","364,90","364,90","364,90","364,90","19,13K","9,98%"
"15.09.2020","331,80","301,70","331,80","301,70","44,15K","9,98%"
"14.09.2020","301,70","297,00","301,70","285,00","91,01K","9,99%"
"11.09.2020","274,30","267,10","274,30","257,00","302,86K","9,98%"
"10.09.2020","249,40","240,10","249,40","230,00","402,87K","9,96%"
"09.09.2020","226,80","217,50","226,80","207,00","387,92K","9,99%"
"08.09.2020","206,20","192,00","206,20","192,00","299,02K","9,97%"
"07.09.2020","187,50","174,20","187,50","167,80","262,02K","9,97%"
"04.09.2020","170,50","170,00","179,50","167,40","280,71K","4,41%"
"03.09.2020","163,30","152,50","163,30","152,50","223,77K","9,97%"
"02.09.2020","148,50","147,00","148,50","147,00","11,87K","2,91%"
"01.09.2020","144,30","148,00","148,00","139,90","12,53K","-2,50%"
"31.08.2020","148,00","150,00","150,00","147,90","20,44K","6,71%"
"28.08.2020","138,70","145,00","145,00","138,70","18,15K","0,00%"
"27.08.2020","138,70","126,10","138,70","126,10","13,39K","9,99%"
"26.08.2020","126,10","130,00","130,00","126,10","14,32K","-6,52%"
"25.08.2020","134,90","142,00","142,00","134,90","11,96K","-2,81%"
"24.08.2020","138,80","139,70","139,70","135,10","14,49K","-0,86%"
"21.08.2020","140,00","148,80","148,80","140,00","24,75K","3,47%"
"20.08.2020","135,30","130,10","135,30","130,10","10,43K","10,00%"
"19.08.2020","123,00","121,10","123,00","121,10","16,38K","-3,53%"
"18.08.2020","127,50","137,50","138,00","126,00","65,60K","-8,93%"
"17.08.2020","140,00","147,00","152,00","137,00","68,96K","-7,89%"
"14.08.2020","152,00","156,00","166,10","149,90","72,37K","-8,71%"
"13.08.2020","166,50","156,40","171,00","141,40","132,02K","6,32%"
"12.08.2020","156,60","155,00","156,60","141,50","511,10K","9,97%"
"11.08.2020","142,40","139,50","142,40","137,50","170,48K","9,96%"
"10.08.2020","129,50","117,90","129,50","117,90","393,16K","9,93%"
"07.08.2020","117,80","107,10","117,80","96,40","512,56K","9,99%"
"06.08.2020","107,10","116,30","118,00","107,10","188,03K","-9,92%"
"05.08.2020","118,90","126,40","138,10","118,90","466,73K","-9,99%"
"04.08.2020","132,10","153,60","161,30","132,10","309,81K","-9,95%"
"30.07.2020","146,70","139,90","146,70","139,50","103,65K","9,97%"
"29.07.2020","133,40","122,60","133,40","117,00","278,68K","9,98%"
"28.07.2020","121,30","116,80","121,30","111,50","312,91K","9,97%"
"27.07.2020","110,30","104,90","110,30","103,50","330,47K","9,97%"
"24.07.2020","100,30","90,40","100,30","89,50","640,73K","9,98%"
"23.07.2020","91,20","89,60","93,30","88,00","261,62K","3,64%"
"22.07.2020","88,00","90,05","91,65","86,40","95,00K","-1,57%"
"21.07.2020","89,40","87,80","94,50","84,00","297,74K","2,76%"
"20.07.2020","87,00","90,00","90,00","86,00","66,89K","-2,52%"
"17.07.2020","89,25","92,50","93,20","89,00","96,17K","-2,57%"
"16.07.2020","91,60","90,35","94,50","90,35","171,47K","1,38%"
"14.07.2020","90,35","91,30","96,80","87,10","330,26K","-0,88%"
"13.07.2020","91,15","84,40","91,15","83,60","219,52K","9,95%"
