"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","4,100","4,240","4,290","4,030","26,55M","-2,84%"
"22.10.2020","4,220","4,350","4,370","4,190","33,54M","-2,99%"
"21.10.2020","4,350","4,220","4,400","4,220","81,60M","3,82%"
"20.10.2020","4,190","4,250","4,300","4,160","36,58M","-0,71%"
"19.10.2020","4,220","4,300","4,390","4,160","47,98M","-1,40%"
"16.10.2020","4,280","4,350","4,380","4,240","33,51M","-1,38%"
"15.10.2020","4,340","4,090","4,430","4,050","115,86M","6,37%"
"14.10.2020","4,080","4,250","4,300","4,020","35,91M","-1,69%"
"13.10.2020","4,150","4,270","4,480","3,920","80,86M","-2,58%"
"12.10.2020","4,260","4,550","4,770","4,190","91,41M","-5,96%"
"09.10.2020","4,530","4,650","4,920","4,420","142,39M","1,12%"
"08.10.2020","4,480","4,160","4,480","4,100","106,54M","9,80%"
"07.10.2020","4,080","3,830","4,080","3,760","110,40M","9,97%"
"06.10.2020","3,710","3,420","3,710","3,420","100,85M","9,76%"
"05.10.2020","3,380","3,240","3,500","3,180","125,20M","5,96%"
"02.10.2020","3,190","3,060","3,250","3,060","29,58M","3,57%"
"01.10.2020","3,080","3,150","3,160","3,080","10,24M","-1,91%"
"30.09.2020","3,140","3,110","3,190","3,110","22,16M","1,95%"
"29.09.2020","3,080","3,060","3,160","3,040","26,23M","1,32%"
"28.09.2020","3,040","3,080","3,100","3,020","11,66M","-0,98%"
"25.09.2020","3,070","3,070","3,120","3,060","17,33M","0,99%"
"24.09.2020","3,040","3,010","3,060","3,000","12,54M","0,66%"
"23.09.2020","3,020","3,040","3,080","3,020","11,14M","0,00%"
"22.09.2020","3,020","3,010","3,050","2,960","8,71M","0,67%"
"21.09.2020","3,000","3,130","3,150","2,980","12,74M","-4,15%"
"18.09.2020","3,130","3,200","3,220","3,110","11,38M","-1,88%"
"17.09.2020","3,190","3,070","3,320","3,050","50,51M","3,57%"
"16.09.2020","3,080","3,080","3,130","3,050","22,41M","1,32%"
"15.09.2020","3,040","3,020","3,060","2,950","24,54M","1,33%"
"14.09.2020","3,000","2,930","3,030","2,920","15,57M","2,74%"
"11.09.2020","2,920","2,930","2,960","2,910","7,58M","0,00%"
"10.09.2020","2,920","2,950","2,990","2,920","12,72M","-0,68%"
"09.09.2020","2,940","2,930","2,970","2,920","10,26M","0,34%"
"08.09.2020","2,930","2,990","3,030","2,920","18,52M","-1,35%"
"07.09.2020","2,970","2,940","2,990","2,930","8,98M","1,37%"
"04.09.2020","2,930","2,910","2,950","2,900","4,51M","1,03%"
"03.09.2020","2,900","2,970","2,980","2,900","4,38M","-1,69%"
"02.09.2020","2,950","2,970","2,990","2,940","7,10M","-0,67%"
"01.09.2020","2,970","2,960","2,990","2,910","9,12M","0,34%"
"31.08.2020","2,960","2,950","3,040","2,840","11,99M","0,34%"
"28.08.2020","2,950","3,020","3,020","2,920","7,02M","-1,99%"
"27.08.2020","3,010","2,990","3,060","2,960","17,87M","1,69%"
"26.08.2020","2,960","2,930","2,990","2,900","9,46M","0,34%"
"25.08.2020","2,950","3,000","3,020","2,910","6,73M","-1,01%"
"24.08.2020","2,980","3,000","3,050","2,970","5,85M","-0,33%"
"21.08.2020","2,990","3,090","3,110","2,980","8,05M","-1,64%"
"20.08.2020","3,040","3,000","3,070","2,970","8,65M","1,33%"
"19.08.2020","3,000","3,000","3,020","2,970","6,99M","1,01%"
"18.08.2020","2,970","2,950","3,040","2,940","7,53M","0,68%"
"17.08.2020","2,950","2,960","3,050","2,880","7,22M","-0,34%"
"14.08.2020","2,960","2,990","3,000","2,920","4,31M","-1,99%"
"13.08.2020","3,020","3,110","3,130","3,000","6,68M","-2,58%"
"12.08.2020","3,100","3,150","3,160","3,050","9,54M","-1,27%"
"11.08.2020","3,140","3,150","3,250","3,080","18,66M","5,02%"
"10.08.2020","2,990","2,970","3,040","2,850","8,69M","0,00%"
"07.08.2020","2,990","2,820","3,040","2,540","12,18M","6,03%"
"06.08.2020","2,820","3,090","3,110","2,800","13,16M","-9,32%"
"05.08.2020","3,110","3,180","3,200","3,050","12,79M","-1,27%"
"04.08.2020","3,150","3,380","3,420","2,980","19,88M","-4,26%"
"30.07.2020","3,290","3,260","3,310","3,190","6,88M","1,23%"
"29.07.2020","3,250","3,290","3,320","3,130","14,71M","-0,61%"
"28.07.2020","3,270","3,260","3,440","3,180","43,71M","0,31%"
"27.07.2020","3,260","3,310","3,330","3,250","11,13M","1,24%"
"24.07.2020","3,220","3,110","3,230","3,080","11,77M","2,88%"
"23.07.2020","3,130","3,150","3,190","3,110","7,03M","0,00%"
"22.07.2020","3,130","3,180","3,210","3,090","8,25M","-0,95%"
"21.07.2020","3,160","3,230","3,290","3,070","11,75M","-0,94%"
"20.07.2020","3,190","3,150","3,240","3,130","9,45M","1,27%"
"17.07.2020","3,150","3,180","3,200","3,140","6,38M","-0,63%"
"16.07.2020","3,170","3,240","3,240","3,150","7,45M","-0,94%"
"14.07.2020","3,200","3,250","3,290","3,140","11,22M","-1,54%"
"13.07.2020","3,250","3,020","3,250","3,020","14,51M","9,80%"
"10.07.2020","2,960","3,040","3,040","2,810","13,00M","-2,95%"
"09.07.2020","3,050","3,330","3,370","3,010","29,49M","-7,29%"
"08.07.2020","3,290","3,300","3,320","3,220","15,12M","0,30%"
"07.07.2020","3,280","3,340","3,360","3,190","18,49M","-1,50%"
"06.07.2020","3,330","3,290","3,380","3,270","14,54M","2,78%"
"03.07.2020","3,240","3,300","3,320","3,210","11,48M","-1,22%"
"02.07.2020","3,280","3,260","3,340","3,250","23,63M","1,86%"
"01.07.2020","3,220","3,220","3,240","3,150","13,80M","0,94%"
"30.06.2020","3,190","3,170","3,230","3,160","14,43M","1,59%"
"29.06.2020","3,140","3,040","3,160","3,040","22,53M","3,63%"
"26.06.2020","3,030","3,040","3,090","3,020","15,03M","0,66%"
"25.06.2020","3,010","2,960","3,070","2,910","16,49M","2,03%"
"24.06.2020","2,950","2,970","3,000","2,950","7,05M","-0,67%"
"23.06.2020","2,970","2,970","3,010","2,950","8,70M","0,34%"
"22.06.2020","2,960","2,980","3,010","2,940","8,03M","0,00%"
"19.06.2020","2,960","3,050","3,070","2,950","11,20M","-2,63%"
"18.06.2020","3,040","3,020","3,130","3,000","27,24M","1,33%"
"17.06.2020","3,000","3,020","3,060","2,970","10,14M","-0,33%"
"16.06.2020","3,010","3,000","3,120","3,000","24,37M","2,73%"
"15.06.2020","2,930","2,890","2,970","2,870","12,27M","0,69%"
"12.06.2020","2,910","2,860","2,940","2,850","9,57M","0,34%"
"11.06.2020","2,900","2,920","2,960","2,880","9,68M","-1,36%"
"10.06.2020","2,940","2,950","3,010","2,920","18,54M","0,34%"
"09.06.2020","2,930","2,900","2,980","2,830","17,95M","1,03%"
"08.06.2020","2,900","2,940","2,990","2,860","16,25M","-0,34%"
"05.06.2020","2,910","2,880","2,960","2,840","15,94M","1,75%"
"04.06.2020","2,860","2,950","2,960","2,850","14,32M","-2,39%"
"03.06.2020","2,930","2,790","3,000","2,760","48,98M","6,16%"
"02.06.2020","2,760","2,690","2,820","2,660","29,05M","3,37%"
"01.06.2020","2,670","2,650","2,700","2,630","8,05M","1,52%"
"29.05.2020","2,630","2,630","2,650","2,590","4,20M","0,00%"
"28.05.2020","2,630","2,660","2,680","2,600","8,43M","0,00%"
"27.05.2020","2,630","2,620","2,730","2,610","14,21M","1,54%"
"22.05.2020","2,590","2,600","2,600","2,570","3,70M","-0,77%"
"21.05.2020","2,610","2,680","2,690","2,580","6,49M","-1,88%"
"20.05.2020","2,660","2,570","2,780","2,560","28,11M","5,14%"
"18.05.2020","2,530","2,490","2,560","2,480","8,10M","2,43%"
"15.05.2020","2,470","2,450","2,480","2,430","3,33M","1,65%"
"14.05.2020","2,430","2,480","2,490","2,400","4,61M","-2,02%"
"13.05.2020","2,480","2,520","2,550","2,480","7,59M","-1,59%"
"12.05.2020","2,520","2,440","2,540","2,440","8,98M","3,28%"
"11.05.2020","2,440","2,440","2,480","2,420","6,59M","1,24%"
"08.05.2020","2,410","2,400","2,440","2,370","5,90M","0,42%"
"07.05.2020","2,400","2,410","2,420","2,350","2,74M","-0,41%"
"06.05.2020","2,410","2,440","2,450","2,390","4,70M","-0,82%"
"05.05.2020","2,430","2,410","2,450","2,370","4,78M","2,10%"
"04.05.2020","2,380","2,380","2,430","2,350","3,96M","-3,64%"
"30.04.2020","2,470","2,560","2,580","2,330","8,74M","-2,37%"
"29.04.2020","2,530","2,460","2,540","2,450","10,26M","3,69%"
"28.04.2020","2,440","2,410","2,460","2,380","7,50M","2,09%"
"27.04.2020","2,390","2,360","2,420","2,360","5,47M","2,58%"
"24.04.2020","2,330","2,300","2,350","2,280","6,17M","1,75%"
"22.04.2020","2,290","2,240","2,330","2,230","7,86M","3,15%"
"21.04.2020","2,220","2,190","2,230","2,170","5,41M","0,00%"
"20.04.2020","2,220","2,210","2,240","2,190","4,74M","1,37%"
"17.04.2020","2,190","2,140","2,240","2,120","7,38M","4,29%"
"16.04.2020","2,100","2,110","2,120","2,050","3,80M","0,48%"
"15.04.2020","2,090","2,230","2,230","2,040","7,05M","-5,43%"
"14.04.2020","2,210","2,170","2,240","2,170","8,10M","2,79%"
"13.04.2020","2,150","2,120","2,170","2,100","6,19M","0,00%"
"10.04.2020","2,150","2,160","2,160","2,090","6,21M","1,42%"
"09.04.2020","2,120","2,120","2,140","2,060","6,57M","1,44%"
"08.04.2020","2,090","2,040","2,090","1,990","6,04M","2,45%"
"07.04.2020","2,040","2,020","2,130","2,010","14,89M","2,51%"
"06.04.2020","1,990","1,970","2,020","1,920","8,36M","3,53%"
"03.04.2020","1,922","1,942","1,962","1,902","3,46M","-0,52%"
"02.04.2020","1,932","1,972","1,982","1,902","4,07M","-0,51%"
"01.04.2020","1,942","1,922","2,002","1,902","7,84M","-1,02%"
"31.03.2020","1,962","1,912","1,982","1,892","5,99M","4,79%"
"30.03.2020","1,872","1,892","1,902","1,842","4,42M","-0,94%"
"27.03.2020","1,890","1,870","1,940","1,840","7,41M","1,61%"
"26.03.2020","1,860","1,760","1,870","1,740","6,68M","5,68%"
"25.03.2020","1,760","1,770","1,820","1,720","8,03M","1,15%"
"24.03.2020","1,740","1,660","1,750","1,660","6,71M","7,41%"
"23.03.2020","1,620","1,610","1,650","1,590","3,59M","-4,14%"
"20.03.2020","1,690","1,670","1,720","1,650","3,90M","3,05%"
"19.03.2020","1,640","1,620","1,660","1,610","4,26M","0,00%"
"18.03.2020","1,640","1,580","1,670","1,580","3,66M","0,61%"
"17.03.2020","1,630","1,690","1,800","1,540","4,41M","-4,12%"
"16.03.2020","1,700","1,750","1,780","1,680","4,91M","-8,60%"
"13.03.2020","1,860","1,790","1,950","1,710","6,61M","3,33%"
"12.03.2020","1,800","2,000","2,060","1,760","7,11M","-15,49%"
"11.03.2020","2,130","2,200","2,250","2,070","5,22M","-4,05%"
"10.03.2020","2,220","2,430","2,430","2,210","5,48M","-5,13%"
"09.03.2020","2,340","2,490","2,500","2,250","4,55M","-8,95%"
"06.03.2020","2,570","2,670","2,670","2,560","4,52M","-4,10%"
"05.03.2020","2,680","2,720","2,750","2,680","3,00M","-0,37%"
"04.03.2020","2,690","2,740","2,780","2,690","5,09M","-2,54%"
"03.03.2020","2,760","2,840","2,870","2,710","9,14M","2,60%"
"02.03.2020","2,690","2,630","2,740","2,630","3,32M","4,67%"
"28.02.2020","2,570","2,200","2,590","2,200","4,14M","-4,81%"
"27.02.2020","2,700","2,830","2,840","2,690","7,35M","-5,59%"
"26.02.2020","2,860","2,860","2,890","2,820","7,37M","-0,69%"
"25.02.2020","2,880","2,910","2,950","2,840","6,27M","0,00%"
