"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","16,890","16,390","17,170","16,050","14,29M","3,30%"
"22.10.2020","16,350","16,750","16,860","16,350","5,19M","-2,33%"
"21.10.2020","16,740","16,900","17,060","16,740","5,09M","-0,53%"
"20.10.2020","16,830","16,930","16,990","16,820","3,94M","-0,53%"
"19.10.2020","16,920","16,970","17,110","16,900","5,12M","-0,06%"
"16.10.2020","16,930","16,920","17,120","16,880","6,03M","0,24%"
"15.10.2020","16,890","17,060","17,240","16,820","7,83M","-1,11%"
"14.10.2020","17,080","17,400","17,540","17,040","11,46M","-1,50%"
"13.10.2020","17,340","17,040","17,630","17,040","29,10M","2,12%"
"12.10.2020","16,980","16,860","17,120","16,830","10,50M","1,19%"
"09.10.2020","16,780","16,750","16,930","16,720","6,08M","0,06%"
"08.10.2020","16,770","16,930","17,010","16,710","5,42M","-0,53%"
"07.10.2020","16,860","16,870","17,110","16,800","6,03M","-0,12%"
"06.10.2020","16,880","17,080","17,120","16,880","7,46M","-0,59%"
"05.10.2020","16,980","16,760","17,040","16,760","9,76M","1,37%"
"02.10.2020","16,750","16,710","16,920","16,660","5,35M","-0,24%"
"01.10.2020","16,790","16,800","16,900","16,670","5,97M","0,60%"
"30.09.2020","16,690","16,710","16,960","16,630","8,61M","0,00%"
"29.09.2020","16,690","16,720","16,970","16,590","7,44M","-0,18%"
"28.09.2020","16,720","17,010","17,060","16,690","7,66M","-1,36%"
"25.09.2020","16,950","17,130","17,270","16,950","7,53M","-0,59%"
"24.09.2020","17,050","16,700","17,670","16,460","26,65M","1,61%"
"23.09.2020","16,780","16,900","17,020","16,680","5,52M","0,00%"
"22.09.2020","16,780","17,000","17,090","16,680","8,21M","-0,77%"
"21.09.2020","16,910","16,980","17,220","16,780","18,95M","0,06%"
"18.09.2020","16,900","16,780","17,130","16,730","18,86M","1,44%"
"17.09.2020","16,660","16,940","16,990","16,600","13,57M","-2,00%"
"16.09.2020","17,000","16,600","17,500","16,510","45,62M","4,49%"
"15.09.2020","16,270","15,850","16,320","15,830","26,83M","2,97%"
"14.09.2020","15,800","15,720","16,010","15,720","8,60M","0,64%"
"11.09.2020","15,700","15,790","15,930","15,660","8,82M","-0,25%"
"10.09.2020","15,740","15,430","16,070","15,430","25,31M","2,21%"
"09.09.2020","15,400","15,560","15,620","15,350","7,29M","-1,03%"
"08.09.2020","15,560","15,600","15,800","15,470","13,71M","0,26%"
"07.09.2020","15,520","15,160","15,600","15,160","15,28M","2,65%"
"04.09.2020","15,120","14,990","15,490","14,900","14,32M","0,47%"
"03.09.2020","15,050","15,410","15,460","15,050","9,02M","-1,95%"
"02.09.2020","15,350","15,490","15,620","15,330","9,54M","-0,84%"
"01.09.2020","15,480","15,140","15,540","14,990","18,88M","2,65%"
"31.08.2020","15,080","15,710","15,870","15,080","18,49M","-3,58%"
"28.08.2020","15,640","16,010","16,040","15,580","22,95M","-2,13%"
"27.08.2020","15,980","15,310","16,030","15,310","33,20M","5,62%"
"26.08.2020","15,130","16,000","16,170","15,130","57,02M","-6,02%"
"25.08.2020","16,100","15,000","16,340","15,000","86,01M","8,05%"
"24.08.2020","14,900","14,560","14,970","14,520","23,73M","2,69%"
"21.08.2020","14,510","14,210","14,860","14,170","31,54M","2,91%"
"20.08.2020","14,100","14,210","14,380","14,040","15,57M","-0,70%"
"19.08.2020","14,200","13,540","14,370","13,530","50,45M","5,26%"
"18.08.2020","13,490","13,050","13,760","13,010","24,88M","3,37%"
"17.08.2020","13,050","13,150","13,340","12,990","14,85M","-0,53%"
"14.08.2020","13,120","13,050","13,430","12,880","12,63M","0,15%"
"13.08.2020","13,100","13,540","13,700","13,090","17,34M","-2,67%"
"12.08.2020","13,460","13,390","13,740","13,000","15,68M","0,98%"
"11.08.2020","13,330","13,220","13,590","12,860","20,25M","0,91%"
"10.08.2020","13,210","12,420","13,440","12,010","37,09M","5,93%"
"07.08.2020","12,470","11,230","12,470","10,670","37,52M","9,96%"
"06.08.2020","11,340","12,600","12,660","11,340","25,19M","-10,00%"
"05.08.2020","12,600","13,140","13,200","12,540","15,46M","-3,23%"
"04.08.2020","13,020","13,650","13,960","12,320","20,28M","-3,77%"
"30.07.2020","13,530","13,500","13,630","13,420","5,03M","0,52%"
"29.07.2020","13,460","13,600","13,860","13,020","26,54M","-1,03%"
"28.07.2020","13,600","14,310","14,560","13,600","34,88M","-4,90%"
"27.07.2020","14,300","13,760","14,440","13,730","46,58M","4,38%"
"24.07.2020","13,700","13,500","13,850","13,400","22,63M","0,81%"
"23.07.2020","13,590","13,470","13,970","13,390","23,39M","1,42%"
"22.07.2020","13,400","13,800","13,990","13,310","21,69M","-2,12%"
"21.07.2020","13,690","14,500","14,550","13,450","32,78M","-3,11%"
"20.07.2020","14,130","13,930","14,760","13,840","45,11M","1,44%"
"17.07.2020","13,930","13,120","14,270","12,950","109,15M","6,17%"
"16.07.2020","13,120","11,970","13,120","11,940","76,44M","9,97%"
"14.07.2020","11,930","11,840","12,200","11,650","49,68M","0,51%"
"13.07.2020","11,870","11,250","12,020","11,250","56,04M","8,60%"
"10.07.2020","10,930","10,850","11,210","10,470","24,23M","0,83%"
"09.07.2020","10,840","11,430","11,450","10,840","11,22M","-4,58%"
"08.07.2020","11,360","11,620","11,710","11,360","13,60M","-2,07%"
"07.07.2020","11,600","11,390","11,810","11,090","39,05M","1,84%"
"06.07.2020","11,390","11,430","11,500","11,350","11,73M","0,71%"
"03.07.2020","11,310","11,470","11,600","11,290","19,14M","-1,39%"
"02.07.2020","11,470","11,030","11,470","11,020","25,84M","4,18%"
"01.07.2020","11,010","10,840","11,160","10,800","32,02M","1,94%"
"30.06.2020","10,800","10,820","10,910","10,760","11,20M","0,19%"
"29.06.2020","10,780","10,760","10,850","10,660","8,22M","0,09%"
"26.06.2020","10,770","10,870","10,990","10,770","14,10M","-0,65%"
"25.06.2020","10,840","10,570","10,840","10,570","16,01M","2,65%"
"24.06.2020","10,560","10,750","10,950","10,550","15,42M","-1,77%"
"23.06.2020","10,750","10,850","10,910","10,690","9,28M","-0,28%"
"22.06.2020","10,780","10,900","11,020","10,750","14,74M","-0,74%"
"19.06.2020","10,860","10,900","11,190","10,680","36,87M","-0,09%"
"18.06.2020","10,870","10,590","11,230","10,560","41,50M","2,55%"
"17.06.2020","10,600","10,800","10,850","10,600","13,30M","-1,49%"
"16.06.2020","10,760","10,880","10,960","10,760","28,59M","0,28%"
"15.06.2020","10,730","10,270","11,050","10,210","66,27M","4,07%"
"12.06.2020","10,310","10,290","10,420","10,220","15,77M","-0,67%"
"11.06.2020","10,380","10,350","10,630","10,270","47,98M","0,00%"
"10.06.2020","10,380","10,180","10,550","10,150","27,31M","2,67%"
"09.06.2020","10,110","10,040","10,220","9,990","12,13M","1,00%"
"08.06.2020","10,010","10,180","10,320","10,000","12,82M","-1,48%"
"05.06.2020","10,160","10,200","10,320","10,120","12,26M","-0,29%"
"04.06.2020","10,190","10,340","10,460","10,170","15,86M","-1,36%"
"03.06.2020","10,330","10,420","10,460","10,330","13,01M","0,00%"
"02.06.2020","10,330","10,300","10,480","10,240","26,80M","0,78%"
"01.06.2020","10,250","10,330","10,580","10,240","24,38M","0,49%"
"29.05.2020","10,200","10,550","10,630","10,200","29,07M","-2,67%"
"28.05.2020","10,480","10,150","10,510","9,830","49,72M","3,87%"
"27.05.2020","10,090","10,280","10,320","10,090","19,17M","0,70%"
"22.05.2020","10,020","9,960","10,170","9,850","24,39M","0,60%"
"21.05.2020","9,960","10,210","10,390","9,950","20,90M","-2,45%"
"20.05.2020","10,210","10,330","10,650","10,070","52,51M","-0,58%"
"18.05.2020","10,270","10,600","11,130","10,200","112,82M","1,28%"
"15.05.2020","10,140","9,500","10,140","9,370","40,04M","9,98%"
"14.05.2020","9,220","9,060","9,520","9,060","51,28M","1,32%"
"13.05.2020","9,100","8,920","9,230","8,910","27,30M","2,36%"
"12.05.2020","8,890","8,910","9,070","8,870","17,79M","-0,11%"
"11.05.2020","8,900","9,300","9,340","8,900","28,78M","-4,40%"
"08.05.2020","9,310","9,500","9,740","9,310","55,39M","-0,75%"
"07.05.2020","9,380","8,970","9,430","8,890","71,09M","4,57%"
"06.05.2020","8,970","8,910","9,070","8,780","24,33M","0,90%"
"05.05.2020","8,890","8,560","9,070","8,550","47,88M","4,96%"
"04.05.2020","8,470","8,550","8,660","8,440","7,97M","-2,98%"
"30.04.2020","8,730","8,920","8,960","8,530","13,39M","-1,80%"
"29.04.2020","8,890","8,850","9,120","8,790","32,65M","1,14%"
"28.04.2020","8,790","9,060","9,110","8,780","19,25M","-2,66%"
"27.04.2020","9,030","9,010","9,230","8,920","41,47M","1,92%"
"24.04.2020","8,860","8,740","9,130","8,670","55,09M","1,61%"
"22.04.2020","8,720","8,370","9,050","8,310","78,62M","4,93%"
"21.04.2020","8,310","8,370","8,550","8,270","14,91M","-1,89%"
"20.04.2020","8,470","8,510","8,670","8,390","11,95M","-0,35%"
"17.04.2020","8,500","8,550","8,770","8,340","30,29M","2,04%"
"16.04.2020","8,330","8,450","8,670","8,150","27,81M","-1,07%"
"15.04.2020","8,420","8,910","8,930","8,340","22,75M","-5,18%"
"14.04.2020","8,880","9,000","9,210","8,740","39,16M","0,57%"
"13.04.2020","8,830","8,840","9,160","8,710","22,86M","-0,67%"
"10.04.2020","8,890","9,070","9,200","8,850","25,81M","-1,88%"
"09.04.2020","9,060","9,290","9,340","8,940","31,29M","-0,55%"
"08.04.2020","9,110","9,000","9,380","8,600","71,74M","1,90%"
"07.04.2020","8,940","9,500","9,890","8,700","75,67M","-3,46%"
"06.04.2020","9,260","8,750","9,260","8,520","60,97M","9,98%"
"03.04.2020","8,420","7,750","8,420","7,650","81,88M","9,92%"
"02.04.2020","7,660","8,070","8,200","7,240","66,79M","-3,04%"
"01.04.2020","7,900","9,000","9,530","7,900","84,11M","-9,92%"
"31.03.2020","8,770","8,250","8,770","8,250","29,02M","9,90%"
"30.03.2020","7,980","7,650","7,980","7,270","43,54M","9,92%"
"27.03.2020","7,260","7,260","7,260","6,640","30,68M","10,00%"
"26.03.2020","6,600","6,270","6,600","6,200","12,16M","10,00%"
"25.03.2020","6,000","6,000","6,000","5,700","31,17M","9,89%"
"24.03.2020","5,460","5,240","5,460","5,140","10,49M","9,86%"
"23.03.2020","4,970","4,870","5,170","4,870","12,14M","-4,61%"
