"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","79,35","79,55","79,85","78,65","2,89M","-0,25%"
"22.10.2020","79,55","80,15","80,35","79,55","3,42M","-0,75%"
"21.10.2020","80,15","81,05","81,15","80,15","2,92M","-0,68%"
"20.10.2020","80,70","81,05","81,10","80,50","3,23M","-0,43%"
"19.10.2020","81,05","81,80","81,80","80,90","5,07M","-1,70%"
"16.10.2020","82,45","81,65","82,95","81,50","7,52M","1,48%"
"15.10.2020","81,25","83,50","83,50","81,25","8,47M","-2,81%"
"14.10.2020","83,60","80,25","86,00","80,20","32,28M","4,24%"
"13.10.2020","80,20","81,25","81,25","80,15","3,69M","-1,23%"
"12.10.2020","81,20","82,95","83,00","81,15","9,22M","-2,23%"
"09.10.2020","83,05","82,00","83,55","81,95","9,91M","1,47%"
"08.10.2020","81,85","80,55","82,35","79,85","14,68M","1,99%"
"07.10.2020","80,25","79,85","80,60","79,80","4,22M","0,25%"
"06.10.2020","80,05","80,05","80,95","79,95","5,63M","0,06%"
"05.10.2020","80,00","79,90","80,25","79,80","2,29M","0,57%"
"02.10.2020","79,55","79,35","79,95","79,20","2,48M","-0,06%"
"01.10.2020","79,60","79,90","80,55","79,60","4,10M","0,00%"
"30.09.2020","79,60","79,35","79,75","79,35","3,33M","0,57%"
"29.09.2020","79,15","79,30","80,15","79,00","3,65M","-0,06%"
"28.09.2020","79,20","80,20","80,20","79,20","2,78M","-1,43%"
"25.09.2020","80,35","80,20","80,90","79,80","4,73M","0,69%"
"24.09.2020","79,80","79,10","80,20","79,05","3,39M","0,63%"
"23.09.2020","79,30","79,45","80,05","79,20","3,27M","0,06%"
"22.09.2020","79,25","78,90","79,75","78,60","2,74M","0,57%"
"21.09.2020","78,80","80,55","80,75","78,65","3,12M","-2,23%"
"18.09.2020","80,60","80,70","81,40","80,50","3,82M","0,06%"
"17.09.2020","80,55","80,65","80,75","80,10","2,89M","-0,37%"
"16.09.2020","80,85","81,55","81,85","80,85","3,20M","-0,74%"
"15.09.2020","81,45","81,75","82,50","80,15","6,45M","0,12%"
"14.09.2020","81,35","81,60","82,40","81,35","3,89M","0,31%"
"11.09.2020","81,10","81,15","82,45","80,20","7,32M","0,00%"
"10.09.2020","81,10","84,35","84,35","81,10","11,08M","-4,42%"
"09.09.2020","84,85","79,45","85,40","79,20","21,16M","7,07%"
"08.09.2020","79,25","80,55","81,00","79,20","4,33M","-1,37%"
"07.09.2020","80,35","80,25","80,80","80,00","2,74M","0,25%"
"04.09.2020","80,15","79,20","80,50","78,80","4,14M","1,07%"
