"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","98,20","97,00","98,40","96,70","509,05K","1,24%"
"22.10.2020","97,00","96,30","97,25","95,15","534,11K","0,73%"
"21.10.2020","96,30","95,75","99,70","95,55","1,06M","4,00%"
"20.10.2020","92,60","92,80","93,60","92,10","202,97K","-0,11%"
"19.10.2020","92,70","91,70","92,75","90,80","274,33K","1,76%"
"16.10.2020","91,10","93,00","93,75","90,60","431,13K","-1,03%"
"15.10.2020","92,05","92,75","94,95","91,50","425,04K","-0,75%"
"14.10.2020","92,75","90,20","93,15","89,65","789,18K","3,06%"
"13.10.2020","90,00","88,85","90,00","86,45","600,81K","1,87%"
"12.10.2020","88,35","87,00","88,45","86,20","780,42K","2,61%"
"09.10.2020","86,10","83,40","86,10","82,80","668,37K","3,86%"
"08.10.2020","82,90","84,00","84,45","81,65","869,16K","-1,31%"
"07.10.2020","84,00","85,00","86,00","83,80","423,85K","-1,00%"
"06.10.2020","84,85","86,00","86,40","84,85","288,58K","-1,16%"
"05.10.2020","85,85","85,95","86,10","85,45","407,02K","0,00%"
"02.10.2020","85,85","86,50","86,85","85,65","263,48K","-1,04%"
"01.10.2020","86,75","88,00","88,40","86,20","379,88K","-0,86%"
"30.09.2020","87,50","87,40","87,70","86,60","320,15K","0,57%"
"29.09.2020","87,00","87,25","88,50","86,35","312,89K","-0,29%"
"28.09.2020","87,25","87,20","88,05","86,60","216,49K","0,06%"
"25.09.2020","87,20","89,05","90,15","87,20","160,80K","-1,19%"
"24.09.2020","88,25","86,65","89,90","86,40","361,34K","1,03%"
"23.09.2020","87,35","88,10","89,30","87,05","315,77K","-0,63%"
"22.09.2020","87,90","88,40","89,75","87,75","213,36K","-0,23%"
"21.09.2020","88,10","89,90","90,50","88,00","176,90K","-2,00%"
"18.09.2020","89,90","91,40","91,40","89,75","221,92K","-1,75%"
"17.09.2020","91,50","89,10","91,50","88,70","248,29K","0,60%"
"16.09.2020","90,95","91,40","92,10","90,20","316,29K","-2,31%"
"15.09.2020","93,10","87,00","93,10","87,00","821,63K","7,63%"
"14.09.2020","86,50","86,20","87,75","86,05","490,72K","0,41%"
"11.09.2020","86,15","86,75","87,30","86,00","88,98K","-0,69%"
"10.09.2020","86,75","86,45","86,75","85,80","201,06K","0,52%"
"09.09.2020","86,30","88,00","88,20","86,00","150,21K","-2,15%"
"08.09.2020","88,20","87,10","88,50","85,85","285,27K","1,61%"
"07.09.2020","86,80","84,65","89,15","84,65","399,44K","2,72%"
"04.09.2020","84,50","79,20","85,50","79,20","602,31K","6,83%"
"03.09.2020","79,10","82,00","82,90","79,10","575,53K","-4,06%"
"02.09.2020","82,45","82,00","83,70","81,10","294,73K","0,49%"
"01.09.2020","82,05","84,05","84,05","81,85","288,08K","-2,90%"
"31.08.2020","84,50","87,70","87,70","83,50","600,65K","-3,76%"
"28.08.2020","87,80","86,60","88,10","86,00","706,03K","2,33%"
"27.08.2020","85,80","86,35","86,80","84,70","395,32K","-0,17%"
"26.08.2020","85,95","86,50","87,75","85,95","162,16K","-1,66%"
"25.08.2020","87,40","88,80","90,25","86,40","249,84K","-1,58%"
"24.08.2020","88,80","89,50","89,75","87,40","141,48K","-0,78%"
"21.08.2020","89,50","92,00","92,40","87,70","277,02K","-2,82%"
"20.08.2020","92,10","91,70","92,60","89,30","287,50K","0,49%"
"19.08.2020","91,65","89,50","91,65","88,20","441,55K","3,33%"
"18.08.2020","88,70","87,00","88,70","85,85","200,24K","1,60%"
"17.08.2020","87,30","88,10","88,95","86,65","109,96K","-0,91%"
"14.08.2020","88,10","90,60","90,85","86,10","313,04K","-3,03%"
"13.08.2020","90,85","90,00","91,40","88,70","375,28K","0,44%"
"12.08.2020","90,45","88,15","90,45","85,75","651,89K","2,55%"
"11.08.2020","88,20","82,50","89,65","82,50","707,94K","7,63%"
"10.08.2020","81,95","76,65","82,35","72,90","838,60K","6,43%"
"07.08.2020","77,00","75,65","78,40","71,95","844,85K","2,19%"
"06.08.2020","75,35","79,00","81,20","75,15","903,71K","-4,44%"
"05.08.2020","78,85","82,50","86,00","75,60","1,10M","-3,49%"
"04.08.2020","81,70","83,50","90,45","78,10","1,70M","-1,57%"
"30.07.2020","83,00","82,60","83,00","80,05","453,79K","0,55%"
"29.07.2020","82,55","82,00","86,25","80,50","1,39M","2,87%"
"28.07.2020","80,25","78,20","85,00","78,05","1,41M","3,22%"
"27.07.2020","77,75","77,60","78,60","77,00","258,20K","0,32%"
"24.07.2020","77,50","78,00","78,40","77,25","169,32K","-1,02%"
"23.07.2020","78,30","78,10","78,45","77,90","124,21K","0,51%"
"22.07.2020","77,90","77,60","79,10","77,45","248,34K","1,17%"
"21.07.2020","77,00","80,00","80,30","76,75","671,58K","-3,75%"
"20.07.2020","80,00","79,50","80,30","78,80","338,41K","0,63%"
"17.07.2020","79,50","78,60","80,10","78,60","368,77K","1,34%"
"16.07.2020","78,45","75,40","78,80","75,30","829,66K","4,81%"
"14.07.2020","74,85","74,40","74,85","73,65","248,39K","0,54%"
"13.07.2020","74,45","74,10","74,60","73,35","233,44K","1,99%"
"10.07.2020","73,00","73,40","73,40","71,00","339,66K","-1,02%"
"09.07.2020","73,75","73,30","74,75","71,80","483,99K","0,96%"
"08.07.2020","73,05","75,20","76,25","72,05","314,98K","-2,60%"
"07.07.2020","75,00","73,60","75,55","73,15","507,17K","1,90%"
"06.07.2020","73,60","73,05","73,85","72,85","182,58K","1,45%"
"03.07.2020","72,55","74,45","74,50","72,55","399,65K","-2,62%"
"02.07.2020","74,50","71,30","75,20","71,30","433,06K","4,71%"
"01.07.2020","71,15","70,90","72,15","70,85","431,15K","0,35%"
"30.06.2020","70,90","71,35","72,00","70,90","282,13K","-0,07%"
"29.06.2020","70,95","71,05","71,80","70,60","565,68K","-0,84%"
"26.06.2020","71,55","70,05","71,70","70,05","267,41K","2,73%"
"25.06.2020","69,65","71,35","71,55","69,65","312,77K","-2,38%"
"24.06.2020","71,35","71,30","71,55","70,20","216,36K","0,07%"
"23.06.2020","71,30","71,20","72,65","70,85","419,79K","0,35%"
"22.06.2020","71,05","69,50","72,20","69,30","718,76K","2,45%"
"19.06.2020","69,35","69,70","70,25","69,30","455,92K","0,29%"
"18.06.2020","69,15","69,75","70,00","68,80","376,06K","-0,72%"
"17.06.2020","69,65","70,50","70,85","69,65","469,11K","-0,78%"
"16.06.2020","70,20","69,60","70,30","69,40","382,84K","1,96%"
"15.06.2020","68,85","70,90","70,90","68,80","374,54K","-3,03%"
"12.06.2020","71,00","67,95","71,25","67,40","727,48K","3,50%"
"11.06.2020","68,60","67,40","69,90","67,15","856,16K","1,55%"
"10.06.2020","67,55","67,50","69,00","64,15","486,14K","0,00%"
"09.06.2020","67,55","68,25","68,85","66,50","288,61K","-1,03%"
"08.06.2020","68,25","67,25","68,40","66,50","356,13K","1,41%"
"05.06.2020","67,30","67,50","67,50","66,40","288,50K","-0,30%"
"04.06.2020","67,50","67,40","67,50","65,80","426,35K","0,15%"
"03.06.2020","67,40","67,00","67,65","66,30","655,62K","2,59%"
"02.06.2020","65,70","64,45","66,00","64,25","586,11K","3,06%"
"01.06.2020","63,75","62,15","64,10","62,15","514,63K","3,07%"
"29.05.2020","61,85","64,10","64,35","61,65","1,03M","-3,43%"
"28.05.2020","64,05","64,75","69,00","64,00","567,77K","1,59%"
"27.05.2020","63,05","61,10","63,15","60,80","588,60K","4,21%"
"22.05.2020","60,50","59,25","60,80","58,65","296,91K","0,92%"
"21.05.2020","59,95","61,10","61,40","59,00","367,58K","-1,56%"
"20.05.2020","60,90","60,10","61,50","60,10","443,17K","1,92%"
"18.05.2020","59,75","58,60","60,10","58,50","501,32K","3,02%"
"15.05.2020","58,00","58,40","58,95","58,00","215,79K","0,00%"
"14.05.2020","58,00","57,45","58,00","56,70","334,67K","0,09%"
"13.05.2020","57,95","58,15","58,45","57,50","317,22K","-0,34%"
"12.05.2020","58,15","55,50","58,15","55,15","383,09K","4,77%"
"11.05.2020","55,50","55,90","56,60","55,00","340,01K","1,19%"
"08.05.2020","54,85","57,50","57,50","54,80","535,95K","-2,92%"
"07.05.2020","56,50","59,10","59,25","56,45","570,96K","-4,24%"
"06.05.2020","59,00","61,00","61,15","58,60","338,52K","-2,80%"
"05.05.2020","60,70","63,00","63,70","59,00","528,70K","-0,49%"
"04.05.2020","61,00","63,00","63,00","60,20","360,31K","-3,63%"
"30.04.2020","63,30","62,15","64,45","61,20","435,06K","2,84%"
"29.04.2020","61,55","61,70","62,35","60,90","318,28K","0,65%"
"28.04.2020","61,15","61,05","62,40","59,80","420,06K","0,66%"
"27.04.2020","60,75","59,50","61,75","59,15","409,08K","3,49%"
"24.04.2020","58,70","59,20","59,20","58,00","359,11K","-0,68%"
"22.04.2020","59,10","59,85","60,00","59,05","428,11K","-0,42%"
"21.04.2020","59,35","59,65","59,90","58,00","399,54K","-1,17%"
"20.04.2020","60,05","59,00","60,20","58,30","479,31K","3,71%"
"17.04.2020","57,90","57,10","58,70","57,10","553,87K","2,93%"
"16.04.2020","56,25","54,95","56,75","54,00","499,92K","2,74%"
"15.04.2020","54,75","56,20","56,40","52,20","480,02K","-2,58%"
"14.04.2020","56,20","55,60","56,50","55,60","526,77K","1,35%"
"13.04.2020","55,45","56,85","56,85","55,40","339,17K","-2,55%"
"10.04.2020","56,90","57,00","57,55","55,95","308,04K","0,35%"
"09.04.2020","56,70","58,65","59,05","56,60","824,11K","-3,08%"
"08.04.2020","58,50","59,20","60,45","58,50","434,84K","-1,10%"
"07.04.2020","59,15","58,10","63,60","58,10","1,33M","2,25%"
"06.04.2020","57,85","55,00","57,85","54,20","748,61K","5,18%"
"03.04.2020","55,00","53,50","55,00","51,50","414,15K","2,80%"
"02.04.2020","53,50","51,20","53,50","49,62","589,32K","4,90%"
"01.04.2020","51,00","49,00","51,50","48,04","663,66K","3,49%"
"31.03.2020","49,28","48,50","49,28","47,48","516,26K","4,76%"
"30.03.2020","47,04","48,70","48,70","46,52","587,74K","-3,41%"
"27.03.2020","48,70","49,02","50,25","47,42","666,36K","0,00%"
"26.03.2020","48,70","49,00","49,30","48,14","554,17K","-0,41%"
"25.03.2020","48,90","51,85","51,85","48,50","864,85K","0,82%"
"24.03.2020","48,50","48,24","50,05","46,38","969,21K","5,80%"
"23.03.2020","45,84","44,32","47,36","40,30","947,41K","-1,80%"
"20.03.2020","46,68","45,88","47,46","44,30","964,61K","5,71%"
"19.03.2020","44,16","45,66","45,96","42,10","994,85K","-5,03%"
"18.03.2020","46,50","48,62","51,60","46,50","650,93K","-8,55%"
"17.03.2020","50,85","57,90","57,90","50,85","664,46K","-10,00%"
"16.03.2020","56,50","62,70","62,70","56,50","309,86K","-9,96%"
"13.03.2020","62,75","65,25","68,50","62,65","561,11K","-5,14%"
"12.03.2020","66,15","69,60","71,00","65,70","429,36K","-5,70%"
"11.03.2020","70,15","70,60","71,50","68,40","402,61K","-0,64%"
"10.03.2020","70,60","75,80","77,60","70,50","344,62K","-4,92%"
"09.03.2020","74,25","75,90","76,00","72,90","302,02K","-3,70%"
"06.03.2020","77,10","77,50","77,60","75,00","269,65K","0,78%"
"05.03.2020","76,50","77,30","77,90","76,25","266,29K","0,20%"
"04.03.2020","76,35","78,30","78,30","75,85","507,29K","-2,30%"
"03.03.2020","78,15","80,65","80,95","77,15","552,00K","-2,31%"
"02.03.2020","80,00","78,40","80,80","76,90","455,28K","2,56%"
"28.02.2020","78,00","74,00","78,25","70,70","603,75K","1,50%"
"27.02.2020","76,85","79,05","79,30","76,85","694,30K","-3,70%"
"26.02.2020","79,80","76,90","80,10","76,45","798,44K","3,77%"
"25.02.2020","76,90","77,55","78,50","76,50","381,84K","-0,90%"
"24.02.2020","77,60","78,80","79,95","76,90","472,51K","-2,21%"
"21.02.2020","79,35","78,80","80,25","78,35","316,59K","0,70%"
"20.02.2020","78,80","81,15","82,45","78,70","715,52K","-2,90%"
"19.02.2020","81,15","79,00","81,15","78,90","581,62K","3,77%"
"18.02.2020","78,20","79,70","79,95","78,00","450,04K","-2,25%"
"17.02.2020","80,00","80,05","81,25","79,60","271,33K","0,38%"
"14.02.2020","79,70","81,10","82,00","79,40","388,11K","-1,24%"
"13.02.2020","80,70","76,40","81,95","76,10","1,02M","6,11%"
"12.02.2020","76,05","73,80","77,20","72,40","955,29K","4,46%"
"11.02.2020","72,80","73,30","73,80","71,95","477,73K","0,69%"
"10.02.2020","72,30","73,75","74,00","71,55","417,34K","-2,69%"
"07.02.2020","74,30","74,00","74,50","73,45","442,15K","-0,27%"
"06.02.2020","74,50","74,80","75,45","74,15","451,34K","-0,07%"
"05.02.2020","74,55","75,30","75,75","74,45","344,10K","-0,67%"
"04.02.2020","75,05","74,75","75,30","74,10","456,26K","1,28%"
"03.02.2020","74,10","75,05","76,00","73,95","276,20K","-1,20%"
"31.01.2020","75,00","75,70","75,90","74,00","422,97K","-0,46%"
"30.01.2020","75,35","76,20","76,20","74,05","426,41K","-1,12%"
"29.01.2020","76,20","74,70","76,20","74,70","295,17K","2,42%"
"28.01.2020","74,40","74,05","74,90","73,40","350,53K","0,47%"
"27.01.2020","74,05","74,10","74,10","73,15","304,06K","-0,07%"
"24.01.2020","74,10","76,35","76,40","73,70","546,06K","-1,98%"
"23.01.2020","75,60","76,40","77,25","75,05","467,06K","-1,43%"
"22.01.2020","76,70","78,50","78,90","75,95","341,23K","-1,92%"
"21.01.2020","78,20","76,20","78,65","76,00","352,90K","1,62%"
"20.01.2020","76,95","76,20","77,00","75,75","399,66K","1,25%"
"17.01.2020","76,00","75,10","76,70","73,00","326,58K","1,60%"
"16.01.2020","74,80","76,10","77,65","74,80","666,53K","-1,45%"
"15.01.2020","75,90","75,15","76,25","73,90","603,81K","1,00%"
"14.01.2020","75,15","74,00","75,15","73,35","484,60K","1,49%"
"13.01.2020","74,05","73,50","74,30","72,50","621,55K","1,51%"
"10.01.2020","72,95","73,90","73,90","71,80","461,25K","-0,61%"
"09.01.2020","73,40","72,85","73,40","71,60","390,62K","2,73%"
"08.01.2020","71,45","71,10","71,60","70,00","249,54K","0,35%"
"07.01.2020","71,20","70,00","71,35","69,50","335,73K","3,19%"
"06.01.2020","69,00","68,95","69,15","68,10","216,44K","0,00%"
"03.01.2020","69,00","69,95","70,65","67,55","641,23K","-1,36%"
"02.01.2020","69,95","71,00","71,20","69,75","336,62K","-1,27%"
"31.12.2019","70,85","70,45","71,55","70,20","165,26K","0,71%"
"30.12.2019","70,35","69,95","70,35","69,70","313,85K","1,08%"
"27.12.2019","69,60","68,80","70,15","68,80","201,25K","1,53%"
"26.12.2019","68,55","68,55","70,15","68,55","437,94K","0,51%"
"25.12.2019","68,20","68,00","68,30","67,45","147,25K","0,29%"
"24.12.2019","68,00","67,95","68,65","67,65","162,85K","0,29%"
"23.12.2019","67,80","67,40","67,85","67,00","186,42K","1,04%"
"20.12.2019","67,10","66,90","67,60","66,05","360,80K","0,30%"
"19.12.2019","66,90","66,65","67,20","66,45","357,49K","0,75%"
"18.12.2019","66,40","66,70","66,70","65,75","304,81K","-0,45%"
"17.12.2019","66,70","68,80","68,80","66,55","440,65K","-2,63%"
"16.12.2019","68,50","68,60","69,40","68,10","373,38K","1,63%"
"13.12.2019","67,40","66,00","67,45","66,00","622,89K","2,74%"
"12.12.2019","65,60","64,20","65,60","64,20","337,08K","2,34%"
"11.12.2019","64,10","63,60","64,25","63,10","268,76K","0,79%"
"10.12.2019","63,60","64,50","64,95","63,60","410,59K","-1,24%"
"09.12.2019","64,40","64,65","65,00","63,55","317,11K","-0,54%"
"06.12.2019","64,75","65,65","66,20","64,10","281,04K","-1,30%"
"05.12.2019","65,60","63,50","66,20","63,50","570,63K","3,88%"
"04.12.2019","63,15","63,30","63,45","62,85","280,39K","0,16%"
"03.12.2019","63,05","64,20","64,35","63,05","358,04K","-1,94%"
"02.12.2019","64,30","64,55","64,65","63,85","346,41K","0,78%"
"29.11.2019","63,80","63,40","64,05","63,20","368,94K","0,63%"
