"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","6,33","6,26","6,46","6,20","12,75M","1,61%"
"22.10.2020","6,23","6,29","6,33","6,15","5,34M","-0,32%"
"21.10.2020","6,25","6,18","6,35","6,06","8,28M","1,79%"
"20.10.2020","6,14","6,23","6,24","6,10","5,00M","-1,44%"
"19.10.2020","6,23","5,95","6,28","5,94","10,67M","5,24%"
"16.10.2020","5,92","5,93","5,99","5,91","2,92M","0,17%"
"15.10.2020","5,91","5,96","6,02","5,87","5,13M","-0,84%"
"14.10.2020","5,96","5,94","6,04","5,91","4,80M","0,68%"
"13.10.2020","5,92","6,10","6,16","5,80","8,99M","-1,82%"
"12.10.2020","6,03","5,86","6,15","5,86","16,00M","3,97%"
"09.10.2020","5,80","5,67","5,82","5,65","10,34M","2,84%"
"08.10.2020","5,64","5,55","5,68","5,50","4,30M","1,62%"
"07.10.2020","5,55","5,51","5,62","5,51","3,06M","0,73%"
"06.10.2020","5,51","5,69","5,72","5,51","4,83M","-2,65%"
"05.10.2020","5,66","5,53","5,66","5,52","5,16M","2,72%"
"02.10.2020","5,51","5,47","5,62","5,47","6,35M","0,73%"
"01.10.2020","5,47","5,44","5,48","5,30","4,69M","1,30%"
"30.09.2020","5,40","5,16","5,51","5,16","15,05M","5,47%"
"29.09.2020","5,12","5,20","5,25","5,10","5,63M","-0,78%"
"28.09.2020","5,16","5,26","5,30","5,12","4,32M","-1,53%"
"25.09.2020","5,24","5,32","5,40","5,20","5,26M","-0,57%"
"24.09.2020","5,27","5,13","5,27","5,05","8,92M","2,73%"
"23.09.2020","5,13","4,90","5,22","4,88","13,35M","5,56%"
"22.09.2020","4,86","4,86","4,93","4,80","1,97M","0,00%"
"21.09.2020","4,86","5,00","5,01","4,86","3,62M","-2,41%"
"18.09.2020","4,98","5,02","5,04","4,97","3,23M","0,20%"
"17.09.2020","4,97","4,90","5,01","4,85","3,13M","1,02%"
"16.09.2020","4,92","4,99","5,06","4,88","2,76M","-1,01%"
"15.09.2020","4,97","5,01","5,07","4,96","2,42M","-0,60%"
"14.09.2020","5,00","5,03","5,05","4,95","2,57M","0,00%"
"11.09.2020","5,00","5,06","5,15","5,00","3,31M","-1,38%"
"10.09.2020","5,07","4,93","5,09","4,92","4,46M","3,05%"
"09.09.2020","4,92","4,80","4,95","4,80","3,63M","2,71%"
"08.09.2020","4,79","4,86","4,88","4,79","1,84M","-1,03%"
"07.09.2020","4,84","4,82","4,88","4,78","1,83M","1,26%"
"04.09.2020","4,78","4,74","4,85","4,69","2,59M","0,84%"
"03.09.2020","4,74","4,84","4,86","4,73","2,55M","-1,46%"
"02.09.2020","4,81","4,94","4,98","4,80","4,47M","-2,43%"
"01.09.2020","4,93","4,76","4,93","4,68","4,42M","4,45%"
"31.08.2020","4,72","4,71","4,80","4,63","3,61M","0,21%"
"28.08.2020","4,71","4,70","4,82","4,64","4,09M","0,43%"
"27.08.2020","4,69","4,62","4,74","4,59","3,73M","2,85%"
"26.08.2020","4,56","4,55","4,62","4,51","1,60M","0,00%"
"25.08.2020","4,56","4,58","4,77","4,51","4,90M","-0,22%"
"24.08.2020","4,57","4,53","4,61","4,53","2,33M","0,88%"
"21.08.2020","4,53","4,59","4,78","4,53","4,61M","-0,66%"
"20.08.2020","4,56","4,58","4,59","4,52","1,23M","-0,44%"
"19.08.2020","4,58","4,53","4,58","4,50","2,13M","1,33%"
"18.08.2020","4,52","4,49","4,62","4,48","2,19M","0,22%"
"17.08.2020","4,51","4,66","4,68","4,50","2,09M","-3,01%"
"14.08.2020","4,65","4,63","4,90","4,55","6,64M","0,43%"
"13.08.2020","4,63","4,80","4,84","4,60","1,41M","-2,94%"
"12.08.2020","4,77","4,81","4,84","4,74","1,58M","-0,83%"
"11.08.2020","4,81","4,72","4,84","4,69","2,36M","3,22%"
"10.08.2020","4,66","4,65","4,73","4,54","2,30M","0,43%"
"07.08.2020","4,64","4,34","4,70","4,13","7,34M","1,98%"
"06.08.2020","4,55","5,05","5,05","4,55","3,26M","-9,18%"
"05.08.2020","5,01","5,18","5,21","4,96","3,11M","-3,28%"
"04.08.2020","5,18","5,56","5,61","5,05","3,65M","-5,82%"
"30.07.2020","5,50","5,55","5,55","5,39","430,51K","0,36%"
"29.07.2020","5,48","5,45","5,56","5,25","1,84M","0,55%"
"28.07.2020","5,45","5,79","5,79","5,40","3,33M","-5,71%"
"27.07.2020","5,78","5,75","5,84","5,74","2,34M","1,23%"
"24.07.2020","5,71","5,62","5,75","5,59","2,74M","1,42%"
"23.07.2020","5,63","5,59","5,75","5,59","2,43M","0,72%"
"22.07.2020","5,59","5,73","5,78","5,55","3,11M","-2,10%"
"21.07.2020","5,71","5,79","5,98","5,62","7,16M","-0,87%"
"20.07.2020","5,76","5,77","5,83","5,74","1,89M","-0,17%"
"17.07.2020","5,77","5,89","5,91","5,72","4,07M","-1,87%"
"16.07.2020","5,88","5,72","5,91","5,70","5,66M","3,52%"
"14.07.2020","5,68","5,72","5,83","5,63","3,28M","-0,87%"
"13.07.2020","5,73","5,50","5,74","5,43","3,31M","7,10%"
"10.07.2020","5,35","5,53","5,53","5,23","3,17M","-3,43%"
"09.07.2020","5,54","5,80","5,82","5,54","3,34M","-3,65%"
"08.07.2020","5,75","5,84","5,91","5,74","3,39M","-1,37%"
"07.07.2020","5,83","6,00","6,07","5,80","5,31M","-2,18%"
"06.07.2020","5,96","5,96","6,03","5,92","4,10M","0,85%"
"03.07.2020","5,91","5,81","6,00","5,75","8,57M","2,07%"
"02.07.2020","5,79","5,55","5,79","5,55","6,75M","4,70%"
"01.07.2020","5,53","5,50","5,70","5,40","12,14M","2,41%"
"30.06.2020","5,40","5,38","5,51","5,38","6,58M","0,93%"
"29.06.2020","5,35","5,24","5,47","5,24","4,84M","0,94%"
"26.06.2020","5,30","5,38","5,44","5,30","3,27M","-0,93%"
"25.06.2020","5,35","5,32","5,37","5,27","2,57M","0,00%"
"24.06.2020","5,35","5,35","5,44","5,30","4,53M","0,00%"
"23.06.2020","5,35","5,40","5,43","5,30","3,13M","-0,56%"
"22.06.2020","5,38","5,45","5,50","5,37","4,00M","-0,92%"
"19.06.2020","5,43","5,54","5,57","5,40","4,62M","-0,55%"
"18.06.2020","5,46","5,44","5,52","5,37","7,47M","0,74%"
"17.06.2020","5,42","5,33","5,58","5,17","30,37M","2,65%"
"16.06.2020","5,28","5,29","5,42","5,28","6,73M","0,19%"
"15.06.2020","5,27","5,23","5,40","5,22","7,11M","0,76%"
"12.06.2020","5,23","5,06","5,44","5,00","22,77M","2,75%"
"11.06.2020","5,09","5,03","5,15","4,99","6,05M","1,19%"
"10.06.2020","5,03","4,97","5,05","4,95","4,86M","1,82%"
"09.06.2020","4,94","4,86","4,97","4,82","5,05M","1,65%"
"08.06.2020","4,86","4,89","4,95","4,83","3,00M","-0,21%"
"05.06.2020","4,87","4,91","4,92","4,82","3,45M","-0,41%"
"04.06.2020","4,89","4,93","4,96","4,89","3,25M","-0,61%"
"03.06.2020","4,92","4,90","4,96","4,89","3,81M","0,61%"
"02.06.2020","4,89","4,97","4,97","4,84","3,95M","-1,01%"
"01.06.2020","4,94","4,99","5,01","4,80","8,15M","-2,76%"
"29.05.2020","5,08","5,02","5,17","4,98","6,24M","0,40%"
"28.05.2020","5,06","5,19","5,22","5,03","3,84M","-1,94%"
"27.05.2020","5,16","5,13","5,25","5,12","4,21M","1,98%"
"22.05.2020","5,06","5,07","5,16","5,00","5,33M","-0,59%"
"21.05.2020","5,09","5,15","5,26","5,09","9,71M","-0,59%"
"20.05.2020","5,12","5,03","5,28","4,97","15,10M","2,40%"
"18.05.2020","5,00","4,97","5,04","4,93","6,81M","1,63%"
"15.05.2020","4,92","4,73","5,13","4,72","24,62M","4,68%"
"14.05.2020","4,70","4,66","4,78","4,64","4,64M","-0,42%"
"13.05.2020","4,72","4,73","4,82","4,69","5,80M","-0,21%"
"12.05.2020","4,73","4,59","4,76","4,56","5,74M","3,50%"
"11.05.2020","4,57","4,47","4,61","4,43","4,97M","3,86%"
"08.05.2020","4,40","4,35","4,44","4,28","3,66M","2,56%"
"07.05.2020","4,29","4,37","4,43","4,26","3,00M","-1,83%"
"06.05.2020","4,37","4,44","4,50","4,36","4,28M","-0,68%"
"05.05.2020","4,40","4,60","4,63","4,32","5,08M","-2,65%"
"04.05.2020","4,52","4,77","4,91","4,51","11,63M","-7,19%"
"30.04.2020","4,87","4,51","4,87","4,51","20,74M","9,93%"
"29.04.2020","4,43","4,41","4,47","4,36","2,74M","1,37%"
"28.04.2020","4,37","4,32","4,43","4,25","4,19M","2,10%"
"27.04.2020","4,28","4,20","4,36","4,17","6,57M","3,63%"
"24.04.2020","4,13","4,12","4,15","4,04","3,49M","-0,48%"
"22.04.2020","4,15","4,14","4,30","4,12","4,14M","0,73%"
"21.04.2020","4,12","4,10","4,15","4,04","2,31M","-0,96%"
"20.04.2020","4,16","4,08","4,17","4,06","2,21M","2,72%"
"17.04.2020","4,05","4,05","4,08","4,00","2,15M","2,02%"
"16.04.2020","3,97","4,00","4,05","3,85","2,77M","0,00%"
"15.04.2020","3,97","4,15","4,15","3,95","4,96M","-4,34%"
"14.04.2020","4,15","4,02","4,16","3,98","4,64M","4,80%"
"13.04.2020","3,96","3,84","4,00","3,81","3,95M","1,54%"
"10.04.2020","3,90","3,83","3,90","3,78","2,77M","1,83%"
"09.04.2020","3,83","3,84","3,89","3,78","3,83M","1,06%"
"08.04.2020","3,79","3,61","3,79","3,55","4,04M","4,41%"
"07.04.2020","3,63","3,65","3,73","3,57","3,80M","1,68%"
"06.04.2020","3,57","3,41","3,58","3,38","4,96M","6,57%"
"03.04.2020","3,35","3,40","3,41","3,34","1,81M","-0,89%"
"02.04.2020","3,38","3,44","3,48","3,30","2,87M","-0,29%"
"01.04.2020","3,39","3,38","3,46","3,30","5,20M","-1,17%"
"31.03.2020","3,43","3,38","3,45","3,28","4,99M","5,21%"
"30.03.2020","3,26","3,14","3,32","3,03","5,18M","4,15%"
"27.03.2020","3,13","3,36","3,46","3,12","7,09M","-6,29%"
"26.03.2020","3,34","3,09","3,37","3,02","7,59M","8,44%"
"25.03.2020","3,08","3,07","3,18","2,96","5,72M","2,33%"
"24.03.2020","3,01","2,85","3,01","2,83","4,43M","9,85%"
"23.03.2020","2,74","2,79","2,85","2,66","2,97M","-4,20%"
"20.03.2020","2,86","2,92","2,94","2,84","3,06M","1,42%"
"19.03.2020","2,82","2,86","2,93","2,76","3,82M","-2,76%"
"18.03.2020","2,90","2,96","3,09","2,85","4,49M","-3,33%"
"17.03.2020","3,00","3,16","3,20","2,86","5,50M","-5,36%"
"16.03.2020","3,17","3,40","3,40","3,14","3,34M","-8,91%"
"13.03.2020","3,48","3,28","3,60","3,22","6,65M","6,10%"
"12.03.2020","3,28","3,56","3,60","3,22","4,15M","-12,77%"
"11.03.2020","3,76","3,80","3,85","3,53","4,09M","-1,83%"
"10.03.2020","3,83","4,29","4,33","3,81","4,84M","-7,71%"
"09.03.2020","4,15","4,39","4,50","3,92","3,80M","-8,99%"
"06.03.2020","4,56","4,75","4,76","4,51","4,69M","-4,00%"
"05.03.2020","4,75","4,69","4,85","4,65","8,51M","2,81%"
"04.03.2020","4,62","4,71","4,74","4,61","4,48M","-2,12%"
"03.03.2020","4,72","4,59","4,77","4,55","6,35M","4,89%"
"02.03.2020","4,50","4,50","4,57","4,43","3,40M","2,97%"
"28.02.2020","4,37","4,05","4,50","4,00","3,80M","-4,79%"
"27.02.2020","4,59","4,75","4,79","4,56","4,46M","-4,38%"
"26.02.2020","4,80","4,71","4,84","4,68","5,65M","1,05%"
"25.02.2020","4,75","4,77","4,84","4,64","5,73M","0,21%"
"24.02.2020","4,74","4,52","4,74","4,46","5,02M","1,94%"
"21.02.2020","4,65","4,50","4,70","4,39","6,22M","2,88%"
"20.02.2020","4,52","4,87","4,88","4,49","7,98M","-6,80%"
"19.02.2020","4,85","4,98","5,02","4,82","5,70M","-2,02%"
"18.02.2020","4,95","5,12","5,12","4,95","6,30M","-3,70%"
"17.02.2020","5,14","5,30","5,32","5,14","11,16M","-0,19%"
"14.02.2020","5,15","5,10","5,16","5,05","8,44M","1,38%"
"13.02.2020","5,08","5,10","5,14","5,08","5,01M","-0,59%"
"12.02.2020","5,11","5,11","5,20","5,06","13,61M","0,20%"
"11.02.2020","5,10","5,19","5,22","5,04","12,47M","-0,78%"
"10.02.2020","5,14","5,06","5,27","4,90","18,10M","1,58%"
"07.02.2020","5,06","5,14","5,22","5,03","6,10M","-1,17%"
"06.02.2020","5,12","5,16","5,20","5,02","7,46M","0,39%"
"05.02.2020","5,10","4,92","5,13","4,88","14,38M","4,29%"
"04.02.2020","4,89","4,93","4,97","4,87","6,09M","0,00%"
"03.02.2020","4,89","4,75","4,89","4,65","7,78M","2,95%"
"31.01.2020","4,75","4,87","4,87","4,74","9,45M","-2,46%"
"30.01.2020","4,87","4,81","5,12","4,80","35,72M","3,84%"
"29.01.2020","4,69","4,63","4,73","4,61","8,64M","2,40%"
"28.01.2020","4,58","4,47","4,65","4,47","9,71M","3,15%"
"27.01.2020","4,44","4,25","4,52","4,22","10,38M","3,74%"
"24.01.2020","4,28","4,31","4,32","4,24","4,29M","0,23%"
"23.01.2020","4,27","4,28","4,34","4,26","4,12M","-0,23%"
"22.01.2020","4,28","4,34","4,38","4,25","4,73M","-0,93%"
"21.01.2020","4,32","4,24","4,35","4,22","4,14M","1,41%"
"20.01.2020","4,26","4,30","4,34","4,23","4,81M","0,00%"
"17.01.2020","4,26","4,31","4,34","4,23","3,51M","-0,70%"
"16.01.2020","4,29","4,38","4,42","4,25","5,44M","-1,61%"
"15.01.2020","4,36","4,43","4,46","4,35","4,57M","-1,58%"
"14.01.2020","4,43","4,35","4,47","4,33","8,71M","2,07%"
"13.01.2020","4,34","4,32","4,39","4,32","6,12M","1,17%"
"10.01.2020","4,29","4,32","4,35","4,27","6,43M","-0,23%"
"09.01.2020","4,30","4,24","4,34","4,23","7,83M","4,12%"
"08.01.2020","4,13","3,93","4,19","3,90","8,55M","1,98%"
"07.01.2020","4,05","4,04","4,09","4,02","4,93M","2,53%"
"06.01.2020","3,95","4,08","4,12","3,92","7,31M","-4,59%"
"03.01.2020","4,14","4,27","4,46","4,08","11,70M","-4,39%"
"02.01.2020","4,33","4,07","4,49","4,05","23,31M","6,91%"
"31.12.2019","4,05","4,10","4,10","4,04","3,00M","-0,98%"
"30.12.2019","4,09","4,08","4,10","4,06","3,11M","0,99%"
"27.12.2019","4,05","4,08","4,15","4,05","5,30M","-0,49%"
"26.12.2019","4,07","4,11","4,13","4,06","4,66M","-0,97%"
"25.12.2019","4,11","4,16","4,19","4,08","6,52M","-0,72%"
"24.12.2019","4,14","3,99","4,15","3,97","14,89M","4,28%"
"23.12.2019","3,97","3,92","4,05","3,89","11,18M","0,76%"
"20.12.2019","3,94","4,15","4,25","3,92","42,62M","9,44%"
"19.12.2019","3,60","3,56","3,62","3,54","4,29M","1,69%"
"18.12.2019","3,54","3,50","3,58","3,48","6,22M","0,85%"
"17.12.2019","3,51","3,56","3,58","3,51","4,82M","-0,85%"
"16.12.2019","3,54","3,54","3,58","3,52","3,68M","0,57%"
"13.12.2019","3,52","3,60","3,61","3,52","4,63M","-1,68%"
"12.12.2019","3,58","3,60","3,68","3,57","9,80M","0,85%"
"11.12.2019","3,55","3,45","3,64","3,37","11,50M","3,20%"
"10.12.2019","3,44","3,51","3,54","3,43","3,19M","-1,71%"
"09.12.2019","3,50","3,45","3,56","3,42","5,48M","1,45%"
"06.12.2019","3,45","3,54","3,56","3,42","3,76M","-2,27%"
"05.12.2019","3,53","3,46","3,61","3,45","8,84M","2,62%"
"04.12.2019","3,44","3,31","3,48","3,28","8,47M","4,24%"
"03.12.2019","3,30","3,35","3,36","3,30","4,40M","-1,49%"
"02.12.2019","3,35","3,28","3,37","3,28","8,01M","3,08%"
"29.11.2019","3,25","3,22","3,27","3,20","6,35M","1,25%"
"28.11.2019","3,21","3,15","3,22","3,14","5,12M","2,23%"
"27.11.2019","3,14","3,16","3,18","3,14","2,92M","-0,32%"
"26.11.2019","3,15","3,19","3,20","3,13","3,57M","-0,63%"
"25.11.2019","3,17","3,16","3,21","3,14","6,32M","0,96%"
"22.11.2019","3,14","3,09","3,14","3,08","3,81M","1,95%"
"21.11.2019","3,08","3,09","3,10","3,06","3,19M","0,00%"
"20.11.2019","3,08","3,13","3,17","3,07","6,01M","-1,28%"
"19.11.2019","3,12","3,09","3,15","3,07","7,52M","1,63%"
"18.11.2019","3,07","3,06","3,11","3,06","7,43M","0,99%"
"15.11.2019","3,04","2,96","3,06","2,96","8,42M","2,70%"
"14.11.2019","2,96","2,97","3,01","2,93","5,68M","-0,34%"
"13.11.2019","2,97","3,02","3,03","2,97","3,36M","-1,66%"
"12.11.2019","3,02","3,01","3,05","2,98","7,67M","0,67%"
"11.11.2019","3,00","2,89","3,00","2,85","11,96M","3,45%"
"08.11.2019","2,90","2,92","2,96","2,89","6,47M","-0,34%"
"07.11.2019","2,91","2,87","2,93","2,85","8,56M","2,11%"
"06.11.2019","2,85","2,81","2,85","2,81","3,18M","1,42%"
"05.11.2019","2,81","2,80","2,84","2,79","2,51M","0,00%"
"04.11.2019","2,81","2,78","2,82","2,78","2,09M","1,81%"
"01.11.2019","2,76","2,79","2,80","2,75","1,07M","-0,72%"
"31.10.2019","2,78","2,80","2,83","2,77","1,67M","-0,71%"
"30.10.2019","2,80","2,80","2,83","2,78","1,78M","-1,41%"
"28.10.2019","2,84","2,84","2,86","2,83","1,60M","0,71%"
"25.10.2019","2,82","2,78","2,82","2,77","2,34M","1,81%"
"24.10.2019","2,77","2,80","2,82","2,74","2,16M","-0,36%"
"23.10.2019","2,78","2,76","2,79","2,74","1,99M","1,83%"
"22.10.2019","2,73","2,72","2,75","2,70","1,74M","1,11%"
"21.10.2019","2,70","2,73","2,74","2,69","1,78M","-1,10%"
"18.10.2019","2,73","2,70","2,73","2,66","1,81M","5,00%"
"17.10.2019","2,60","2,56","2,62","2,56","1,18M","1,56%"
"16.10.2019","2,56","2,53","2,57","2,50","815,52K","-0,78%"
"15.10.2019","2,58","2,57","2,59","2,53","1,91M","1,98%"
"14.10.2019","2,53","2,63","2,64","2,50","1,62M","-4,53%"
"11.10.2019","2,65","2,67","2,70","2,65","2,19M","0,38%"
"10.10.2019","2,64","2,67","2,68","2,59","1,97M","-0,75%"
"09.10.2019","2,66","2,76","2,78","2,66","2,60M","-3,62%"
"08.10.2019","2,76","2,79","2,79","2,71","3,92M","-1,43%"
"07.10.2019","2,80","2,81","2,86","2,78","4,09M","-0,36%"
"04.10.2019","2,81","2,82","2,83","2,80","2,52M","0,00%"
"03.10.2019","2,81","2,88","2,91","2,81","5,71M","-2,09%"
