"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","184,300","188,900","189,800","182,000","132,00K","-1,55%"
"22.10.2020","187,200","184,800","189,900","182,100","144,25K","1,96%"
"21.10.2020","183,600","189,100","189,900","183,300","139,25K","-2,55%"
"20.10.2020","188,400","196,000","198,900","186,200","206,49K","-3,88%"
"19.10.2020","196,000","188,600","201,900","186,900","407,40K","6,29%"
"16.10.2020","184,400","184,000","189,000","182,200","134,44K","1,32%"
"15.10.2020","182,000","184,400","188,800","181,100","140,85K","-1,03%"
"14.10.2020","183,900","191,000","192,500","181,500","130,19K","-2,65%"
"13.10.2020","188,900","186,400","194,000","177,100","320,61K","1,40%"
"12.10.2020","186,300","192,300","193,000","185,100","192,35K","-3,12%"
"09.10.2020","192,300","196,500","200,300","186,700","202,14K","-1,74%"
"08.10.2020","195,700","208,500","217,500","193,800","242,53K","-6,27%"
"07.10.2020","208,800","214,500","214,500","208,800","34,60K","4,45%"
"06.10.2020","199,900","200,000","200,000","199,900","38,23K","-2,49%"
"05.10.2020","205,000","218,200","218,200","205,000","45,82K","-3,30%"
"02.10.2020","212,000","185,000","212,000","185,000","57,47K","9,96%"
"01.10.2020","192,800","198,000","198,000","192,800","49,80K","-9,99%"
"30.09.2020","214,200","231,000","231,000","214,200","40,71K","-10,00%"
"29.09.2020","238,000","239,500","239,500","238,000","74,80K","9,27%"
"28.09.2020","217,800","217,000","217,800","217,000","51,22K","10,00%"
"25.09.2020","198,000","198,000","198,000","198,000","49,48K","10,00%"
"24.09.2020","180,000","167,700","180,000","167,600","35,20K","7,14%"
"23.09.2020","168,000","169,300","169,300","168,000","32,23K","-5,46%"
"22.09.2020","177,700","190,000","192,000","176,900","109,73K","-6,42%"
"21.09.2020","189,900","181,900","195,100","164,800","195,67K","4,28%"
"18.09.2020","182,100","198,100","210,000","180,500","906,08K","-8,08%"
"17.09.2020","198,100","216,000","227,000","190,000","1,97M","-4,02%"
"16.09.2020","206,400","193,600","206,400","187,700","906,72K","9,96%"
"15.09.2020","187,700","184,000","188,700","176,300","536,30K","9,38%"
"14.09.2020","171,600","163,500","171,600","157,100","1,03M","10,00%"
"11.09.2020","156,000","146,900","156,000","145,000","659,40K","9,94%"
"10.09.2020","141,900","126,900","141,900","125,000","547,77K","10,00%"
"09.09.2020","129,000","146,200","155,300","129,000","840,58K","-8,64%"
"08.09.2020","141,200","129,100","141,200","129,000","543,72K","9,97%"
"07.09.2020","128,400","118,800","128,400","117,500","447,49K","9,93%"
"04.09.2020","116,800","109,000","119,000","108,200","373,45K","7,65%"
"03.09.2020","108,500","109,700","111,300","108,100","81,83K","-1,00%"
"02.09.2020","109,600","110,900","111,700","108,000","49,53K","-0,09%"
"01.09.2020","109,700","109,500","112,500","107,500","83,85K","-0,54%"
"31.08.2020","110,300","113,700","114,500","108,200","93,02K","-2,39%"
"28.08.2020","113,000","113,400","117,000","112,300","150,51K","1,07%"
"27.08.2020","111,800","106,300","113,900","105,500","247,47K","5,57%"
"26.08.2020","105,900","107,400","108,900","105,200","58,21K","-1,94%"
"25.08.2020","108,000","111,300","114,900","105,000","143,28K","-1,19%"
"24.08.2020","109,300","106,000","114,000","104,100","212,86K","4,49%"
"21.08.2020","104,600","103,600","105,000","101,200","64,59K","1,06%"
"20.08.2020","103,500","104,000","105,500","100,100","81,82K","-0,10%"
"19.08.2020","103,600","108,400","110,800","103,100","102,11K","-4,07%"
"18.08.2020","108,000","106,900","108,700","103,000","32,44K","1,03%"
"17.08.2020","106,900","109,300","111,600","104,800","43,49K","-2,20%"
"14.08.2020","109,300","109,000","112,800","102,500","57,43K","0,37%"
"13.08.2020","108,900","113,100","115,500","105,700","78,61K","-5,71%"
"12.08.2020","115,500","123,800","123,800","106,700","114,25K","-2,53%"
"11.08.2020","118,500","115,000","118,500","110,000","109,10K","9,93%"
"10.08.2020","107,800","103,000","107,800","98,000","124,19K","10,00%"
"07.08.2020","98,000","81,000","98,000","80,200","98,89K","9,99%"
"06.08.2020","89,100","97,000","98,500","89,100","68,30K","-10,00%"
"05.08.2020","99,000","99,000","99,650","90,000","77,99K","-1,00%"
"04.08.2020","100,000","113,300","114,000","100,000","98,38K","-9,99%"
"30.07.2020","111,100","115,100","116,000","106,100","118,23K","-3,48%"
"29.07.2020","115,100","130,000","134,800","112,600","542,68K","-7,77%"
"28.07.2020","124,800","124,000","124,800","113,500","459,45K","9,96%"
"27.07.2020","113,500","108,000","113,500","103,300","177,79K","9,98%"
"24.07.2020","103,200","93,550","103,200","92,550","342,07K","9,90%"
"23.07.2020","93,900","91,650","95,500","91,650","129,42K","2,62%"
"22.07.2020","91,500","95,900","96,950","91,200","147,68K","-3,79%"
"21.07.2020","95,100","101,700","105,300","91,950","376,66K","-3,79%"
"20.07.2020","98,850","90,000","98,850","87,200","319,18K","9,96%"
"17.07.2020","89,900","84,000","91,500","82,650","298,57K","8,05%"
"16.07.2020","83,200","84,900","85,900","83,200","133,12K","-0,12%"
"14.07.2020","83,300","76,100","86,500","76,100","285,04K","5,44%"
"13.07.2020","79,000","74,800","79,000","74,800","84,63K","6,47%"
"10.07.2020","74,200","72,800","74,200","70,050","94,13K","-0,07%"
"09.07.2020","74,250","75,250","79,950","73,000","219,06K","-0,87%"
"08.07.2020","74,900","75,350","76,000","74,000","42,69K","-0,66%"
"07.07.2020","75,400","74,250","76,950","74,200","96,25K","1,89%"
"06.07.2020","74,000","73,000","74,250","73,000","39,24K","1,51%"
"03.07.2020","72,900","73,900","74,000","71,600","42,38K","-0,82%"
"02.07.2020","73,500","73,500","75,000","72,800","56,47K","1,17%"
"01.07.2020","72,650","72,800","73,300","72,200","27,60K","0,00%"
"30.06.2020","72,650","72,050","72,950","72,000","25,72K","0,97%"
"29.06.2020","71,950","72,050","72,500","71,400","21,05K","-0,07%"
"26.06.2020","72,000","72,700","72,700","71,600","34,16K","0,00%"
"25.06.2020","72,000","72,250","72,750","71,050","37,21K","-0,35%"
"24.06.2020","72,250","73,100","73,850","72,250","71,87K","-1,30%"
"23.06.2020","73,200","74,100","74,450","72,200","41,51K","-1,08%"
"22.06.2020","74,000","72,050","75,400","72,050","192,31K","2,99%"
"19.06.2020","71,850","72,150","72,500","71,000","138,43K","-0,21%"
"18.06.2020","72,000","72,550","73,600","72,000","130,99K","-0,69%"
"17.06.2020","72,500","72,950","73,500","71,950","71,89K","0,49%"
"16.06.2020","72,150","72,150","73,800","71,300","258,19K","0,77%"
"15.06.2020","71,600","73,400","73,600","71,600","265,27K","-2,98%"
"12.06.2020","73,800","72,800","74,350","72,150","80,53K","-0,27%"
"11.06.2020","74,000","73,600","75,150","72,700","41,48K","-0,13%"
"10.06.2020","74,100","74,350","75,600","73,000","50,91K","-0,20%"
"09.06.2020","74,250","76,000","76,350","74,250","44,39K","-1,39%"
"08.06.2020","75,300","75,750","77,950","74,250","91,19K","0,00%"
"05.06.2020","75,300","77,100","78,000","75,000","63,89K","-2,08%"
"04.06.2020","76,900","74,150","79,000","73,350","191,79K","3,92%"
"03.06.2020","74,000","74,900","74,900","73,500","30,76K","0,00%"
"02.06.2020","74,000","74,500","74,500","73,050","48,52K","0,00%"
"01.06.2020","74,000","74,550","74,650","71,000","110,88K","0,61%"
"29.05.2020","73,550","69,000","75,900","68,900","218,32K","6,59%"
"28.05.2020","69,000","70,000","70,300","68,300","71,70K","-1,85%"
"27.05.2020","70,300","71,000","72,600","68,300","105,63K","0,36%"
"22.05.2020","70,050","68,850","73,950","65,450","343,45K","2,49%"
"21.05.2020","68,350","62,400","68,350","62,400","383,59K","9,98%"
"20.05.2020","62,150","62,350","62,850","61,950","87,07K","-0,32%"
"18.05.2020","62,350","62,800","63,650","61,050","83,97K","-0,08%"
"15.05.2020","62,400","61,000","63,850","60,500","144,81K","4,00%"
"14.05.2020","60,000","57,000","61,450","56,800","169,75K","4,62%"
"13.05.2020","57,350","57,800","59,000","56,250","97,32K","-1,04%"
"12.05.2020","57,950","59,400","61,600","55,550","306,15K","0,96%"
"11.05.2020","57,400","54,000","57,400","53,850","315,54K","9,96%"
"08.05.2020","52,200","52,650","53,950","51,700","82,31K","0,00%"
"07.05.2020","52,200","52,000","52,850","51,700","21,52K","-0,10%"
"06.05.2020","52,250","52,300","53,250","52,150","26,51K","-0,10%"
"05.05.2020","52,300","52,800","53,500","52,000","24,72K","-0,95%"
"04.05.2020","52,800","51,050","52,800","51,000","26,85K","-0,28%"
"30.04.2020","52,950","52,000","53,800","50,150","139,14K","2,22%"
"29.04.2020","51,800","52,000","52,150","51,000","40,93K","-0,38%"
"28.04.2020","52,000","53,000","53,000","51,850","37,09K","-1,23%"
"27.04.2020","52,650","51,850","53,750","51,750","82,82K","2,33%"
"24.04.2020","51,450","51,650","52,700","50,900","75,71K","-0,10%"
"22.04.2020","51,500","49,620","52,650","49,000","151,46K","4,04%"
"21.04.2020","49,500","49,820","49,820","48,200","43,18K","-1,00%"
"20.04.2020","50,000","48,700","51,500","48,500","159,19K","3,09%"
"17.04.2020","48,500","48,060","49,800","48,060","50,64K","1,51%"
"16.04.2020","47,780","48,100","48,300","46,220","29,61K","0,59%"
"15.04.2020","47,500","50,200","50,200","46,000","39,42K","-4,66%"
"14.04.2020","49,820","47,760","50,750","47,720","173,82K","5,11%"
"13.04.2020","47,400","47,000","48,380","46,600","43,70K","0,30%"
"10.04.2020","47,260","47,080","47,500","46,620","23,44K","0,60%"
"09.04.2020","46,980","46,200","47,360","46,180","39,20K","2,17%"
"08.04.2020","45,980","46,700","47,000","45,240","43,41K","-1,54%"
"07.04.2020","46,700","46,700","47,940","46,540","58,23K","-0,26%"
"06.04.2020","46,820","46,500","47,040","45,820","54,30K","2,23%"
"03.04.2020","45,800","46,600","46,980","45,320","32,13K","-1,72%"
"02.04.2020","46,600","49,500","49,500","45,700","46,56K","-4,70%"
"01.04.2020","48,900","49,675","49,949","47,668","92,43K","-1,56%"
"31.03.2020","49,675","47,440","49,904","46,847","83,78K","5,73%"
"30.03.2020","46,984","46,528","46,984","45,324","39,23K","-7,51%"
"27.03.2020","50,800","49,720","53,950","49,060","90,18K","2,17%"
"26.03.2020","49,720","45,200","49,720","44,120","67,47K","10,00%"
"25.03.2020","45,200","45,760","46,460","43,320","63,08K","4,20%"
"24.03.2020","43,380","40,480","43,380","40,400","78,18K","9,99%"
"23.03.2020","39,440","40,280","40,280","38,500","23,02K","-4,50%"
"20.03.2020","41,300","41,020","42,500","40,420","28,70K","1,08%"
"19.03.2020","40,860","41,360","41,900","39,000","29,63K","-2,71%"
"18.03.2020","42,000","42,000","44,160","41,200","30,15K","-3,18%"
