"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","170,50","164,00","172,40","161,70","895,54K","3,96%"
"22.10.2020","164,00","159,80","164,00","158,00","410,17K","2,56%"
"21.10.2020","159,90","161,00","162,50","157,50","254,86K","-0,68%"
"20.10.2020","161,00","162,00","163,60","158,20","425,84K","-0,49%"
"19.10.2020","161,80","157,00","167,20","155,00","1,18M","6,45%"
"16.10.2020","152,00","150,60","152,90","148,50","245,56K","1,33%"
"15.10.2020","150,00","148,20","152,70","148,20","375,95K","1,35%"
"14.10.2020","148,00","144,00","152,00","144,00","798,35K","2,85%"
"13.10.2020","143,90","146,40","146,60","143,40","133,04K","-1,30%"
"12.10.2020","145,80","146,00","147,30","145,10","169,11K","0,21%"
"09.10.2020","145,50","141,80","146,00","141,80","280,86K","2,83%"
"08.10.2020","141,50","144,10","145,00","141,40","154,98K","-1,67%"
"07.10.2020","143,90","147,50","147,50","143,10","197,81K","-2,44%"
"06.10.2020","147,50","147,20","152,40","147,00","478,24K","0,34%"
"05.10.2020","147,00","140,70","148,60","140,70","597,06K","5,00%"
"02.10.2020","140,00","137,40","140,30","136,70","333,07K","1,74%"
"01.10.2020","137,60","138,60","138,80","136,00","190,84K","-0,15%"
"30.09.2020","137,80","139,00","139,00","136,50","388,13K","-0,07%"
"29.09.2020","137,90","139,40","140,90","137,90","267,38K","-0,58%"
"28.09.2020","138,70","139,80","140,50","137,80","120,20K","-0,79%"
"25.09.2020","139,80","139,20","140,60","138,70","111,54K","0,79%"
"24.09.2020","138,70","137,90","139,10","137,20","94,81K","0,22%"
"23.09.2020","138,40","140,00","140,40","137,80","77,65K","-0,29%"
"22.09.2020","138,80","137,60","139,20","137,20","94,50K","0,95%"
"21.09.2020","137,50","142,30","142,50","137,00","120,77K","-3,17%"
"18.09.2020","142,00","145,90","146,70","142,00","146,70K","-2,61%"
"17.09.2020","145,80","148,00","148,80","144,60","105,81K","-1,42%"
"16.09.2020","147,90","144,90","148,30","143,10","153,67K","2,35%"
"15.09.2020","144,50","145,10","148,00","142,70","204,37K","-0,34%"
"14.09.2020","145,00","141,40","145,40","140,60","283,69K","4,32%"
"11.09.2020","139,00","140,80","141,40","138,00","123,71K","-0,71%"
"10.09.2020","140,00","138,30","143,40","137,70","316,02K","1,45%"
"09.09.2020","138,00","139,00","139,60","137,60","138,79K","-0,72%"
"08.09.2020","139,00","140,00","140,50","137,20","72,02K","0,07%"
"07.09.2020","138,90","137,60","139,50","137,60","79,51K","1,02%"
"04.09.2020","137,50","137,60","138,30","136,60","48,76K","-0,07%"
"03.09.2020","137,60","138,70","138,90","137,40","45,53K","-0,65%"
"02.09.2020","138,50","139,00","139,80","138,00","64,46K","-0,36%"
"01.09.2020","139,00","140,30","140,30","136,30","82,67K","-0,71%"
"31.08.2020","140,00","138,60","140,00","136,20","87,41K","1,16%"
"28.08.2020","138,40","139,30","141,60","137,70","145,64K","0,07%"
"27.08.2020","138,30","138,70","141,00","137,90","109,58K","0,22%"
"26.08.2020","138,00","138,00","139,70","137,10","87,06K","-0,14%"
"25.08.2020","138,20","138,30","140,60","136,70","101,29K","-0,07%"
"24.08.2020","138,30","139,70","141,20","138,30","103,99K","-0,29%"
"21.08.2020","138,70","138,40","143,30","137,90","220,90K","0,65%"
"20.08.2020","137,80","140,80","141,10","137,80","91,98K","-1,92%"
"19.08.2020","140,50","138,30","140,50","137,60","119,97K","1,89%"
"18.08.2020","137,90","138,30","143,90","136,70","378,51K","1,17%"
"17.08.2020","136,30","139,60","140,00","133,80","132,24K","-2,36%"
"14.08.2020","139,60","146,00","146,00","139,10","163,43K","-5,36%"
"13.08.2020","147,50","149,50","150,10","145,90","60,49K","-1,01%"
"12.08.2020","149,00","152,00","152,10","148,00","76,02K","-1,84%"
"11.08.2020","151,80","151,00","152,50","149,80","123,00K","1,34%"
"10.08.2020","149,80","152,10","153,80","148,00","121,05K","-2,22%"
"07.08.2020","153,20","149,70","155,00","140,50","104,19K","0,00%"
"06.08.2020","153,20","161,00","161,00","152,00","75,77K","-5,43%"
"05.08.2020","162,00","162,00","162,40","155,30","106,17K","0,00%"
"04.08.2020","162,00","171,50","171,70","154,80","189,75K","-3,63%"
"30.07.2020","168,10","171,00","171,10","165,80","62,54K","-1,98%"
"29.07.2020","171,50","169,20","171,80","164,00","159,69K","1,72%"
"28.07.2020","168,60","168,30","175,30","163,20","364,81K","0,18%"
"27.07.2020","168,30","169,90","170,00","168,30","75,28K","-0,36%"
"24.07.2020","168,90","168,70","169,10","165,50","161,12K","-0,18%"
"23.07.2020","169,20","170,40","171,00","168,90","50,26K","-0,70%"
"22.07.2020","170,40","173,00","173,50","167,80","152,43K","1,13%"
"21.07.2020","168,50","174,00","175,40","165,30","195,19K","-3,16%"
"20.07.2020","174,00","169,00","175,00","168,80","175,84K","2,96%"
"17.07.2020","169,00","163,70","170,50","163,70","238,65K","3,81%"
"16.07.2020","162,80","159,00","162,80","158,80","174,35K","3,04%"
"14.07.2020","158,00","159,10","161,20","157,20","126,04K","-0,63%"
"13.07.2020","159,00","157,00","160,20","156,90","125,03K","1,60%"
"10.07.2020","156,50","158,60","159,10","152,40","145,06K","-1,39%"
"09.07.2020","158,70","156,60","162,70","155,40","293,10K","1,41%"
"08.07.2020","156,50","154,60","156,50","154,20","81,59K","1,43%"
"07.07.2020","154,30","156,50","157,30","154,00","112,83K","-1,41%"
"06.07.2020","156,50","156,70","157,40","155,60","133,73K","0,26%"
"03.07.2020","156,10","156,70","157,00","153,60","82,16K","-0,26%"
"02.07.2020","156,50","155,00","156,80","155,00","116,36K","1,03%"
"01.07.2020","154,90","150,30","154,90","150,30","212,96K","3,47%"
"30.06.2020","149,70","151,80","151,80","149,20","154,67K","-1,38%"
"29.06.2020","151,80","152,90","155,00","151,00","311,67K","1,88%"
"26.06.2020","149,00","144,90","157,50","144,70","445,45K","3,11%"
"25.06.2020","144,50","146,60","146,60","143,80","73,30K","-1,37%"
"24.06.2020","146,50","146,90","146,90","144,40","87,66K","0,00%"
"23.06.2020","146,50","144,10","146,50","144,10","199,50K","2,73%"
"22.06.2020","142,60","143,00","143,40","138,00","89,51K","-0,28%"
"19.06.2020","143,00","143,10","143,50","140,50","103,89K","0,00%"
"18.06.2020","143,00","142,80","144,00","141,00","129,77K","0,35%"
"17.06.2020","142,50","142,00","143,10","140,80","125,37K","1,14%"
"16.06.2020","140,90","140,00","142,00","139,00","110,39K","2,40%"
"15.06.2020","137,60","140,60","140,80","137,50","136,74K","-2,55%"
"12.06.2020","141,20","140,90","143,00","139,10","322,73K","0,21%"
"11.06.2020","140,90","136,00","149,50","136,00","755,21K","2,18%"
"10.06.2020","137,90","137,00","139,00","137,00","132,92K","0,95%"
"09.06.2020","136,60","134,60","137,00","134,50","165,42K","1,56%"
"08.06.2020","134,50","133,60","134,50","132,70","57,84K","0,75%"
"05.06.2020","133,50","134,50","134,90","132,00","76,79K","-0,30%"
"04.06.2020","133,90","133,40","133,90","132,00","59,59K","0,68%"
"03.06.2020","133,00","136,00","136,40","132,20","155,74K","-1,85%"
"02.06.2020","135,50","134,00","136,00","133,80","79,20K","1,35%"
"01.06.2020","133,70","133,70","135,30","133,40","49,60K","0,15%"
"29.05.2020","133,50","135,70","135,70","133,40","60,83K","-1,77%"
"28.05.2020","135,90","138,70","139,10","133,80","86,70K","-2,02%"
"27.05.2020","138,70","140,00","140,10","138,30","50,52K","0,14%"
"22.05.2020","138,50","138,00","138,50","136,10","35,80K","0,36%"
"21.05.2020","138,00","139,00","139,00","134,60","70,58K","-0,86%"
"20.05.2020","139,20","141,10","141,60","138,20","61,24K","-0,57%"
"18.05.2020","140,00","138,50","140,20","138,20","103,15K","2,94%"
"15.05.2020","136,00","132,50","136,20","132,50","121,02K","2,72%"
"14.05.2020","132,40","131,20","132,90","129,20","75,12K","0,68%"
"13.05.2020","131,50","127,50","133,30","126,70","174,22K","3,14%"
"12.05.2020","127,50","122,90","128,00","122,10","105,04K","3,66%"
"11.05.2020","123,00","123,00","123,10","120,80","38,32K","0,00%"
"08.05.2020","123,00","125,00","125,60","119,70","127,91K","-1,60%"
"07.05.2020","125,00","124,40","125,70","121,50","108,62K","0,48%"
"06.05.2020","124,40","127,10","127,40","124,10","66,13K","-2,05%"
"05.05.2020","127,00","129,00","129,90","125,20","69,32K","0,71%"
"04.05.2020","126,10","124,50","128,30","123,50","172,05K","1,20%"
"30.04.2020","124,60","124,00","124,80","122,00","78,35K","1,30%"
"29.04.2020","123,00","124,70","124,80","123,00","76,54K","-0,16%"
"28.04.2020","123,20","124,90","125,30","123,00","67,97K","-1,28%"
"27.04.2020","124,80","125,00","126,20","123,80","78,61K","1,05%"
"24.04.2020","123,50","126,40","127,70","122,50","131,23K","-2,29%"
"22.04.2020","126,40","122,00","126,40","121,20","67,08K","3,61%"
"21.04.2020","122,00","122,30","123,00","119,00","47,41K","-0,25%"
"20.04.2020","122,30","118,00","122,60","118,00","101,68K","4,09%"
"17.04.2020","117,50","116,30","118,90","116,00","64,20K","2,17%"
"16.04.2020","115,00","116,50","116,60","113,10","59,01K","0,44%"
"15.04.2020","114,50","120,60","121,00","114,50","93,62K","-5,06%"
"14.04.2020","120,60","118,80","120,60","118,40","98,33K","1,77%"
"13.04.2020","118,50","118,00","119,10","116,10","69,33K","0,17%"
"10.04.2020","118,30","119,10","119,10","116,60","75,50K","0,60%"
"09.04.2020","117,60","115,80","120,00","115,80","133,59K","2,26%"
"08.04.2020","115,00","113,10","115,80","111,90","91,45K","1,68%"
"07.04.2020","113,10","111,00","117,00","111,00","121,65K","2,82%"
"06.04.2020","110,00","106,10","110,00","106,10","99,82K","4,17%"
"03.04.2020","105,60","104,70","105,60","102,80","54,85K","1,64%"
"02.04.2020","103,90","106,00","106,90","101,00","155,20K","-0,57%"
"01.04.2020","104,50","103,70","106,50","102,80","72,25K","0,77%"
"31.03.2020","103,70","104,30","107,50","102,90","98,86K","0,39%"
"30.03.2020","103,30","103,70","105,00","102,00","46,11K","-0,67%"
"27.03.2020","104,00","108,70","110,50","103,30","55,83K","-4,24%"
"26.03.2020","108,60","109,50","111,00","104,50","78,65K","1,50%"
"25.03.2020","107,00","111,00","113,00","103,60","155,13K","-2,55%"
"24.03.2020","109,80","116,00","116,00","107,50","109,65K","2,91%"
"23.03.2020","106,70","101,00","106,70","96,45","73,47K","-3,70%"
"20.03.2020","110,80","106,50","110,90","105,60","128,65K","6,74%"
"19.03.2020","103,80","105,90","108,90","102,00","65,70K","-2,08%"
"18.03.2020","106,00","108,50","112,80","105,90","38,03K","-5,36%"
"17.03.2020","112,00","113,20","113,70","101,70","101,91K","-0,88%"
"16.03.2020","113,00","120,00","125,00","113,00","114,71K","-9,96%"
"13.03.2020","125,50","119,00","128,60","117,90","74,50K","2,87%"
"12.03.2020","122,00","124,40","125,90","115,80","128,42K","-4,91%"
"11.03.2020","128,30","130,80","136,50","122,50","134,91K","-4,96%"
"10.03.2020","135,00","142,70","144,50","133,20","97,05K","-4,32%"
"09.03.2020","141,10","144,50","146,00","136,10","83,45K","-5,68%"
"06.03.2020","149,60","155,00","155,30","144,30","140,30K","-3,79%"
"05.03.2020","155,50","156,30","157,00","153,60","49,07K","-0,19%"
"04.03.2020","155,80","155,80","158,40","154,00","67,11K","-0,95%"
"03.03.2020","157,30","154,70","158,00","154,20","78,72K","2,54%"
"02.03.2020","153,40","154,80","156,10","152,00","129,44K","1,59%"
"28.02.2020","151,00","139,00","151,00","125,50","93,53K","-1,24%"
"27.02.2020","152,90","158,50","159,40","151,30","100,30K","-4,26%"
"26.02.2020","159,70","164,60","165,70","155,40","447,75K","-2,20%"
"25.02.2020","163,30","158,50","165,70","158,50","204,37K","3,35%"
"24.02.2020","158,00","158,50","159,40","156,20","75,25K","-0,75%"
"21.02.2020","159,20","159,00","159,60","155,70","125,85K","-0,31%"
"20.02.2020","159,70","164,90","165,50","157,60","146,51K","-3,21%"
"19.02.2020","165,00","169,00","170,50","163,30","122,03K","-2,08%"
"18.02.2020","168,50","168,90","169,40","166,40","112,94K","0,30%"
"17.02.2020","168,00","167,00","169,90","165,10","133,29K","1,45%"
"14.02.2020","165,60","166,60","167,60","164,30","85,30K","-0,48%"
"13.02.2020","166,40","163,50","166,60","161,90","113,17K","2,40%"
"12.02.2020","162,50","163,00","165,40","160,80","135,38K","0,06%"
"11.02.2020","162,40","159,20","162,70","156,30","101,31K","2,65%"
"10.02.2020","158,20","159,00","159,80","156,90","116,48K","0,19%"
"07.02.2020","157,90","159,40","160,80","157,90","92,91K","-0,88%"
"06.02.2020","159,30","160,40","163,70","158,90","225,00K","0,57%"
