"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","119,20","123,00","124,20","117,10","485,48K","-3,48%"
"22.10.2020","123,50","117,60","123,50","117,30","526,16K","5,47%"
"21.10.2020","117,10","118,90","119,50","116,50","260,38K","-0,76%"
"20.10.2020","118,00","117,90","120,80","115,60","386,44K","0,17%"
"19.10.2020","117,80","119,40","120,50","116,50","306,33K","-1,34%"
"16.10.2020","119,40","120,10","125,60","118,20","641,34K","-0,08%"
"15.10.2020","119,50","115,10","119,80","114,40","626,87K","3,37%"
"14.10.2020","115,60","111,00","115,60","111,00","512,88K","4,43%"
"13.10.2020","110,70","109,70","110,70","107,60","296,43K","1,10%"
"12.10.2020","109,50","109,50","111,70","107,50","546,49K","2,43%"
"09.10.2020","106,90","103,50","106,90","103,50","471,24K","3,89%"
"08.10.2020","102,90","102,10","103,90","100,60","373,93K","-0,10%"
"07.10.2020","103,00","100,50","103,50","99,90","222,99K","2,39%"
"06.10.2020","100,60","104,00","104,90","100,60","264,58K","-2,71%"
"05.10.2020","103,40","101,50","103,40","100,40","356,56K","2,78%"
"02.10.2020","100,60","100,80","101,80","99,10","167,82K","-0,98%"
"01.10.2020","101,60","101,00","102,50","100,40","321,87K","1,60%"
"30.09.2020","100,00","96,10","100,60","96,10","586,25K","4,60%"
"29.09.2020","95,60","96,35","96,75","94,80","233,72K","-0,83%"
"28.09.2020","96,40","98,95","98,95","95,85","183,46K","-1,13%"
"25.09.2020","97,50","97,65","99,80","97,45","166,97K","0,31%"
"24.09.2020","97,20","98,15","98,30","96,80","146,20K","-0,97%"
"23.09.2020","98,15","97,95","100,10","97,50","269,18K","1,29%"
"22.09.2020","96,90","97,00","97,95","94,90","136,72K","-0,05%"
"21.09.2020","96,95","100,00","100,80","95,00","234,88K","-3,00%"
"18.09.2020","99,95","101,50","102,50","99,90","131,35K","-1,43%"
"17.09.2020","101,40","100,40","101,80","100,00","110,92K","0,80%"
"16.09.2020","100,60","103,00","104,40","99,85","302,60K","-2,14%"
"15.09.2020","102,80","101,70","103,30","99,70","256,41K","1,18%"
"14.09.2020","101,60","101,00","103,00","100,20","300,33K","0,89%"
"11.09.2020","100,70","101,50","102,00","99,15","138,01K","-0,30%"
"10.09.2020","101,00","99,30","102,00","97,05","193,51K","0,90%"
"09.09.2020","100,10","101,00","103,70","100,10","422,68K","-0,30%"
"08.09.2020","100,40","96,25","100,70","95,00","377,08K","5,13%"
"07.09.2020","95,50","92,00","95,50","92,00","361,10K","3,86%"
"04.09.2020","91,95","91,20","92,45","91,15","133,71K","0,82%"
"03.09.2020","91,20","91,40","93,10","90,00","145,45K","-0,22%"
"02.09.2020","91,40","92,55","93,75","91,35","129,43K","-0,44%"
"01.09.2020","91,80","93,50","94,25","91,05","99,88K","-1,82%"
"31.08.2020","93,50","93,35","95,05","90,00","173,16K","0,00%"
"28.08.2020","93,50","92,20","95,85","91,45","379,83K","1,47%"
"27.08.2020","92,15","87,90","92,80","86,95","579,78K","5,86%"
"26.08.2020","87,05","87,90","89,10","86,50","172,62K","-0,97%"
"25.08.2020","87,90","89,40","89,80","87,25","117,53K","-1,57%"
"24.08.2020","89,30","89,10","90,40","87,95","143,67K","0,34%"
"21.08.2020","89,00","91,65","91,80","87,30","406,83K","-2,79%"
"20.08.2020","91,55","91,00","94,20","88,55","417,14K","0,60%"
"19.08.2020","91,00","94,40","94,75","90,00","380,41K","-3,50%"
"18.08.2020","94,30","97,65","97,75","93,45","201,84K","-2,58%"
"17.08.2020","96,80","95,40","97,95","94,45","169,44K","1,63%"
"14.08.2020","95,25","95,95","98,85","92,45","219,76K","-0,78%"
"13.08.2020","96,00","103,00","103,90","95,80","338,48K","-6,80%"
"12.08.2020","103,00","104,70","106,70","101,10","348,92K","-1,62%"
"11.08.2020","104,70","97,40","104,80","97,40","525,83K","7,77%"
"10.08.2020","97,15","96,50","98,35","91,70","336,94K","0,67%"
"07.08.2020","96,50","92,90","97,00","83,85","576,06K","3,88%"
"06.08.2020","92,90","101,80","102,30","91,45","647,60K","-8,56%"
"05.08.2020","101,60","104,40","105,40","99,30","473,19K","-2,87%"
"04.08.2020","104,60","110,00","113,00","99,30","718,48K","-3,15%"
"30.07.2020","108,00","104,10","113,00","104,10","581,90K","3,75%"
"29.07.2020","104,10","102,00","107,00","101,00","785,46K","3,07%"
"28.07.2020","101,00","105,80","106,90","100,60","696,37K","-0,39%"
"27.07.2020","101,40","101,00","102,50","99,50","236,44K","0,50%"
"24.07.2020","100,90","95,65","101,60","94,80","535,64K","5,38%"
"23.07.2020","95,75","97,65","98,30","95,75","140,36K","-1,90%"
"22.07.2020","97,60","96,00","98,60","94,35","305,98K","1,77%"
"21.07.2020","95,90","99,50","100,00","94,90","246,05K","-2,94%"
"20.07.2020","98,80","102,20","102,20","98,60","336,71K","-1,30%"
"17.07.2020","100,10","100,50","104,30","99,50","366,54K","0,10%"
"16.07.2020","100,00","97,00","104,00","96,65","571,09K","3,84%"
"14.07.2020","96,30","94,05","96,30","93,60","335,61K","2,88%"
"13.07.2020","93,60","91,35","95,00","89,65","446,20K","4,41%"
"10.07.2020","89,65","88,30","91,30","83,70","447,10K","1,53%"
"09.07.2020","88,30","92,20","93,40","87,85","387,47K","-4,02%"
"08.07.2020","92,00","87,85","93,15","87,85","964,89K","5,14%"
"07.07.2020","87,50","84,55","88,40","84,55","555,92K","3,55%"
