"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","22,900","22,240","23,440","22,240","7,31M","3,06%"
"22.10.2020","22,220","21,560","22,900","21,500","6,22M","3,16%"
"21.10.2020","21,540","22,820","22,900","21,540","3,38M","-3,84%"
"20.10.2020","22,400","22,140","23,720","22,000","11,57M","0,72%"
"19.10.2020","22,240","20,520","22,240","20,480","10,40M","9,99%"
"16.10.2020","20,220","20,980","21,060","20,160","3,44M","-2,60%"
"15.10.2020","20,760","19,870","21,680","19,840","18,45M","4,43%"
"14.10.2020","19,880","20,000","20,160","19,760","2,47M","-0,15%"
"13.10.2020","19,910","20,200","20,220","19,740","2,90M","-0,95%"
"12.10.2020","20,100","19,830","20,280","19,830","3,44M","1,67%"
"09.10.2020","19,770","19,710","20,220","19,600","4,52M","1,07%"
"08.10.2020","19,560","19,260","19,700","19,090","5,14M","1,93%"
"07.10.2020","19,190","19,320","19,490","19,100","2,79M","-0,72%"
"06.10.2020","19,330","19,190","19,500","19,110","3,73M","1,79%"
"05.10.2020","18,990","18,680","19,110","18,600","2,62M","2,43%"
"02.10.2020","18,540","18,540","18,760","18,420","1,40M","-0,11%"
"01.10.2020","18,560","18,900","18,920","18,500","1,79M","-1,43%"
"30.09.2020","18,830","18,430","18,870","18,300","4,30M","2,50%"
"29.09.2020","18,370","18,480","18,770","18,280","2,33M","-0,43%"
"28.09.2020","18,450","18,760","18,840","18,400","1,94M","-1,65%"
"25.09.2020","18,760","18,900","18,960","18,740","1,59M","-0,27%"
"24.09.2020","18,810","18,920","19,000","18,720","1,89M","-0,63%"
"23.09.2020","18,930","19,030","19,110","18,880","1,47M","-0,26%"
"22.09.2020","18,980","19,010","19,260","18,910","1,97M","0,26%"
"21.09.2020","18,930","19,310","19,410","18,910","2,38M","-2,12%"
"18.09.2020","19,340","19,570","19,580","19,200","2,06M","-0,46%"
"17.09.2020","19,430","19,940","20,000","19,360","2,81M","-2,36%"
"16.09.2020","19,900","19,550","20,240","19,500","6,61M","2,68%"
"15.09.2020","19,380","19,180","19,640","19,150","7,29M","1,25%"
"14.09.2020","19,140","19,190","19,330","19,090","2,69M","0,37%"
"11.09.2020","19,070","19,000","19,210","18,910","3,90M","1,01%"
"10.09.2020","18,880","18,920","19,180","18,830","3,18M","0,43%"
"09.09.2020","18,800","19,150","19,360","18,800","4,26M","-1,78%"
"08.09.2020","19,140","19,000","19,500","18,740","5,91M","1,06%"
"07.09.2020","18,940","18,730","19,100","18,700","2,81M","1,18%"
"04.09.2020","18,720","18,980","19,240","18,620","4,77M","-1,47%"
"03.09.2020","19,000","19,250","19,430","18,960","3,80M","-0,99%"
"02.09.2020","19,190","19,950","19,980","19,190","4,41M","-3,66%"
"01.09.2020","19,920","19,770","21,060","19,700","11,03M","1,12%"
"31.08.2020","19,700","19,510","20,080","19,190","5,83M","2,28%"
"28.08.2020","19,260","19,320","19,520","19,030","1,95M","-0,36%"
