"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","7,150","7,030","7,150","6,960","40,23M","2,00%"
"22.10.2020","7,010","6,950","7,130","6,930","25,49M","0,86%"
"21.10.2020","6,950","7,170","7,170","6,930","17,90M","-2,25%"
"20.10.2020","7,110","7,190","7,230","7,080","34,61M","-0,70%"
"19.10.2020","7,160","7,010","7,300","6,980","76,35M","2,73%"
"16.10.2020","6,970","7,170","7,240","6,920","42,23M","-2,11%"
"15.10.2020","7,120","6,910","7,590","6,870","294,92M","3,19%"
"14.10.2020","6,900","6,740","6,950","6,740","68,95M","2,53%"
"13.10.2020","6,730","6,750","6,780","6,700","15,06M","-0,30%"
"12.10.2020","6,750","6,760","6,830","6,730","19,35M","0,30%"
"09.10.2020","6,730","6,780","6,810","6,710","16,80M","-0,30%"
"08.10.2020","6,750","6,780","6,890","6,710","28,33M","0,00%"
"07.10.2020","6,750","6,640","6,850","6,640","27,18M","1,35%"
"06.10.2020","6,660","6,730","6,770","6,650","17,58M","-0,89%"
"05.10.2020","6,720","6,750","6,790","6,710","15,56M","-0,15%"
"02.10.2020","6,730","6,800","6,880","6,710","17,97M","-0,88%"
"01.10.2020","6,790","7,020","7,030","6,790","21,32M","-3,00%"
"30.09.2020","7,000","6,720","7,020","6,720","38,14M","4,63%"
"29.09.2020","6,690","6,710","6,840","6,640","19,97M","-0,15%"
"28.09.2020","6,700","6,670","6,740","6,620","13,41M","0,15%"
"25.09.2020","6,690","6,790","6,820","6,680","18,20M","-0,74%"
"24.09.2020","6,740","6,720","6,800","6,700","16,12M","0,30%"
"23.09.2020","6,720","6,740","6,780","6,700","14,19M","0,15%"
"22.09.2020","6,710","6,680","6,780","6,650","19,12M","0,60%"
"21.09.2020","6,670","6,640","6,730","6,580","20,42M","0,76%"
"18.09.2020","6,620","6,750","6,780","6,620","15,23M","-1,78%"
"17.09.2020","6,740","6,800","6,860","6,720","28,30M","-1,17%"
"16.09.2020","6,820","6,910","7,010","6,800","46,63M","-1,02%"
"15.09.2020","6,890","6,660","7,050","6,630","108,26M","3,92%"
"14.09.2020","6,630","6,650","6,700","6,610","20,48M","0,15%"
"11.09.2020","6,620","6,580","6,730","6,570","26,28M","1,07%"
"10.09.2020","6,550","6,590","6,670","6,540","26,00M","0,15%"
"09.09.2020","6,540","6,540","6,740","6,520","32,67M","0,46%"
"08.09.2020","6,510","6,450","6,700","6,310","48,22M","1,72%"
"07.09.2020","6,400","6,180","6,400","6,180","35,45M","4,23%"
"04.09.2020","6,140","6,080","6,200","6,080","28,96M","1,32%"
"03.09.2020","6,060","5,970","6,100","5,960","18,31M","1,68%"
"02.09.2020","5,960","6,060","6,110","5,940","17,44M","-1,49%"
"01.09.2020","6,050","5,960","6,350","5,930","62,60M","1,68%"
"31.08.2020","5,950","5,770","5,960","5,740","29,86M","3,12%"
"28.08.2020","5,770","5,810","5,870","5,720","14,59M","-0,52%"
"27.08.2020","5,800","5,760","5,920","5,730","28,83M","1,22%"
"26.08.2020","5,730","5,630","5,770","5,600","17,59M","1,60%"
"25.08.2020","5,640","5,730","5,820","5,620","15,55M","-1,23%"
"24.08.2020","5,710","5,790","5,840","5,700","7,15M","-0,87%"
"21.08.2020","5,760","5,820","5,880","5,690","17,32M","-0,17%"
"20.08.2020","5,770","5,740","5,880","5,680","19,62M","0,70%"
"19.08.2020","5,730","5,700","5,800","5,700","14,85M","0,88%"
"18.08.2020","5,680","5,650","5,800","5,630","11,80M","0,53%"
"17.08.2020","5,650","5,760","5,770","5,640","7,24M","-1,74%"
"14.08.2020","5,750","5,870","5,920","5,740","19,86M","-2,38%"
"13.08.2020","5,890","5,880","6,080","5,860","53,59M","0,34%"
"12.08.2020","5,870","5,990","6,020","5,860","21,65M","-1,84%"
"11.08.2020","5,980","6,000","6,100","5,930","27,53M","0,17%"
"10.08.2020","5,970","5,880","6,100","5,700","35,13M","1,02%"
"07.08.2020","5,910","5,990","6,170","5,510","36,45M","-1,34%"
"06.08.2020","5,990","6,160","6,440","5,700","120,76M","-3,54%"
"05.08.2020","6,210","5,930","6,260","5,700","74,98M","6,15%"
"04.08.2020","5,850","6,380","6,420","5,780","16,78M","-7,29%"
"30.07.2020","6,310","6,520","6,600","6,310","18,97M","-3,07%"
"29.07.2020","6,510","6,130","6,600","5,940","109,03M","6,72%"
"28.07.2020","6,100","6,350","6,390","6,090","10,49M","-3,94%"
"27.07.2020","6,350","6,330","6,510","6,320","23,52M","1,11%"
"24.07.2020","6,280","6,300","6,450","6,260","20,18M","-1,10%"
"23.07.2020","6,350","6,350","6,430","6,330","11,08M","0,47%"
"22.07.2020","6,320","6,440","6,470","6,300","16,82M","-0,94%"
"21.07.2020","6,380","6,640","6,670","6,340","23,33M","-3,19%"
"20.07.2020","6,590","6,390","6,740","6,340","51,52M","3,13%"
"17.07.2020","6,390","6,480","6,530","6,380","14,76M","-1,39%"
"16.07.2020","6,480","6,510","6,630","6,450","24,93M","0,47%"
