"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","11,710","11,180","12,100","11,120","7,88M","5,12%"
"22.10.2020","11,140","11,250","11,340","11,060","1,30M","-0,45%"
"21.10.2020","11,190","11,200","11,460","11,000","2,64M","0,27%"
"20.10.2020","11,160","11,400","11,450","11,120","1,72M","-2,11%"
"19.10.2020","11,400","11,470","11,610","11,310","2,15M","-1,04%"
"16.10.2020","11,520","11,730","11,850","11,500","1,98M","-1,45%"
"15.10.2020","11,690","11,370","12,380","11,120","6,34M","0,78%"
"14.10.2020","11,600","11,830","11,880","11,250","1,43M","-3,81%"
"13.10.2020","12,060","11,070","12,060","10,900","2,55M","9,94%"
"12.10.2020","10,970","11,050","11,100","10,690","985,33K","2,05%"
"09.10.2020","10,750","10,750","11,000","10,700","655,43K","-0,19%"
"08.10.2020","10,770","10,640","11,180","10,110","1,11M","1,22%"
"07.10.2020","10,640","10,750","10,860","10,590","636,26K","-1,30%"
"06.10.2020","10,780","11,180","11,180","10,760","1,03M","-3,58%"
"05.10.2020","11,180","10,900","11,450","10,380","1,70M","1,54%"
"02.10.2020","11,010","10,030","11,010","10,010","2,19M","9,99%"
"01.10.2020","10,010","10,140","10,150","9,960","592,60K","-1,09%"
"30.09.2020","10,120","10,120","10,270","9,940","859,47K","0,20%"
"29.09.2020","10,100","10,240","10,410","9,990","1,11M","-1,37%"
"28.09.2020","10,240","10,700","10,700","10,170","846,83K","-4,39%"
"25.09.2020","10,710","10,360","11,090","10,110","1,28M","3,38%"
"24.09.2020","10,360","10,350","10,830","10,290","899,29K","-2,63%"
"23.09.2020","10,640","10,830","11,090","10,600","1,18M","-3,27%"
"22.09.2020","11,000","11,110","11,500","10,600","1,40M","-3,25%"
"21.09.2020","11,370","11,500","12,000","10,930","1,79M","-1,13%"
"18.09.2020","11,500","10,150","11,680","10,010","2,36M","6,28%"
"17.09.2020","10,820","11,000","11,670","10,820","2,37M","-9,98%"
"16.09.2020","12,020","12,030","13,320","12,020","3,00M","-9,96%"
"15.09.2020","13,350","11,800","14,200","11,660","8,50M","3,09%"
"14.09.2020","12,950","12,660","12,950","12,660","3,57M","9,93%"
"11.09.2020","11,780","11,700","11,780","11,530","8,43M","9,99%"
"10.09.2020","10,710","10,600","10,710","10,070","6,43M","9,96%"
"09.09.2020","9,740","9,450","9,740","9,110","1,91M","9,93%"
"08.09.2020","8,860","8,150","8,860","7,920","10,35M","9,93%"
"07.09.2020","8,060","8,100","8,170","8,020","2,50M","1,64%"
"04.09.2020","7,930","7,750","8,210","7,750","7,35M","1,93%"
"03.09.2020","7,780","8,080","8,260","7,780","3,44M","-2,51%"
"02.09.2020","7,980","8,210","8,690","7,890","7,80M","-2,44%"
"01.09.2020","8,180","7,440","8,180","7,360","5,33M","9,95%"
"31.08.2020","7,440","7,310","7,660","7,170","3,39M","2,90%"
"28.08.2020","7,230","7,360","7,370","7,150","1,59M","-1,77%"
"27.08.2020","7,360","7,720","8,140","7,340","7,13M","-2,65%"
"26.08.2020","7,560","6,890","7,560","6,850","3,21M","9,88%"
"25.08.2020","6,880","7,140","7,180","6,800","962,65K","-3,37%"
"24.08.2020","7,120","7,210","7,340","7,040","824,31K","-0,97%"
"21.08.2020","7,190","7,350","7,420","7,150","941,68K","-1,91%"
"20.08.2020","7,330","7,220","7,500","7,100","1,73M","1,52%"
"19.08.2020","7,220","7,250","7,450","7,110","1,35M","-0,14%"
"18.08.2020","7,230","7,340","7,550","7,220","1,37M","-1,50%"
"17.08.2020","7,340","7,580","7,620","7,300","982,52K","-3,17%"
"14.08.2020","7,580","7,620","7,930","7,560","2,37M","0,66%"
"13.08.2020","7,530","7,800","7,970","7,480","1,34M","-3,21%"
"12.08.2020","7,780","7,950","8,200","7,640","2,43M","-2,14%"
"11.08.2020","7,950","8,150","8,700","7,910","4,02M","-2,45%"
"10.08.2020","8,150","7,390","8,150","7,130","3,32M","9,99%"
"07.08.2020","7,410","7,400","7,420","6,670","1,50M","0,14%"
"06.08.2020","7,400","7,790","8,020","7,070","1,64M","-5,73%"
"05.08.2020","7,850","7,750","8,080","7,400","1,72M","1,55%"
"04.08.2020","7,730","8,330","8,480","7,480","1,14M","-6,98%"
"30.07.2020","8,310","8,350","8,440","8,300","182,89K","-0,48%"
"29.07.2020","8,350","8,410","8,690","7,900","1,58M","-0,71%"
"28.07.2020","8,410","8,810","8,860","8,400","844,10K","-4,54%"
"27.07.2020","8,810","8,680","9,010","8,670","1,77M","1,61%"
"24.07.2020","8,670","8,730","8,730","8,550","584,61K","-0,69%"
"23.07.2020","8,730","8,700","8,900","8,510","1,16M","0,92%"
"22.07.2020","8,650","8,890","8,970","8,650","1,16M","-2,70%"
"21.07.2020","8,890","9,050","9,180","8,600","2,16M","-1,77%"
