"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","45,02","42,30","46,12","41,96","7,96M","6,43%"
"22.10.2020","42,30","42,70","43,92","41,94","2,13M","-0,94%"
"21.10.2020","42,70","43,00","44,14","42,60","2,19M","-3,96%"
"20.10.2020","44,46","44,30","46,04","43,46","1,00M","0,50%"
"19.10.2020","44,24","45,90","46,44","43,62","1,11M","-3,83%"
"16.10.2020","46,00","47,00","48,00","44,66","2,13M","0,79%"
"15.10.2020","45,64","39,70","45,64","39,10","2,12M","9,98%"
"14.10.2020","41,50","42,04","42,24","40,98","789,97K","0,24%"
"13.10.2020","41,40","41,70","42,42","40,62","1,00M","-0,72%"
"12.10.2020","41,70","43,68","43,76","41,70","1,08M","-3,02%"
"09.10.2020","43,00","42,58","44,00","40,46","1,39M","4,02%"
"08.10.2020","41,34","44,22","44,22","41,24","1,47M","-6,56%"
"07.10.2020","44,24","46,00","47,48","44,16","1,36M","-5,19%"
"06.10.2020","46,66","45,80","48,00","44,80","1,11M","1,88%"
"05.10.2020","45,80","48,20","48,22","45,80","2,25M","0,88%"
"02.10.2020","45,40","44,54","47,00","44,54","2,64M","1,93%"
"01.10.2020","44,54","48,18","48,70","44,32","2,83M","-5,72%"
"30.09.2020","47,24","44,30","48,72","42,44","11,58M","6,64%"
"29.09.2020","44,30","47,14","48,10","44,10","4,88M","-5,82%"
"28.09.2020","47,04","49,50","49,82","47,04","3,11M","-4,97%"
"25.09.2020","49,50","50,10","50,95","49,04","2,95M","-1,20%"
"24.09.2020","50,10","53,80","53,80","49,68","5,53M","2,24%"
"23.09.2020","49,00","50,65","50,95","49,00","3,67M","-3,26%"
"22.09.2020","50,65","52,95","53,10","50,35","3,62M","-3,80%"
"21.09.2020","52,65","51,00","54,40","50,15","9,33M","3,64%"
"18.09.2020","50,80","50,75","52,00","50,00","3,82M","1,09%"
"17.09.2020","50,25","50,05","54,40","49,28","6,61M","-1,86%"
"16.09.2020","51,20","53,05","53,60","50,95","5,18M","-3,49%"
"15.09.2020","53,05","53,70","54,95","52,50","4,76M","-0,93%"
"14.09.2020","53,55","54,00","55,95","53,40","6,82M","-4,72%"
"11.09.2020","56,20","59,00","61,10","56,05","10,12M","-1,49%"
"10.09.2020","57,05","50,10","57,05","48,90","14,21M","9,92%"
"09.09.2020","51,90","56,65","56,75","51,60","8,26M","-8,38%"
"08.09.2020","56,65","58,80","61,30","56,30","10,46M","-5,11%"
"07.09.2020","59,70","60,50","62,45","57,50","1,68M","-1,16%"
"04.09.2020","60,40","61,20","61,70","60,05","951,83K","-1,23%"
"03.09.2020","61,15","59,85","62,20","58,85","1,49M","2,17%"
"02.09.2020","59,85","60,50","61,20","59,50","1,42M","-2,37%"
"01.09.2020","61,30","63,65","63,85","60,50","1,54M","-2,39%"
"31.08.2020","62,80","61,15","63,95","60,20","1,99M","4,75%"
"28.08.2020","59,95","59,15","61,85","59,00","1,51M","1,35%"
"27.08.2020","59,15","58,80","61,50","58,25","1,96M","-3,03%"
"26.08.2020","61,00","62,25","64,70","60,60","2,69M","-2,01%"
"25.08.2020","62,25","59,80","64,00","56,90","3,19M","5,15%"
"24.08.2020","59,20","57,10","61,70","55,00","3,47M","3,32%"
