"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","9,530","9,580","9,780","9,430","4,31M","-0,10%"
"22.10.2020","9,540","9,660","9,860","9,370","4,19M","-1,04%"
"21.10.2020","9,640","9,850","9,870","9,600","2,79M","-2,03%"
"20.10.2020","9,840","10,000","10,050","9,820","3,76M","-1,60%"
"19.10.2020","10,000","9,820","10,150","9,720","11,04M","1,83%"
"16.10.2020","9,820","9,810","9,940","9,650","6,06M","0,61%"
"15.10.2020","9,760","9,780","10,360","9,560","26,34M","0,31%"
"14.10.2020","9,730","9,610","9,810","9,390","5,92M","1,67%"
"13.10.2020","9,570","9,600","9,660","9,410","4,26M","-0,10%"
"12.10.2020","9,580","9,420","9,750","9,180","7,90M","2,24%"
"09.10.2020","9,370","9,770","9,800","9,330","9,12M","-4,09%"
"08.10.2020","9,770","8,950","9,770","8,950","18,69M","9,53%"
"07.10.2020","8,920","8,580","8,940","8,530","5,82M","3,72%"
"06.10.2020","8,600","8,740","8,770","8,590","2,08M","-1,38%"
"05.10.2020","8,720","8,700","8,740","8,640","2,44M","1,16%"
"02.10.2020","8,620","8,490","8,650","8,440","2,18M","2,13%"
"01.10.2020","8,440","8,630","8,680","8,440","3,31M","-1,63%"
"30.09.2020","8,580","8,550","8,600","8,370","2,89M","0,82%"
"29.09.2020","8,510","8,320","8,530","8,260","4,06M","3,15%"
"28.09.2020","8,250","8,270","8,350","8,180","3,53M","-0,24%"
"25.09.2020","8,270","8,440","8,470","8,230","4,00M","-1,66%"
"24.09.2020","8,410","8,500","8,570","8,400","3,64M","-1,29%"
"23.09.2020","8,520","8,520","8,580","8,470","2,66M","0,71%"
"22.09.2020","8,460","8,480","8,550","8,400","4,32M","0,00%"
"21.09.2020","8,460","8,500","8,580","8,380","3,99M","-0,35%"
"18.09.2020","8,490","8,670","8,710","8,460","4,29M","-1,85%"
"17.09.2020","8,650","8,890","9,040","8,650","7,83M","-2,59%"
"16.09.2020","8,880","8,770","9,020","8,750","11,46M","1,37%"
"15.09.2020","8,760","8,900","8,920","8,630","9,76M","0,11%"
"14.09.2020","8,750","8,810","9,110","8,750","6,42M","0,46%"
"11.09.2020","8,710","8,370","8,840","8,350","10,30M","4,44%"
"10.09.2020","8,340","8,140","8,380","8,050","5,43M","2,58%"
"09.09.2020","8,130","8,230","8,420","8,070","6,98M","-1,22%"
"08.09.2020","8,230","8,090","8,540","7,970","11,47M","2,11%"
"07.09.2020","8,060","7,930","8,120","7,920","3,07M","2,03%"
"04.09.2020","7,900","7,850","8,040","7,810","3,09M","0,64%"
"03.09.2020","7,850","7,980","8,040","7,840","2,70M","-1,38%"
"02.09.2020","7,960","8,150","8,220","7,940","3,49M","-1,97%"
"01.09.2020","8,120","8,100","8,350","7,850","12,61M","1,63%"
"31.08.2020","7,990","7,810","8,050","7,740","5,95M","2,96%"
"28.08.2020","7,760","7,830","7,860","7,730","1,76M","-0,51%"
"27.08.2020","7,800","7,790","7,870","7,710","2,54M","0,65%"
"26.08.2020","7,750","7,800","7,950","7,730","3,72M","0,13%"
"25.08.2020","7,740","7,830","7,980","7,720","4,75M","-0,90%"
"24.08.2020","7,810","7,870","7,950","7,780","1,31M","-0,64%"
"21.08.2020","7,860","8,050","8,050","7,850","2,47M","-1,26%"
"20.08.2020","7,960","8,020","8,100","7,900","2,95M","-1,12%"
"19.08.2020","8,050","8,060","8,100","7,960","2,16M","0,00%"
"18.08.2020","8,050","7,900","8,080","7,850","3,46M","-1,23%"
"17.08.2020","8,150","8,350","8,360","7,960","2,05M","-2,28%"
"14.08.2020","8,340","8,590","8,710","8,290","4,12M","-3,02%"
"13.08.2020","8,600","8,560","8,860","8,400","8,18M","1,65%"
"12.08.2020","8,460","8,340","8,460","8,230","2,15M","1,68%"
"11.08.2020","8,320","8,330","8,610","8,220","4,81M","0,24%"
"10.08.2020","8,300","8,150","8,420","7,900","3,32M","1,22%"
"07.08.2020","8,200","8,050","8,250","7,650","5,38M","0,24%"
"06.08.2020","8,180","8,560","8,770","7,890","16,90M","-4,55%"
"05.08.2020","8,570","8,260","8,640","7,870","10,32M","4,13%"
"04.08.2020","8,230","8,770","8,770","7,780","3,13M","-3,06%"
"30.07.2020","8,490","8,770","8,900","8,440","3,49M","-3,08%"
"29.07.2020","8,760","8,290","8,920","7,900","17,07M","5,80%"
"28.07.2020","8,280","8,680","8,680","8,250","1,95M","-4,39%"
