"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.10.2020","34,720","32,360","35,660","32,100","6,35M","7,09%"
"22.10.2020","32,420","30,860","32,500","30,680","2,26M","5,53%"
"21.10.2020","30,720","31,320","31,940","30,660","1,91M","-1,54%"
"20.10.2020","31,200","31,600","32,500","31,200","1,99M","-1,02%"
"19.10.2020","31,520","33,020","33,400","31,380","4,05M","-3,84%"
"16.10.2020","32,780","29,940","32,780","29,800","4,63M","10,00%"
"15.10.2020","29,800","29,380","29,880","28,900","844,84K","1,78%"
"14.10.2020","29,280","29,940","30,320","28,500","1,07M","-2,20%"
"13.10.2020","29,940","30,180","30,420","29,700","1,18M","-0,80%"
"12.10.2020","30,180","30,100","30,480","29,700","1,44M","0,53%"
"09.10.2020","30,020","30,520","31,000","29,700","1,14M","-1,64%"
"08.10.2020","30,520","30,620","32,000","29,980","3,08M","0,53%"
"07.10.2020","30,360","28,480","30,900","28,240","3,65M","6,53%"
"06.10.2020","28,500","28,300","28,980","28,020","1,53M","1,35%"
"05.10.2020","28,120","27,580","28,580","27,520","1,87M","2,78%"
"02.10.2020","27,360","27,500","28,220","27,100","1,59M","-0,51%"
"01.10.2020","27,500","27,300","29,400","27,000","5,58M","1,18%"
"30.09.2020","27,180","26,940","27,920","26,820","2,04M","1,65%"
"29.09.2020","26,740","27,900","28,100","26,600","2,30M","-4,09%"
"28.09.2020","27,880","26,440","28,400","26,380","3,46M","6,17%"
"25.09.2020","26,260","25,620","26,580","25,580","2,14M","2,98%"
"24.09.2020","25,500","25,440","25,780","25,120","1,09M","-0,08%"
"23.09.2020","25,520","25,100","26,000","25,000","1,38M","2,08%"
"22.09.2020","25,000","25,420","25,520","24,880","949,10K","-1,19%"
"21.09.2020","25,300","26,200","26,480","25,000","1,51M","-3,29%"
"18.09.2020","26,160","26,360","26,900","26,060","1,17M","-0,61%"
"17.09.2020","26,320","26,160","26,400","25,800","948,36K","0,30%"
"16.09.2020","26,240","26,920","27,040","26,080","1,61M","-1,72%"
"15.09.2020","26,700","26,500","27,380","26,160","2,31M","1,29%"
"14.09.2020","26,360","26,900","27,280","26,360","991,73K","-2,01%"
"11.09.2020","26,900","27,220","27,500","26,600","1,16M","-0,81%"
"10.09.2020","27,120","25,700","27,560","25,400","3,39M","5,69%"
"09.09.2020","25,660","25,540","26,080","25,220","1,80M","0,47%"
"08.09.2020","25,540","25,300","26,200","24,720","3,06M","1,92%"
"07.09.2020","25,060","25,060","25,600","24,680","2,12M","0,00%"
"04.09.2020","25,060","26,360","27,900","24,600","3,87M","-4,93%"
"03.09.2020","26,360","26,920","27,240","25,820","2,10M","-2,01%"
"02.09.2020","26,900","27,180","27,880","26,100","2,20M","-0,88%"
"01.09.2020","27,140","28,600","28,680","26,920","2,73M","-4,10%"
"31.08.2020","28,300","27,000","29,240","26,880","4,49M","5,28%"
"28.08.2020","26,880","26,780","27,640","26,640","1,90M","0,67%"
"27.08.2020","26,700","27,440","28,980","26,500","4,49M","-0,89%"
"26.08.2020","26,940","24,400","26,940","24,320","5,13M","9,96%"
"25.08.2020","24,500","24,940","25,680","24,240","2,20M","-1,21%"
"24.08.2020","24,800","23,380","25,440","23,200","4,42M","5,26%"
"21.08.2020","23,560","25,000","25,140","23,540","3,82M","-5,31%"
"20.08.2020","24,880","24,400","25,920","23,960","4,79M","1,88%"
"19.08.2020","24,420","22,700","24,800","22,700","5,49M","7,67%"
"18.08.2020","22,680","22,120","23,880","21,400","9,79M","3,00%"
"17.08.2020","22,020","22,020","22,020","21,860","2,13M","9,99%"
